Town,Zipcode,County,State
Autaugaville,36003,Autauga,Alabama
Billingsley,36006,Autauga,Alabama
Booth,36008,Autauga,Alabama
Marbury,36051,Autauga,Alabama
Prattville,36066,Autauga,Alabama
Prattville,36067,Autauga,Alabama
Prattville,36068,Autauga,Alabama
Verbena,36091,Autauga,Alabama
Jones,36749,Autauga,Alabama
Bay Minette,36507,Baldwin,Alabama
Bon Secour,36511,Baldwin,Alabama
Daphne,36526,Baldwin,Alabama
Spanish Fort,36527,Baldwin,Alabama
Elberta,36530,Baldwin,Alabama
Fairhope,36532,Baldwin,Alabama
Fairhope,36533,Baldwin,Alabama
Foley,36535,Baldwin,Alabama
Foley,36536,Baldwin,Alabama
Gulf Shores,36542,Baldwin,Alabama
Lillian,36549,Baldwin,Alabama
Little River,36550,Baldwin,Alabama
Loxley,36551,Baldwin,Alabama
Magnolia Springs,36555,Baldwin,Alabama
Montrose,36559,Baldwin,Alabama
Orange Beach,36561,Baldwin,Alabama
Perdido,36562,Baldwin,Alabama
Point Clear,36564,Baldwin,Alabama
Robertsdale,36567,Baldwin,Alabama
Seminole,36574,Baldwin,Alabama
Silverhill,36576,Baldwin,Alabama
Spanish Fort,36577,Baldwin,Alabama
Stapleton,36578,Baldwin,Alabama
Stockton,36579,Baldwin,Alabama
Summerdale,36580,Baldwin,Alabama
Clayton,36016,Barbour,Alabama
Clio,36017,Barbour,Alabama
Eufaula,36027,Barbour,Alabama
Louisville,36048,Barbour,Alabama
Clopton,36317,Barbour,Alabama
Brent,35034,Bibb,Alabama
Brierfield,35035,Bibb,Alabama
Centreville,35042,Bibb,Alabama
Green Pond,35074,Bibb,Alabama
West Blocton,35184,Bibb,Alabama
Westover,35185,Bibb,Alabama
Woodstock,35188,Bibb,Alabama
Birmingham,35201,Bibb,Alabama
Birmingham,35202,Bibb,Alabama
Randolph,36792,Bibb,Alabama
Lawley,36793,Bibb,Alabama
Allgood,35013,Blount,Alabama
Blountsville,35031,Blount,Alabama
Cleveland,35049,Blount,Alabama
Hayden,35079,Blount,Alabama
Locust Fork,35097,Blount,Alabama
Oneonta,35121,Blount,Alabama
Palmerdale,35123,Blount,Alabama
Remlap,35133,Blount,Alabama
Trafford,35172,Blount,Alabama
Fitzpatrick,36029,Bullock,Alabama
Midway,36053,Bullock,Alabama
Union Springs,36089,Bullock,Alabama
Forest Home,36030,Butler,Alabama
Georgiana,36033,Butler,Alabama
Greenville,36037,Butler,Alabama
Mc Kenzie,36456,Butler,Alabama
Megargel,36457,Butler,Alabama
Mexia,36458,Butler,Alabama
Anniston,36201,Calhoun,Alabama
Anniston,36202,Calhoun,Alabama
Oxford,36203,Calhoun,Alabama
Anniston,36204,Calhoun,Alabama
Anniston,36205,Calhoun,Alabama
Anniston,36206,Calhoun,Alabama
Anniston,36207,Calhoun,Alabama
Anniston,36210,Calhoun,Alabama
Alexandria,36250,Calhoun,Alabama
Eastaboga,36260,Calhoun,Alabama
Edwardsville,36261,Calhoun,Alabama
Jacksonville,36265,Calhoun,Alabama
Ohatchee,36271,Calhoun,Alabama
Weaver,36277,Calhoun,Alabama
Wellington,36279,Calhoun,Alabama
Valley,36854,Chambers,Alabama
Five Points,36855,Chambers,Alabama
Lafayette,36862,Chambers,Alabama
Lanett,36863,Chambers,Alabama
Cedar Bluff,35959,Cherokee,Alabama
Centre,35960,Cherokee,Alabama
Collinsville,35961,Cherokee,Alabama
Gaylesville,35973,Cherokee,Alabama
Leesburg,35983,Cherokee,Alabama
Clanton,35045,Chilton,Alabama
Clanton,35046,Chilton,Alabama
Clay,35048,Chilton,Alabama
Jemison,35085,Chilton,Alabama
Thorsby,35171,Chilton,Alabama
Maplesville,36750,Chilton,Alabama
Stanton,36790,Chilton,Alabama
Butler,36904,Choctaw,Alabama
Gilbertown,36908,Choctaw,Alabama
Jachin,36910,Choctaw,Alabama
Lisman,36912,Choctaw,Alabama
Melvin,36913,Choctaw,Alabama
Needham,36915,Choctaw,Alabama
Pennington,36916,Choctaw,Alabama
Silas,36919,Choctaw,Alabama
Toxey,36921,Choctaw,Alabama
Ward,36922,Choctaw,Alabama
Dickinson,36436,Clarke,Alabama
Fulton,36446,Clarke,Alabama
Goodway,36449,Clarke,Alabama
Grove Hill,36451,Clarke,Alabama
Whatley,36482,Clarke,Alabama
Coffeeville,36524,Clarke,Alabama
Gainestown,36540,Clarke,Alabama
Jackson,36545,Clarke,Alabama
Gulf Shores,36547,Clarke,Alabama
Campbell,36727,Clarke,Alabama
Lower Peach Tree,36751,Clarke,Alabama
Thomasville,36784,Clarke,Alabama
Hollins,35082,Clay,Alabama
Ashland,36251,Clay,Alabama
Bynum,36253,Clay,Alabama
Choccolocco,36254,Clay,Alabama
Cragford,36255,Clay,Alabama
Delta,36258,Clay,Alabama
Lineville,36266,Clay,Alabama
Millerville,36267,Clay,Alabama
Fruithurst,36262,Cleburne,Alabama
Heflin,36264,Cleburne,Alabama
Muscadine,36269,Cleburne,Alabama
Ranburne,36273,Cleburne,Alabama
Ariton,36311,Coffee,Alabama
Elba,36323,Coffee,Alabama
Enterprise,36330,Coffee,Alabama
Enterprise,36331,Coffee,Alabama
Jack,36346,Coffee,Alabama
Malvern,36349,Coffee,Alabama
New Brockton,36351,Coffee,Alabama
Kinston,36453,Coffee,Alabama
Cherokee,35616,Colbert,Alabama
Cloverdale,35617,Colbert,Alabama
Leighton,35646,Colbert,Alabama
Sheffield,35660,Colbert,Alabama
Muscle Shoals,35661,Colbert,Alabama
Muscle Shoals,35662,Colbert,Alabama
Tuscumbia,35674,Colbert,Alabama
Evergreen,36401,Conecuh,Alabama
Castleberry,36432,Conecuh,Alabama
Lenox,36454,Conecuh,Alabama
Range,36473,Conecuh,Alabama
Repton,36475,Conecuh,Alabama
Goodwater,35072,Coosa,Alabama
Kellyton,35089,Coosa,Alabama
Rockford,35136,Coosa,Alabama
Saginaw,35137,Coosa,Alabama
Weogufka,35183,Coosa,Alabama
Equality,36026,Coosa,Alabama
Dozier,36028,Covington,Alabama
Gantt,36038,Covington,Alabama
Andalusia,36420,Covington,Alabama
Andalusia,36421,Covington,Alabama
Florala,36442,Covington,Alabama
Lockhart,36455,Covington,Alabama
Opp,36467,Covington,Alabama
Red Level,36474,Covington,Alabama
River Falls,36476,Covington,Alabama
Wing,36483,Covington,Alabama
Jackson,36501,Covington,Alabama
Brantley,36009,Crenshaw,Alabama
Highland Home,36041,Crenshaw,Alabama
Honoraville,36042,Crenshaw,Alabama
Lapine,36046,Crenshaw,Alabama
Luverne,36049,Crenshaw,Alabama
Rutledge,36071,Crenshaw,Alabama
Eufaula,36072,Crenshaw,Alabama
Baileyton,35019,Cullman,Alabama
Bremen,35033,Cullman,Alabama
Crane Hill,35053,Cullman,Alabama
Cullman,35055,Cullman,Alabama
Cullman,35056,Cullman,Alabama
Cullman,35057,Cullman,Alabama
