SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-16-2021,Condo/Co-op,255 Winter St #111,Waltham,MA,2451,605000,2,2.5,Waltham,1314,,2009,,460,502,Sold,,,https://www.redfin.com/MA/Waltham/255-Winter-St-02451/unit-111/home/39584757,MLS PIN,72914176,N,Y,42.3990121,-71.2529845
PAST SALE,July-9-2021,Townhouse,47 Alder St #25,Waltham,MA,2453,560000,2,1.5,Waltham,1228,,2004,,456,390,Sold,,,https://www.redfin.com/MA/Waltham/47-Alder-St-02453/unit-25/home/11822522,MLS PIN,72840471,N,Y,42.3665772,-71.2353152
PAST SALE,June-25-2019,Condo/Co-op,81 Ash St #1,Waltham,MA,2453,470000,2,1,Waltham,1103,,1900,,426,268,Sold,,,https://www.redfin.com/MA/Waltham/81-Ash-St-02453/unit-1/home/40185488,MLS PIN,72501987,N,Y,42.3659035,-71.2394408
PAST SALE,April-27-2021,Single Family Residential,45 Mokema Ave,Waltham,MA,2451,480000,2,1,Waltham,954,4948,1950,,503,,Sold,,,https://www.redfin.com/MA/Waltham/45-Mokema-Ave-02451/home/11802639,MLS PIN,72796088,N,Y,42.4043232,-71.247259
PAST SALE,June-30-2021,Townhouse,136 Clark St #2,Waltham,MA,2453,810000,3,2.5,Waltham,2300,,2019,,352,200,Sold,,,https://www.redfin.com/MA/Waltham/136-Clark-St-02453/unit-2/home/174882828,MLS PIN,72834272,N,Y,42.3738982,-71.2216405
PAST SALE,November-22-2022,Condo/Co-op,28 Robbins St #4,Waltham,MA,2453,460000,2,1,Waltham,914,,1900,,503,262,Sold,,,https://www.redfin.com/MA/Waltham/28-Robbins-St-02453/unit-4/home/11821978,MLS PIN,73050370,N,Y,42.3652616,-71.2423748
PAST SALE,June-15-2022,Condo/Co-op,87 Ash St Unit 2-2,Waltham,MA,2453,555000,2,1,Waltham,955,,1900,,581,227,Sold,,,https://www.redfin.com/MA/Waltham/87-Ash-St-02453/unit-2-2/home/28675702,MLS PIN,72972163,N,Y,42.3658983,-71.2391994
PAST SALE,May-24-2019,Single Family Residential,14 Albert St,Waltham,MA,2453,580000,3,1,Waltham,1830,6000,1955,,317,,Sold,,,https://www.redfin.com/MA/Waltham/14-Albert-St-02453/home/11818715,MLS PIN,72481480,N,Y,42.3599522,-71.2645641
PAST SALE,June-30-2021,Townhouse,40 Myrtle St #2,Waltham,MA,2453,539000,2,1.5,Waltham,1156,,2002,,466,390,Sold,,,https://www.redfin.com/MA/Waltham/40-Myrtle-St-02453/unit-2/home/11822132,MLS PIN,72835682,N,Y,42.3661391,-71.2352704
PAST SALE,February-28-2022,Single Family Residential,50 Leonard St,Waltham,MA,2451,925000,5,2,Waltham,2253,6534,1910,,411,,Sold,,,https://www.redfin.com/MA/Waltham/50-Leonard-St-02451/home/11821048,MLS PIN,72937003,N,Y,42.3835676,-71.245646
PAST SALE,November-5-2020,Single Family Residential,57 Tudor St,Waltham,MA,2451,650000,3,2,Waltham,1500,9017,1950,,433,,Sold,,,https://www.redfin.com/MA/Waltham/57-Tudor-St-02451/home/11799274,MLS PIN,72734884,N,Y,42.4142857,-71.2475839
PAST SALE,July-31-2019,Condo/Co-op,30 Jacqueline Rd Unit F,Waltham,MA,2452,380000,2,1,Waltham,780,,1979,,487,364,Sold,,,https://www.redfin.com/MA/Waltham/30-Jacqueline-Rd-02452/unit-F/home/11800989,MLS PIN,72508428,N,Y,42.4073393,-71.2330587
PAST SALE,May-13-2022,Townhouse,42 Lexington St #1,Waltham,MA,2452,512500,2,1.5,Waltham,1072,,1970,,478,195,Sold,,,https://www.redfin.com/MA/Waltham/42-Lexington-St-02452/unit-1/home/52324474,MLS PIN,72964602,N,Y,42.3778049,-71.2358862
PAST SALE,May-14-2019,Townhouse,47 Alder St #21,Waltham,MA,2453,509000,2,1.5,Waltham,1248,,2005,,408,390,Sold,,,https://www.redfin.com/MA/Waltham/47-Alder-St-02453/unit-21/home/11822952,MLS PIN,72475423,N,Y,42.3665772,-71.2353152
PAST SALE,September-4-2018,Townhouse,30 Russell St #3,Waltham,MA,2453,595000,3,2,Waltham,1589,,2003,,374,200,Sold,,,https://www.redfin.com/MA/Waltham/30-Russell-St-02453/unit-3/home/11822057,MLS PIN,72365293,N,Y,42.3752613,-71.2433144
