feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
112799|Bordshaw Branch|Stream|Alabama|01|Dale|045|Skipperville|12/01/2003|03/26/2020||||313512N|0853053W|31.5867111|-85.5147531|313401N|0853160W|31.5669444|-85.5333333
112830|Reedy Creek|Stream|Florida|12|Escambia|033|Century|10/19/1979|03/31/2020||||305809N|0872209W|30.9690718|-87.3691441|310121N|0872226W|31.0224033|-87.3738668
112832|Lincoln|Populated Place|Alabama|01|Talladega|121|Eastaboga|09/04/1980|06/07/2022||||333647N|0860706W|33.6131588|-86.1183061|||0.0|0.0
112833|Bear Creek|Stream|Alabama|01|Sumter|119|Livingston|09/04/1980|03/26/2020||||323052N|0881421W|32.514331|-88.2390449|323242N|0882050W|32.5449279|-88.3473177
112834|Beaverdam Creek|Stream|Alabama|01|Coffee|031|Ozark|09/04/1980|03/26/2020||||312927N|0854349W|31.4907234|-85.7302165|313129N|0854810W|31.5247368|-85.802785
112835|Beckworth Branch|Stream|Alabama|01|Cullman|043|Holly Pond|09/04/1980|03/26/2020||||341222N|0863308W|34.2060535|-86.5521118|341703N|0863535W|34.2841749|-86.593155
112836|Blacks Mill Creek|Stream|Alabama|01|Dale|045|Ozark|09/04/1980|03/26/2020||||312238N|0854447W|31.3772123|-85.746465|312754N|0854643W|31.4649408|-85.7784932
112837|Wheeler Lake|Reservoir|Alabama|01|Limestone|083|Jones Crossroads|09/04/1980|03/03/2021||||344010N|0870250W|34.6694685|-87.0472474|||0.0|0.0
112838|Blue Spring|Spring|Alabama|01|Madison|089|Meridianville|09/04/1980|03/11/2020||||344710N|0863538W|34.7862278|-86.5938821|||0.0|0.0
112840|Borrow Creek|Stream|Alabama|01|Mobile|097|Stiggins Lake|09/04/1980|03/26/2020||||310646N|0875824W|31.1128444|-87.9733835|310758N|0880506W|31.1326554|-88.0849902
112841|Buck Branch|Stream|Alabama|01|Randolph|111|Wadley North|09/04/1980|03/26/2020||||331430N|0853235W|33.2416676|-85.542983|331617N|0853218W|33.2714537|-85.5382086
