feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
45732|Barren Fork|Stream|Arkansas|05|Sharp|135|Sandtown|04/30/1980|||||355735N|0914227W|35.9597945|-91.7073647|355939N|0914657W|35.9942381|-91.7823672
45733|Big Cypress Creek|Stream|Arkansas|05|Lee|077|Rondo|04/30/1980|||||343757N|0904517W|34.6325993|-90.7548336|344808N|0905032W|34.8023186|-90.842336
45734|Big Gum Lateral|Canal|Arkansas|05|Greene|055|Delaplaine|04/30/1980|||||361424N|0903833W|36.240065|-90.6426108|||0.0|0.0
45735|Byrd Hollow|Valley|Arkansas|05|Randolph|121|Ravenden Springs|04/30/1980|||||362146N|0911420W|36.362843|-91.2390203|362153N|0911507W|36.3647874|-91.2520763
45736|Blakes Branch|Stream|Arkansas|05|Sharp|135|Poughkeepsie|04/30/1980|||||360654N|0912443W|36.1150699|-91.4120795|361048N|0912705W|36.1800687|-91.4515257
45737|Carrollton Hollow|Valley|Arkansas|05|Boone|009|Diamond City|04/30/1980|||||362554N|0925619W|36.431734|-92.9385066|362554N|0930109W|36.4317341|-93.0190643
45738|Cherry Valley Creek|Stream|Arkansas|05|Cross|037|Cherry Valley East|04/30/1980|||||352416N|0904459W|35.4045286|-90.7498347|352415N|0904239W|35.4041667|-90.7108333
45739|Cypress Creek|Stream|Arkansas|05|Union|139|Harrell Brake|04/30/1980|||||331657N|0922805W|33.282625|-92.4679256|331500N|0922704W|33.25|-92.4511111
45740|Joe Branch|Stream|Arkansas|05|Randolph|121|Ravenden Springs|04/30/1980|||||362019N|0911428W|36.3386768|-91.2412425|362141N|0911625W|36.3614541|-91.2737436
45741|Dry Creek|Stream|Arkansas|05|Saline|125|Bryant|04/30/1980|||||343448N|0922231W|34.5800935|-92.375154|343353N|0922438W|34.5647222|-92.4105556
45742|Eight Mile Creek|Stream|Arkansas|05|Jackson|067|Tupelo|04/30/1980|||||352606N|0910827W|35.4350831|-91.140957|352932N|0910600W|35.4923042|-91.1001227
45743|Fletcher Branch|Stream|Arkansas|05|Independence|063|Pleasant Plains|04/30/1980|||||353300N|0914443W|35.5500793|-91.7451412|353327N|0914609W|35.5575791|-91.7690308
45744|Fletchers Branch|Stream|Arkansas|05|Arkansas|001|Tichnor|04/30/1980|||||341056N|0911614W|34.1823232|-91.2706741|341257N|0911438W|34.2159344|-91.2440071
45745|Harefarm Creek|Stream|Arkansas|05|Cross|037|Wittsburg|04/30/1980|||||351453N|0904105W|35.2481438|-90.6848322|351652N|0904348W|35.2811986|-90.7301116
45746|Hogpen Creek|Stream|Arkansas|05|Ashley|003|Eudora NW|04/30/1980|||||330949N|0912912W|33.1637324|-91.4867859|331358N|0913041W|33.2328973|-91.5115095
45747|Hollow Branch|Stream|Arkansas|05|Poinsett|111|Powers Slough|04/30/1980|||||353515N|0904701W|35.58758|-90.7837251|353453N|0904228W|35.5814691|-90.7078895
45748|Hudson Branch|Stream|Arkansas|05|Lonoke|085|Beebe|04/30/1980||Official|Board Decision|01/01/1963|350024N|0915829W|35.0067539|-91.9745883|345925N|0920135W|34.9903652|-92.0262562
45749|North Lapile Creek|Stream|Arkansas|05|Union|139|New London|04/30/1980|||||330731N|0922126W|33.1254059|-92.3570871|330825N|0922234W|33.1404058|-92.3759767
45750|Lead Mine Creek|Stream|Arkansas|05|Boone|009|Diamond City|04/30/1980|||||362426N|0925730W|36.4072901|-92.9582293|362537N|0930132W|36.4270119|-93.0254533
45751|Lemon Creek|Stream|Arkansas|05|Union|139|Wesson SW|04/30/1980|||||330459N|0925348W|33.0831921|-92.8965498|330630N|0925229W|33.1084686|-92.8746053
45752|Lick Pond Slough|Stream|Arkansas|05|Lawrence|075|Alicia|04/30/1980|||||355243N|0910451W|35.8786853|-91.080957|355945N|0905537W|35.9959048|-90.9270633
45753|Lindseys Creek|Stream|Arkansas|05|Lawrence|075|Podo Creek|04/30/1980|||||355637N|0905707W|35.9436838|-90.952064|360334N|0905456W|36.0595146|-90.9156745
45754|Maple Slough|Stream|Arkansas|05|Lawrence|075|Podo Creek|04/30/1980|||||355945N|0905537W|35.9959048|-90.9270633|360019N|0905406W|36.005349|-90.9017849
