feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
1388627|Etena|Populated Place|American Samoa|60|Swains Island|040||02/06/1981|04/29/2019||||110319S|1710426W|-11.0552778|-171.0738889|||0.0|0.0
1388628|Fala Ane Point|Cape|American Samoa|60|Swains Island|040||02/06/1981|||||110304S|1710515W|-11.0511111|-171.0875|||0.0|0.0
1388629|Rose Island|Island|American Samoa|60|Rose Island|030||02/06/1981|02/16/2010|Official|Board Decision|05/12/1977|143251S|1680829W|-14.5475|-168.1413889|||0.0|0.0
1388631|Sand Island|Island|American Samoa|60|Rose Island|030||02/06/1981|||||143215S|1680856W|-14.5375|-168.1488889|||0.0|0.0
1388632|South Pacific Ocean|Sea|American Samoa|60|Western|050|Tutuila Island|02/06/1981|02/25/2020||||142104S|1704146W|-14.3509799|-170.6961384|||0.0|0.0
1388633|Swains Island|Island|American Samoa|60|Swains Island|040||02/06/1981|03/22/2011|Official|Board Decision|04/12/1957|110311S|1710457W|-11.0530556|-171.0825|||0.0|0.0
1388634|Taulaga|Populated Place|American Samoa|60|Swains Island|040||02/06/1981|06/07/2022||||110319S|1710518W|-11.0552778|-171.0883333|||0.0|0.0
1388635|Aasu|Populated Place|American Samoa|60|Western|050|Tutuila Island OE W|02/06/1981|06/07/2022||||141751S|1704530W|-14.2975|-170.7583333|||0.0|0.0
1388636|Aasu Stream|Stream|American Samoa|60|Western|050|Tutuila Island OE W|02/06/1981|||||141749S|1704531W|-14.2969444|-170.7586111|141749S|1704531W|-14.2969444|-170.7586111
1388637|Afao|Populated Place|American Samoa|60|Western|050|Tutuila Island OE W|02/06/1981|06/07/2022||||142012S|1704757W|-14.3366667|-170.7991667|||0.0|0.0
1388638|Afimuao Ridge|Ridge|American Samoa|60|Eastern|010|Tutuila Island OE E|02/06/1981|||||141544S|1703455W|-14.2622222|-170.5819444|||0.0|0.0
1388639|Afimuao Stream|Stream|American Samoa|60|Eastern|010|Tutuila Island OE NE|02/06/1981|||||141524S|1703454W|-14.2566667|-170.5816667|141524S|1703454W|-14.2566667|-170.5816667
1388640|Āfono|Populated Place|American Samoa|60|Eastern|010|Tutuila Island|02/06/1981|06/07/2022||||141551S|1703903W|-14.2641667|-170.6508333|||0.0|0.0
1388641|Āfono Bay|Bay|American Samoa|60|Eastern|010|Tutuila Island OE N|02/06/1981|08/02/2009||||141524S|1703856W|-14.2566667|-170.6488889|||0.0|0.0
1388642|Afu Stream|Stream|American Samoa|60|Eastern|010|Tutuila Island|02/06/1981|||||141824S|1704116W|-14.3066667|-170.6877778|141824S|1704116W|-14.3066667|-170.6877778
