feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
205022|Howells Brook|Stream|Connecticut|09|Northwest Hills|160|Tolland Center|09/12/1979|02/08/2021|Official|Board Decision|01/01/1975|420019N|0730025W|42.0052371|-73.0070752|420207N|0725959W|42.0353932|-72.9997591
205023|Long Meadow Pond Brook|Stream|Connecticut|09|Naugatuck Valley|140|Naugatuck|09/12/1979|||||412910N|0730317W|41.4862077|-73.0548301|413144N|0730826W|41.5289852|-73.1406667
205024|Marshall Lake Brook|Stream|Connecticut|09|Northwest Hills|160|West Torrington|09/12/1979|||||415113N|0730919W|41.8537069|-73.1553894|415309N|0730912W|41.8859287|-73.1534448
205025|Rockhouse Hill|Summit|Connecticut|09|Naugatuck Valley|140|Southbury|09/12/1979|03/21/2023||||412307N|0730821W|41.3853819|-73.1391928|||0.0|0.0
205026|Tatnic Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Plainfield|09/12/1979|||||414355N|0715716W|41.7320431|-71.9545181|414552N|0720021W|41.7645429|-72.005908
205027|Wachocastinook Creek|Stream|Connecticut|09|Northwest Hills|160|Sharon|09/12/1979||Official|Board Decision|01/01/1903|415827N|0732436W|41.9742595|-73.4101204|420020N|0732807W|42.0056478|-73.468733
205028|West Branch Reservoir|Reservoir|Connecticut|09|Northwest Hills|160|Winsted|09/12/1979|03/29/2023|Official|Board Decision|01/01/1973|415948N|0730133W|41.9967579|-73.0259142|||0.0|0.0
205029|Abbey Brook|Stream|Connecticut|09|Capitol|110|Ellington|09/12/1979|||||415850N|0722829W|41.9806522|-72.4748071|415645N|0722729W|41.9458333|-72.4580556
205030|Abbotts Pond|Lake|Connecticut|09|Naugatuck Valley|140|Waterbury|09/12/1979|03/30/2023||||413237N|0730640W|41.5435738|-73.1111947|||0.0|0.0
205033|Abington|Populated Place|Connecticut|09|Northeastern Connecticut|150|Hampton|09/12/1979|06/07/2022||||415138N|0720024W|41.8606534|-72.0067411|||0.0|0.0
205034|Abington Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Danielson|09/12/1979|||||415209N|0715945W|41.8692645|-71.9959076|415135N|0720029W|41.85982|-72.0081301
205035|Aborn Brook|Stream|Connecticut|09|Capitol|110|Stafford Springs|09/12/1979|||||415556N|0722207W|41.9323191|-72.3686931|415528N|0722111W|41.9244444|-72.3530556
205036|Above All|Summit|Connecticut|09|Northwest Hills|160|New Preston|09/12/1979|03/21/2023||||414337N|0732110W|41.7270313|-73.3528958|||0.0|0.0
205038|Academy Hill|Summit|Connecticut|09|Greater Bridgeport|120|Bridgeport|09/12/1979|||||411019N|0730737W|41.1720416|-73.1270536|||0.0|0.0
205040|Acme Pond|Lake|Connecticut|09|Northeastern Connecticut|150|East Killingly|09/12/1979|03/29/2023||||415046N|0714903W|41.8461994|-71.8174567|||0.0|0.0
205041|Adams Brook|Stream|Connecticut|09|Southeastern Connecticut|180|Scotland|09/12/1979|||||413746N|0720329W|41.6295428|-72.0581317|413832N|0720501W|41.6422222|-72.0836111
205042|Adams Brook|Stream|Connecticut|09|Northwest Hills|160|South Canaan|09/12/1979|||||415321N|0732126W|41.8892607|-73.3573412|415357N|0732037W|41.8991667|-73.3436111
205044|Adams Fall|Bar|Connecticut|09|South Central Connecticut|170|Woodmont|09/12/1979|05/12/2014|Official|Board Decision|02/02/1891|411437N|0725438W|41.2437082|-72.910657|||0.0|0.0
205045|Adder Reservoir|Reservoir|Connecticut|09|Lower Connecticut River Valley|130|Middletown|09/12/1979|03/29/2023||||413257N|0724356W|41.5491018|-72.7321365|||0.0|0.0
205046|Addison|Populated Place|Connecticut|09|Capitol|110|Glastonbury|09/12/1979|06/07/2022||||414306N|0723436W|41.7184328|-72.5767558|||0.0|0.0
205047|Addison Pond|Reservoir|Connecticut|09|Capitol|110|Glastonbury|09/12/1979|03/29/2023||||414314N|0723435W|41.7205423|-72.5764236|||0.0|0.0
205048|Adds Brook|Stream|Connecticut|09|Capitol|110|Windsor Locks|09/12/1979|||||415531N|0723740W|41.9253751|-72.6278679|415527N|0723853W|41.9241667|-72.6480556
205053|Alden Brook|Stream|Connecticut|09|Capitol|110|Stafford Springs|09/12/1979|07/08/2015||||415927N|0721705W|41.9907383|-72.2846754|420153N|0721643W|42.0314844|-72.2786907
205054|Alder Swamp|Swamp|Connecticut|09|Naugatuck Valley|140|Woodbury|09/12/1979|03/30/2023||||413340N|0731227W|41.5609751|-73.2074014|||0.0|0.0
205056|Aldrich Pond|Lake|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|03/29/2023||||415429N|0715132W|41.908057|-71.8588428|||0.0|0.0
205057|Alewife Cove|Bay|Connecticut|09|Southeastern Connecticut|180|New London|09/12/1979|||||411856N|0720608W|41.3156539|-72.1022984|||0.0|0.0
205058|Alexander Lake|Lake|Connecticut|09|Northeastern Connecticut|150|Danielson|09/12/1979|03/29/2023||||415133N|0715405W|41.8590471|-71.9013196|||0.0|0.0
205059|Alexander Pond|Lake|Connecticut|09|Lower Connecticut River Valley|130|Hamburg|09/12/1979|03/29/2023||||412944N|0721943W|41.4955038|-72.328721|||0.0|0.0
205060|Mount Algo|Summit|Connecticut|09|Northwest Hills|160|Kent|09/12/1979|03/21/2023||||414323N|0732934W|41.7230135|-73.49279|||0.0|0.0
