feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
528562|Bald Eagle Hill|Summit|District of Columbia|11|District of Columbia|001|Alexandria|12/18/1979|06/13/2018||||384913N|0770037W|38.8202341|-77.0102514|||0.0|0.0
528563|Barnaby Terrace|Populated Place|District of Columbia|11|District of Columbia|000|Anacostia|12/18/1979|06/07/2022||||385000N|0765921W|38.8334463|-76.989142|||0.0|0.0
528564|Barnaby Woods|Populated Place|District of Columbia|11|District of Columbia|000|Washington West||06/07/2022||||385829N|0770335W|38.9748326|-77.0596997|||0.0|0.0
528567|Benning Heights|Populated Place|District of Columbia|11|District of Columbia|000|Washington East|12/18/1979|06/07/2022||||385254N|0765610W|38.8817789|-76.9360852|||0.0|0.0
528569|Boundary Channel|Channel|District of Columbia|11|District of Columbia|001|Washington West|12/18/1979||Official|Board Decision|01/01/1920|385249N|0770319W|38.8803898|-77.0552551|||0.0|0.0
528571|Brightwood Park|Populated Place|District of Columbia|11|District of Columbia|000|Washington West|12/18/1979|06/07/2022||||385725N|0770130W|38.9570551|-77.0249767|||0.0|0.0
528572|Broad Branch|Stream|District of Columbia|11|District of Columbia|001|Washington West|12/18/1979|||||385638N|0770256W|38.9439998|-77.0488661|385721N|0770406W|38.9558333|-77.0683333
528576|Burleith|Populated Place|District of Columbia|11|District of Columbia|000|Washington West|12/18/1979|06/07/2022||||385455N|0770421W|38.9153892|-77.0724777|||0.0|0.0
528577|Camp Simms (historical)|Military|District of Columbia|11|District of Columbia|001|Anacostia|01/01/2000|05/31/2022||||385039N|0765852W|38.8441667|-76.9811111|||0.0|0.0
528578|Colonial Village|Populated Place|District of Columbia|11|District of Columbia|000|Washington West|12/18/1979|06/07/2022||||385933N|0770224W|38.9926101|-77.0399771|||0.0|0.0
528580|Congress Heights|Populated Place|District of Columbia|11|District of Columbia|000|Alexandria|12/18/1979|06/07/2022||||385034N|0770001W|38.8428906|-77.0002535|||0.0|0.0
528582|Congress Park|Populated Place|District of Columbia|11|District of Columbia|000|Anacostia|12/18/1979|06/07/2022||||385028N|0765927W|38.8412239|-76.9908088|||0.0|0.0
