feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
213542|Bright Haines Glade Branch|Stream|Delaware|10|Kent|001|Burrsville|08/02/1979|||||385307N|0753826W|38.8853913|-75.6404833|385441N|0753536W|38.9115023|-75.5932594
213543|Collins Pond|Reservoir|Delaware|10|Sussex|005|Seaford East|08/02/1979|12/17/2018||||384246N|0753046W|38.7128876|-75.5126788|||0.0|0.0
213544|Cow Bridge Branch|Stream|Delaware|10|Sussex|005|Millsboro|08/02/1979||Official|Board Decision|01/01/1965|383621N|0751754W|38.6059467|-75.2982465|383822N|0751858W|38.6395577|-75.3160251
213545|Draper-Bennet Ditch|Canal|Delaware|10|Sussex|005|Mispillion River|08/02/1979|||||385237N|0751756W|38.8770569|-75.298802|||0.0|0.0
213547|Savannah Ditch|Stream|Delaware|10|Sussex|005|Harbeson|08/02/1979|||||384306N|0752229W|38.7184464|-75.374639|384157N|0752252W|38.69928|-75.3810282
213548|Abbotts Pond|Reservoir|Delaware|10|Sussex|005|Milford|08/02/1979|05/19/2023||||385260N|0752836W|38.8832748|-75.4766175|||0.0|0.0
213549|Agricultural Ditch|Stream|Delaware|10|Sussex|005|Selbyville|08/02/1979||Official|Board Decision|01/01/1965|382932N|0750744W|38.4923349|-75.1287952|383037N|0751039W|38.5103908|-75.1774083
213550|Ake Ditch|Stream|Delaware|10|Sussex|005|Seaford East|08/02/1979|||||384311N|0753342W|38.7198361|-75.561592|384321N|0753604W|38.7225|-75.6011111
213551|Alapocas Run|Stream|Delaware|10|New Castle|003|Wilmington North|08/02/1979||Official|Board Decision|01/01/1959|394607N|0753332W|39.768724|-75.5588125|394650N|0753248W|39.7805556|-75.5466667
213555|Allabands Mill Stream|Stream|Delaware|10|Kent|001|Wyoming|08/02/1979|||||390655N|0753614W|39.1153903|-75.6038155|390541N|0753630W|39.0947222|-75.6083333
213557|Alms House Ditch|Stream|Delaware|10|Sussex|005|Harbeson|08/02/1979|||||383824N|0752103W|38.6401135|-75.3507489|384026N|0752343W|38.6740025|-75.3951956
213558|Almshouse Branch|Stream|Delaware|10|Kent|001|Wyoming|08/02/1979|||||390722N|0753509W|39.1228903|-75.5857593|390508N|0753555W|39.0855556|-75.5986111
213559|Alston Branch|Stream|Delaware|10|Kent|001|Dover|08/02/1979|||||391435N|0753418W|39.2431674|-75.5715925|391315N|0753543W|39.2208333|-75.5952778
213560|Alvin Point|Cape|Delaware|10|Sussex|005|Frankford|08/02/1979|||||383359N|0751202W|38.5665019|-75.2004645|||0.0|0.0
213561|Andrews Lake|Reservoir|Delaware|10|Kent|001|Wyoming|08/02/1979|05/19/2023||||390125N|0753047W|39.02355|-75.5131467|||0.0|0.0
213562|Angle Rod Creek|Stream|Delaware|10|New Castle|003|Taylors Bridge|08/02/1979|||||392601N|0753341W|39.4337231|-75.5613143|392515N|0753428W|39.4208333|-75.5744444
213563|Anglesey|Populated Place|Delaware|10|New Castle|003|Wilmington North|08/02/1979|06/07/2022||||394532N|0753658W|39.7590015|-75.6160382|||0.0|0.0
213566|Angola Neck|Cape|Delaware|10|Sussex|005|Fairmount|08/02/1979|||||383959N|0750847W|38.6665012|-75.146295|||0.0|0.0
213568|Appoquinimink River|Stream|Delaware|10|New Castle|003|Taylors Bridge|08/02/1979|07/09/2014|Official|Board Decision|01/01/1950|392652N|0753449W|39.4478898|-75.580204|392252N|0754414W|39.3812224|-75.7371547
213569|Arden|Populated Place|Delaware|10|New Castle|003|Marcus Hook|08/02/1979|06/07/2022|Official|Board Decision|01/01/1980|394833N|0752912W|39.8092794|-75.4865866|||0.0|0.0
213571|Argo Corners|Populated Place|Delaware|10|Sussex|005|Milton|08/02/1979|01/14/2020||||385217N|0752044W|38.8715016|-75.3454709|||0.0|0.0
213572|Army Creek|Stream|Delaware|10|New Castle|003|Wilmington South|08/02/1979||Official|Board Decision|01/01/1964|393905N|0753514W|39.6515015|-75.5871477|393804N|0753834W|39.6345566|-75.6427065
213573|Arnell Creek|Stream|Delaware|10|Sussex|005|Fairmount|08/02/1979||Official|Board Decision|01/01/1961|384124N|0750806W|38.6901122|-75.1349055|384255N|0750819W|38.7152778|-75.1386111
213574|Arrowhead Point|Cape|Delaware|10|Sussex|005|Fairmount|08/02/1979|||||383856N|0750737W|38.6490012|-75.1268497|||0.0|0.0
213575|Artificial Island|Island|Delaware|10|New Castle|003|Taylors Bridge|08/02/1979|||||392957N|0753223W|39.4992788|-75.5396466|||0.0|0.0
213578|Ash Gut|Stream|Delaware|10|Kent|001|Milford|08/02/1979|||||385942N|0752814W|38.9951128|-75.4704766|390045N|0752952W|39.0126128|-75.4977001
213579|Asketum Branch|Stream|Delaware|10|Sussex|005|Trap Pond|08/02/1979|||||383724N|0752841W|38.6234477|-75.477977|383601N|0752610W|38.6002778|-75.4361111
213580|Assawoman Canal|Canal|Delaware|10|Sussex|005|Bethany Beach|08/02/1979|||||383208N|0750433W|38.5356677|-75.0757371|||0.0|0.0
213582|Augustine Creek|Stream|Delaware|10|New Castle|003|Taylors Bridge|08/02/1979||Official|Board Decision|01/01/1950|392944N|0753513W|39.4956676|-75.5868708|393006N|0753932W|39.5017786|-75.6588184
213583|Aydelotte Point|Cape|Delaware|10|Sussex|005|Frankford|08/02/1979|||||383431N|0751022W|38.5753906|-75.1726855|||0.0|0.0
213584|Back Creek|Stream|Maryland|24|Cecil|015|North East|08/02/1979|11/04/2010||||393100N|0755309W|39.516781|-75.8857742|393035N|0754310W|39.509834|-75.7193765
213585|Bacon and Kenney Ditch|Canal|Delaware|10|Sussex|005|Laurel|08/02/1979|||||383032N|0753535W|38.5090045|-75.5929815|||0.0|0.0
213586|Bacon Island Creek|Stream|Delaware|10|Sussex|005|Rehoboth Beach|08/02/1979|||||383824N|0750453W|38.6401121|-75.0812923|383832N|0750409W|38.6422222|-75.0691667
213587|Baker and West Ditch|Canal|Delaware|10|Sussex|005|Trap Pond|08/02/1979|||||383016N|0752935W|38.5045598|-75.492977|||0.0|0.0
213588|Baker Mill Branch|Stream|Delaware|10|Sussex|005|Seaford East|08/02/1979|||||383832N|0753232W|38.6423367|-75.5421465|383728N|0753121W|38.624559|-75.5224235
213589|Bald Cypress Branch|Stream|Delaware|10|Sussex|005|Whaleyville|08/02/1979|07/17/2014||||382756N|0752050W|38.4656704|-75.3471377|383059N|0752413W|38.5165036|-75.4035289
213590|Bald Eagle Creek|Stream|Delaware|10|Sussex|005|Rehoboth Beach|08/02/1979|04/30/2020||||384127N|0750620W|38.6909282|-75.1055025|384214N|0750617W|38.703805|-75.1047659
213591|Bald Eagle Point|Cape|Delaware|10|Kent|001|Dover|07/01/1982|||||391306N|0753134W|39.2184455|-75.5260352|||0.0|0.0
213592|Balders Pond|Lake|Delaware|10|Sussex|005|Bethany Beach|08/02/1979|03/20/2019||||383657N|0750429W|38.6157762|-75.0746556|||0.0|0.0
213593|Ballast Point|Cape|Delaware|10|Sussex|005|Frankford|08/02/1979|||||383351N|0751144W|38.5642797|-75.1954643|||0.0|0.0
213594|Ballast Point|Cape|Delaware|10|Sussex|005|Frankford|08/02/1979|||||383518N|0751357W|38.5884464|-75.2324103|||0.0|0.0
213596|Banks-Bennett Ditch|Canal|Delaware|10|Sussex|005|Bethany Beach|08/02/1979|||||383213N|0750610W|38.5370567|-75.1026828|||0.0|0.0
