feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
113047|Alpine Creek|Stream|Alabama|01|Cherokee|019|Lyerly|09/04/1980|03/26/2020||||342623N|0852946W|34.4397098|-85.49621|342941N|0852541W|34.4947567|-85.4279962
113325|Back Valley|Valley|Alabama|01|Cherokee|019|Chattoogaville|09/04/1980|03/02/2017||||341931N|0852947W|34.325328|-85.4962592|342435N|0852549W|34.4097457|-85.4302675
113326|Back Valley Ridge|Ridge|Alabama|01|Cherokee|019|Chattoogaville|09/04/1980|01/26/2017||||342124N|0852842W|34.3566847|-85.4783065|||0.0|0.0
115078|Bryans Creek|Stream|Alabama|01|Houston|069|Saffold|09/04/1980|03/31/2020||||310303N|0850039W|31.0508471|-85.010852|310345N|0850719W|31.0623932|-85.1219719
115687|Castle Rock Gulf|Valley|Georgia|13|Dade|083|New Home|09/04/1980|03/02/2017||||345713N|0853429W|34.9535523|-85.5748265|345721N|0853603W|34.9557691|-85.6009258
117439|Dove Creek|Stream|Alabama|01|Jackson|071|New Home|09/04/1980|04/17/2020||||345441N|0853531W|34.9113312|-85.5918719|345552N|0853617W|34.9310827|-85.6047438
117506|Dry Branch|Stream|Alabama|01|Cherokee|019|Lyerly|09/04/1980|04/17/2020||||342715N|0852959W|34.4540762|-85.4996481|342856N|0852855W|34.482212|-85.4820367
120114|Hillabahatchee Creek|Stream|Georgia|13|Heard|149|Hillcrest|09/25/1979|04/29/2020||||331456N|0850638W|33.2488471|-85.1105455|332057N|0851721W|33.3492922|-85.2892326
120240|Holland Creek|Stream|Alabama|01|Cleburne|029|Tallapoosa South|09/04/1980|04/29/2020||||333912N|0852045W|33.6534139|-85.3458848|333825N|0851856W|33.6401463|-85.3156751
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
121083|Kanady Creek|Stream|Alabama|01|Cherokee|019|Melson|09/04/1980|05/08/2020||||340930N|0852755W|34.1583783|-85.4653874|340736N|0852522W|34.1266217|-85.4228582
121111|Kelley Creek|Stream|Alabama|01|Cleburne|029|Tallapoosa South|09/04/1980|05/08/2020||||334020N|0852047W|33.6721526|-85.3462518|333901N|0851752W|33.6501538|-85.2976636
123545|Mud Creek|Stream|Alabama|01|Cherokee|019|Melson|09/04/1980|08/18/2020||||341043N|0852902W|34.1786533|-85.4838728|340715N|0852453W|34.1209449|-85.4147362
124284|Lake Oliver|Reservoir|Georgia|13|Muscogee|215|Smiths Station|09/04/1980|02/15/2019||||323259N|0850154W|32.5496921|-85.0317317|||0.0|0.0
124412|Panther Creek|Stream|Alabama|01|Cherokee|019|Chattoogaville|09/04/1980|09/28/2020||||342012N|0852953W|34.3367211|-85.497979|342309N|0852709W|34.385707|-85.4524538
125543|Reeves Creek|Stream|Alabama|01|Jackson|071|New Home|09/04/1980|07/30/2021||||345350N|0853712W|34.8970927|-85.6200171|345526N|0853444W|34.9240139|-85.5788532
126230|Sal Brown Branch|Stream|Alabama|01|Cherokee|019|Indian Mountain|09/04/1980|||||340019N|0852635W|34.0053778|-85.4430124|340149N|0852413W|34.0302778|-85.4036111
126764|Shinbone Valley|Valley|Alabama|01|Cherokee|019|Little River|09/04/1980|03/01/2017||||341720N|0854020W|34.2887962|-85.6722749|343856N|0852133W|34.6489073|-85.3591175
126786|Shoal Creek|Stream|Alabama|01|Randolph|111|Newell|09/04/1980|03/20/2007||||332640N|0852237W|33.4445571|-85.3768951|332314N|0851702W|33.3872222|-85.2838889
127064|Snake Creek|Stream|Alabama|01|Russell|113|Union|09/04/1980|||||321103N|0845953W|32.1840411|-84.997985|321422N|0850416W|32.239317|-85.0710435
127476|Stroud Creek|Stream|Alabama|01|Chambers|017|Abbottsford|09/04/1980|||||330002N|0851225W|33.0006797|-85.2068873|330528N|0852018W|33.0912327|-85.3382806
127677|Tanyard Branch|Stream|Alabama|01|Randolph|111|Graham|09/04/1980|06/10/2015||||332854N|0851832W|33.4817786|-85.3088382|332721N|0851755W|33.4557577|-85.2987228
128123|Tumlin Creek|Stream|Alabama|01|Cleburne|029|Tallapoosa South|09/04/1980|||||333911N|0852045W|33.653163|-85.3457856|333732N|0851943W|33.6255556|-85.3286111
128414|Vanns Branch|Stream|Alabama|01|Cherokee|019|Chattoogaville|09/04/1980|06/10/2015||||341609N|0852614W|34.2692594|-85.4371803|341654N|0852825W|34.2816667|-85.4736111
128585|Warren Creek|Stream|Alabama|01|Jackson|071|New Home|09/04/1980|06/10/2015||||345714N|0853429W|34.9537912|-85.5746628|345704N|0853833W|34.9511883|-85.642512
128714|Weiss Lake|Reservoir|Alabama|01|Cherokee|019|Centre|09/04/1980|11/16/2018|Official|Board Decision|01/01/1978|341200N|0853751W|34.20005|-85.6309024|||0.0|0.0
129019|Williams Creek|Stream|Alabama|01|Cleburne|029|Tallapoosa South|09/04/1980|06/10/2015||||334059N|0852134W|33.6831622|-85.3593974|333943N|0851711W|33.6618761|-85.2864413
129742|Lake George W. Andrews|Reservoir|Alabama|01|Houston|069|Columbia|12/01/2003|11/28/2008|Official|Congressional Legislation|02/15/1972|311537N|0850636W|31.2601771|-85.1099298|||0.0|0.0
136019|Cave Springs Crossing (historical)|Crossing|Alabama|01|Chambers|017|Lanett South|12/01/2003|01/03/2006||||324545N|0850833W|32.7626313|-85.1424392|||0.0|0.0
147410|McKissacks Ferry (historical)|Crossing|Alabama|01|Henry|067|Columbia NE|12/01/2003|01/03/2006||||312445N|0850430W|31.4123956|-85.074929|||0.0|0.0
150067|Allison Creek|Stream|Alabama|01|DeKalb|049|Trenton|09/04/1980|06/04/2015||||344646N|0853218W|34.7795235|-85.5382984|344537N|0853421W|34.7602579|-85.5724161
150133|Bullard Branch|Stream|Alabama|01|DeKalb|049|Trenton|09/04/1980|06/10/2015||||345121N|0853531W|34.8558333|-85.5919444|344944N|0853419W|34.8289399|-85.5719458
150145|Cannon Branch|Stream|Alabama|01|DeKalb|049|Valley Head|09/04/1980|06/10/2015||||343520N|0853054W|34.5889013|-85.5150839|343600N|0853217W|34.6|-85.5380556
150175|Crawfish Creek|Stream|Alabama|01|DeKalb|049|Trenton|09/04/1980|||||344831N|0853148W|34.8086898|-85.5299646|344600N|0853514W|34.7666667|-85.5872222
150193|Dean Gulf|Valley|Georgia|13|Dade|083|Sulphur Springs|09/04/1980|03/02/2017||||344417N|0853224W|34.7380073|-85.5399718|344427N|0853319W|34.7407944|-85.5552595
150194|Deer Head Cove|Valley|Georgia|13|Dade|083|Trenton|09/04/1980|03/02/2017||||344612N|0853334W|34.7699486|-85.5594394|344545N|0853516W|34.7626018|-85.5877231
150204|Dry Creek|Stream|Alabama|01|DeKalb|049|Sulphur Springs|09/04/1980|07/09/2015||||344313N|0853132W|34.7203577|-85.5255201|343525N|0853836W|34.5903618|-85.6433
150209|Duncan Creek|Stream|Alabama|01|Jackson|071|Trenton|09/04/1980|03/14/2007||||345137N|0853508W|34.8602778|-85.5855556|345328N|0853423W|34.8911111|-85.5730556
150214|East Fork West Fork Little River|Stream|Alabama|01|DeKalb|049|Sulphur Springs|09/04/1980|06/10/2015||||343756N|0853236W|34.6323044|-85.5432973|344052N|0852839W|34.6811963|-85.4773793
150288|Higdon Creek|Stream|Alabama|01|DeKalb|049|Flat Rock|09/04/1980|||||344955N|0853737W|34.8320242|-85.6269125|345207N|0853423W|34.8686899|-85.5730215
150378|Middle Fork Little River|Stream|Alabama|01|DeKalb|049|Valley Head|09/04/1980|||||343133N|0853116W|34.525918|-85.5210731|343519N|0853054W|34.5886111|-85.515
150472|Pudding Ridge|Ridge|Alabama|01|DeKalb|049|Trenton|09/04/1980|02/24/2015||||344659N|0853360W|34.7831685|-85.5666188|||0.0|0.0
150474|Railroad Valley|Valley|Alabama|01|DeKalb|049|Fort Payne|09/04/1980|03/01/2017||||342800N|0854148W|34.466757|-85.6965733|344031N|0853242W|34.675403|-85.5448668
150478|Red River Branch|Stream|Alabama|01|DeKalb|049|Sulphur Springs|09/04/1980|||||344217N|0853254W|34.7048027|-85.5482984|344325N|0853437W|34.7236111|-85.5769444
150510|Shiloh Creek|Stream|Alabama|01|DeKalb|049|Trenton|09/04/1980|||||345029N|0853630W|34.8414684|-85.6083007|344942N|0853436W|34.8283333|-85.5766667
150511|Shinbone Ridge|Ridge|Georgia|13|Walker|295|LaFayette|09/04/1980|06/16/2018||||344011N|0852037W|34.6697521|-85.343655|||0.0|0.0
151131|McClouds Ferry (historical)|Crossing|Alabama|01|Russell|113|Omaha|12/01/1990|||||321053N|0850031W|32.1812634|-85.0085408|||0.0|0.0
151733|Cochgalechee Creek|Stream|Alabama|01|Russell|113|Columbus|09/04/1980|||||322445N|0845845W|32.412367|-84.9790977|322807N|0850460W|32.4684753|-85.0832683
152327|Mill Creek|Stream|Alabama|01|Russell|113|Columbus|09/04/1980|||||322315N|0845914W|32.3873679|-84.9871531|322437N|0850206W|32.4101446|-85.0349327
152337|Mills Creek|Stream|Alabama|01|Cherokee|019|Gaylesville|09/04/1980|||||341735N|0853030W|34.2931474|-85.5082934|343141N|0852834W|34.5281402|-85.4760718
152824|Oseligee Creek|Stream|Alabama|01|Chambers|017|Lanett North|09/04/1980|06/10/2015||||325320N|0851060W|32.8890164|-85.1832747|325109N|0852252W|32.8526277|-85.3810584
153094|Pyburn Gulf|Valley|Georgia|13|Dade|083|New Home|09/04/1980|03/01/2017||||345852N|0853601W|34.9810676|-85.6003596|345827N|0853714W|34.9740903|-85.6204899
153707|Town Creek|Stream|Alabama|01|Randolph|111|Frolona|09/04/1980|07/09/2015||||331758N|0851138W|33.2995618|-85.1938333|331904N|0851735W|33.317889|-85.2930965
153837|Veasey Creek|Stream|Georgia|13|Troup|285|Abbottsford|09/25/1979|||||330001N|0851212W|33.0004019|-85.2032761|330103N|0852052W|33.0176232|-85.347725
153940|West Fork Little River|Stream|Alabama|01|DeKalb|049|Jamestown|09/04/1980|||||342732N|0853460W|34.4589758|-85.5832966|344238N|0852818W|34.7106355|-85.4716291
