feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
1389412|Aang Beach|Beach|Guam|66|Guam|010|Inarajan|02/06/1981|||||131511N|1444042E|13.2530556|144.6783333|||0.0|0.0
1389413|Aba Beach|Beach|Guam|66|Guam|010|Merizo|02/06/1981|||||131518N|1444022E|13.255|144.6727778|||0.0|0.0
1389414|Abac|Area|Guam|66|Guam|010|Talofofo|02/06/1981|||||132426N|1444553E|13.4072222|144.7647222|||0.0|0.0
1389415|Abo Cove|Bay|Guam|66|Guam|010|Apra Harbor|02/06/1981|12/23/2014||||132509N|1444017E|13.4191449|144.6714891|||0.0|0.0
1389416|Abong Beach|Beach|Guam|66|Guam|010|Agat|02/06/1981|||||131911N|1443857E|13.3197222|144.6491667|||0.0|0.0
1389417|Acapulco|Ridge|Guam|66|Guam|010|Talofofo|02/06/1981|||||132029N|1444351E|13.3413889|144.7308333|||0.0|0.0
1389418|Achae Point|Summit|Guam|66|Guam|010|Ritidian Point|02/06/1981|||||133824N|1445056E|13.64|144.8488889|||0.0|0.0
1389419|Achang Bay|Bay|Guam|66|Guam|010|Inarajan|02/06/1981|12/23/2014||||131515N|1444109E|13.2542801|144.6858488|||0.0|0.0
1389420|Achang Reef|Bar|Guam|66|Guam|010|Inarajan|02/06/1981|||||131442N|1444132E|13.245|144.6922222|||0.0|0.0
1389421|Acho|Area|Guam|66|Guam|010|Inarajan|02/06/1981|||||131537N|1444358E|13.2602778|144.7327778|||0.0|0.0
1389422|Acho Point|Cape|Guam|66|Guam|010|Inarajan|02/06/1981|||||131528N|1444404E|13.2577778|144.7344444|||0.0|0.0
1389423|Achugao Point|Summit|Guam|66|Guam|010|Agat|02/06/1981|||||132007N|1443831E|13.3352778|144.6419444|||0.0|0.0
1389424|Achugao Valley|Valley|Guam|66|Guam|010|Agat|02/06/1981|||||131958N|1443850E|13.3327778|144.6472222|131958N|1443850E|13.3327778|144.6472222
1389425|Adacao|Populated Place|Guam|66|Guam|010|Dededo|02/06/1981|06/07/2022||||132922N|1445111E|13.4894444|144.8530556|||0.0|0.0
1389426|Adae|Area|Guam|66|Guam|010|Talofofo|02/06/1981|||||131952N|1444527E|13.3311111|144.7575|||0.0|0.0
1389427|Adaique|Valley|Guam|66|Guam|010|Inarajan|02/06/1981|||||131718N|1444447E|13.2883333|144.7463889|131718N|1444447E|13.2883333|144.7463889
1389428|Adaumang|Area|Guam|66|Guam|010|Inarajan|02/06/1981|||||131627N|1444411E|13.2741667|144.7363889|||0.0|0.0
1389429|Adelup|Populated Place|Guam|66|Guam|010|Hagatna|02/06/1981|06/07/2022||||132831N|1444338E|13.4752778|144.7272222|||0.0|0.0
1389430|Adelup Point|Summit|Guam|66|Guam|010|Hagatna|02/06/1981|||||132847N|1444336E|13.4797222|144.7266667|||0.0|0.0
1389431|Adelup Reservoir|Reservoir|Guam|66|Guam|010|Hagatna|02/06/1981|12/23/2014||||132814N|1444356E|13.4704398|144.7321592|||0.0|0.0
1389433|Adjoulan Point|Cape|Guam|66|Guam|010|Talofofo|02/06/1981|||||132012N|1444605E|13.3366667|144.7680556|||0.0|0.0
1389434|Adotgan Point|Summit|Guam|66|Guam|010|Apra Harbor|02/06/1981|||||132643N|1443730E|13.4452778|144.625|||0.0|0.0
1389435|Afami|Populated Place|Guam|66|Guam|010|Hagatna|02/06/1981|06/07/2022||||132721N|1444531E|13.4558333|144.7586111|||0.0|0.0
1389436|Aftano|Area|Guam|66|Guam|010|Inarajan|02/06/1981|||||131647N|1444513E|13.2797222|144.7536111|||0.0|0.0
1389437|Aga|Area|Guam|66|Guam|010|Inarajan|02/06/1981|||||131450N|1444320E|13.2472222|144.7222222|||0.0|0.0
1389438|Aga Bay|Bay|Guam|66|Guam|010|Inarajan|02/06/1981|12/23/2014||||131447N|1444332E|13.246493|144.7255978|||0.0|0.0
1389439|Aga Point|Cape|Guam|66|Guam|010|Inarajan|02/06/1981|||||131443N|1444328E|13.2452778|144.7244444|||0.0|0.0
1389440|Agafo Gumas|Populated Place|Guam|66|Guam|010|Ritidian Point|02/06/1981|06/07/2022||||133454N|1445234E|13.5816667|144.8761111|||0.0|0.0
1389441|Agaga|Area|Guam|66|Guam|010|Agat|02/06/1981|||||131957N|1443845E|13.3325|144.6458333|||0.0|0.0
1389442|Agaga River|Stream|Guam|66|Guam|010|Agat|02/06/1981|||||131955N|1443843E|13.3319444|144.6452778|131955N|1443843E|13.3319444|144.6452778
1389443|Hagåtña|Civil|Guam|66|Guam|010|Hagatna|01/01/2000|09/21/2019|Official|Board Decision|06/11/1998|132827N|1444452E|13.4741667|144.7477778|||0.0|0.0
1389444|Hagåtña Bay|Bay|Guam|66|Guam|010|Hagatna|01/01/2000|12/23/2014|Official|Board Decision|01/01/2002|132911N|1444537E|13.4863898|144.7603513|||0.0|0.0
1389445|Hagåtña Boat Basin|Basin|Guam|66|Guam|010|Hagatna|01/01/2000||Official|Board Decision|01/01/2002|132835N|1444449E|13.4763889|144.7469444|||0.0|0.0
1389446|Hagåtña Channel|Channel|Guam|66|Guam|010|Hagatna|01/01/2000||Official|Board Decision|01/01/2002|132846N|1444458E|13.4794444|144.7494444|||0.0|0.0
1389447|Hagåtña Heights|Populated Place|Guam|66|Guam|010|Hagatna|01/01/2000|06/07/2022|Official|Board Decision|01/01/2002|132808N|1444438E|13.4688889|144.7438889|||0.0|0.0
1389448|Hagåtña River|Stream|Guam|66|Guam|010|Hagatna|01/01/2000|02/16/2010|Official|Board Decision|01/01/2002|132833N|1444507E|13.4758333|144.7519444|132833N|1444507E|13.4758333|144.7519444
1389449|Hagåtña Springs|Spring|Guam|66|Guam|010|Hagatna|01/01/2000|02/16/2010|Official|Board Decision|01/01/2002|132743N|1444529E|13.4619444|144.7580556|||0.0|0.0
1389450|Hagåtña Swamp|Swamp|Guam|66|Guam|010|Hagatna|01/01/2000|02/16/2010|Official|Board Decision|01/01/2002|132805N|1444521E|13.4680556|144.7558333|||0.0|0.0
1389451|Agat|Populated Place|Guam|66|Guam|010|Agat|02/06/1981|06/07/2022||||132253N|1443917E|13.3813889|144.6547222|||0.0|0.0
1389452|Agat Bay|Bay|Guam|66|Guam|010|Agat|02/06/1981|12/23/2014||||132354N|1443913E|13.3983411|144.6536165|||0.0|0.0
1389456|Agfayan|Area|Guam|66|Guam|010|Inarajan|02/06/1981|||||131559N|1444355E|13.2663889|144.7319444|||0.0|0.0
1389457|Agfayan Bay|Bay|Guam|66|Guam|010|Inarajan|02/06/1981|12/23/2014||||131603N|1444432E|13.2675501|144.7421399|||0.0|0.0
1389458|Agfayan Point|Cape|Guam|66|Guam|010|Inarajan|02/06/1981|||||131549N|1444424E|13.2636111|144.74|||0.0|0.0
1389459|Agfayan River|Stream|Guam|66|Guam|010|Inarajan|02/06/1981|||||131559N|1444406E|13.2663889|144.735|131642N|1444143E|13.2783333|144.6952778
1389460|Agrigan Island|Island|Guam|66|Guam|010|Inarajan|02/06/1981|||||131446N|1444251E|13.2461111|144.7141667|||0.0|0.0
1389461|Aguada|Area|Guam|66|Guam|010|Hagatna|02/06/1981|||||132614N|1444050E|13.4372222|144.6805556|||0.0|0.0
