feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
247074|Pacific Ocean|Sea|California|06|Mendocino|045|Mendocino|01/19/1981|08/19/2014||||391837N|1235041W|39.3102778|-123.8447222|||0.0|0.0
358293|Pearl and Hermes Atoll|Island|Hawaii|15|Honolulu|003||09/30/2003|11/15/2012|Official|Board Decision|01/01/1987|274942N|1754946W|27.8282032|-175.8295288|||0.0|0.0
358294|Laysan Island|Island|Hawaii|15|Honolulu|003||09/30/2003||Official|Board Decision|01/01/1987|254615N|1714415W|25.7708333|-171.7375|||0.0|0.0
358295|Barking Sands|Beach|Hawaii|15|Kauai|007|Kekaha|02/06/1981|06/26/2012|Official|Board Decision|01/01/1954|220410N|1594635W|22.0693348|-159.7762728|||0.0|0.0
358296|Hāʻeleʻele Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003||Official|Board Decision|01/01/2002|220517N|1594241W|22.087981|-159.711489|||0.0|0.0
358297|Hāʻeleʻele Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|11/06/2018|Official|Board Decision|01/01/2002|220539N|1594442W|22.0941057|-159.7449788|220518N|1594045W|22.0884281|-159.6791583
358298|Halemanu|Summit|Hawaii|15|Kauai|007|Kekaha|09/30/2003|04/02/2020|Official|Board Decision|01/01/2002|220647N|1594012W|22.113172|-159.6698927|||0.0|0.0
358299|Halemanu Stream|Stream|Hawaii|15|Kauai|007|Waimea Canyon|09/30/2003|08/22/2012|Official|Board Decision|01/01/2002|220558N|1593954W|22.0993387|-159.6650362|220720N|1593933W|22.1222798|-159.6592212
358300|Hauola Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003|06/26/2012|Official|Board Decision|01/01/2002|220105N|1594211W|22.0181801|-159.7030592|||0.0|0.0
358301|Hikimoe Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003|08/01/2012|Official|Board Decision|01/01/2002|220556N|1594135W|22.0988815|-159.6929741|||0.0|0.0
358302|Hikimoe Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|10/13/2016|Official|Board Decision|01/01/2002|220612N|1594436W|22.1032081|-159.7434405|220603N|1594133W|22.100896|-159.6924218
358303|Hōʻea Valley|Valley|Hawaii|15|Kauai|007|Kekaha OE S|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|215930N|1594335W|21.9915583|-159.726524|220131N|1594151W|22.0252859|-159.6975068
358304|Huluhulunui Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha OE S|09/30/2003|06/26/2012|Official|Board Decision|01/01/2002|215911N|1594109W|21.9863085|-159.6857214|||0.0|0.0
358305|Kauaʻi|Island|Hawaii|15|Kauai|007|Waialeale|09/30/2003||Official|Board Decision|01/01/2002|220258N|1593152W|22.04942|-159.530987|||0.0|0.0
358306|Kaʻanamahuna Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220341N|1594102W|22.0613271|-159.6837891|220422N|1594013W|22.0728435|-159.6703819
358307|Kaʻawaloa Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220214N|1594511W|22.0372055|-159.7529705|220244N|1594204W|22.045563|-159.7010478
358308|Kāʻaweiki Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220615N|1594058W|22.1041266|-159.682703|||0.0|0.0
358309|Kāʻaweiki Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220634N|1594425W|22.1093937|-159.7402505|220627N|1594119W|22.1074273|-159.688716
358310|Kahelu Ridge|Ridge|Hawaii|15|Kauai|007||09/30/2003|06/26/2012|Official|Board Decision|01/01/2002|220252N|1594337W|22.047817|-159.7268772|||0.0|0.0
358311|Kahelunui Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|10/13/2016|Official|Board Decision|01/01/2002|220239N|1594518W|22.0441098|-159.7550041|220430N|1594059W|22.0749764|-159.6829842
358312|Kahoaloha Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|10/13/2016|Official|Board Decision|01/01/2002|220501N|1594458W|22.0836461|-159.7493172|220456N|1594017W|22.0821617|-159.6713167
358313|Kahoana Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|10/13/2016|Official|Board Decision|01/01/2002|215945N|1594315W|21.9957477|-159.7207909|220115N|1594142W|22.0207636|-159.6950765
358314|Kalohi Channel|Channel|Hawaii|15|Maui|009|Kaunakakai OE S|09/30/2003|08/16/2012|Official|Board Decision|01/01/2003|210104N|1570056W|21.0178549|-157.0155716|||0.0|0.0
358315|Kaluanamāʻulu Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220338N|1594122W|22.0606162|-159.6895605|220441N|1594019W|22.0779665|-159.6719074
358317|Kamokalā Ridge|Ridge|Hawaii|15|Kauai|007||09/30/2003|06/26/2012|Official|Board Decision|01/01/2002|220248N|1594258W|22.0466635|-159.7161055|||0.0|0.0
358318|Kaʻohe Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220111N|1594144W|22.0198549|-159.6955665|220207N|1594010W|22.035394|-159.6695683
358319|Kapilimao Valley|Valley|Hawaii|15|Kauai|007|Kekaha OE S|09/30/2003|10/13/2016|Official|Board Decision|01/01/2002|215825N|1594148W|21.9737005|-159.6966083|220021N|1594045W|22.0059014|-159.6791754
358320|Kapuʻe Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220113N|1594144W|22.0203313|-159.6954796|220221N|1594016W|22.0392975|-159.6709819
358321|Kauhao Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003|06/11/2012|Official|Board Decision|01/01/2002|220636N|1594235W|22.1099748|-159.709754|||0.0|0.0
358322|Kaʻulaʻula Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|09/04/2018|Official|Board Decision|01/01/2002|220513N|1594455W|22.0869299|-159.748474|220500N|1594042W|22.0833398|-159.6782033
358323|Kaunalewa Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003|06/26/2012|Official|Board Decision|01/01/2002|220110N|1594336W|22.0194134|-159.7267056|||0.0|0.0
358325|Kekaha Ditch|Canal|Hawaii|15|Kauai|007|Kekaha OE S|09/30/2003|08/22/2012|Official|Board Decision|01/01/2002|215826N|1594040W|21.9738889|-159.6777778|||0.0|0.0
358326|Kepapa Spring|Spring|Hawaii|15|Kauai|007|Kekaha|09/30/2003|04/20/2011|Official|Board Decision|01/01/2002|220501N|1594302W|22.0836087|-159.717261|||0.0|0.0
358327|Kōkeʻe Ditch|Canal|Hawaii|15|Kauai|007|Kekaha|02/06/1981|08/20/2012||||220432N|1594026W|22.0754395|-159.6739626|||0.0|0.0
358329|Kōkeʻe Stream|Stream|Hawaii|15|Kauai|007|Waimea Canyon|09/30/2003|08/16/2012|Official|Board Decision|01/01/2002|220558N|1593954W|22.0994183|-159.6649933|220731N|1593900W|22.125245|-159.650039
358330|Kolo Ridge|Ridge|Hawaii|15|Kauai|007|Kekaha|09/30/2003||Official|Board Decision|01/01/2002|220431N|1594357W|22.075271|-159.732401|||0.0|0.0
358331|Kuapaʻa Valley|Valley|Hawaii|15|Kauai|007|Kekaha|09/30/2003|12/13/2018|Official|Board Decision|01/01/2002|220001N|1594407W|22.0002725|-159.735402|220134N|1594255W|22.0262435|-159.7151549
