feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
422256|Lake Keokuk|Reservoir|Iowa|19|Lee|111|Fort Madison|05/01/1989|10/25/2012|Official|Board Decision|05/03/1916|403759N|0911632W|40.633097|-91.2754272|||0.0|0.0
454075|Abbe Creek|Stream|Iowa|19|Linn|113|Bertram|04/30/1979|||||415712N|0913135W|41.9533369|-91.526287|415913N|0912511W|41.9869488|-91.419616
454077|Abes Fork|Stream|Iowa|19|Tama|171|Tama|04/30/1979|||||415355N|0923714W|41.8986036|-92.6204696|415118N|0924253W|41.8549921|-92.7146373
454078|Abingdon|Populated Place|Iowa|19|Jefferson|101|Abingdon|04/30/1979|06/07/2022||||410456N|0920821W|41.0822387|-92.1390672|||0.0|0.0
454082|Ackerman Cut|Gut|Iowa|19|Clayton|043|Guttenberg|04/30/1979|08/14/2012||||424622N|0910435W|42.7727682|-91.0765176|||0.0|0.0
454084|Ackley|Populated Place|Iowa|19|Hardin|083|Ackley|04/30/1979|06/07/2022||||423315N|0930312W|42.5541451|-93.0532553|||0.0|0.0
454085|Ackley Creek|Stream|Iowa|19|Floyd|067|Greene|04/30/1979|||||425707N|0925207W|42.9519159|-92.8685277|425733N|0930354W|42.959136|-93.0649206
454086|Ackworth|Populated Place|Iowa|19|Warren|181|Milo|04/30/1979|06/07/2022||||412201N|0932822W|41.3669373|-93.4727131|||0.0|0.0
454088|Adair|Populated Place|Iowa|19|Guthrie|077|Adair North|04/30/1979|06/07/2022||||413002N|0943837W|41.5005428|-94.6435862|||0.0|0.0
454091|Adams Island|Island|Iowa|19|Scott|163|Cordova|04/30/1979|05/28/2015||||414439N|0901906W|41.7442613|-90.3182716|||0.0|0.0
454092|Adams Mill Hollow|Valley|Iowa|19|Clayton|043|Turkey River|04/30/1979|09/04/2015||||424157N|0910035W|42.6991938|-91.0097401|424123N|0910124W|42.6897595|-91.0234578
454096|Adaza|Populated Place|Iowa|19|Greene|073|Churdan|04/30/1979|05/31/2019||||421143N|0942940W|42.1952593|-94.4944178|||0.0|0.0
454097|Adel|Populated Place|Iowa|19|Dallas|049|Adel|04/30/1979|06/07/2022||||413652N|0940103W|41.6144325|-94.017453|||0.0|0.0
454101|Afton|Populated Place|Iowa|19|Union|175|Afton|04/30/1979|06/07/2022||||410139N|0941153W|41.0274907|-94.1980083|||0.0|0.0
454103|Lake Afton|Reservoir|Iowa|19|Union|175|Afton|04/30/1979|06/22/2018||||410210N|0941235W|41.0360863|-94.2097651|||0.0|0.0
