feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
403274|Breedlove Ditch|Canal|Illinois|17|Tazewell|179|South Pekin|01/15/1980|||||402628N|0894332W|40.4411512|-89.7256632|||0.0|0.0
403275|Green Valley|Populated Place|Illinois|17|Tazewell|179|South Pekin|01/15/1980|06/07/2022||||402427N|0893834W|40.4075408|-89.6428829|||0.0|0.0
403277|Hickory Grove Ditch|Canal|Illinois|17|Tazewell|179|South Pekin|01/15/1980|||||402743N|0894457W|40.4619842|-89.7492749|||0.0|0.0
403278|Hickory Grove Hill|Summit|Illinois|17|Mason|125|South Pekin|01/15/1980|10/26/2021||||402542N|0894452W|40.4283826|-89.7477918|||0.0|0.0
403279|Horseshoe Lake|Lake|Illinois|17|Tazewell|179|South Pekin|01/15/1980|12/21/2018||||402948N|0894429W|40.4967667|-89.7413164|||0.0|0.0
403281|Little Mound|Summit|Illinois|17|Tazewell|179|South Pekin|01/15/1980|||||402621N|0894414W|40.4392068|-89.7373302|||0.0|0.0
403282|Lost Creek|Stream|Illinois|17|Tazewell|179|Pekin|01/15/1980|||||403308N|0894038W|40.5522611|-89.6773263|403306N|0893226W|40.5517057|-89.5406547
403283|Mackinaw River|Stream|Illinois|17|Tazewell|179|Pekin|01/15/1980|04/07/2014||||403306N|0894356W|40.5517055|-89.7323284|403520N|0882159W|40.5889233|-88.3664421
403284|Meeker Ditch|Canal|Illinois|17|Mason|125|South Pekin|01/15/1980|||||402536N|0894408W|40.426707|-89.7356637|||0.0|0.0
403285|North Quiver Ditch|Canal|Illinois|17|Mason|125|Manito|01/15/1980|||||402319N|0894635W|40.3886519|-89.7764986|||0.0|0.0
403288|South Pekin|Populated Place|Illinois|17|Tazewell|179|South Pekin|01/15/1980|06/07/2022||||402940N|0893906W|40.4944838|-89.6517711|||0.0|0.0
403289|The Mound|Summit|Illinois|17|Tazewell|179|South Pekin|01/15/1980|||||402659N|0894429W|40.4497622|-89.7414969|||0.0|0.0
403291|Allens Grove Ditch|Canal|Illinois|17|Mason|125|Natrona|09/30/1999|||||401814N|0894358W|40.303931|-89.7328872|||0.0|0.0
403293|Bear Creek|Stream|Illinois|17|Fayette|051|Vandalia|01/15/1980|||||385855N|0890508W|38.9819895|-89.0856223|390527N|0890917W|39.0908778|-89.1547956
403295|Burton Creek|Stream|Illinois|17|Adams|001|Marblehead|01/15/1980|||||395150N|0912038W|39.8639349|-91.3437588|395631N|0911157W|39.9419911|-91.1990308
403296|Cadwell Creek|Stream|Illinois|17|Knox|095|Williamsfield|01/15/1980|||||405638N|0900136W|40.9439262|-90.0267811|410203N|0900355W|41.034204|-90.0653934
403297|Carlyle Lake|Reservoir|Illinois|17|Clinton|027|Keyesport|01/15/1980|02/04/2019|Official|Board Decision|07/27/1971|384141N|0891621W|38.6947196|-89.2724541|||0.0|0.0
403298|Lake Clinton|Reservoir|Illinois|17|De Witt|039|De Witt|01/15/1980|12/21/2018||||400938N|0884901W|40.1605138|-88.8169751|||0.0|0.0
403299|Crooked Slough|Gut|Illinois|17|Pike|149|Pleasant Hill East|01/15/1980|||||392534N|0905221W|39.4261584|-90.8726305|||0.0|0.0
403300|Deep Lake|Lake|Illinois|17|Jersey|083|Brussels|01/15/1980|||||385957N|0903358W|38.9992154|-90.5662301|||0.0|0.0
403301|East Branch Embarras River|Stream|Illinois|17|Champaign|019|Villa Grove NW|01/15/1980|05/10/2014||||395325N|0881050W|39.8903098|-88.1806|395329N|0875435W|39.8914237|-87.9097538
403302|East Fork Big Creek|Stream|Illinois|17|Edgar|045|Marshall|01/15/1980|07/01/2009||||392609N|0874208W|39.4358689|-87.7022497|393351N|0874835W|39.5642015|-87.8097521
403304|Honey Branch|Stream|Illinois|17|Schuyler|169|Erwin|01/15/1980|||||401324N|0904357W|40.2233783|-90.7326298|401537N|0903852W|40.2603222|-90.6479066
403305|Little Crab Orchard Creek|Stream|Illinois|17|Jackson|077|De Soto|01/15/1980||Official|Board Decision|01/01/1964|374640N|0891239W|37.7778284|-89.2109163|374047N|0891744W|37.6797726|-89.2956426
403306|Archer Creek|Stream|Illinois|17|Sangamon|167|Farmingdale|01/15/1980|||||394807N|0894633W|39.8019952|-89.7759377|394305N|0895139W|39.7181061|-89.860939
403308|Yankee Ridge|Ridge|Illinois|17|Champaign|019|Rising|09/30/1999|10/26/2021||||401053N|0881904W|40.1812757|-88.3178941|||0.0|0.0
403310|North Bonfield Branch|Stream|Illinois|17|Kankakee|091|Bonfield|01/15/1980|||||410949N|0880635W|41.1636431|-88.1097746|410801N|0875845W|41.1336431|-87.979213
