feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
404056|Beaver Creek|Stream|Illinois|17|Iroquois|075|L'Erable|01/15/1980|||||405811N|0874850W|40.9697552|-87.8139266|410159N|0872342W|41.0330902|-87.3950299
406202|Clear Creek|Stream|Illinois|17|Edgar|045|Dennison|01/15/1980|||||392645N|0873001W|39.4458693|-87.5002998|393514N|0874118W|39.5872571|-87.6883596
406288|Coal Creek|Stream|Illinois|17|Edgar|045|Saint Bernice|01/15/1980|04/22/2015||||393829N|0873006W|39.6414247|-87.5016873|393855N|0873750W|39.6486464|-87.6305797
406528|Coon Creek|Stream|Illinois|17|Iroquois|075|Milford|01/15/1980|03/02/2009||||404340N|0874301W|40.727812|-87.716904|404048N|0873037W|40.679995|-87.510395
406812|Crooked Creek|Stream|Illinois|17|Clark|023|Dennison|01/15/1980|07/08/2015||||392234N|0873149W|39.3761482|-87.5303007|392929N|0874049W|39.4914237|-87.6803047
408637|Fox River|Stream|Illinois|17|White|193|Solitude|01/15/1980|||||380717N|0875826W|38.1214349|-87.9739197|381038N|0875823W|38.1772685|-87.973087
409164|Goose Creek|Stream|Illinois|17|Edgar|045|Saint Bernice|01/15/1980|||||394345N|0873330W|39.7292026|-87.5583547|394813N|0873124W|39.8036475|-87.5233529
409251|Grand Calumet River|Stream|Illinois|17|Cook|031|Lake Calumet|01/15/1980|08/20/2014||||413838N|0873339W|41.6439239|-87.5608776|413704N|0871534W|41.6178646|-87.2595549
409940|Hawks Creek|Stream|Illinois|17|Clark|023|Dennison|01/15/1980|04/22/2015||||392301N|0873100W|39.3836481|-87.5166892|392818N|0873802W|39.4716917|-87.6337623
410492|Hooper Branch|Stream|Illinois|17|Iroquois|075|Donovan|01/15/1980|||||405800N|0873610W|40.9667002|-87.6028106|405826N|0873107W|40.9738889|-87.5186111
410566|Horseshoe Cutoff|Bend|Illinois|17|Crawford|033|Heathsville|01/15/1980|02/23/2015||||385234N|0873249W|38.8759993|-87.5468582|||0.0|0.0
410927|Iroquois River|Stream|Illinois|17|Kankakee|091|Kankakee|01/15/1980|08/20/2014||||410427N|0874859W|41.0741993|-87.8164285|405755N|0871223W|40.9652778|-87.2063889
411198|Jonathan Creek|Stream|Illinois|17|Edgar|045|Scottland|01/15/1980|||||395201N|0873000W|39.8669813|-87.5000182|395337N|0873356W|39.8936477|-87.5655755
411241|Jordan Creek|Stream|Illinois|17|Vermilion|183|Bismarck|01/15/1980|07/08/2015||||402010N|0873723W|40.3361475|-87.6230768|402747N|0872650W|40.463092|-87.44724
411304|Kankakee River|Stream|Illinois|17|Grundy|063|Minooka|01/15/1980|07/28/2014||||412330N|0881530W|41.3916978|-88.2583964|413622N|0862451W|41.6061572|-86.4141791
412068|Lick Run|Stream|Illinois|17|Edgar|045|Scottland|01/15/1980|||||394626N|0873436W|39.7739249|-87.5766881|394911N|0873045W|39.8197222|-87.5125
412312|Little Creek|Stream|Illinois|17|Edgar|045|Saint Bernice|01/15/1980|||||394140N|0873215W|39.6944803|-87.5375211|394452N|0873006W|39.7477778|-87.5016667
412426|Little Vermilion River|Stream|Illinois|17|Vermilion|183|Humrick|01/15/1980|||||395318N|0873000W|39.8883703|-87.5000179|395833N|0880250W|39.9758669|-88.0472601
412659|Lost Lake|Lake|Indiana|18|Posey|129|New Harmony|01/15/1980|04/11/2018||||380950N|0875531W|38.1640189|-87.9252428|||0.0|0.0
413480|Middle Branch North Fork Vermilion River|Stream|Illinois|17|Vermilion|183|Henning|01/15/1980|||||401835N|0873815W|40.3097586|-87.6375214|402712N|0873029W|40.4533697|-87.5080747
414583|North Creek|Stream|Illinois|17|Cook|031|Calumet City|01/15/1980|01/22/2011||||413334N|0873620W|41.5594793|-87.6055997|413253N|0873116W|41.5481585|-87.5211668
414610|North Fork Vermilion River|Stream|Illinois|17|Vermilion|183|Danville SW|01/15/1980|||||400712N|0873828W|40.1200365|-87.6411322|403005N|0873133W|40.5014252|-87.5258535
414999|Old Channel|Channel|Illinois|17|White|193|New Harmony|01/15/1980|||||381012N|0875443W|38.1700457|-87.9119743|||0.0|0.0
415044|Old River|Gut|Illinois|17|White|193|Emma|01/15/1980|||||375510N|0880352W|37.9194898|-88.0644773|||0.0|0.0
418929|Spring Creek|Stream|Indiana|18|Vermillion|165|Perrysville|02/14/1979|||||400518N|0872446W|40.0883713|-87.412792|400758N|0873203W|40.1328147|-87.5341842
419184|Stoney Creek|Stream|Illinois|17|Vermilion|183|Danville SE|01/15/1980|04/24/2015||||400455N|0873525W|40.0819812|-87.5902973|401925N|0873036W|40.3236476|-87.5100175
419270|Sugar Creek|Stream|Illinois|17|Edgar|045|Dennison|01/15/1980|||||392805N|0873001W|39.4680912|-87.5002998|393658N|0874514W|39.6161458|-87.7539168
