feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
78956|Arkansas River|Stream|Arkansas|05|Desha|041|Rosedale|04/30/1980|08/13/2019|Official|Board Decision|01/01/1959|334630N|0910415W|33.7751096|-91.0709427|391530N|1062038W|39.2583225|-106.3439141
183109|Cowpe Creek|Stream|Colorado|08|Yuma|125|Hale Ponds|10/13/1978|||||394021N|1020159W|39.6724937|-102.0329617|394750N|1020707W|39.7972145|-102.1185214
183110|Cherry Creek|Stream|Kansas|20|Cheyenne|023|Saint Francis|10/13/1978|||||394714N|1014823W|39.787215|-101.8062862|394602N|1020338W|39.7672151|-102.0604633
195062|Hell Creek|Stream|Colorado|08|Kit Carson|063|Kirk|10/13/1978|||||393037N|1023113W|39.5102697|-102.5202001|392432N|1030906W|39.4088775|-103.1516045
195070|Little Beaver Creek|Stream|Colorado|08|Kit Carson|063|Mount Sunflower|10/13/1978||Official|Board Decision|01/01/1972|390340N|1020322W|39.0611148|-102.0560133|392202N|1021241W|39.3672187|-102.2112994
195240|South Fork White Woman Creek|Stream|Kansas|20|Greeley|071|Colony Township West|10/13/1978|03/23/2018|Official|Board Decision|01/08/1981|383408N|1020054W|38.5688085|-102.015014|383723N|1021248W|38.6231087|-102.2132587
195459|Amity Canal|Canal|Colorado|08|Prowers|099|Granada NE|10/13/1978|||||380750N|1022052W|38.1305649|-102.34769|||0.0|0.0
196067|Beaty Creek|Stream|Kansas|20|Stanton|187|Manter|10/13/1978|||||373143N|1015902W|37.5286274|-101.9837872|373541N|1021017W|37.5947358|-102.1712936
196157|Bear Creek|Stream|Kansas|20|Kearny|093|Lakin SE|10/13/1978|02/19/2008||||375042N|1011951W|37.8450178|-101.3307265|372205N|1025959W|37.3680711|-102.9996503
203782|White Woman Creek|Stream|Colorado|08|Cheyenne|017|Scott City|10/13/1978|03/23/2018|Official|Board Decision|01/08/1981|382617N|1005351W|38.4380866|-100.897573|384240N|1022202W|38.7111196|-102.367132
203953|Willow Creek|Stream|Kansas|20|Wallace|199|Weskan NW|10/13/1978|||||385535N|1015315W|38.9263963|-101.8873969|390047N|1020728W|39.0130597|-102.1243485
469028|Great Plains|Plain|Kansas|20|Thomas|193|Brewster NE|07/01/1984|||||392500N|1011732W|39.4166685|-101.2921054|||0.0|0.0
469029|Silverdale|Populated Place|Kansas|20|Cowley|035|Silverdale|10/13/1978|08/29/2019||||370231N|0965412W|37.0419749|-96.9033673|||0.0|0.0
469035|Otter Creek|Stream|Kansas|20|Cowley|035|Silverdale|10/13/1978|||||370121N|0965352W|37.0225309|-96.8978114|370132N|0965021W|37.0255868|-96.8391983
469038|Spring Creek|Stream|Kansas|20|Cowley|035|Arkansas City|10/13/1978|||||370308N|0970341W|37.0522513|-97.0614273|370246N|0970614W|37.0461111|-97.1038889
469046|Lake Louise|Reservoir|Kansas|20|Cowley|035|Arkansas City|10/13/1978|09/28/2018||||370444N|0970032W|37.0789483|-97.0087978|||0.0|0.0
469060|Township of Pleasant Valley|Civil|Kansas|20|Cowley|035|Winfield|10/13/1978|03/25/2023||||370934N|0965855W|37.1594914|-96.9818335|||0.0|0.0
469064|Rock Creek|Stream|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|||||370231N|0962538W|37.0419873|-96.4272277|370255N|0963930W|37.0486452|-96.6583556
469065|Donahue Creek|Stream|Kansas|20|Cowley|035|Dexter SW|10/13/1978|||||370117N|0963625W|37.0214254|-96.6069628|370356N|0963902W|37.0655895|-96.6505774
469066|Township of Cedar|Civil|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|03/25/2023||||370314N|0963516W|37.0538551|-96.5877486|||0.0|0.0
469067|Beaver Creek|Stream|Oklahoma|40|Kay|071|Kaw City|10/13/1978|11/23/2010||||365060N|0964540W|36.84989|-96.76114|370714N|0963859W|37.1205|-96.64973
469068|Spring Creek|Stream|Oklahoma|40|Osage|113|Grainola|10/13/1978|03/24/2010||||365825N|0964209W|36.9736457|-96.7025254|370438N|0964232W|37.077254|-96.7089151
469069|Township of Grant|Civil|Kansas|20|Cowley|035|Dexter SW|10/13/1978|03/25/2023||||370346N|0964113W|37.0628104|-96.6868982|||0.0|0.0
469070|Little Crabb Creek|Stream|Kansas|20|Cowley|035|Dexter|10/13/1978|||||370757N|0964332W|37.1325299|-96.7255836|370502N|0964315W|37.0839202|-96.7208605
469072|Panther Creek|Stream|Kansas|20|Cowley|035|Maple City|10/13/1978|||||370613N|0964729W|37.1036409|-96.7914196|370454N|0964501W|37.0816667|-96.7502778
469074|Silver Creek|Stream|Kansas|20|Cowley|035|Maple City|10/13/1978|||||370344N|0965202W|37.0622525|-96.867255|372215N|0964240W|37.3708574|-96.711138
469075|Shellrock Creek|Stream|Kansas|20|Cowley|035|Maple City|10/13/1978|||||370036N|0964841W|37.0100318|-96.8114195|370413N|0964507W|37.0702778|-96.7519444
469078|Wildcat Creek|Stream|Kansas|20|Cowley|035|Eaton|10/13/1978|||||370756N|0964636W|37.1322513|-96.7766973|370433N|0964505W|37.0758639|-96.7514181
469079|Mud Creek|Stream|Oklahoma|40|Kay|071|Hardy|10/13/1978|11/23/2010||||365645N|0964853W|36.94586|-96.81479|370019N|0965052W|37.0053094|-96.8478096
469080|Myers Creek|Stream|Oklahoma|40|Kay|071|Hardy|10/13/1978|11/23/2010||||365755N|0964828W|36.96532|-96.80781|370146N|0964439W|37.0294764|-96.7441949
469081|Little Beaver Creek|Stream|Oklahoma|40|Kay|071|Kaw City|10/13/1978|11/23/2010||||365043N|0964830W|36.84528|-96.80828|370425N|0964547W|37.0736417|-96.7630852
469088|Township of Silverdale|Civil|Kansas|20|Cowley|035|Silverdale|10/13/1978|03/25/2023||||370348N|0965237W|37.0634645|-96.8769895|||0.0|0.0
469089|Dry Creek|Stream|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|||||370309N|0962619W|37.052542|-96.4386176|370628N|0962616W|37.1077778|-96.4377778
469090|Osro Falls|Falls|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|||||370322N|0962638W|37.0561527|-96.4438958|||0.0|0.0
469092|Shanghai Creek|Stream|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|||||370612N|0962336W|37.1033759|-96.3933371|370957N|0962126W|37.1658755|-96.3572241
469094|Spring Branch|Stream|Kansas|20|Chautauqua|019|Cloverdale|10/13/1978|||||370433N|0962759W|37.0758731|-96.4663975|370904N|0962656W|37.1511493|-96.4488969
469095|West Branch Grant Creek|Stream|Kansas|20|Chautauqua|019|Peru|10/13/1978|||||370729N|0960412W|37.1247826|-96.0699872|371228N|0962418W|37.2078162|-96.4050056
469096|East Branch Grant Creek|Stream|Kansas|20|Chautauqua|019|Peru|10/13/1978|||||370729N|0960412W|37.1247826|-96.0699872|371127N|0962300W|37.1908734|-96.3833373
469097|Grant Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370215N|0962227W|37.0375458|-96.3741684|370719N|0962411W|37.1219859|-96.4030602
469099|Cedar Vale|Populated Place|Kansas|20|Chautauqua|019|Cedar Vale West|10/13/1978|06/07/2022|Official|Board Decision|01/01/1950|370615N|0963000W|37.1042039|-96.5000112|||0.0|0.0
469101|Bear Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|||||370146N|0963240W|37.0294826|-96.5444584|370429N|0963345W|37.0747222|-96.5625
469102|Spring Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|||||370140N|0963541W|37.0278145|-96.5947397|370444N|0963722W|37.0788889|-96.6227778
469103|Dog Run|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|||||370129N|0963512W|37.0247592|-96.5866836|365928N|0963505W|36.9911492|-96.584739
469104|Whartenby Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978||Official|Board Decision|01/01/1963|370150N|0963329W|37.0305934|-96.5580705|365910N|0963406W|36.9861499|-96.5683491
469105|Acker Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|11/23/2010|Official|Board Decision|01/01/1963|370133N|0963156W|37.025872|-96.5322352|365803N|0963241W|36.967587|-96.544762
469106|Rush Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|11/23/2010||||370054N|0963222W|37.01508|-96.53933|365942N|0963016W|36.995|-96.5044
469107|Branson Creek|Stream|Kansas|20|Cowley|035|Cedar Vale West|10/13/1978|||||370106N|0963711W|37.0183695|-96.6197414|365848N|0963737W|36.980037|-96.6269645
469108|Township of Harrison|Civil|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|03/25/2023||||370257N|0962713W|37.0490743|-96.453636|||0.0|0.0
469109|Township of Jefferson|Civil|Kansas|20|Chautauqua|019|Cloverdale|10/13/1978|03/25/2023||||370860N|0962711W|37.1498823|-96.4530663|||0.0|0.0
469110|North Cedar Creek|Stream|Kansas|20|Cowley|035|Dexter NE|10/13/1978|||||370627N|0963147W|37.1075363|-96.5297356|370949N|0963540W|37.1636438|-96.5944631
469111|Cedar Creek|Stream|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|||||370432N|0962759W|37.0755954|-96.4663975|370907N|0963656W|37.1519769|-96.6155757
469115|South Cedar Creek|Stream|Kansas|20|Cowley|035|Dexter SW|10/13/1978|||||370630N|0963511W|37.1083679|-96.5864065|370638N|0963826W|37.1105886|-96.6405771
469120|Sycamore Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370125N|0962107W|37.0236585|-96.3519444|370831N|0962031W|37.1419882|-96.341945
469121|West Cedar Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370148N|0961628W|37.0300512|-96.2744388|370419N|0961811W|37.0719444|-96.3030556
469122|Buzzard Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370128N|0962120W|37.0244916|-96.3555558|365927N|0962150W|36.9908814|-96.3638897
469124|Elgin|Populated Place|Kansas|20|Chautauqua|019|Elgin|10/13/1978|06/07/2022||||370016N|0961636W|37.0044964|-96.2766608|||0.0|0.0
469125|Cedar Creek|Stream|Oklahoma|40|Osage|113|Whippoorwill|10/13/1978|11/23/2010||||365930N|0961413W|36.9917216|-96.2369363|370719N|0961713W|37.1219916|-96.286941
469126|Little Cedar Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370103N|0961544W|37.0175523|-96.2622155|370532N|0961246W|37.0922747|-96.2127698
469127|Rock Creek|Stream|Kansas|20|Chautauqua|019|Elgin|10/13/1978|||||370902N|0961629W|37.1506024|-96.2747182|370722N|0961749W|37.1228245|-96.2969417
469129|Possum Trot Creek|Stream|Kansas|20|Chautauqua|019|Cedar Vale East|10/13/1978|11/23/2010||||370136N|0962451W|37.02663|-96.41411|365927N|0962821W|36.990899|-96.472578
469130|Township of Summit|Civil|Kansas|20|Chautauqua|019|Elgin NE|10/13/1978|03/25/2023||||370857N|0961830W|37.1491106|-96.3084163|||0.0|0.0
469131|Township of Hendricks|Civil|Kansas|20|Chautauqua|019|Elgin|10/13/1978|03/25/2023||||370256N|0961831W|37.0487694|-96.3085845|||0.0|0.0
469132|Township of Washington|Civil|Kansas|20|Chautauqua|019|Hale|10/13/1978|03/25/2023||||370856N|0960134W|37.1490236|-96.026207|||0.0|0.0
469133|Otter Creek|Stream|Kansas|20|Chautauqua|019|Chautauqua|10/13/1978|||||370155N|0960959W|37.0320022|-96.1663779|370238N|0960918W|37.0438889|-96.155
469137|Township of Little Caney|Civil|Kansas|20|Chautauqua|019|Peru|10/13/1978|03/25/2023||||370247N|0960132W|37.0463786|-96.0255782|||0.0|0.0
469138|Peru|Populated Place|Kansas|20|Chautauqua|019|Peru|10/13/1978|06/07/2022||||370519N|0960541W|37.0886713|-96.0947095|||0.0|0.0
469139|Niotaze|Populated Place|Kansas|20|Chautauqua|019|Peru|10/13/1978|06/07/2022||||370425N|0960049W|37.0736771|-96.0135947|||0.0|0.0
469140|Niotaze Lake|Lake|Kansas|20|Chautauqua|019|Peru|10/13/1978|||||370514N|0960150W|37.0872866|-96.0305403|||0.0|0.0
