feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
32304|New Tanks|Reservoir|Massachusetts|25|Berkshire|003|North Adams|06/27/1984|02/18/2018||||424221N|0730151W|42.705867|-73.0307731|||0.0|0.0
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
205670|Bradley Brook|Stream|Connecticut|09|Capitol|110|Tariffville|09/12/1979|10/19/2015||||415841N|0724801W|41.9781517|-72.8003741|420137N|0724851W|42.0269609|-72.8140426
205772|Browns Brook|Stream|Massachusetts|25|Hampden|013|Wales|09/12/1979|07/08/2015||||420202N|0720915W|42.0339846|-72.1542437|420001N|0721118W|42.0002778|-72.1883333
206357|Cohasse Brook|Stream|Massachusetts|25|Worcester|027|Southbridge|09/12/1979|11/04/2010||||420424N|0720129W|42.0734287|-72.0247971|420119N|0720346W|42.0219444|-72.0627778
206423|Conn Cove|Bay|Massachusetts|25|Hampden|013|Southwick|09/12/1979|||||420057N|0724534W|42.0159288|-72.7595387|||0.0|0.0
206425|Connecticut River|Stream|Connecticut|09|Lower Connecticut River Valley|130|Old Lyme|04/18/2023|04/18/2023|Official|Board Decision|01/01/1931|411620N|0721958W|41.272313|-72.332687|451357N|0711141W|45.232512|-71.194839
206543|Crow Hill Brook|Stream|Connecticut|09|Capitol|110|Monson|09/12/1979|||||420102N|0721921W|42.0173179|-72.3225808|420204N|0722021W|42.0344444|-72.3391667
206660|Delphi Brook|Stream|Connecticut|09|Capitol|110|Monson|04/18/2023|04/18/2023||||420058N|0721521W|42.016238|-72.25575|420241N|0721357W|42.044674|-72.232447
206698|Dismal Brook|Stream|Connecticut|09|Capitol|110|Tariffville|09/12/1979|07/08/2015||||415920N|0724917W|41.9889847|-72.8214861|420244N|0725028W|42.0455144|-72.8411413
206792|East Branch Salmon Brook|Stream|Connecticut|09|Capitol|110|Tariffville|09/12/1979|07/08/2015||||415634N|0724650W|41.9428746|-72.7806512|420306N|0725135W|42.0517608|-72.8598208
207169|Fourmile Brook|Stream|Massachusetts|25|Hampden|013|Springfield South|09/12/1979|07/08/2015||||420220N|0723707W|42.0389843|-72.6187007|415956N|0723822W|41.9989603|-72.6395576
207179|Fox Brook|Stream|Connecticut|09|Capitol|110|Southwick|09/12/1979|10/19/2015||||420130N|0725136W|42.0250948|-72.8600988|420235N|0725331W|42.0429928|-72.8918852
207207|French River|Stream|Connecticut|09|Northeastern Connecticut|150|Putnam|09/12/1979|09/28/2018||||415633N|0715353W|41.9425977|-71.8981278|421225N|0715525W|42.2070377|-71.9236845
207313|Ginger Creek|Stream|Massachusetts|25|Berkshire|003|South Sandisfield|09/12/1979|07/08/2015||||420243N|0731401W|42.0453704|-73.2337242|420145N|0731211W|42.0292184|-73.2031383
207603|Halfway Brook|Stream|Massachusetts|25|Hampden|013|West Granville|09/12/1979|07/08/2015||||420308N|0725730W|42.0523159|-72.9584362|420212N|0725828W|42.0367952|-72.9745724
207634|Hamilton Reservoir|Reservoir|Massachusetts|25|Hampden|013|Wales|09/12/1979|05/18/2018||||420327N|0720919W|42.0576014|-72.1553258|||0.0|0.0
207714|Hatchet Brook|Stream|Massachusetts|25|Worcester|027|Southbridge|09/12/1979|11/04/2010||||420417N|0720337W|42.0714843|-72.0603532|420133N|0720517W|42.0258333|-72.0880556
208000|Hubbard River|Stream|Connecticut|09|Northwest Hills|160|West Granville|09/12/1979|09/28/2018|Official|Board Decision|01/01/1983|420150N|0725603W|42.0306499|-72.9342686|420452N|0725825W|42.0811111|-72.9736111
208425|Lebanon Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Eastford|09/12/1979|03/03/2021||||415953N|0720509W|41.9981138|-72.0859503|420418N|0720049W|42.0717613|-72.0136353
208545|Long Branch Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Webster|09/12/1979|03/03/2021||||420048N|0715259W|42.0134721|-71.8829913|420145N|0715211W|42.029213|-71.8696152
208779|May Brook|Stream|Massachusetts|25|Hampden|013|Wales|09/12/1979|07/08/2015||||420157N|0720956W|42.0325957|-72.1656328|420048N|0721128W|42.0132122|-72.1911674
209108|Mountain Brook|Stream|Massachusetts|25|Hampden|013|Southwick|09/12/1979|07/08/2015||||420018N|0724617W|42.0050957|-72.7714837|420148N|0724354W|42.0301242|-72.7316153
209125|Muddy Brook|Stream|Connecticut|09|Capitol|110|Windsor Locks|09/12/1979|||||415829N|0723926W|41.9748187|-72.6573132|420221N|0724024W|42.0392619|-72.6734247
209330|North Brook|Stream|Connecticut|09|Northwest Hills|160|Tolland Center|09/12/1979|||||420050N|0730532W|42.0139829|-73.0923309|420307N|0730646W|42.0519444|-73.1127778
209735|Philo Brook|Stream|Connecticut|09|Capitol|110|Windsor Locks|09/12/1979|07/08/2015||||415948N|0723937W|41.9967629|-72.6603687|420436N|0724034W|42.0767823|-72.6762474
209960|Potash Brook|Stream|Connecticut|09|Capitol|110|Monson|09/12/1979|07/08/2015||||420102N|0721528W|42.0173178|-72.2578567|420211N|0721543W|42.0362857|-72.2620195
210057|Quinebaug River|Stream|Connecticut|09|Southeastern Connecticut|180|Norwich|09/12/1979|03/03/2021||||413323N|0720243W|41.5564871|-72.0453541|420408N|0720911W|42.0688653|-72.1531136
210099|Raspberry Brook|Stream|Massachusetts|25|Hampden|013|Springfield South|09/12/1979|07/08/2015||||420140N|0723614W|42.0278734|-72.6039779|420140N|0723413W|42.0277778|-72.5702778
210256|Rockadundee Brook|Stream|Massachusetts|25|Hampden|013|Hampden|09/12/1979|||||420302N|0722309W|42.050651|-72.385916|420049N|0722236W|42.0136111|-72.3766667
