feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
213584|Back Creek|Stream|Maryland|24|Cecil|015|North East|08/02/1979|11/04/2010||||393100N|0755309W|39.516781|-75.8857742|393035N|0754310W|39.509834|-75.7193765
213677|Blackwater Creek|Stream|Delaware|10|Sussex|005|Hebron|08/02/1979|||||382721N|0754051W|38.45595|-75.6807626|382743N|0753731W|38.4619444|-75.6252778
213708|Brights Branch|Stream|Delaware|10|Sussex|005|Seaford West|08/02/1979|07/08/2015||||384340N|0754308W|38.7278915|-75.71882|384335N|0753919W|38.7262515|-75.6552208
213731|Burrsville Branch|Stream|Delaware|10|Kent|001|Burrsville|08/02/1979|07/08/2015||||385323N|0754452W|38.889836|-75.7477094|385347N|0754305W|38.8964496|-75.7180549
213797|Choptank River|Stream|Maryland|24|Dorchester|019|Tilghman|08/02/1979|07/09/2014||||383804N|0761936W|38.6345644|-76.3266152|390404N|0754413W|39.0678909|-75.7368756
213850|Cypress Branch|Stream|Maryland|24|Kent|029|Millington|08/02/1979|09/03/2014||||391513N|0755005W|39.253724|-75.834739|392136N|0754353W|39.3601113|-75.7313211
213953|Fenwick Island|Island|Delaware|10|Sussex|005|Assawoman Bay|08/02/1979|07/17/2014|Official|Board Decision|01/01/1942|382712N|0750254W|38.4534458|-75.0482366|||0.0|0.0
214016|Gravelly Branch|Stream|Delaware|10|Kent|001|Denton|08/02/1979|07/08/2015||||385945N|0754706W|38.9959471|-75.7849327|385850N|0754405W|38.9806695|-75.7346531
214024|Great Bohemia Creek|Stream|Maryland|24|Cecil|015|Cecilton|08/02/1979|11/04/2010||||392735N|0755127W|39.4598356|-75.857439|392852N|0754421W|39.4812228|-75.7390994
214027|Green Briar Branch|Stream|Delaware|10|Sussex|005|Seaford West|08/02/1979|11/29/2005||||383810N|0754009W|38.6361111|-75.6691667|383857N|0754249W|38.6491667|-75.7136111
214081|Herring Branch|Stream|Delaware|10|New Castle|003|Cecilton|08/02/1979|07/08/2015||||392235N|0754824W|39.3765006|-75.8066024|392126N|0754519W|39.3570923|-75.7554149
214087|Herron Run|Stream|Delaware|10|Kent|001|Denton|08/02/1979|07/09/2015||||385916N|0754525W|38.9878917|-75.7568761|385926N|0754240W|38.9904602|-75.7110854
214091|Hickman Ditch|Stream|Delaware|10|Kent|001|Hickman|08/02/1979|07/09/2015||||384954N|0754322W|38.8317803|-75.7227087|385050N|0754439W|38.8473238|-75.7441235
