feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
561007|MacDonald Brook|Stream|Maine|23|Aroostook|003|Houlton South|09/30/1980|||||460545N|0674623W|46.0958868|-67.7730724|460438N|0674715W|46.0772222|-67.7875
561008|Sheean Brook|Stream|Maine|23|Aroostook|003|North Amity|09/30/1980|||||455655N|0674418W|45.9486679|-67.7383471|460045N|0675024W|46.012555|-67.840017
561009|Greenwood Stream|Stream|Maine|23|Somerset|025|New Vineyard|09/30/1980|||||445102N|0700046W|44.8506137|-70.0128399|445008N|0700338W|44.8355556|-70.0605556
561010|Hilton Brook|Stream|Maine|23|Somerset|025|Embden Pond|09/30/1980|||||445237N|0695848W|44.8770024|-69.9800615|444956N|0700220W|44.8322803|-70.0389513
561011|Brann Brook|Stream|Maine|23|Lincoln|015|North Whitefield|09/30/1980|||||441500N|0693144W|44.2500728|-69.5289325|441456N|0692936W|44.2489623|-69.493377
561014|Dan Hill Brook|Stream|Maine|23|Washington|029|Whitneyville|09/30/1980|||||444258N|0673102W|44.7161881|-67.5172152|444507N|0673435W|44.7520207|-67.5763836
561015|Deer Meadow Brook|Stream|Maine|23|Lincoln|015|Damariscotta|09/30/1980|||||440051N|0693545W|44.0142454|-69.5958802|440834N|0693122W|44.1428539|-69.5228232
561016|Goat Island|Island|Maine|23|Oxford|017|Casco|09/30/1980|06/14/2018||||440555N|0703010W|44.0986523|-70.5027902|||0.0|0.0
561017|Hall Brook|Stream|Maine|23|Franklin|007|New Vineyard|09/30/1980|||||445102N|0700046W|44.8506137|-70.0128399|445052N|0700404W|44.8477778|-70.0677778
561018|Hawkes Hill|Summit|Maine|23|Androscoggin|001|Oxford|09/30/1980|07/23/2022||||440846N|0702350W|44.146201|-70.3972395|||0.0|0.0
561019|Huntley Brook|Stream|Maine|23|Washington|029|Princeton|09/30/1980|||||451348N|0673524W|45.2300721|-67.5899987|452229N|0674158W|45.3747924|-67.6994471
561020|Marstons Hill|Summit|Maine|23|Androscoggin|001|Lake Auburn West|09/30/1980|07/02/2022||||440931N|0701655W|44.158711|-70.2818196|||0.0|0.0
