feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
432503|Christiana Creek|Stream|Indiana|18|Elkhart|039|Elkhart|02/14/1979|04/22/2015|Official|Board Decision|01/01/1968|414134N|0855805W|41.692827|-85.9680558|415818N|0855310W|41.9715316|-85.8860017
432725|Cobus Creek|Stream|Indiana|18|Elkhart|039|Osceola|02/14/1979|||||414109N|0860237W|41.6858821|-86.0436134|414628N|0860309W|41.774493|-86.0525038
434510|Fish Lake|Lake|Michigan|26|St. Joseph|149|Constantine|02/14/1979|06/13/2023||||414538N|0853830W|41.7606447|-85.641703|||0.0|0.0
436796|Indiana Lake|Lake|Michigan|26|Cass|027|Mottville|02/14/1979|06/13/2023||||414538N|0854958W|41.7606271|-85.8327245|||0.0|0.0
438270|Long Lake|Lake|Indiana|18|Steuben|151|Clear Lake|02/14/1979|05/19/2023||||414450N|0844824W|41.7473246|-84.8065885|||0.0|0.0
441121|Pigeon River|Stream|Michigan|26|St. Joseph|149|Mottville|04/14/1980|08/06/2014|Official|Board Decision|01/01/1949|414546N|0854707W|41.7628279|-85.7852717|414104N|0851647W|41.6844946|-85.2796975
443976|Spring Creek|Stream|Michigan|26|Berrien|021|New Buffalo East|04/14/1980||Official|Board Decision|01/01/1963|414542N|0863925W|41.7617097|-86.6569678|414304N|0863659W|41.7178216|-86.6164103
444920|Trout Creek|Stream|Indiana|18|Elkhart|039|Bristol|02/14/1979|||||414457N|0854821W|41.7492169|-85.8058277|414930N|0854741W|41.8250488|-85.794718
449509|Little Fawn River|Stream|Indiana|18|Steuben|151|Kinderhook|10/01/1982||Official|Board Decision|01/01/1965|414600N|0850019W|41.7667168|-85.0052421|414445N|0845532W|41.7458833|-84.925517
449515|Lake Michiana|Lake|Michigan|26|Branch|023|Kinderhook|01/01/2000|06/13/2023|Official|Board Decision|01/01/1970|414540N|0850354W|41.7612356|-85.0648979|||0.0|0.0
452582|Dowling Creek|Stream|Michigan|26|Berrien|021|Three Oaks|04/14/1980|||||414949N|0863256W|41.8303219|-86.5489093|414457N|0863021W|41.7492122|-86.5058518
452598|Fawn River|Stream|Michigan|26|St. Joseph|149|Constantine|02/14/1979||Official|Board Decision|01/01/1965|415045N|0854002W|41.8458824|-85.6672138|414419N|0851001W|41.7386614|-85.1669151
463298|Wolf Creek Drainage Ditch|Canal|Iowa|19|Woodbury|193|Climbing Hill|01/01/2000|||||421560N|0960313W|42.2666577|-96.0536262|||0.0|0.0
619739|Green Bay|Bay|Michigan|26|Delta|041||04/14/1980|||||453352N|0865436W|45.5644193|-86.9101268|||0.0|0.0
619740|Antes Drain|Stream|Michigan|26|Monroe|115|Maybee|04/14/1980|||||420003N|0833015W|42.0008782|-83.5041014|420005N|0833201W|42.0013889|-83.5336111
619741|Baker McPherson Drain|Canal|Michigan|26|Tuscola|157|Frankenmuth|04/14/1980|||||431740N|0833801W|43.2944688|-83.6335703|||0.0|0.0
619742|Brown Creek|Stream|Michigan|26|Mecosta|107|Mecosta NW|04/14/1980|||||434443N|0850933W|43.7453032|-85.1592014|434544N|0851100W|43.7622469|-85.1833695
619743|Chenango Lake|Lake|Michigan|26|Livingston|093|Howell|04/14/1980|10/21/2019|Official|Board Decision|07/09/1974|423015N|0835339W|42.5042181|-83.894221|||0.0|0.0
619744|Shulters and Stubbs Drain|Canal|Michigan|26|Clinton|037|Saint Johns North|04/14/1980|||||430120N|0843037W|43.0222535|-84.510262|||0.0|0.0
619750|Garrison Drain|Stream|Michigan|26|Lenawee|091|Hudson|04/14/1980|||||415036N|0842049W|41.8433816|-84.3468914|415306N|0841909W|41.8850473|-84.3191131
619751|Gold Mine Creek|Stream|Michigan|26|Marquette|103|Negaunee SW|04/14/1980|||||463125N|0874236W|46.5235457|-87.7101351|463105N|0874635W|46.5179906|-87.7765237
619752|Hartland Millpond|Lake|Michigan|26|Livingston|093|West Highland|04/14/1980|||||423907N|0834457W|42.6519748|-83.749113|||0.0|0.0
619753|Holley and Day Drain|Canal|Michigan|26|Ingham|065|Aurelius|04/14/1980|||||423703N|0843152W|42.617536|-84.5310882|||0.0|0.0
619754|Jose Creek|Stream|Michigan|26|Clare|035|Browns Corners|04/14/1980|||||435809N|0844404W|43.9691878|-84.7344637|435932N|0844527W|43.9922424|-84.7575206
619755|Little Bull Diversion Canal|Canal|Michigan|26|Iron|071|Lake Mary|04/14/1980|||||460102N|0881440W|46.0171743|-88.2445793|||0.0|0.0
619756|McGeach Creek|Stream|Michigan|26|Charlevoix|029|Charlevoix|04/14/1980||Official|Board Decision|01/01/1969|451810N|0851935W|45.3027836|-85.3264609|451303N|0851933W|45.2175051|-85.3259058
619758|Cedar Lake|Lake|Michigan|26|Alcona|001|Greenbush|04/14/1980|05/14/2019||||443127N|0831955W|44.5242846|-83.3320149|||0.0|0.0
619759|Clear Lake|Lake|Michigan|26|Alcona|001|Bucks Pond|04/14/1980|05/14/2019||||443730N|0834451W|44.6251017|-83.7474981|||0.0|0.0
619761|Muskegon Newaygo Drain|Canal|Michigan|26|Muskegon|121|Sullivan|04/14/1980|||||431320N|0860105W|43.2222411|-86.0181078|||0.0|0.0
619765|Porcupine Lakes|Lake|Michigan|26|Otsego|137|Elmira|04/14/1980|05/14/2019||||450354N|0844513W|45.0650436|-84.7536405|||0.0|0.0
619766|Porter Creek|Stream|Michigan|26|Shiawassee|155|New Lothrop|04/14/1980|||||430655N|0835757W|43.115306|-83.9658002|425932N|0840317W|42.9922514|-84.0546879
619767|Remey Chandler Drain|Stream|Michigan|26|Clinton|037|Bath|04/14/1980|||||424656N|0842812W|42.7822564|-84.4699768|424739N|0843001W|42.7942009|-84.5002559
619768|Saganing Drain|Canal|Michigan|26|Bay|017|Mount Forest|04/14/1980|||||435453N|0840259W|43.9147438|-84.049714|||0.0|0.0
619769|Sand Creek|Stream|Michigan|26|Kalamazoo|077|Gobles East|04/14/1980|||||422054N|0854555W|42.3483697|-85.765292|422230N|0854130W|42.3750367|-85.6916798
619770|Sauk River|Stream|Michigan|26|Branch|023|Coldwater West|04/14/1980|08/27/2009|Official|Board Decision|08/10/1965|415623N|0850151W|41.9397707|-85.0308007|415522N|0845426W|41.922826|-84.9071859
619771|Nookomis kabekong|Stream|Michigan|26|Delta|041|Cornell|04/14/1980|09/08/2022|Official|Secretarial Order|09/08/2022|455813N|0871321W|45.970237|-87.2226379|460230N|0871311W|46.041623|-87.2195835
619772|Summer Meadow Creek|Stream|Michigan|26|Delta|041|Rock|04/14/1980|||||460138N|0871402W|46.0271789|-87.2340275|460519N|0871658W|46.0885647|-87.2826389
619773|Lake Wequos|Lake|Michigan|26|Otsego|137|Otsego Lake|04/14/1980|05/14/2019|Official|Board Decision|01/01/1930|445827N|0844448W|44.9740654|-84.7465284|||0.0|0.0
619774|West Branch Net River|Stream|Michigan|26|Iron|071|Tunis|04/14/1980||Official|Board Decision|01/01/1968|462233N|0883010W|46.3757788|-88.5029152|463110N|0883140W|46.5193858|-88.5279155
619775|2 Lake|Lake|Michigan|26|Marquette|103|Silver Lake Basin|04/14/1980|09/21/2018||||463826N|0874554W|46.6406256|-87.7650731|||0.0|0.0
619776|3 Lake|Lake|Michigan|26|Marquette|103|Silver Lake Basin|04/14/1980|09/21/2018||||463825N|0874536W|46.6404007|-87.7600971|||0.0|0.0
619777|8 Lake|Lake|Michigan|26|Marquette|103|Silver Lake Basin|04/14/1980|09/21/2018||||463824N|0874611W|46.6401229|-87.7698548|||0.0|0.0
619778|Tallahassee Creek|Stream|Michigan|26|Branch|023|California|04/14/1980|||||415129N|0845715W|41.8581046|-84.9541305|414601N|0845213W|41.766994|-84.8702376
619779|A Pool|Reservoir|Michigan|26|Schoolcraft|153|Germfask|04/14/1980|07/07/2023||||461458N|0855733W|46.2495604|-85.9592908|||0.0|0.0
619780|A-Two Pool|Reservoir|Michigan|26|Schoolcraft|153|Driggs Lake SE|04/14/1980|07/07/2023||||461652N|0860132W|46.281021|-86.025633|||0.0|0.0
619782|Abbaye Peninsula|Cape|Michigan|26|Baraga|013|Skanee North|04/14/1980|||||465432N|0881431W|46.9088163|-88.2420682|||0.0|0.0
619783|Abbey Drain|Canal|Michigan|26|Saginaw|145|Hemlock|04/14/1980|||||432514N|0840942W|43.4205821|-84.1616483|||0.0|0.0
619784|Abbott Drain|Canal|Michigan|26|Ingham|065|Aurelius|04/14/1980|||||423713N|0843358W|42.6203138|-84.5660895|||0.0|0.0
619785|Abbott Drain|Canal|Michigan|26|Lapeer|087|Attica|04/14/1980|||||430527N|0831414W|43.0908604|-83.2371658|||0.0|0.0
619786|Abbott Drain|Stream|Michigan|26|Lenawee|091|Jasper|04/14/1980|||||414635N|0840217W|41.7764392|-84.0380004|414614N|0840442W|41.7705556|-84.0783333
619793|Abernathy Lake|Lake|Michigan|26|Van Buren|159|Gobles West|04/14/1980|05/24/2023||||421900N|0855918W|42.3166677|-85.9882554|||0.0|0.0
619798|Ackerman Drain|Canal|Michigan|26|Tuscola|157|Fish Point|04/14/1980|||||433857N|0833059W|43.6491857|-83.5163507|||0.0|0.0
619799|Ackerman Lake|Lake|Michigan|26|Livingston|093|Brighton|04/14/1980|10/21/2019||||423436N|0834815W|42.5766815|-83.8040803|||0.0|0.0
619800|Ackerman Lake|Lake|Michigan|26|Alger|003|Forest Lake|04/14/1980|05/19/2023||||461954N|0864751W|46.3315367|-86.7974475|||0.0|0.0
619801|Ackerson Lake|Lake|Michigan|26|Jackson|075|Michigan Center|04/14/1980|11/09/2018||||421113N|0842102W|42.187056|-84.3504727|||0.0|0.0
619803|Ackley Creek|Stream|Michigan|26|Calhoun|025|Bellevue|04/14/1980|||||422436N|0850306W|42.410039|-85.0516574|422424N|0845913W|42.4067058|-84.9869324
619804|Ackley Lake|Lake|Michigan|26|Calhoun|025|Olivet|04/14/1980|11/09/2018||||422433N|0845902W|42.409247|-84.9839162|||0.0|0.0
619805|Ackley Lake|Lake|Michigan|26|Van Buren|159|Paw Paw|04/14/1980|06/13/2023||||421354N|0855245W|42.2315344|-85.879165|||0.0|0.0
619807|Acme|Populated Place|Michigan|26|Grand Traverse|055|Traverse City SE|04/14/1980|06/07/2022||||444619N|0853005W|44.7719461|-85.5014607|||0.0|0.0
619808|Acme Creek|Stream|Michigan|26|Grand Traverse|055|Traverse City SE|04/14/1980|||||444628N|0853015W|44.7744461|-85.5042387|444402N|0852843W|44.7338911|-85.4786803
619810|Ada|Populated Place|Michigan|26|Kent|081|Cascade|04/14/1980|06/07/2022||||425715N|0852920W|42.9541963|-85.4889121|||0.0|0.0
619812|Lewis Branch Adair Creek|Stream|Michigan|26|Cheboygan|031|Tower|04/14/1980|||||451936N|0842212W|45.3266795|-84.3700215|451822N|0842302W|45.3061242|-84.3839106
619813|Adair Creek|Stream|Michigan|26|Cheboygan|031|Legrand|04/14/1980|||||452247N|0842540W|45.3797346|-84.4278044|452159N|0842647W|45.3664015|-84.4464162
619815|Adams Creek|Stream|Michigan|26|Charlevoix|029|Ironton|04/14/1980|||||451536N|0851444W|45.2600077|-85.245622|451343N|0851335W|45.2286186|-85.2264541
619816|Adams Drain|Canal|Michigan|26|Saginaw|145|Chesaning East|04/14/1980|||||431045N|0840411W|43.1791935|-84.0696949|||0.0|0.0
619817|Adams Drain|Canal|Michigan|26|Genesee|049|Otisville|04/14/1980|||||431209N|0833608W|43.2025253|-83.6021788|||0.0|0.0
619818|Adams Drain|Canal|Michigan|26|Lapeer|087|Clifford|04/14/1980|||||431752N|0831231W|43.2978026|-83.2085569|||0.0|0.0
619819|Adams Drain|Canal|Michigan|26|Tuscola|157|Clifford|04/14/1980|||||432005N|0831244W|43.3347462|-83.2121682|||0.0|0.0
619820|Adams Drain|Stream|Michigan|26|Wayne|163|Flat Rock NE|04/14/1980|||||420855N|0831943W|42.1486522|-83.3285419|420930N|0832054W|42.1583333|-83.3483333
619823|Adams Lake|Lake|Michigan|26|Barry|015|Cloverdale|04/14/1980|11/09/2018||||423045N|0852929W|42.5125861|-85.4912667|||0.0|0.0
619824|Adams Lake|Lake|Michigan|26|Otsego|137|Johannesburg|04/14/1980|05/14/2019||||445901N|0842251W|44.9835782|-84.3808954|||0.0|0.0
619825|Adams Lake|Lake|Michigan|26|Charlevoix|029|Ironton|04/14/1980|09/27/2018||||451548N|0851445W|45.2633245|-85.2458808|||0.0|0.0
619826|Adams Park|Populated Place|Michigan|26|Kalamazoo|077|Adams Park|04/14/1980|06/07/2022||||420914N|0852822W|42.1539342|-85.4727744|||0.0|0.0
619827|Adams Point|Cape|Michigan|26|Presque Isle|141|Adams Point|04/14/1980|||||452452N|0834260W|45.4144586|-83.7166595|||0.0|0.0
619835|Lake Adams|Lake|Michigan|26|Hillsdale|059|North Adams|04/14/1980|06/13/2023||||415540N|0843219W|41.9278351|-84.5386928|||0.0|0.0
619836|Adamsville|Populated Place|Michigan|26|Cass|027|Adamsville|04/14/1980|06/07/2022||||414707N|0855938W|41.7853265|-85.9938917|||0.0|0.0
619838|Lake Addie|Lake|Michigan|26|Keweenaw|083|Lake Medora|04/14/1980|05/19/2023||||472451N|0875445W|47.4140666|-87.9124329|||0.0|0.0
619839|Addis Creek|Stream|Michigan|26|Missaukee|113|Addis Creek|04/14/1980|||||442543N|0845351W|44.428625|-84.8975356|442542N|0845937W|44.4283333|-84.9936111
619840|Addison|Populated Place|Michigan|26|Lenawee|091|Addison|04/14/1980|06/07/2022||||415911N|0842050W|41.9864341|-84.3471684|||0.0|0.0
619841|Addison Millpond|Lake|Michigan|26|Lenawee|091|Addison|04/14/1980|11/14/2018||||415925N|0842048W|41.9901737|-84.3465777|||0.0|0.0
619842|Addy Drain|Stream|Michigan|26|Iosco|069|Hale SE|04/14/1980|||||442102N|0834738W|44.3505729|-83.793875|442147N|0835007W|44.3630556|-83.8352778
619843|Adelaide Island|Island|Michigan|26|Chippewa|033|Burnt Island|04/14/1980|||||460021N|0834946W|46.0058538|-83.8294487|||0.0|0.0
619846|Adrian|Populated Place|Michigan|26|Lenawee|091|Adrian|04/14/1980|06/07/2022||||415351N|0840214W|41.8975471|-84.0371659|||0.0|0.0
619850|Lake Adrian|Reservoir|Michigan|26|Lenawee|091|Adrian|04/14/1980|05/19/2023||||415455N|0840228W|41.9152842|-84.0412173|||0.0|0.0
619851|Advance|Census|Michigan|26|Charlevoix|029|Boyne City|04/14/1980|06/02/2022||||451317N|0850439W|45.221397|-85.0775567|||0.0|0.0
619853|Advance Island|Island|Michigan|26|Chippewa|033|Baie de Wasai|04/14/1980|||||462241N|0840840W|46.3780747|-84.1444716|||0.0|0.0
619854|Advent Creek|Stream|Michigan|26|Menominee|109|Seagull Point|04/14/1980|||||453658N|0872132W|45.6160813|-87.3590154|454038N|0872111W|45.6771905|-87.3531846
619856|Advent Swamp|Swamp|Michigan|26|Kalkaska|079|Sigma|04/14/1980|||||443908N|0850200W|44.6522317|-85.0333791|||0.0|0.0
619860|Aetna Creek|Stream|Michigan|26|Keweenaw|083|Lake Medora|04/14/1980|||||472714N|0875316W|47.4537945|-87.8878866|472659N|0875525W|47.4497222|-87.9236111
619862|Agate Beach|Beach|Michigan|26|Ontonagon|131|Rockhouse Point|04/14/1980|||||470224N|0885532W|47.0399314|-88.9256858|||0.0|0.0
619863|Agate Beach|Beach|Michigan|26|Keweenaw|083|Windigo|04/14/1980|||||475455N|0891234W|47.9151686|-89.2095319|||0.0|0.0
619865|Agate Harbor|Bay|Michigan|26|Keweenaw|083|Delaware|04/14/1980|||||472815N|0880329W|47.4707418|-88.0581603|||0.0|0.0
619866|Agate Point|Cape|Michigan|26|Keweenaw|083|Delaware|04/14/1980|||||472820N|0880241W|47.4721303|-88.044827|||0.0|0.0
619867|Aginaw Lake|Lake|Michigan|26|Shiawassee|155|Corunna SE|04/14/1980|03/14/2019||||424933N|0840302W|42.8257942|-84.0505344|||0.0|0.0
619868|Agnew|Populated Place|Michigan|26|Ottawa|139|Port Sheldon|04/14/1980|06/07/2022||||425754N|0861036W|42.9650201|-86.1767153|||0.0|0.0
