feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
454693|Blood Run|Stream|Iowa|19|Lyon|119|Klondike|04/30/1979|11/22/2010||||432753N|0963507W|43.4646983|-96.5853224|433209N|0962411W|43.5359|-96.40303
454862|Brown Creek|Stream|Iowa|19|Emmet|063|Estherville|04/30/1979|||||432248N|0944838W|43.3799588|-94.8105409|433120N|0944550W|43.5221788|-94.763873
455153|Canoe Creek|Stream|Iowa|19|Winneshiek|191|Hanover|04/30/1979|07/13/2018||||432203N|0913701W|43.3674729|-91.6168122|433018N|0915055W|43.5049674|-91.8484874
455860|Deer Creek|Stream|Iowa|19|Mitchell|131|Saint Ansgar|04/30/1979|||||432252N|0925624W|43.381078|-92.9399182|433328N|0931303W|43.557736|-93.217426
455861|Deer Creek|Stream|Iowa|19|Winneshiek|191|Cresco NE|04/30/1979|||||432815N|0920016W|43.4707999|-92.0043279|433140N|0920010W|43.5277437|-92.0026602
456043|Duck Creek|Stream|Iowa|19|Allamakee|005|Dorchester|04/30/1979|11/22/2010||||432844N|0913109W|43.47877|-91.51907|433214N|0913031W|43.53713|-91.50856
456143|East Fork Des Moines River|Stream|Iowa|19|Humboldt|091|Humboldt|04/30/1979|||||424038N|0941154W|42.6771931|-94.1982949|434251N|0945432W|43.7141234|-94.9088753
456316|Elliott Creek|Stream|Iowa|19|Winneshiek|191|Cresco NE|04/30/1979|||||432816N|0920013W|43.4710777|-92.0034945|433148N|0920212W|43.5299658|-92.03655
457830|Iowa Lake|Lake|Minnesota|27|Nobles|105|Round Lake|04/30/1979|06/20/2018||||433006N|0952725W|43.5017072|-95.4569533|||0.0|0.0
458453|Little Cedar River|Stream|Iowa|19|Chickasaw|037|Nashua|04/30/1979|07/31/2018||||425702N|0923139W|42.9505316|-92.5274064|433916N|0924522W|43.6544087|-92.7560173
459026|Middle Branch Blue Earth River|Stream|Minnesota|27|Faribault|043|Elmore|04/30/1979|03/16/2015||||433419N|0940612W|43.5718997|-94.1032935|432730N|0934804W|43.458288|-93.8010581
459140|Minnesota Slough|Stream|Iowa|19|Allamakee|005|De Soto|04/30/1979|11/22/2010||||432854N|0911354W|43.4816404|-91.231799|433341N|0911528W|43.561361|-91.257911
459381|Mud Creek|Stream|Iowa|19|Lyon|119|Doon|04/30/1979|||||431653N|0961459W|43.2813677|-96.2497473|433655N|0961726W|43.6152484|-96.2905882
459552|North Bear Creek|Stream|Iowa|19|Winneshiek|191|Dorchester|04/30/1979|||||432654N|0913657W|43.4483044|-91.6157007|433318N|0914013W|43.5549684|-91.6701466
459796|Ocheyedan River|Stream|Iowa|19|Clay|041|Spencer|04/30/1979|03/05/2018||||430810N|0950910W|43.1360803|-95.1527728|433250N|0953817W|43.5471869|-95.6380667
459814|Okamanpeedan Lake|Reservoir|Iowa|19|Emmet|063|Dolliver|01/11/1980|06/12/2018|Official|Board Decision|01/01/1971|432946N|0943509W|43.4962118|-94.5857968|||0.0|0.0
460135|Pigpen Slough|Stream|Iowa|19|Allamakee|005|De Soto|04/30/1979|||||432935N|0911455W|43.493029|-91.2487437|433019N|0911535W|43.5052508|-91.2598552
460159|Pine Creek|Stream|Iowa|19|Winneshiek|191|Bluffton|04/30/1979|03/27/2018||||432432N|0915350W|43.408836|-91.897266|433322N|0915944W|43.5560768|-91.9954372
460744|Rock River|Stream|Iowa|19|Sioux|167|Hawarden North|04/30/1979|03/27/2018||||430458N|0962716W|43.0827639|-96.4544761|440813N|0960723W|44.1369115|-96.1230846
461563|Shell Rock River|Stream|Iowa|19|Black Hawk|013|Shell Rock|04/30/1979|07/31/2018|Official|Board Decision|04/01/1931|423803N|0923005W|42.6341488|-92.5012982|433642N|0931737W|43.6116242|-93.2935403
461850|Spirit Lake|Lake|Iowa|19|Dickinson|059|Spirit Lake|04/30/1979|06/20/2018||||432839N|0950544W|43.4776049|-95.0956467|||0.0|0.0
462272|Tom Creek|Stream|Iowa|19|Lyon|119|Rock Rapids|04/30/1979|||||432557N|0960954W|43.4324719|-96.1650262|433046N|0955410W|43.5127443|-95.9027974
462496|Upper Iowa River|Stream|Iowa|19|Allamakee|005|De Soto|04/30/1979|03/27/2018|Official|Board Decision|01/01/1891|432759N|0911401W|43.4663629|-91.2337434|433715N|0923722W|43.6207977|-92.6226791
