feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
45879|Anthony Branch|Stream|Missouri|29|Howell|091|Koshkonong|04/30/1980|06/28/2010||||363007N|0914343W|36.501944|-91.728673|362934N|0914601W|36.4928413|-91.7668137
46118|Barren Creek|Stream|Arkansas|05|Baxter|005|Gamaliel|04/30/1980|11/03/2011||||362917N|0921434W|36.48818|-92.24267|363320N|0921036W|36.5556189|-92.1765453
46166|Bay Creek|Stream|Arkansas|05|Randolph|121|Dalton|04/30/1980|11/03/2011||||362905N|0910951W|36.48462|-91.16427|363051N|0910610W|36.51412|-91.10265
46167|Bay Creek|Stream|Arkansas|05|Fulton|049|Salem Knob|04/30/1980|02/14/2012||||362727N|0915150W|36.4574774|-91.8637973|363236N|0915712W|36.54324|-91.95344
46262|Beaver Creek|Stream|Missouri|29|Barry|009|Seligman|04/30/1980|05/08/2013||||363136N|0935258W|36.526536|-93.882723|362950N|0935453W|36.4972932|-93.9146433
46299|Bee Creek|Stream|Missouri|29|Taney|213|Mincy|04/30/1980|11/08/2011||||363035N|0930343W|36.50979|-93.06197|362912N|0931132W|36.48673|-93.19213
46386|Bennetts Bayou|Stream|Arkansas|05|Baxter|005|Gamaliel|04/30/1980|10/15/2009||||362600N|0921257W|36.4333985|-92.2157122|363643N|0920111W|36.6119444|-92.0197222
46387|Bennetts River|Stream|Arkansas|05|Baxter|005|Gamaliel|04/30/1980|01/11/2012||||362543N|0921154W|36.42867|-92.19838|363621N|0915947W|36.60578|-91.99638
46524|Big Creek|Stream|Missouri|29|Taney|213|Protem|04/30/1980|11/08/2011||||363218N|0924722W|36.5384|-92.78933|363516N|0924643W|36.5879|-92.77873
46702|Blair Branch|Stream|Arkansas|05|Boone|009|Denver|04/30/1980|02/09/2012||||362932N|0931636W|36.49234|-93.27672|363004N|0931331W|36.50105|-93.22535
47123|Buck Creek|Stream|Missouri|29|Taney|213|Peel|04/30/1980|11/10/2011||||362958N|0924852W|36.49939|-92.81456|363057N|0924956W|36.51588|-92.83228
47235|Butler Creek|Stream|Arkansas|05|Carroll|015|Beaver|04/30/1980|11/10/2011||||362815N|0934631W|36.4709039|-93.7751946|363126N|0935618W|36.52395|-93.93834
47555|Caverna|Populated Place|Missouri|29|McDonald|119|Hiwasse|04/30/1980|06/07/2022||||362959N|0941610W|36.4996324|-94.2693472|||0.0|0.0
47586|Cedar Creek|Stream|Arkansas|05|Marion|089|Cotter NW|04/30/1980|11/10/2011||||362636N|0924139W|36.44342|-92.69425|363158N|0924149W|36.53283|-92.69697
47587|Cedar Creek|Stream|Arkansas|05|Carroll|015|Beaver|04/30/1980|11/10/2011||||362939N|0934720W|36.49404|-93.789|363213N|0934810W|36.53683|-93.80264
48270|Current River|Stream|Arkansas|05|Randolph|121|Pocahontas|04/30/1980|06/22/2018||||361511N|0905445W|36.2531221|-90.9126199|372736N|0914060W|37.4599049|-91.6832685
48457|Deer Lick Creek|Stream|Missouri|29|Ripley|181|Oxly|10/24/1980|||||363020N|0904335W|36.5056158|-90.7265071|363130N|0904643W|36.5250602|-90.778731
48474|Denny Spring Branch|Stream|Arkansas|05|Carroll|015|Viola|04/30/1980|11/16/2011||||363005N|0933455W|36.50132|-93.58186|363029N|0933327W|36.50803|-93.55757
48514|Diles Creek|Stream|Arkansas|05|Randolph|121|Dalton|04/30/1980|11/16/2011||||362712N|0911052W|36.4533965|-91.1812414|363055N|0911947W|36.51534|-91.32986
48558|Dogwood Creek|Stream|Missouri|29|Stone|209|Lampe|04/30/1980|06/28/2010||||363127N|0932718W|36.524191|-93.455|362850N|0932709W|36.4806218|-93.452408
48643|Dry Creek|Stream|Arkansas|05|Randolph|121|Maynard|04/30/1980|02/23/2007||||362938N|0905634W|36.4939|-90.9427|363156N|0910639W|36.5322|-91.1107
48772|East Pigeon Creek|Stream|Arkansas|05|Baxter|005|Clarkridge|04/30/1980|11/16/2011||||362601N|0922017W|36.43375|-92.33799|362948N|0922313W|36.49661|-92.38684
48897|English Creek|Stream|Arkansas|05|Fulton|049|Mammoth Spring|04/30/1980|11/18/2011||||362459N|0913151W|36.41626|-91.53081|363425N|0913743W|36.57356|-91.62866
49315|Gallion Hollow|Valley|Missouri|29|Barry|009|Grandview|04/30/1980|02/05/2019||||362958N|0933554W|36.4994007|-93.598456|362941N|0933658W|36.4948357|-93.6161016
49436|Glaze Creek|Stream|Arkansas|05|Randolph|121|Supply|04/30/1980|||||362945N|0904807W|36.4958942|-90.8020646|362832N|0905352W|36.4756176|-90.8979002
49515|Gordon Hollow|Valley|Missouri|29|McDonald|119|Jane|04/30/1980|12/13/2010||||363056N|0941702W|36.5155556|-94.2838889|362613N|0942152W|36.4370203|-94.3643785
49956|Hay Hollow|Valley|Arkansas|05|Fulton|049|Viola|04/30/1980|01/15/2020||||362904N|0915502W|36.4845078|-91.9172402|363101N|0915453W|36.5169691|-91.9148071
50278|Honey Creek|Stream|Oklahoma|40|Delaware|041|Dodge|04/30/1980|11/21/2011||||363308N|0944436W|36.55209|-94.74345|362638N|0943041W|36.4439649|-94.5113285
50497|Indian Creek|Stream|Missouri|29|Stone|209|Viola|10/24/1980|||||363110N|0933121W|36.5195104|-93.5224099|362326N|0932830W|36.3906239|-93.4749087
50591|Janes Creek|Stream|Arkansas|05|Randolph|121|Imboden|04/30/1980|12/20/2013||||361332N|0911325W|36.2256236|-91.2237412|363250N|0912538W|36.5472836|-91.4273601
51200|Little Black River|Stream|Arkansas|05|Randolph|121|Supply|04/30/1980|||||362517N|0904527W|36.421451|-90.7576177|364448N|0904415W|36.7467223|-90.7376203
51210|Little Buck Creek|Stream|Arkansas|05|Marion|089|Protem|04/30/1980|11/22/2011||||363011N|0924743W|36.50308|-92.79536|363055N|0924721W|36.51522|-92.78926
51214|Little Cane Creek|Stream|Arkansas|05|Clay|021|McDougal|04/30/1980|11/30/2011||||362925N|0902946W|36.4903365|-90.49623|363131N|0902958W|36.52521|-90.49943
51219|Little Cedar Creek|Stream|Arkansas|05|Marion|089|Cotter NW|04/30/1980|01/03/2007||||362919N|0924347W|36.4886768|-92.7296128|363102N|0924232W|36.5172222|-92.7088889
51247|Little Creek|Stream|Arkansas|05|Baxter|005|Gamaliel|04/30/1980|11/23/2011||||362821N|0921035W|36.47263|-92.17628|363132N|0920306W|36.52552|-92.05174
51286|Little Indian Creek|Stream|Missouri|29|Stone|209|Lampe|04/30/1980|08/25/2010||||363346N|0932947W|36.56283|-93.496299|362727N|0932912W|36.4575669|-93.4865755
51301|Little North Fork White River|Stream|Arkansas|05|Marion|089|Cotter NW|04/30/1980|07/31/2008||||362722N|0923803W|36.4561771|-92.6340544|364920N|0923927W|36.82228|-92.6573897
51315|Little River|Stream|Arkansas|05|Mississippi|093|Manila North|04/30/1980|07/13/2018||||355526N|0900751W|35.9239612|-90.1309271|370245N|0894524W|37.0458832|-89.7567527
51518|Luther Creek|Stream|Missouri|29|Ozark|153|Gainesville|04/30/1980|06/29/2010||||363128N|0922413W|36.52443|-92.40365|362940N|0922326W|36.4945092|-92.3904379
51845|McGill Hollow|Valley|Missouri|29|Taney|213|Mincy|10/24/1980|||||363035N|0930728W|36.5097873|-93.1243451|362816N|0930738W|36.4711771|-93.1271227
52001|Mill Creek|Stream|Missouri|29|McDonald|119|Noel|10/24/1980|||||363255N|0942859W|36.5486847|-94.4829947|362824N|0942311W|36.4734086|-94.3863239
52549|Muntz Hollow|Valley|Arkansas|05|Fulton|049|Couch|04/30/1980|12/04/2014||||363003N|0912944W|36.500829|-91.495569|362922N|0912819W|36.4894444|-91.4719444
52566|Myatt Creek|Stream|Arkansas|05|Fulton|049|Stuart|04/30/1980||Official|Board Decision|01/01/1963|362216N|0913126W|36.3711761|-91.5237513|363823N|0914817W|36.6397834|-91.8045922
53015|Old River|Stream|Arkansas|05|Clay|021|Piggott|04/30/1980|||||362803N|0900835W|36.4675598|-90.1431529|362811N|0900837W|36.4697222|-90.1436111
53080|Otter Creek|Stream|Arkansas|05|Benton|007|Jacket|04/30/1980|01/18/2012||||363023N|0940128W|36.5064606|-94.0243689|362802N|0940349W|36.4671975|-94.0635252
53109|Owl Creek|Stream|Missouri|29|Barry|009|Golden|04/30/1980|11/23/2011|Official|Board Decision|01/01/1977|363156N|0934111W|36.5322904|-93.6863036|362738N|0934126W|36.460674|-93.690505
53245|Pea Ridge Hollow|Valley|Missouri|29|McDonald|119|Powell|04/30/1980|12/04/2014||||363022N|0941356W|36.5061857|-94.232152|363020N|0941107W|36.50543|-94.18541
53715|Possum Walk Creek|Stream|Missouri|29|Ozark|153|Gainesville|04/30/1980|11/21/2011||||363233N|0922343W|36.54252|-92.39538|362925N|0922922W|36.4903429|-92.4893284
54274|Ruprecht Hollow|Valley|Missouri|29|Oregon|149|Couch|04/30/1980|02/21/2012||||363015N|0912915W|36.5042289|-91.4873619|362939N|0912748W|36.4942291|-91.4631946
54628|Schremmer Hollow|Valley|Arkansas|05|Sharp|135|Wirth|04/30/1980|03/13/2012||||362852N|0912700W|36.4811738|-91.4501385|362957N|0912659W|36.4991667|-91.4497222
55020|South Fork Brush Creek|Stream|Missouri|29|Stone|209|Table Rock Dam|04/30/1980|07/26/2010||||363020N|0932003W|36.50565|-93.33418|362908N|0932056W|36.4856211|-93.3487946
55023|South Fork Janes Creek|Stream|Missouri|29|Oregon|149|Hardy NE|04/30/1980|02/21/2012||||362955N|0912207W|36.4986734|-91.3687473|363235N|0912549W|36.5431393|-91.4301968
55029|South Fork Spring River|Stream|Arkansas|05|Sharp|135|Hardy|04/30/1980|||||361906N|0912942W|36.3183994|-91.4948614|364036N|0915655W|36.6767275|-91.9484844
55065|Spencer Creek|Stream|Arkansas|05|Randolph|121|Maynard|04/30/1980|11/09/2011||||362851N|0905610W|36.4808954|-90.9362346|363038N|0905359W|36.5106|-90.89978
55100|Spring Creek|Stream|Arkansas|05|Carroll|015|Denver|04/30/1980|||||362734N|0932125W|36.4595105|-93.3568504|363024N|0932356W|36.506732|-93.3987958
55628|Trace Creek|Stream|Arkansas|05|Fulton|049|Mammoth Spring|04/30/1980|04/09/2007||||362852N|0913122W|36.4811739|-91.5226406|363258N|0912552W|36.5494|-91.4311
