feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
1390290|Achugao|Slope|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151414N|1454604E|15.2372222|145.7677778|||0.0|0.0
1390291|Bo'bo' Achugao Lagu|Spring|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|08/15/2012||||151411N|1454551E|15.2363889|145.7641667|||0.0|0.0
1390292|Landeran Achugao|Cliff|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151421N|1454556E|15.2391667|145.7655556|||0.0|0.0
1390293|Puntan Achugao|Cape|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151455N|1454601E|15.2486111|145.7669444|||0.0|0.0
1390294|Sabanan Achugao|Slope|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151409N|1454621E|15.2358333|145.7725|||0.0|0.0
1390295|Unai Achugao|Beach|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151437N|1454534E|15.2436111|145.7594444|||0.0|0.0
1390296|Laderan Adilok|Cliff|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan|01/01/2000|||||151109N|1454537E|15.1858333|145.7602778|||0.0|0.0
1390298|Afetna|Populated Place|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan OE W|01/01/2000|06/07/2022||||150737N|1454134E|15.1269444|145.6927778|||0.0|0.0
1390299|Puntan Afetna|Cape|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan OE W|01/01/2000|||||150741N|1454123E|15.1280556|145.6897222|||0.0|0.0
1390300|Unai Afetna|Beach|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan OE W|01/01/2000|||||150749N|1454126E|15.1302778|145.6905556|||0.0|0.0
1390301|Afuefuniya Point|Cape|Commonwealth of the Northern Mariana Islands|69|Rota|100|Rota|01/01/2000|||||140644N|1451143E|14.1122222|145.1952778|||0.0|0.0
1390302|Saddok As Agatan|Stream|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Saipan OE W|01/01/2000|||||151418N|1454455E|15.2383333|145.7486111|151418N|1454455E|15.2383333|145.7486111
1390303|Agingan|Beach|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Tinian|01/01/2000|||||150653N|1454157E|15.1147222|145.6991667|||0.0|0.0
1390304|Laderan Agingan|Cliff|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Tinian|01/01/2000|||||150700N|1454159E|15.1166667|145.6997222|||0.0|0.0
1390305|Puntan Agingan|Cape|Commonwealth of the Northern Mariana Islands|69|Saipan|110|Tinian|01/01/2000||Official|Board Decision|01/01/1944|150708N|1454119E|15.1188889|145.6886111|||0.0|0.0
