feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
46823|Bolivar Chute|Stream|Arkansas|05|Desha|041|Benoit|04/30/1980|||||334004N|0910309W|33.6678895|-91.052608|334058N|0910148W|33.6827778|-91.03
49217|Saint Francis Bend|Bend|Arkansas|05|Phillips|107|Helena|04/30/1980|02/23/2015||||343654N|0903522W|34.6151011|-90.5895499|||0.0|0.0
49993|Helena Reach|Channel|Arkansas|05|Phillips|107|Helena|04/30/1980|||||343025N|0903457W|34.5070476|-90.5826051|||0.0|0.0
53017|Old River|Stream|Arkansas|05|Chicot|017|Luna|04/30/1980|||||332305N|0910735W|33.3848384|-91.1264978|333008N|0911057W|33.5023358|-91.1826112
53124|Ozark Chute|Stream|Arkansas|05|Desha|041|Catfish Point|04/30/1980|||||334458N|0910840W|33.7495533|-91.144556|334627N|0910829W|33.7742752|-91.1415006
61757|Matthews Bend|Bend|Arkansas|05|Chicot|017|Eminence|02/01/1992|||||330734N|0911203W|33.1262324|-91.2009438|||0.0|0.0
61771|Lakeport Towhead|Island|Arkansas|05|Chicot|017|Avon|02/01/1992|||||331445N|0910619W|33.2459524|-91.1053857|||0.0|0.0
63823|Victoria Bend|Bend|Arkansas|05|Desha|041|Montgomery Island|10/01/1992|||||335540N|0910036W|33.9278855|-91.0101085|||0.0|0.0
70009|Township of Railroad (historical)|Civil|Arkansas|05|Chicot|017|Macon Lake|01/01/1993|||||332820N|0911625W|33.472336|-91.2737254|||0.0|0.0
70114|Horseshoe Bend|Bend|Arkansas|05|Phillips|107|Friars Point|01/01/1993|||||341846N|0904035W|34.3128833|-90.6764928|||0.0|0.0
74682|Blue Hole|Lake|Arkansas|05|Desha|041|Gunnison|04/30/1980|12/12/2017||||335956N|0905848W|33.9988082|-90.9800898|||0.0|0.0
74730|Carolina Chute|Lake|Arkansas|05|Chicot|017|Glen Allan|04/30/1980|||||330306N|0910720W|33.0517899|-91.1223302|||0.0|0.0
75066|Ozark Lake|Lake|Mississippi|28|Bolivar|011|Lake Cheatham|04/30/1980|04/05/2023||||334701N|0910754W|33.7836488|-91.1315932|||0.0|0.0
75642|Lake Beulah|Lake|Mississippi|28|Bolivar|011|Rosedale|04/30/1980|12/12/2017||||334549N|0910058W|33.763529|-91.0160554|||0.0|0.0
75668|Camp Lake|Lake|Mississippi|28|Washington|151|Luna|04/30/1980|04/05/2023||||332516N|0910956W|33.4212374|-91.1656761|||0.0|0.0
77279|Lake Lee|Lake|Arkansas|05|Chicot|017|Wayside|04/30/1980|||||331646N|0910243W|33.2795631|-91.0453838|||0.0|0.0
113424|Ballard Creek|Stream|Alabama|01|Sumter|119|Geiger|09/04/1980|03/26/2020||||325029N|0881857W|32.8413985|-88.3159394|325141N|0882233W|32.8613242|-88.3757527
114268|Big Creek|Stream|Alabama|01|Mobile|097|Big Point|09/04/1980|03/26/2020|Official|Board Decision|01/01/1931|303125N|0882609W|30.5235403|-88.4359393|305905N|0881902W|30.9846526|-88.317097
114671|Bogue Chitto|Stream|Alabama|01|Choctaw|023|Jachin|09/04/1980|03/26/2020|Official|Board Decision|01/01/1977|321036N|0881322W|32.1767801|-88.2227134|321147N|0882713W|32.1965098|-88.4535993
115031|Brumley Branch|Stream|Alabama|01|Franklin|059|Belmont|09/04/1980|03/27/2020||||343024N|0881025W|34.5067533|-88.173649|343023N|0880732W|34.5063416|-88.1254377
115058|Brushy Creek|Stream|Alabama|01|Mobile|097|Earlville|09/04/1980|03/31/2020||||305313N|0882408W|30.8870065|-88.4023404|310601N|0882855W|31.1002439|-88.4819148
115180|Bull Mountain Creek|Stream|Alabama|01|Marion|093|Smithville|09/04/1980|03/31/2020||||340517N|0882354W|34.0881112|-88.3984401|341825N|0875538W|34.3068721|-87.9271178
115220|Burford Branch|Stream|Alabama|01|Choctaw|023|Isney|09/04/1980|03/31/2020||||314712N|0882852W|31.7866998|-88.4812384|314651N|0882754W|31.7809281|-88.4649379
116177|Clark Creek|Stream|Alabama|01|Mobile|097|Brown Town|09/04/1980|04/08/2020||||310126N|0882443W|31.0239872|-88.4119224|310221N|0882708W|31.0392757|-88.4523307
116223|Clear Creek|Stream|Alabama|01|Colbert|033|Margerum|09/04/1980|04/08/2020||||344645N|0880638W|34.7791667|-88.1105556|344802N|0881029W|34.8004504|-88.1748267
116444|Collins Creek|Stream|Alabama|01|Mobile|097|Big Point|09/04/1980|04/17/2020||||303258N|0882449W|30.5493903|-88.4137323|303455N|0882304W|30.5818251|-88.3843621
116986|Cypress Branch|Stream|Alabama|01|Pickens|107|Pickensville|09/04/1980|04/17/2020||||331201N|0881731W|33.2002141|-88.2919466|331224N|0882149W|33.2067206|-88.3635798
117583|Dry Creek|Stream|Alabama|01|Marion|093|Detroit|09/04/1980|04/17/2020||||340715N|0880834W|34.1207516|-88.1428582|341052N|0881246W|34.1812382|-88.2128049
117625|Duck Pond Branch|Stream|Alabama|01|Pickens|107|Panola|09/04/1980|04/17/2020||||325957N|0882053W|32.9990884|-88.348037|330407N|0882008W|33.0684765|-88.3355432
117722|Ealon Branch|Stream|Alabama|01|Lamar|075|Millport NW|09/04/1980|04/22/2020||||334454N|0881335W|33.7484189|-88.2263495|334614N|0881548W|33.7705875|-88.2633088
117947|Ellis Creek|Stream|Alabama|01|Pickens|107|Columbus South|09/04/1980|04/22/2020||||332330N|0882400W|33.3915963|-88.4001097|332544N|0881434W|33.428844|-88.2429075
118372|Flat Creek|Stream|Alabama|01|Mobile|097|Hurley|09/04/1980|04/22/2020||||304135N|0882650W|30.6930086|-88.4471061|304853N|0882325W|30.8147076|-88.3902151
118565|Fowler Branch|Stream|Alabama|01|Franklin|059|Belmont|09/04/1980|04/22/2020||||343049N|0881033W|34.5134778|-88.1759216|343229N|0880817W|34.5414311|-88.1380756
118598|Franklin Creek|Stream|Alabama|01|Mobile|097|Kreole|09/04/1980|04/22/2020||||302833N|0882606W|30.4759158|-88.435051|302851N|0881720W|30.4809504|-88.2889082
118882|Gee Branch|Stream|Alabama|01|Franklin|059|Red Bay|09/04/1980|04/26/2020||||342930N|0880913W|34.4918005|-88.1534762|343017N|0880758W|34.5046757|-88.1327561
118920|Gibbs Branch|Stream|Alabama|01|Colbert|033|Bishop|09/04/1980|04/26/2020||||343919N|0880726W|34.6553441|-88.1237754|344005N|0880742W|34.6679922|-88.1284397
119475|Gum Creek|Stream|Mississippi|28|Itawamba|057|Tremont|09/24/1980|04/26/2020||||341255N|0881706W|34.2153284|-88.2850877|342320N|0880450W|34.3889604|-88.080632
119789|Harris Branch|Stream|Alabama|01|Franklin|059|Belmont|09/04/1980|04/29/2020||||343133N|0881054W|34.5258028|-88.1816624|343218N|0880838W|34.5382055|-88.1438525
120429|Horseshoe Branch|Stream|Alabama|01|Washington|129|Aquilla|09/04/1980|04/29/2020||||313860N|0882826W|31.6499585|-88.4737909|314024N|0882724W|31.6732634|-88.4567468
