feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
644325|Grand Marais Creek|Stream|Minnesota|27|Polk|119|Oslo SE|01/11/1980|02/28/2018||||480412N|0970549W|48.069982|-97.0970192|474909N|0964820W|47.8191409|-96.8056287
654552|Coteau des Prairies|Plain|South Dakota|46|Brookings|011|Brookings|08/01/1990|01/12/2011|Official|Board Decision|01/01/1916|442001N|0964817W|44.3336111|-96.8047222|||0.0|0.0
655066|Sand Hill River|Stream|Minnesota|27|Polk|119|Climax|01/11/1980|03/27/2018|Official|Board Decision|01/01/1965|473555N|0965121W|47.5985855|-96.8559126|473055N|0954452W|47.5152371|-95.7478052
660006|Buffalo River|Stream|Minnesota|27|Clay|027|Georgetown|01/11/1980|02/28/2018||||470517N|0964858W|47.0880232|-96.8161908|465511N|0954106W|46.9196814|-95.6850401
756398|Missouri River|Stream|Missouri|29|St. Charles|183|Wood River|10/24/1980|10/20/2020|Official|Board Decision|01/01/1953|384849N|0900711W|38.8136597|-90.1198297|455536N|1113020W|45.9268|-111.50558
768632|Beaver Creek|Stream|North Dakota|38|McKenzie|053|Eagle Draw|04/04/1980|05/26/2011||||471948N|1033924W|47.3300156|-103.656584|463139N|1040726W|46.527509|-104.1238228
768704|Bennie Peer Creek|Stream|Montana|30|Richland|083|Sidney NE|04/04/1980|12/09/2010|Official|Board Decision|01/01/1969|474155N|1040533W|47.698585|-104.092412|472234N|1035042W|47.376238|-103.845091
768793|Big Gumbo Creek|Stream|North Dakota|38|Bowman|011|Cedar Ridge|04/04/1980|05/25/2011||||460504N|1035533W|46.08454|-103.92588|460714N|1040400W|46.12062|-104.06671
769378|Bull Run Creek|Stream|North Dakota|38|Golden Valley|033|Three V Crossing|04/04/1980|05/25/2011||||463229N|1034847W|46.54145|-103.8131|463648N|1040406W|46.6133436|-104.0682649
769387|Bullion Creek|Stream|Montana|30|Wibaux|109|Carlyle|04/04/1980|||||464109N|1040002W|46.6858447|-104.0004843|464134N|1040348W|46.6927778|-104.0633333
769472|C S Creek|Stream|Montana|30|Wibaux|109|Skaar|04/04/1980|12/09/2010||||472148N|1040713W|47.363377|-104.120414|471548N|1035706W|47.263349|-103.951593
769563|Cannonball Creek|Stream|North Dakota|38|Slope|087|Pretty Butte|04/04/1980|05/25/2011||||462836N|1035343W|46.47653|-103.89528|463018N|1041023W|46.50501|-104.1729914
770189|Cottonwood Creek|Stream|Montana|30|Sheridan|091|Reserve SE|04/04/1980|||||483053N|1041602W|48.5147472|-104.267167|483330N|1035037W|48.5583603|-103.8435384
770631|Devitt Creek|Stream|Montana|30|Richland|083|Sidney NE|04/04/1980|05/28/2015||||473756N|1040145W|47.6322391|-104.0290973|473548N|1040441W|47.5967477|-104.0779672
770797|Dry Creek|Stream|Montana|30|Wibaux|109|Odland Dam NE|04/04/1980|05/28/2015||||470841N|1040302W|47.1448541|-104.0504823|470231N|1035717W|47.0419585|-103.9546486
