feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
171029|Sidney Draw|Valley|Nebraska|31|Cheyenne|033|Brownson|10/13/1978|03/08/2018||||410816N|1030116W|41.1377213|-103.021044|405215N|1040353W|40.8709614|-104.0646558
182687|Highline Canal|Canal|Colorado|08|Sedgwick|115|Sedgwick|10/13/1978|||||405810N|1023137W|40.9694351|-102.5268556|||0.0|0.0
182688|Cottonwood Creek|Stream|Colorado|08|Sedgwick|115|Sedgwick|10/13/1978|10/23/2009||||405511N|1023355W|40.9197132|-102.5651893|405850N|1030107W|40.9805426|-103.0185329
182689|Sand Draw|Valley|Colorado|08|Sedgwick|115|Sedgwick|10/13/1978|12/20/2017||||405951N|1023040W|40.9974447|-102.5111958|410203N|1023313W|41.0342898|-102.5536
182690|Sedgwick Draw|Valley|Colorado|08|Sedgwick|115|Sedgwick|10/13/1978|11/04/2017||||405749N|1023313W|40.9636507|-102.5534931|410227N|1023722W|41.0407909|-102.6227148
182692|Peterson Ditch|Canal|Colorado|08|Sedgwick|115|Sedgwick|10/13/1978|10/15/2019||||405604N|1023053W|40.9345581|-102.514778|||0.0|0.0
183028|North Fork Republican River|Stream|Nebraska|31|Dundy|057|Haigler|10/13/1978|07/26/2019|Official|Board Decision|01/01/1934|400111N|1015618W|40.0197222|-101.9383333|395958N|1022714W|39.9994444|-102.4538889
201759|South Platte River|Stream|Colorado|08|Logan|075|Deckers|10/13/1978|08/13/2019|Official|Board Decision|01/01/1960|391730N|1051232W|39.2916567|-105.2088815|390040N|1054425W|39.0111036|-105.7402844
202890|Lodgepole Creek|Stream|Colorado|08|Sedgwick|115|Ovid|10/13/1978|07/26/2019|Official|Board Decision|01/01/1964|405718N|1022304W|40.9549919|-102.3843535|411917N|1051157W|41.3213685|-105.1991452
204647|North Platte River|Stream|Nebraska|31|Lincoln|111|Maxwell SW|10/13/1978|07/26/2019|Official|Board Decision|01/01/1931|410650N|1004033W|41.1138889|-100.6758333|403823N|1062419W|40.6397222|-106.4052778
464390|Upper Omaha Mission Bend|Bend|Iowa|19|Monona|133|Albaton|01/01/2000|||||421215N|0962121W|42.2041587|-96.355862|||0.0|0.0
464391|Lower Monona Bend|Bend|Iowa|19|Monona|133|Macy|01/01/2000|||||420657N|0961614W|42.1158229|-96.2705796|||0.0|0.0
464392|Black Bird Bend|Bend|Iowa|19|Monona|133|Macy|01/01/2000|||||420356N|0961646W|42.0655448|-96.2794681|||0.0|0.0
464394|Lower Decatur Bend|Bend|Iowa|19|Monona|133|Tekamah NW|01/01/2000|02/06/2015||||415940N|0961328W|41.9944322|-96.2244649|||0.0|0.0
464396|Little Sioux Bend|Bend|Iowa|19|Harrison|085|Little Sioux|01/01/2000|||||414757N|0960401W|41.7991547|-96.0669575|||0.0|0.0
464401|Florence Bend|Bend|Iowa|19|Pottawattamie|155|Omaha North|01/01/2000|02/23/2015||||412105N|0955731W|41.351285|-95.9587082|||0.0|0.0
464402|Council Bend|Bend|Iowa|19|Pottawattamie|155|Omaha North|01/01/2000|||||411609N|0955514W|41.2691649|-95.9205692|||0.0|0.0
464403|Omaha Bend|Bend|Iowa|19|Pottawattamie|155|Omaha South|01/01/2000|||||411408N|0955441W|41.2355542|-95.9114023|||0.0|0.0
464416|Tieville Bend|Bend|Iowa|19|Monona|133|Onawa SW|01/01/2000|||||420115N|0961417W|42.0208214|-96.2380769|||0.0|0.0
464417|The Narrows|Channel|Iowa|19|Pottawattamie|155|Omaha North|01/01/2000|||||411745N|0955348W|41.2958309|-95.8966794|||0.0|0.0
465446|Lake Wahaboncey (historical)|Lake|Iowa|19|Fremont|071|Murray|01/01/2000|||||405358N|0955351W|40.8994448|-95.8975072|||0.0|0.0
470354|Gimlet Creek|Stream|Nebraska|31|Nuckolls|129|Bostwick|10/13/1978|11/26/2010||||400255N|0981333W|40.04849|-98.22584|395830N|0981456W|39.9750139|-98.248937
470564|Hicks Creek|Stream|Nebraska|31|Webster|181|Amboy|10/13/1978|11/26/2010||||400417N|0982540W|40.07145|-98.42769|395904N|0982843W|39.98439|-98.47848
470844|Wilson Canyon|Valley|Nebraska|31|Dundy|057|Haigler|10/13/1978|08/25/2017||||400038N|1015253W|40.0105239|-101.8813873|395908N|1015149W|39.9856699|-101.8637065
470845|Colter Canyon|Valley|Nebraska|31|Dundy|057|Rock Creek Lake|10/13/1978|08/25/2017||||400136N|1014943W|40.0266022|-101.8287404|400002N|1014850W|40.0006628|-101.8139545
470847|Big Timber Creek|Stream|Nebraska|31|Dundy|057|Benkelman|10/13/1978|11/26/2010||||400105N|1013142W|40.01795|-101.52846|394648N|1013440W|39.77995|-101.57766
470848|Elm Creek|Stream|Nebraska|31|Hitchcock|087|Culbertson SE|10/13/1978|11/26/2010||||400537N|1004713W|40.0936135|-100.7868216|395936N|1005003W|39.993364|-100.834107
470850|McCann Canyon|Valley|Nebraska|31|Dundy|057|Haigler|10/13/1978|08/25/2017||||400056N|1015719W|40.0154539|-101.9553968|395742N|1015716W|39.9616376|-101.954493
