feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
206425|Connecticut River|Stream|Connecticut|09|Lower Connecticut River Valley|130|Old Lyme|04/18/2023|04/18/2023|Official|Board Decision|01/01/1931|411620N|0721958W|41.272313|-72.332687|451357N|0711141W|45.232512|-71.194839
561049|Abbott Brook|Stream|Maine|23|Oxford|017|Wilsons Mills|09/30/1980|||||445618N|0710150W|44.9383838|-71.0306287|450240N|0710437W|45.0444933|-71.0770173
561491|Balch Pond|Reservoir|Maine|23|York|031|Great East Lake|09/30/1980|08/05/2020||||433657N|0705818W|43.6157566|-70.9716939|||0.0|0.0
562053|Bennett Brook|Stream|Maine|23|Oxford|017|Wilsons Mills|09/30/1980|||||445455N|0710217W|44.9153284|-71.0381292|445527N|0710348W|44.9241667|-71.0633333
562074|Bereau Brook|Stream|Maine|23|Oxford|017|Rump Mountain|09/30/1980|||||451313N|0710129W|45.2203263|-71.0247935|451302N|0710436W|45.2172222|-71.0766667
562142|Big Brook|Stream|Maine|23|Oxford|017|Bosebuck Mountain|09/30/1980|05/01/2015||||450356N|0710017W|45.0656054|-71.0047936|450552N|0710435W|45.0977866|-71.0764622
564206|Cole Brook|Stream|Maine|23|Oxford|017|Brownfield|09/30/1980|||||435512N|0705814W|43.9200722|-70.9706226|435254N|0705958W|43.8816667|-70.9994444
565295|Driscoll Brook|Stream|Maine|23|York|031|Dover East|09/30/1980|||||431407N|0704859W|43.2353625|-70.8164464|431613N|0704859W|43.270362|-70.8164468
566979|Gosport Harbor|Bay|Maine|23|York|031|Isles of Shoals|09/30/1980|||||425845N|0703643W|42.9792583|-70.6119935|||0.0|0.0
567137|Great East Lake|Reservoir|Maine|23|York|031|Great East Lake|09/30/1980|07/10/2019||||433455N|0705821W|43.5818633|-70.9723695|||0.0|0.0
569639|Linscott Brook|Stream|Maine|23|Oxford|017|Brownfield|09/30/1980|05/01/2015||||435447N|0705816W|43.913128|-70.9711781|435310N|0710212W|43.8859877|-71.0366251
569892|Little Magalloway River|Stream|Maine|23|Oxford|017|Lincoln Pond|09/30/1980|||||450603N|0705918W|45.1008831|-70.9884044|451159N|0710504W|45.19977|-71.0845166
570512|Lower Kimball Pond|Lake|Maine|23|Oxford|017|Fryeburg|09/30/1980|06/14/2021|Official|Board Decision|01/01/1980|440551N|0705944W|44.0975632|-70.9956611|||0.0|0.0
570648|Magalloway River|Stream|Maine|23|Oxford|017|Umbagog Lake North|09/30/1980|08/29/2019||||444700N|0710353W|44.7833848|-71.0647987|451525N|0710141W|45.2569926|-71.0281272
571063|Meadow Brook|Stream|Maine|23|Oxford|017|Bosebuck Mountain|09/30/1980|05/01/2015||||450302N|0710056W|45.0506053|-71.0156272|450336N|0710433W|45.060064|-71.0757087
571215|Middle Branch Little Magalloway River|Stream|Maine|23|Oxford|017|Rump Mountain|09/30/1980|05/01/2015||||450743N|0710110W|45.1286603|-71.0195159|450837N|0710543W|45.143676|-71.0952186
571579|Moose Bog Brook|Stream|Maine|23|Oxford|017|Moose Bog|08/27/2002||Official|Board Decision|01/01/1988|451541N|0710300W|45.2614368|-71.0500722|451412N|0710727W|45.2367137|-71.1242391
572293|North Branch Stearns Brook|Stream|New Hampshire|33|Coos|007|Success Pond|09/30/1980|11/22/2010||||443159N|0710625W|44.532982|-71.10697|443304N|0710021W|44.551243|-71.005712
572344|North Hammond Brook|Stream|Maine|23|Oxford|017|Bosebuck Mountain|09/30/1980|05/01/2015||||450212N|0710151W|45.0367163|-71.0309053|450304N|0710418W|45.0510892|-71.071589
572926|Paine Brook|Stream|Maine|23|Oxford|017|Brownfield|09/30/1980|||||435757N|0705738W|43.9659043|-70.9606228|435632N|0705944W|43.9422222|-70.9955556
573846|Province Lake|Lake|New Hampshire|33|Carroll|003|West Newfield|09/30/1980|07/10/2019||||434126N|0705941W|43.6906766|-70.9947209|||0.0|0.0
574648|Saco River|Stream|Maine|23|York|031|Biddeford|09/30/1980|06/22/2021||||432742N|0702242W|43.461773|-70.3782538|441258N|0712433W|44.2161394|-71.4090904
575371|Shelter Brook|Stream|Maine|23|Oxford|017|Success Pond|09/30/1980|||||443235N|0710210W|44.5431129|-71.0361877|443215N|0705926W|44.5375579|-70.9906316
575375|Shepards River|Stream|Maine|23|Oxford|017|Brownfield|09/30/1980|06/22/2021||||435807N|0705349W|43.9685534|-70.8968654|435606N|0710044W|43.9350746|-71.0122326
575470|Silver Stream|Stream|Maine|23|Oxford|017|Success Pond|09/30/1980|05/01/2015||||443512N|0710322W|44.5867227|-71.0561879|443422N|0705816W|44.5726616|-70.9710439
575899|South River|Stream|Maine|23|York|031|Kezar Falls|09/30/1980|06/22/2021||||434706N|0705725W|43.7848792|-70.9569016|434201N|0705954W|43.7003745|-70.9983058
576462|Stump Pond|Lake|Maine|23|York|031|Great East Lake|09/30/1980|||||433711N|0705832W|43.6198007|-70.9756204|||0.0|0.0
576472|Sturtevant Stream|Stream|Maine|23|Oxford|017|Umbagog Lake North|09/30/1980|||||445022N|0710259W|44.8394956|-71.0497975|445107N|0705639W|44.8519972|-70.9442396
576478|Sucker Brook|Stream|Maine|23|Oxford|017|Success Pond|09/30/1980|08/14/2015||||443359N|0710211W|44.566282|-71.0363178|443320N|0705919W|44.5554631|-70.9887209
577304|Trestle Brook|Stream|Maine|23|Oxford|017|Rump Mountain|09/30/1980|05/01/2015||||451002N|0710340W|45.1672705|-71.0611831|450942N|0710546W|45.1617635|-71.096202
577969|Weeks Brook|Stream|Maine|23|Oxford|017|Fryeburg|09/30/1980|05/01/2015||||440206N|0705926W|44.0350695|-70.9906244|440617N|0710524W|44.1046487|-71.0900357
578060|West Branch Little Magalloway River|Stream|Maine|23|Oxford|017|Rump Mountain|09/30/1980|05/01/2015||||450800N|0710147W|45.1333823|-71.0297939|450751N|0710540W|45.1308391|-71.0945102
580904|Little Cold River|Stream|Maine|23|Oxford|017|Center Lovell|09/30/1980|||||440910N|0705807W|44.1528454|-70.9686813|441055N|0710043W|44.1820113|-71.012016
580918|Androscoggin River|Stream|Maine|23|Sagadahoc|023|Brunswick|09/30/1980|08/13/2014||||435702N|0695239W|43.9506344|-69.8775485|444659N|0710341W|44.7831072|-71.0614653
580926|Basin Brook|Stream|Maine|23|Oxford|017|Wild River|09/30/1980|05/01/2015||||441604N|0710029W|44.267843|-71.0081284|441621N|0710307W|44.2725754|-71.051945
580950|Bradley Brook|Stream|Maine|23|Oxford|017|Center Lovell|09/30/1980|05/01/2015||||441037N|0705842W|44.1770115|-70.9784042|441305N|0710247W|44.2180402|-71.046425
581088|Langdon Brook|Stream|Maine|23|Oxford|017|Center Lovell|09/30/1980|06/22/2021||||440931N|0705913W|44.1586454|-70.9869253|440837N|0710353W|44.1436659|-71.0647694
581109|Mad River|Stream|Maine|23|Oxford|017|Wild River|09/30/1980|04/30/2015||||441707N|0710017W|44.2853425|-71.0047954|441809N|0710048W|44.3025072|-71.0133249
581111|Mahoosuc Range|Range|Maine|23|Oxford|017|Old Speck Mountain|09/30/1980|08/12/2022||||443415N|0705714W|44.5708188|-70.9538189|||0.0|0.0
581124|Middle Branch Mad River|Stream|Maine|23|Oxford|017|Wild River|09/30/1980|05/01/2015||||441726N|0710026W|44.2906201|-71.0072955|441743N|0710115W|44.2954121|-71.0208138
581184|Province Brook|Stream|Maine|23|Oxford|017|North Conway East|09/30/1980|05/01/2015||||440616N|0710012W|44.1045126|-71.0034036|440747N|0710260W|44.1296533|-71.0499238
581203|Shell Pond Brook|Stream|Maine|23|Oxford|017|Chatham|09/30/1980|||||441438N|0710032W|44.2439547|-71.0089613|441443N|0705837W|44.2453438|-70.9770163
581213|South Branch Mad River|Stream|Maine|23|Oxford|017|Wild River|09/30/1980|05/01/2015||||441710N|0710022W|44.2861757|-71.0061843|441727N|0710131W|44.2908958|-71.0253524
581272|Wild River|Stream|Maine|23|Oxford|017|Gilead|09/30/1980|05/01/2015||||442344N|0705846W|44.3956175|-70.9795187|441352N|0710901W|44.2309962|-71.1503879
599185|Phillips Park|Populated Place|New Hampshire|33|Rockingham|015|Exeter|08/27/2002|12/20/2010||||425532N|0705300W|42.925645|-70.883388|||0.0|0.0
