feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
215274|Oyster Rocks (historical)|Bar|Delaware|10|Kent|001||07/01/1982|||||390355N|0750109W|39.0653908|-75.0190663|||0.0|0.0
216373|Delaware Bay|Bay|Delaware|10|Sussex|005||08/02/1979|09/23/2016|Official|Board Decision|01/01/1963|390300N|0750859W|39.0501128|-75.1496285|||0.0|0.0
216525|Overfalls Shoal|Bar|New Jersey|34|Cape May|009|Cape Henlopen|10/01/1992|04/21/2015||||385030N|0750109W|38.8417789|-75.0190664|||0.0|0.0
217878|Main Maull Range|Channel|Delaware|10|Kent|001|Fortescue|09/01/1992|||||390805N|0751321W|39.1348356|-75.2224106|||0.0|0.0
217879|Cross Ledge Range|Channel|Delaware|10|Kent|001||09/01/1992|||||391250N|0751729W|39.2140026|-75.2913033|||0.0|0.0
217887|Delaware River|Stream|Delaware|10|New Castle|003|Taylors Bridge|08/02/1979|09/23/2016|Official|Board Decision|01/01/1963|392557N|0753144W|39.4326121|-75.528813|415620N|0751645W|41.9389755|-75.2790615
217903|Liston Range|Channel|Delaware|10|Kent|001|Bombay Hook Island|09/01/1992|||||391930N|0752419W|39.325113|-75.4051968|||0.0|0.0
873762|New Inlet (historical)|Gut|New Jersey|34|Ocean|029|Seaside Park|07/01/1981|||||395530N|0740413W|39.9251185|-74.0704136|||0.0|0.0
873763|Ben Davis Island (historical)|Island|New Jersey|34|Cumberland|011|Ben Davis Point|07/01/1981|||||391720N|0751718W|39.2890029|-75.2882475|||0.0|0.0
873764|Fortescue Island (historical)|Island|New Jersey|34|Cumberland|011|Cedarville|07/01/1981|||||391522N|0750955W|39.2562254|-75.1651857|||0.0|0.0
873765|Egg Island (historical)|Island|New Jersey|34|Cumberland|011|Fortescue|07/01/1981|||||391045N|0750814W|39.1792805|-75.1371283|||0.0|0.0
873767|Dators Pond|Lake|New Jersey|34|Bergen|003|Ramsey|07/01/1981|08/12/2020|Official|Board Decision|01/01/1987|410529N|0741034W|41.0913088|-74.1760858|||0.0|0.0
873768|East Branch Mingamahone Brook|Stream|New Jersey|34|Monmouth|025|Farmingdale|07/01/1981|03/21/2013|Official|Board Decision|01/01/1980|401213N|0740955W|40.203526|-74.1652679|401445N|0740843W|40.245926|-74.1453552
