feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
906|Azure Ridge Draw|Valley|Arizona|04|Mohave|015|Azure Ridge|02/08/1980|08/18/2018||||361515N|1140021W|36.2541922|-114.0057458|361610N|1140525W|36.2693791|-114.0902874
1167|Beaver Dam Wash|Stream|Arizona|04|Mohave|015|Littlefield|02/08/1980|05/03/2011|Official|Board Decision|01/01/1974|365343N|1135516W|36.8952778|-113.9211111|373126N|1140439W|37.5238889|-114.0775
1380|Big Springs Canyon|Valley|Arizona|04|Mohave|015|Virgin Peak|02/08/1980|11/19/2021||||363621N|1140244W|36.6058665|-114.0456378|363701N|1140423W|36.6170101|-114.0730197
1489|Black Canyon|Valley|Nevada|32|Clark|003|Willow Beach|02/08/1980|04/11/2020||||354514N|1144149W|35.7540186|-114.6968265|360139N|1144322W|36.0276346|-114.7229032
1570|Black Mountains|Range|Arizona|04|Mohave|015|Middle Water Spring|02/08/1980|04/11/2020|Official|Board Decision|01/01/1906|353050N|1142819W|35.5139907|-114.4719461|||0.0|0.0
1637|Black Wash|Stream|Arizona|04|Mohave|015|Gyp Hills|02/08/1980|05/03/2011||||361838N|1135916W|36.3105397|-113.9877372|362915N|1140336W|36.48756|-114.06006
1863|Boulder Canyon|Valley|Nevada|32|Clark|003|Callville Bay|02/08/1980|08/18/2018||||360732N|1144036W|36.1255081|-114.6766285|360905N|1143248W|36.1512951|-114.5467095
1879|Boundary Hill|Summit|Nevada|32|Clark|003|Iceberg Canyon|02/08/1980|04/03/2020||||361204N|1140251W|36.2012129|-114.0474933|||0.0|0.0
2665|Cedar Wash|Valley|Arizona|04|Mohave|015|Pakoon Springs|02/08/1980|||||362512N|1135516W|36.4199821|-113.9210697|363740N|1140343W|36.6277558|-114.0619101
2752|Channel Reef|Bar|Arizona|04|Mohave|015|Hiller Mountains|02/08/1980|||||360150N|1140845W|36.0305419|-114.1457963|||0.0|0.0
3400|Cottonwood Valley|Valley|Nevada|32|Clark|003|Spirit Mountain SE|02/08/1980|04/10/2020||||352148N|1143630W|35.3633903|-114.6084212|353128N|1143957W|35.5243659|-114.6659657
3590|Cross Current Rapids|Rapids|Nevada|32|Clark|003|Ringbolt Rapids|02/08/1980|03/24/2023||||355559N|1144248W|35.932926|-114.713446|||0.0|0.0
4941|Garden Wash|Stream|Arizona|04|Mohave|015|Azure Ridge|02/08/1980|08/09/2018|Official|Board Decision|01/01/1948|361628N|1140017W|36.2744291|-114.0046819|361646N|1140812W|36.2794277|-114.1366316
5378|Gregg Basin|Basin|Arizona|04|Mohave|015|Meadview North|02/08/1980|||||360607N|1140710W|36.10193|-114.1194072|||0.0|0.0
6018|Horseshoe Rapids|Rapids|Nevada|32|Clark|003|Ringbolt Rapids|02/08/1980|03/24/2023||||355503N|1144230W|35.9174308|-114.7083333|||0.0|0.0
6223|Indian Rapids|Rapids|Nevada|32|Clark|003|Ringbolt Rapids|02/08/1980|03/24/2023||||355351N|1144146W|35.8974426|-114.69617|||0.0|0.0
7042|Line Cove|Bay|Arizona|04|Mohave|015|Iceberg Canyon|02/08/1980|||||361142N|1140240W|36.1949853|-114.0444051|||0.0|0.0
7862|Lake Mead|Reservoir|Nevada|32|Clark|003|Middle Point|02/08/1980|04/05/2023|Official|Board Decision|01/01/1948|361021N|1142547W|36.1725406|-114.4298448|||0.0|0.0
8076|Million Hills|Summit|Nevada|32|Clark|003|Azure Ridge|02/08/1980|10/23/2018||||361726N|1140537W|36.2905743|-114.0934773|||0.0|0.0
8077|Million Hills Wash|Stream|Nevada|32|Clark|003|Iceberg Canyon|02/08/1980|12/27/2006||||361236N|1140255W|36.2099|-114.0486|361504N|1140508W|36.2511|-114.0856
8177|Lake Mohave|Arroyo|Nevada|32|Clark|003|Spirit Mountain|02/08/1980|06/21/2019||||351948N|1143837W|35.3299524|-114.6436134|351944N|1143643W|35.3289931|-114.6118779
8796|North Water Spring|Spring|Nevada|32|Clark|003|Virgin Peak|02/08/1980|04/18/2011||||363503N|1140256W|36.5842496|-114.0488907|||0.0|0.0
