feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
205609|Bog Hollow Brook|Stream|Connecticut|09|Northwest Hills|160|Kent|09/12/1979|05/01/2015||||414429N|0732945W|41.7414829|-73.4959579|414734N|0733030W|41.7928952|-73.5084172
205906|Byram River|Stream|Connecticut|09|Western Connecticut|190|Mamaroneck|09/12/1979|02/24/2020||||405901N|0733918W|40.9837089|-73.6551276|410919N|0734132W|41.1553735|-73.6923523
206431|Converse Pond Brook|Stream|Connecticut|09|Western Connecticut|190|Glenville|09/12/1979|||||410410N|0734018W|41.0695412|-73.6717953|410834N|0733919W|41.1428737|-73.6554063
206783|East Branch Converse Pond Brook|Stream|Connecticut|09|Western Connecticut|190|Glenville|09/12/1979|03/14/2007||||410328N|0734026W|41.0577778|-73.6738889|410751N|0734037W|41.1308333|-73.6769444
206789|East Branch Mianus River|Stream|Connecticut|09|Western Connecticut|190|Stamford|09/12/1979|||||410630N|0733519W|41.1084297|-73.5887367|411031N|0733426W|41.1753736|-73.5740145
206794|East Branch Silvermine River|Stream|New York|36|Westchester|119|Norwalk North|09/12/1979|07/08/2015||||411308N|0732925W|41.2189847|-73.4904008|411612N|0732930W|41.2698717|-73.4916883
207080|Fishers Island Sound|Bay|New York|36|Suffolk|103|Mystic|04/18/2023|04/18/2023|Official|Board Decision|01/01/1970|411752N|0715919W|41.2977713|-71.9887145|||0.0|0.0
207285|Gerow Brook|Stream|New York|36|Putnam|079|Brewster|09/12/1979|||||412950N|0733159W|41.4973161|-73.5331805|412851N|0733031W|41.4808333|-73.5086111
208076|Indian Lake|Lake|Connecticut|09|Northwest Hills|160|Sharon|09/12/1979|03/30/2023||||415506N|0732948W|41.9182523|-73.49674|||0.0|0.0
208078|Indian Lake Creek|Stream|New York|36|Dutchess|027|Amenia|09/12/1979|||||415223N|0733009W|41.8731486|-73.502624|415438N|0732942W|41.9106484|-73.4951235
208246|Kelsey Brook|Stream|New York|36|Dutchess|027|Sharon|09/12/1979|||||415706N|0732958W|41.9517591|-73.4995678|415743N|0732926W|41.9619444|-73.4905556
208858|Mianus River|Stream|Connecticut|09|Western Connecticut|190|Stamford|09/12/1979|02/24/2020||||410230N|0733521W|41.0417638|-73.5892916|410800N|0734021W|41.1334293|-73.6726292
208893|Mill Brook|Stream|New York|36|Dutchess|027|Amenia|09/12/1979|05/01/2015||||414914N|0733057W|41.820649|-73.5159579|415147N|0732604W|41.8629792|-73.4344187
208919|Mill River|Stream|New York|36|Westchester|119|Peach Lake|09/12/1979|||||411500N|0733222W|41.2500953|-73.5395696|411606N|0733051W|41.2683333|-73.5141667
209010|Monument Brook|Stream|Connecticut|09|Northwest Hills|160|Bash Bish Falls|09/12/1979|||||420139N|0732909W|42.0275917|-73.485955|420257N|0732923W|42.0491667|-73.4897222
209032|Mopus Brook|Stream|Connecticut|09|Western Connecticut|190|Peach Lake|09/12/1979|07/08/2015||||411955N|0733229W|41.3319226|-73.5413447|412142N|0733247W|41.3616667|-73.5463889
209818|Piping Brook|Stream|Connecticut|09|Western Connecticut|190|Pound Ridge|09/12/1979|||||410825N|0733728W|41.1403738|-73.6245717|411012N|0733754W|41.17|-73.6316667
210035|Quaker Brook|Stream|New York|36|Putnam|079|Brewster|04/18/2023|04/18/2023||||412950N|0733201W|41.497293|-73.533597|413103N|0733230W|41.517531|-73.541794
210668|Sawmill Brook|Stream|Connecticut|09|Western Connecticut|190|New Milford|09/12/1979||Official|Board Decision|01/01/1960|413435N|0732933W|41.5764829|-73.4926239|413437N|0733158W|41.5770383|-73.5329028
210714|Scotts Brook|Stream|New York|36|Westchester|119|Pound Ridge|01/23/1980|||||411349N|0733008W|41.2303735|-73.5023458|411442N|0732959W|41.245|-73.4997222
210873|Silvermine River|Stream|Connecticut|09|Western Connecticut|190|Norwalk North|09/12/1979|||||410804N|0732547W|41.1345409|-73.4298423|411258N|0732940W|41.2161111|-73.4944444
