feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
262891|Kingsville Census Designated Place|Census|Ohio|39|Ashtabula|007|North Kingsville|08/12/2021|03/22/2023||||415313N|0804038W|41.886891|-80.6770936|||0.0|0.0
425264|Ohio River|Stream|Kentucky|21|Ballard|007|Wyatt|10/24/1980|02/13/2020|Official|Board Decision|01/01/1931|365912N|0890750W|36.986719|-89.1306255|402634N|0800102W|40.4428469|-80.0172759
430617|Bear Creek|Stream|Ohio|39|Williams|171|Blakeslee|02/14/1979|11/19/2010||||413052N|0844251W|41.5144952|-84.7141219|413420N|0844839W|41.5722726|-84.8107914
431056|Big Run|Stream|Indiana|18|DeKalb|033|Butler East|02/14/1979|||||412510N|0844655W|41.419495|-84.7819026|412649N|0845335W|41.4469949|-84.8930175
431302|Bohnke Ditch|Canal|Indiana|18|Allen|003|Hoagland|02/14/1979|||||405757N|0845319W|40.9658815|-84.8885756|||0.0|0.0
432950|Cooper Run|Stream|Indiana|18|Dearborn|029|Harrison|02/14/1979|04/22/2015||||391612N|0844911W|39.2700548|-84.8196739|391753N|0844925W|39.297924|-84.8235792
433568|Dismal Creek|Stream|Ohio|39|Darke|037|Ansonia|02/14/1979|05/08/2015||||400918N|0844458W|40.1550476|-84.7494045|400556N|0845259W|40.0989354|-84.8830182
433904|East Fork Whitewater River|Stream|Indiana|18|Wayne|177|Brookville|02/14/1979|04/23/2014|Official|Board Decision|01/01/1961|392441N|0850047W|39.4114399|-85.0130153|395706N|0844145W|39.951727|-84.695835
434084|Elkhorn Creek|Stream|Indiana|18|Wayne|177|Richmond|02/14/1979|11/19/2010||||394550N|0845613W|39.763937|-84.936906|394858N|0844519W|39.816019|-84.755359
434574|Flatrock Creek|Stream|Ohio|39|Paulding|125|Junction|02/14/1979|04/16/2014||||411034N|0842627W|41.1761604|-84.4407815|405216N|0844860W|40.871006|-84.8165996
434581|Fleisch Run|Stream|Indiana|18|Union|161|Fairhaven|02/14/1979|05/28/2015||||393921N|0844904W|39.6558837|-84.8177349|394416N|0844753W|39.7376701|-84.7979795
434620|Fly Creek|Stream|Indiana|18|LaGrange|087|Lagrange|02/14/1979||Official|Board Decision|01/01/1962|414224N|0852341W|41.7067172|-85.3947015|413430N|0831752W|41.5750491|-83.2977044
434744|Fox Run|Stream|Indiana|18|Dearborn|029|Hooven|02/14/1979|04/22/2015||||391128N|0844741W|39.1911675|-84.7946722|391228N|0844912W|39.2076964|-84.8199493
435364|Gray Brook|Stream|Indiana|18|Wayne|177|Whitewater|02/14/1979|04/22/2015||||395909N|0844815W|39.9859472|-84.804167|400015N|0845008W|40.0042144|-84.8355161
435459|Greenville Creek|Stream|Ohio|39|Miami|109|Pleasant Hill|07/12/1979|04/23/2014||||400706N|0842126W|40.1183838|-84.3571701|400215N|0845002W|40.0375475|-84.8338498
436275|Hoffman Creek|Stream|Indiana|18|Allen|003|Woodburn South|02/14/1979|||||410207N|0844933W|41.0353266|-84.8257957|410117N|0843519W|41.0214378|-84.5885651
436537|Howard Creek|Stream|Ohio|39|Hamilton|061|Shandon|02/14/1979|11/22/2010||||391620N|0844409W|39.2722779|-84.7357825|392052N|0844929W|39.3478317|-84.8246753
436742|Indian Creek|Stream|Ohio|39|Butler|017|Shandon|07/12/1979|04/29/2015||||391910N|0843737W|39.3195006|-84.6268917|393748N|0845042W|39.63|-84.845
436930|Jameson Creek|Stream|Indiana|18|Dearborn|029|Hooven|02/14/1979|||||391408N|0844826W|39.2356111|-84.8071731|391304N|0845114W|39.2177778|-84.8538889
437130|Jordon Creek|Stream|Indiana|18|Randolph|135|Cosmos|02/14/1979|04/22/2015||||401718N|0845025W|40.2883792|-84.8402413|401952N|0844540W|40.3311111|-84.7611111
437150|Jutte Run|Stream|Indiana|18|Jay|075|Fort Recovery|02/14/1979|||||402459N|0844756W|40.4164351|-84.7988517|402542N|0844838W|40.4283333|-84.8105556
437168|Karn Branch|Stream|Indiana|18|Randolph|135|Spartanburg|02/14/1979|||||400059N|0844834W|40.0164367|-84.8094045|400044N|0844922W|40.0122222|-84.8227778
