feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
45997|Backbone Mountain|Summit|Arkansas|05|Sebastian|131|Hackett|04/30/1980|08/27/2022||||351326N|0942304W|35.2238083|-94.3843145|||0.0|0.0
46063|Ballard Creek|Stream|Arkansas|05|Washington|143|Watts|04/30/1980|06/10/2015||||360637N|0943349W|36.1103597|-94.5635532|355632N|0942601W|35.9422707|-94.4336914
46516|Big Branch|Stream|Arkansas|05|Sebastian|131|Hackett|04/30/1980|06/10/2015||||350943N|0942701W|35.1620407|-94.4502179|351315N|0942252W|35.2207746|-94.3811242
47376|Cane Creek|Stream|Arkansas|05|Sevier|133|Chapel Hill|04/30/1980|||||340207N|0942745W|34.0353906|-94.462432|341058N|0943018W|34.1828874|-94.5049357
47567|Cedar Branch|Stream|Arkansas|05|Polk|113|Bog Springs|04/30/1980|06/10/2015||||341627N|0942913W|34.2742749|-94.486881|341657N|0942744W|34.2825729|-94.4621188
47579|Cedar Creek|Stream|Arkansas|05|Sebastian|131|South Fort Smith|04/30/1980|06/10/2015||||351655N|0942758W|35.2820385|-94.4660503|351702N|0942358W|35.2839091|-94.3993953
48152|Crazy Creek|Stream|Oklahoma|40|Delaware|041|Siloam Springs NW|04/30/1980|06/28/2010||||361300N|0943755W|36.2167487|-94.6318882|361704N|0943315W|36.2845243|-94.5541074
50278|Honey Creek|Stream|Oklahoma|40|Delaware|041|Dodge|04/30/1980|11/21/2011||||363308N|0944436W|36.55209|-94.74345|362638N|0943041W|36.4439649|-94.5113285
50863|Kings Branch|Stream|Arkansas|05|Polk|113|Bog Springs|04/30/1980|06/10/2015||||341745N|0942916W|34.2959412|-94.4877145|341926N|0942720W|34.323768|-94.4556567
51994|Mill Creek|Stream|Arkansas|05|Sebastian|131|South Fort Smith|04/30/1980|||||352155N|0942602W|35.3653695|-94.4338264|351710N|0942400W|35.2861111|-94.4
54232|Rough Creek|Stream|Arkansas|05|Polk|113|Bog Springs|04/30/1980|06/10/2015||||341643N|0942945W|34.2787191|-94.4957702|341955N|0942716W|34.3320005|-94.454314
55489|Twomile Creek|Stream|Arkansas|05|Sevier|133|Chapel Hill|04/30/1980|03/02/2007||||340101N|0942742W|34.0170575|-94.4615984|340355N|0943024W|34.0652|-94.5067
55621|Town Creek|Stream|Arkansas|05|Benton|007|Colcord NE|04/30/1980|||||362443N|0943636W|36.4120223|-94.6099436|362419N|0943219W|36.4052778|-94.5386111
56168|West Branch|Stream|Arkansas|05|Washington|143|Westville|04/30/1980|||||355451N|0943235W|35.9142497|-94.5429974|355654N|0943006W|35.9483333|-94.5016667
57336|Bashe|Populated Place|Arkansas|05|Sebastian|131|South Fort Smith|04/30/1980|06/07/2022||||351845N|0942604W|35.312593|-94.4343825|||0.0|0.0
57844|Gray Mountain|Summit|Oklahoma|40|Le Flore|079|Hackett|04/30/1980|08/27/2022||||351451N|0942623W|35.2475428|-94.4398168|||0.0|0.0
57989|Jenson|Populated Place|Arkansas|05|Sebastian|131|Hackett|04/30/1980|06/07/2022||||351150N|0942621W|35.1973178|-94.4391059|||0.0|0.0
67113|Sugar Loaf Mountains|Summit|Oklahoma|40|Le Flore|079|Hartford|12/18/1979|||||350134N|0942806W|35.0262099|-94.468276|||0.0|0.0
70399|Sugarloaf Creek|Stream|Arkansas|05|Sebastian|131|Poteau East|04/30/1980|06/10/2015||||350007N|0943519W|35.0020435|-94.5885578|350224N|0942614W|35.0400984|-94.4371632
70518|Baron Fork|Stream|Oklahoma|40|Cherokee|021|Park Hill|04/30/1980|10/15/2012|Official|Board Decision|10/11/2012|355103N|0945450W|35.85083|-94.91398|355626N|0942622W|35.9406374|-94.4393822
70659|Big Cedar Creek|Stream|Arkansas|05|Sebastian|131|Bates|04/30/1980|06/10/2015||||345940N|0942650W|34.9945436|-94.4471642|345714N|0942235W|34.9537519|-94.3764826
70662|Big Creek|Stream|Arkansas|05|Polk|113|Loving|04/30/1980|08/26/2011||||344633N|0942936W|34.7758333|-94.4933333|344054N|0942021W|34.6816667|-94.3391667
70663|Big Creek|Stream|Oklahoma|40|Le Flore|079|Loving|04/30/1980|08/26/2011||||344534N|0942718W|34.7595482|-94.4549442|344344N|0942630W|34.7288889|-94.4416667
70695|Black Fork Mountain|Summit|Arkansas|05|Polk|113|Rich Mountain|04/30/1980|02/13/2019||||344243N|0942205W|34.712042|-94.3679885|||0.0|0.0
70889|Buck Creek|Stream|Arkansas|05|Sevier|133|Cerrogordo|04/30/1980|03/09/2007||||335642N|0942803W|33.945|-94.4676|340329N|0943228W|34.058|-94.541
70985|Cane Creek|Stream|Oklahoma|40|Le Flore|079|Bates|04/30/1980|07/26/2010||||345240N|0942755W|34.8776771|-94.4653312|345010N|0942450W|34.8362131|-94.4138307
71056|Cedar Creek|Stream|Arkansas|05|Polk|113|Zafra|04/30/1980|||||343202N|0942302W|34.5339947|-94.3838259|343638N|0942748W|34.6105556|-94.4633333
71091|Cedar Mountain|Ridge|Oklahoma|40|Le Flore|079|Zafra|04/30/1980|08/06/2021||||343653N|0942731W|34.6146419|-94.4586067|||0.0|0.0
71256|Cow Creek|Stream|Arkansas|05|Polk|113|Lynn Mountain|04/30/1980|||||343346N|0943001W|34.5628823|-94.500219|343650N|0942902W|34.6138889|-94.4838889
71261|Cow Creek Mountain|Ridge|Arkansas|05|Polk|113|Zafra|04/30/1980|||||343632N|0942751W|34.6089935|-94.4641079|||0.0|0.0
72081|Horsepen Creek|Stream|Arkansas|05|Polk|113|Mountain Fork|04/30/1980|||||343831N|0942640W|34.6420489|-94.4443858|344002N|0942955W|34.6672222|-94.4986111
72167|James Fork|Stream|Oklahoma|40|Le Flore|079|Panama|04/30/1980|06/21/2006||||350948N|0943843W|35.1633333|-94.6452778|345701N|0942054W|34.9502778|-94.3483333
72245|Kelsey Mountain|Summit|Oklahoma|40|Le Flore|079|Mountain Fork|04/30/1980|02/13/2019||||343953N|0942745W|34.6648204|-94.4624355|||0.0|0.0
72417|Little River|Stream|Arkansas|05|Little River|081|Fulton|04/30/1980|03/09/2010||||333635N|0934933W|33.6098429|-93.825739|343629N|0944741W|34.6081578|-94.7946719
72464|Long Branch|Stream|Arkansas|05|Scott|127|Loving|04/30/1980|06/10/2015||||344645N|0942943W|34.7792704|-94.4952235|344637N|0942544W|34.7769087|-94.4288889
72500|Loving Creek|Stream|Arkansas|05|Scott|127|Loving|04/30/1980|06/10/2015||||345223N|0942934W|34.8731574|-94.4927228|345012N|0942532W|34.8365322|-94.4256461
72532|Mackey Creek|Stream|Arkansas|05|Polk|113|Mountain Fork|04/30/1980|06/10/2015||||343818N|0942607W|34.6383978|-94.4352842|343729N|0942731W|34.6247322|-94.4585014
72607|McKinney Creek|Stream|Arkansas|05|Little River|081|Foreman|04/30/1980|03/09/2007||||334206N|0942846W|33.7017|-94.4794|334815N|0943203W|33.8043|-94.5342
72661|Mill Creek|Stream|Arkansas|05|Polk|113|Zafra|04/30/1980|06/10/2015||||343650N|0942402W|34.6139937|-94.4004947|344114N|0942728W|34.6873265|-94.4577207
