feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
1008807|Atlantic Ocean|Sea|North Carolina|37|Dare|055|Cape Hatteras|06/17/1980|06/08/2018||||351332N|0753344W|35.2254551|-75.5620973|||0.0|0.0
1609455|Cerro Farallón|Summit|Puerto Rico|72|Vieques|147|Isla De Vieques East|02/13/1981|03/17/2018||||180851N|0651934W|18.1475544|-65.326098|||0.0|0.0
1609456|Canal Aguadilla|Canal|Puerto Rico|72|Aguadilla|005|Moca|02/13/1981|||||182825N|0670706W|18.4735546|-67.1182364|||0.0|0.0
1609457|Canal de Aguuadilla|Canal|Puerto Rico|72|Aguadilla|005|Aguadilla|02/13/1981|||||182837N|0670830W|18.4768875|-67.1415698|||0.0|0.0
1609458|Quebrada Del Ausubo|Valley|Puerto Rico|72|San Juan|127|San Juan|02/13/1981|02/14/2017||||182251N|0660310W|18.380808|-66.0527427|182209N|0660243W|18.3692677|-66.0452325
1609459|Cerro Respaldo|Summit|Puerto Rico|72|Salinas|123|Coamo|02/13/1981|04/24/2018||||180034N|0661949W|18.0094091|-66.3301686|||0.0|0.0
1609460|Hipódromo El Comandante|Area|Puerto Rico|72|San Juan|127|San Juan|02/13/1981|06/16/2022||||182344N|0655959W|18.3955035|-65.99961|||0.0|0.0
1609461|Hippodromo El Commandante|Area|Puerto Rico|72|Carolina|031|Carolina|02/13/1981|06/16/2022||||182342N|0655950W|18.3949479|-65.9971099|||0.0|0.0
1609462|Quebrada Angela|Valley|Puerto Rico|72|Loíza|087|Rio Grande|02/13/1981|03/08/2017||||182320N|0655145W|18.3889756|-65.8624018|182111N|0655218W|18.3531016|-65.8716249
1609463|Quebrada Guaracanal|Valley|Puerto Rico|72|San Juan|127|San Juan|02/13/1981|03/10/2017||||182334N|0660323W|18.3926715|-66.0563564|182206N|0660231W|18.3682013|-66.0418331
1609464|Quebrada Guanábana|Valley|Puerto Rico|72|Juana Díaz|075|Ponce|02/13/1981|03/07/2017||||180147N|0663027W|18.0298335|-66.507365|180357N|0662812W|18.0656994|-66.4699068
1609465|Río Caguitas|Stream|Puerto Rico|72|Caguas|025|Aguas Buenas|02/13/1981|||||181531N|0660048W|18.2585651|-66.0132205|181345N|0660729W|18.2291224|-66.124611
1609466|Río de las Vacas|Stream|Puerto Rico|72|Peñuelas|111|Yauco|02/13/1981|||||180723N|0664516W|18.1230157|-66.7543415|180641N|0664522W|18.1113494|-66.7560083
1609467|Río de Bayamón|Stream|Puerto Rico|72|Aguas Buenas|007|Comerio|02/13/1981|||||181453N|0660822W|18.2480106|-66.1393336|181012N|0660726W|18.1699583|-66.1237774
1609468|Rio|Stream|Puerto Rico|72|Cidra|041|Comerio|02/13/1981|||||181012N|0660732W|18.1699583|-66.125444|180953N|0660636W|18.1646808|-66.1098883
1609469|Río Bayamón|Stream|Puerto Rico|72|Bayamón|021|Naranjito|02/13/1981|||||182223N|0660816W|18.3730052|-66.1376668|181820N|0660755W|18.3055081|-66.1318335
1609470|Río Casei|Stream|Puerto Rico|72|Las Marías|083|Rosario|02/13/1981|||||181453N|0670426W|18.2480089|-67.0737904|181245N|0670014W|18.2124553|-67.0037894
1609471|Río Casey|Stream|Puerto Rico|72|Las Marías|083|Central La Plata|02/13/1981|||||181614N|0670705W|18.2705076|-67.1179575|181453N|0670428W|18.2480089|-67.0743459
1609472|Río De Bayamón|Stream|Puerto Rico|72|Toa Alta|135|Bayamon|02/13/1981|||||182744N|0660823W|18.4621675|-66.139611|182223N|0660816W|18.3730052|-66.1376668
1609473|Río Guavate|Stream|Puerto Rico|72|Cayey|035|Comerio|02/13/1981|||||180747N|0660732W|18.1296823|-66.1254439|180723N|0660417W|18.123016|-66.0712765
1609474|Río Guavate|Stream|Puerto Rico|72|Cayey|035|Patillas|02/13/1981|||||180723N|0660413W|18.123016|-66.0701653|180658N|0660411W|18.1160719|-66.0696097
1609475|Río Las Vacas|Stream|Puerto Rico|72|Adjuntas|001|Monte Guilarte|02/13/1981|||||180747N|0664459W|18.1296821|-66.7496192|180722N|0664515W|18.1227379|-66.7540637
1609476|Río Mayaguecilla|Stream|Puerto Rico|72|Las Marías|083|San Sebastian|02/13/1981|||||181549N|0665810W|18.2635646|-66.9693444|181453N|0665842W|18.2480096|-66.9782334
1609477|Río Mayaguecillo|Stream|Puerto Rico|72|Las Marías|083|San Sebastian|01/01/2000||Official|Board Decision|01/01/1968|181548N|0665811W|18.2632868|-66.9696222|181241N|0665842W|18.2113444|-66.9782334
1609481|Aceitunas|Populated Place|Puerto Rico|72|Moca|099|Moca|02/13/1981|06/07/2022||||182636N|0670354W|18.4432783|-67.0649026|||0.0|0.0
1609482|Acevedo|Populated Place|Puerto Rico|72|Las Marías|083|San Sebastian|02/13/1981|06/07/2022||||181543N|0665901W|18.2618979|-66.9835113|||0.0|0.0
