feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
205575|Blackmore Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|||||415704N|0714849W|41.9512091|-71.8136817|415704N|0714720W|41.9511111|-71.7888889
205909|Cady Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|||||415417N|0714949W|41.9048204|-71.8303486|415423N|0714614W|41.9063889|-71.7705556
206525|Croff Farm Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|01/31/2008|Official|Board Decision|01/01/1972|415843N|0714806W|41.9786|-71.8016|415856N|0714655W|41.9822222|-71.7819444
207316|Glade Brook|Stream|Connecticut|09|Southeastern Connecticut|180|Ashaway|09/12/1979|02/16/2010|Official|Board Decision|02/05/1930|412703N|0714822W|41.4509326|-71.8061805|412941N|0714713W|41.4947222|-71.7869444
207479|Green Fall River|Stream|Rhode Island|44|Washington|009|Ashaway|09/12/1979|10/19/2015|Official|Board Decision|01/01/1930|412640N|0714747W|41.4445438|-71.7964578|413321N|0714822W|41.5559324|-71.8061813
208222|Keach Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|06/16/2011|Official|Board Decision|01/01/1972|415508N|0714845W|41.9189871|-71.8125706|415713N|0714623W|41.9536111|-71.7730556
208745|Mary Brown Brook|Stream|Connecticut|09|Northeastern Connecticut|150|Thompson|09/12/1979|01/31/2008|Official|Board Decision|01/01/1930|415519N|0714929W|41.9220425|-71.824793|415632N|0714535W|41.9422222|-71.7597222
209031|Moosup River|Stream|Connecticut|09|Northeastern Connecticut|150|Plainfield|04/18/2023|04/18/2023|Official|Board Decision|01/01/1930|414353N|0715558W|41.731348|-71.93264|414614N|0714633W|41.770636|-71.775742
209580|Pachaug River|Stream|Connecticut|09|Southeastern Connecticut|180|Jewett City|09/12/1979|12/13/2019||||413606N|0715912W|41.601765|-71.9867416|413529N|0714708W|41.5914881|-71.7856252
