feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
165345|Tennessee Valley Divide|Ridge|Tennessee|47|Grundy|061|Tracy City|09/04/1980|01/13/2011||||352138N|0853947W|35.36063|-85.6630284|||0.0|0.0
315788|Hudson Ferry Reach|Channel|South Carolina|45|Hampton|049|Kildare|07/13/1980|||||323556N|0812328W|32.5987869|-81.3912169|||0.0|0.0
316933|Little Back River|Stream|Georgia|13|Chatham|051|Limehouse|09/25/1979|||||320751N|0810704W|32.1307602|-81.11789|321318N|0810905W|32.2215888|-81.1515016
316997|Little Cornhouse Reach|Channel|Georgia|13|Screven|251|Blue Springs Landing|09/25/1979|||||323917N|0812345W|32.6546172|-81.3959388|||0.0|0.0
321818|Rocky Creek|Stream|Georgia|13|Screven|251|Burtons Ferry Landing|09/25/1979||Official|Board Decision|01/01/1976|325746N|0813034W|32.9626573|-81.5095524|325930N|0813658W|32.9916667|-81.6161111
321893|Rooty Branch|Stream|Georgia|13|Screven|251|Kildare|09/25/1979|||||323556N|0812327W|32.5987869|-81.3909391|323556N|0812514W|32.5988889|-81.4205556
324327|Trotters Shoals|Bar|Georgia|13|Elbert|105|Calhoun Falls|09/25/1979|||||340317N|0823713W|34.0548387|-82.6204111|||0.0|0.0
324540|Union Creek|Stream|Georgia|13|Chatham|051|Port Wentworth|09/25/1979|07/09/2015||||321257N|0810809W|32.2157559|-81.1359458|321449N|0810756W|32.2468306|-81.1320834
325846|Richard B Russell Lake|Reservoir|Georgia|13|Elbert|105|Lowndesville|09/13/1996|12/13/2018|Official|Congressional Legislation|01/01/1973|340748N|0824035W|34.1300756|-82.6765092|||0.0|0.0
327100|Big Bend Falls|Falls|Georgia|13|Rabun|241|Tamassee|09/25/1979|||||345711N|0830708W|34.9531452|-83.1187621|||0.0|0.0
328190|Holden Branch|Stream|Georgia|13|Rabun|241|Satolah|09/25/1979|||||345434N|0831047W|34.9095351|-83.179598|345505N|0831125W|34.9180556|-83.1902778
328848|Mose Branch|Stream|Georgia|13|Rabun|241|Satolah|09/25/1979|||||345509N|0831006W|34.9192571|-83.1682086|345603N|0830947W|34.9341667|-83.1630556
329466|Rock Gorge|Valley|South Carolina|45|Oconee|073|Tamassee|09/25/1979|03/01/2017||||345605N|0830648W|34.9348226|-83.1133035|345608N|0830707W|34.9356288|-83.118722
330060|Tugaloo Lake|Reservoir|South Carolina|45|Oconee|073|Tugaloo Lake|09/25/1979|12/13/2018||||344348N|0832101W|34.7300463|-83.3503377|||0.0|0.0
330061|Tugaloo River|Stream|Georgia|13|Hart|147|Hartwell NE|09/25/1979||Official|Board Decision|01/01/1900|342637N|0825122W|34.4437149|-82.855974|344258N|0832109W|34.7162056|-83.3523856
330078|Turn Hole|Lake|Georgia|13|Rabun|241|Satolah|09/25/1979|06/03/2015||||345328N|0831142W|34.8912213|-83.1951273|||0.0|0.0
330215|West Fork Chattooga River|Stream|Georgia|13|Rabun|241|Satolah|09/25/1979|||||345500N|0831011W|34.9167572|-83.1695976|345804N|0831248W|34.9677778|-83.2133333
330359|Woodall Shoals|Bar|Georgia|13|Rabun|241|Rainy Mountain|09/25/1979|03/19/2015||||344750N|0831849W|34.7973072|-83.3134915|||0.0|0.0
331289|Burrells Ford|Crossing|Georgia|13|Rabun|241|Tamassee|09/13/1996|||||345808N|0830712W|34.968978|-83.1198729|||0.0|0.0
335571|Busseys Ferry (historical)|Crossing|Georgia|13|Lincoln|181|Parksville|01/01/1994|||||334515N|0821456W|33.7542959|-82.2490114|||0.0|0.0
335575|Gilchrist Ferry (historical)|Crossing|Georgia|13|Lincoln|181|Clarks Hill|01/01/1994|||||334336N|0821420W|33.7267967|-82.239011|||0.0|0.0
335601|Andersonville Ferry (historical)|Crossing|Georgia|13|Hart|147|Hartwell NE|01/01/1994|||||342646N|0825128W|34.4462149|-82.8576408|||0.0|0.0
335602|Averys Ferry (historical)|Crossing|Georgia|13|Hart|147|Reed Creek|01/01/1994|||||342856N|0825739W|34.4823247|-82.9607014|||0.0|0.0
335611|Browns Ferry (historical)|Crossing|Georgia|13|Hart|147|Hartwell NE|01/01/1994|||||342302N|0825014W|34.3839938|-82.8370835|||0.0|0.0
335617|Cleveland Ferry (historical)|Crossing|Georgia|13|Hart|147|Lavonia|01/01/1994|||||342850N|0830115W|34.4806578|-83.0207041|||0.0|0.0
335655|Hatton Ford (historical)|Crossing|Georgia|13|Hart|147|Hartwell NE|01/01/1994|||||342815N|0825225W|34.4709366|-82.8734751|||0.0|0.0
335656|Hatton Shoals (historical)|Bar|Georgia|13|Hart|147|Reed Creek|01/01/1994|||||342840N|0825253W|34.4778809|-82.8812533|||0.0|0.0
335685|Parks Ferry (historical)|Crossing|Georgia|13|Hart|147|Hartwell Dam|01/01/1994|||||341927N|0824728W|34.3242728|-82.7912476|||0.0|0.0
335699|Sadlers Ferry (historical)|Crossing|Georgia|13|Hart|147|Hartwell Dam|01/01/1994|||||341827N|0824705W|34.3076064|-82.7848583|||0.0|0.0
335716|Weldon Island (historical)|Island|Georgia|13|Hart|147|Reed Creek|01/01/1994|||||342815N|0825234W|34.4709366|-82.8759752|||0.0|0.0
335836|J. Strom Thurmond Reservoir|Reservoir|Georgia|13|Lincoln|181|Woodlawn|09/13/1996|03/11/2021|Official|Congressional Legislation|12/23/1987|333938N|0822453W|33.6604188|-82.414605|||0.0|0.0
336519|Athens Waterworks Pond|Reservoir|Georgia|13|Clarke|059|Willington|09/01/1992|||||335848N|0822229W|33.9801217|-82.3748502|||0.0|0.0
337766|Hodges Pond|Reservoir|Georgia|13|Effingham|103|Brighton|09/01/1992|||||323425N|0812129W|32.573511|-81.3581611|||0.0|0.0
339960|Lake Forrest|Reservoir|South Carolina|45|Abbeville|001|Calhoun Falls|09/01/1992|12/13/2018||||340440N|0823347W|34.0778829|-82.5631785|||0.0|0.0
344187|Barnwell Island Number 2|Island|Georgia|13|Chatham|051|Savannah|09/25/1979|||||320542N|0810136W|32.0949303|-81.0267783|||0.0|0.0
347801|Bowman Ferry (historical)|Crossing|Georgia|13|Elbert|105|Lowndesville|08/01/1994|||||341045N|0824355W|34.1792771|-82.732079|||0.0|0.0
347807|Cherokee Ferry (historical)|Crossing|Georgia|13|Elbert|105|Heardmont|08/01/1994|||||340707N|0824004W|34.1187246|-82.6679114|||0.0|0.0
347969|Demaries Ferry (historical)|Crossing|Georgia|13|Burke|033|Shell Bluff Landing|08/01/1994|||||331246N|0814826W|33.2126476|-81.8073363|||0.0|0.0
348889|Four Mile Reach|Channel|Georgia|13|Columbia|073|Martinez|08/01/1994|||||333433N|0820411W|33.5759677|-82.06984|||0.0|0.0
348890|Furys Ferry (historical)|Crossing|Georgia|13|Columbia|073|Martinez|08/01/1994|||||333533N|0820724W|33.592634|-82.1234524|||0.0|0.0
349352|Shelor Ferry (historical)|Crossing|Georgia|13|Franklin|119|Oakway|08/01/1994|||||343050N|0830445W|34.5139902|-83.0790405|||0.0|0.0
349990|Cleveland Shoal (historical)|Bar|Georgia|13|Stephens|257|Avalon|09/01/1994|||||343614N|0830944W|34.6039873|-83.1621001|||0.0|0.0
350009|Jenkins Ferry (historical)|Crossing|Georgia|13|Stephens|257|Avalon|09/01/1994|||||343522N|0830929W|34.5895433|-83.1579333|||0.0|0.0
350025|Ramsey Ferry (historical)|Crossing|Georgia|13|Stephens|257|Avalon|09/01/1994|||||343643N|0831359W|34.612042|-83.2329364|||0.0|0.0
350035|Stribling Ferry (historical)|Crossing|Georgia|13|Stephens|257|Oakway|09/01/1994|||||343251N|0830638W|34.5476003|-83.110431|||0.0|0.0
350048|Waltons Ford (historical)|Crossing|Georgia|13|Stephens|257|Avalon|09/01/1994|||||343651N|0831410W|34.6142643|-83.235992|||0.0|0.0
350205|Becks Ferry (historical)|Crossing|Georgia|13|Effingham|103|Rincon|09/01/1994|||||322060N|0810748W|32.3499154|-81.1301103|||0.0|0.0
352092|Barksdale Ferry (historical)|Crossing|Georgia|13|Lincoln|181|Lincolnton|01/01/1994|||||335220N|0822612W|33.8723461|-82.4367953|||0.0|0.0
352095|Hesters Ferry (historical)|Crossing|Georgia|13|Lincoln|181|Chennault|01/01/1994|||||335633N|0823300W|33.942621|-82.5501324|||0.0|0.0
352098|Sturkeys Ferry (historical)|Crossing|Georgia|13|Lincoln|181|Plum Branch|01/01/1994|||||334805N|0821803W|33.8015162|-82.3009577|||0.0|0.0
352315|Middletons Ferry (historical)|Crossing|Georgia|13|Columbia|073|Clarks Hill|08/01/1994|||||333734N|0821129W|33.6262442|-82.1915097|||0.0|0.0
