feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
459452|Nelson Creek|Stream|Iowa|19|Lyon|119|Canton|04/30/1979|||||431531N|0963312W|43.2585936|-96.5533734|431535N|0962906W|43.2597044|-96.4850374
460744|Rock River|Stream|Iowa|19|Sioux|167|Hawarden North|04/30/1979|03/27/2018||||430458N|0962716W|43.0827639|-96.4544761|440813N|0960723W|44.1369115|-96.1230846
463084|Willow Creek|Stream|Iowa|19|O'Brien|141|Paullina|04/30/1979|||||425351N|0953824W|42.8974818|-95.6400091|430106N|0973214W|43.0183302|-97.5372865
639819|Beaver Creek|Stream|Minnesota|27|Rock|133|Brandon|01/11/1980|||||433331N|0963513W|43.5585856|-96.58699|434854N|0961534W|43.8149698|-96.259476
640135|Big Stone Lake|Reservoir|Minnesota|27|Big Stone|011|Big Stone Lake East|01/11/1980|09/21/2018|Official|Board Decision|01/01/1912|452433N|0963639W|45.4092435|-96.6108638|||0.0|0.0
640348|Bois de Sioux River|Stream|Minnesota|27|Wilkin|167|Wahpeton|01/11/1980|08/10/2016|Official|Board Decision|03/02/1904|461552N|0963555W|46.2644033|-96.5986848|455142N|0963423W|45.8616269|-96.5731247
642549|Culver Lake|Lake|South Dakota|46|Deuel|039|Canby NW|01/11/1980|09/21/2018||||444250N|0962714W|44.7137654|-96.4538905|||0.0|0.0
643728|Flandreau Creek|Stream|Minnesota|27|Pipestone|117|Flandreau|01/11/1980|02/28/2018||||440330N|0963316W|44.0583042|-96.5544895|441353N|0961706W|44.2313571|-96.2850383
643850|Fourmile Creek|Stream|Minnesota|27|Rock|133|Brandon|01/11/1980|07/22/2016||||433226N|0963209W|43.54053|-96.5358771|433406N|0962246W|43.5683055|-96.3794812
646542|Lazarus Creek|Stream|Minnesota|27|Lac qui Parle|073|Dawson SW|01/11/1980|||||444755N|0960818W|44.798573|-96.1383729|443760N|0962848W|44.6332967|-96.4800505
647730|Medary Creek|Stream|Minnesota|27|Lincoln|081|Medary|01/11/1980|||||441117N|0964601W|44.1880252|-96.7669967|441616N|0961922W|44.2710788|-96.3228178
648355|Mud Lake|Reservoir|Minnesota|27|Traverse|155|Wheaton West|01/11/1980|10/21/2016|Official|Board Decision|01/01/1973|455142N|0963423W|45.8616269|-96.5731247|||0.0|0.0
648643|North Fork Yellow Bank River|Stream|Minnesota|27|Lac qui Parle|073|Bellingham|01/11/1980|02/15/2018||||451047N|0962130W|45.1796869|-96.3583864|450657N|0965500W|45.1157975|-96.9167371
649528|Pipestone Creek|Stream|Minnesota|27|Pipestone|117|Jasper|01/11/1980|03/27/2018||||434814N|0962628W|43.8038605|-96.4411513|440152N|0961725W|44.031081|-96.2903114
649741|Shakopee Mdewakanton Sioux Community|Civil|South Dakota|46|Pennington|103|Deerfield|01/11/1980|03/21/2023||||440344N|1034748W|44.0622232|-103.7965557|||0.0|0.0
652306|South Fork Yellow Bank River|Stream|Minnesota|27|Lac qui Parle|073|Bellingham|01/11/1980|02/15/2018||||451047N|0962131W|45.1796869|-96.3586641|445817N|0964809W|44.9713541|-96.8025643
652403|Split Rock Creek|Stream|Minnesota|27|Rock|133|Brandon|01/11/1980|||||433259N|0963551W|43.5496968|-96.5975458|435927N|0961822W|43.9908036|-96.3061447
652444|Spring Creek|Stream|Minnesota|27|Lincoln|081|Flandreau|01/11/1980|||||440608N|0963716W|44.1021925|-96.6211584|441537N|0961919W|44.2602457|-96.3219844
652495|Springwater Creek|Stream|Minnesota|27|Rock|133|Valley Springs|01/11/1980|||||433539N|0962714W|43.5941398|-96.4539293|434133N|0962129W|43.6924711|-96.3580917
653270|Lake Traverse|Reservoir|Minnesota|27|Traverse|155|Beardsley NW|01/11/1980|11/26/2018|Official|Board Decision|01/01/1973|454215N|0964353W|45.7041583|-96.7314147|||0.0|0.0
653935|West Branch Lac qui Parle River|Stream|Minnesota|27|Lac qui Parle|073|Dawson|01/11/1980|02/28/2018||||445547N|0960205W|44.9296825|-96.0347577|444501N|0963349W|44.750391|-96.563644
654552|Coteau des Prairies|Plain|South Dakota|46|Brookings|011|Brookings|08/01/1990|01/12/2011|Official|Board Decision|01/01/1916|442001N|0964817W|44.3336111|-96.8047222|||0.0|0.0
756398|Missouri River|Stream|Missouri|29|St. Charles|183|Wood River|10/24/1980|10/20/2020|Official|Board Decision|01/01/1953|384849N|0900711W|38.8136597|-90.1198297|455536N|1113020W|45.9268|-111.50558
768569|Bean Blossom Creek|Stream|South Dakota|46|Butte|019|Greasewood Draw|04/04/1980|05/23/2011||||450325N|1035523W|45.056933|-103.9229877|450923N|1040325W|45.15638|-104.05688
769955|Coal Bank Creek|Stream|Montana|30|Fallon|025|Snider Hill|04/04/1980|||||455513N|1040222W|45.9202781|-104.0393788|455530N|1040358W|45.925|-104.0661111
771526|Fortyeight Mile Creek|Stream|Montana|30|Carter|011|Capitol|04/04/1980|12/13/2010||||452606N|1040308W|45.434961|-104.052329|451940N|1035531W|45.32774|-103.92534
772208|Hawk Creek|Stream|Montana|30|Carter|011|Capitol|04/04/1980|12/30/2015||||452701N|1040244W|45.450271|-104.0454923|452407N|1035718W|45.4019371|-103.9549331
772925|K Bar Creek|Stream|South Dakota|46|Harding|063|Camp Crook|04/04/1980|05/25/2011||||453714N|1035602W|45.62064|-103.9339|453550N|1040411W|45.59716|-104.06977
773624|Lonetree Creek|Stream|South Dakota|46|Butte|019|Mud Buttes NW|04/04/1980|05/26/2011||||445655N|1035453W|44.9485986|-103.9146534|450036N|1040457W|45.010053|-104.08237
774706|North Fork Beaver Dam Creek|Stream|Montana|30|Carter|011|Cactus Creek East|04/04/1980|03/22/2012||||451835N|1040512W|45.309817|-104.086726|451438N|1035919W|45.243878|-103.988547
774855|North Slick Creek|Stream|South Dakota|46|Harding|063|Caroline Butte|04/04/1980|05/26/2011||||453958N|1035814W|45.66599|-103.97045|454302N|1040803W|45.71709|-104.13421
775008|Owl Creek|Stream|South Dakota|46|Butte|019|Newell|04/04/1980|05/26/2011||||444028N|1032847W|44.67431|-103.47962|450408N|1041622W|45.0689548|-104.2728289
775303|Plum Creek|Stream|South Dakota|46|Harding|063|Caroline Butte|04/04/1980|05/26/2011||||453913N|1035636W|45.65362|-103.94337|453658N|1040940W|45.616049|-104.161248
776437|Sheep Creek|Stream|Montana|30|Fallon|025|Snider Hill|04/04/1980|05/28/2015||||455601N|1040010W|45.9337253|-104.0028553|455941N|1040659W|45.9947889|-104.1163234
776638|Slick Creek|Stream|South Dakota|46|Harding|063|Caroline Butte|04/04/1980|05/26/2011||||453922N|1035638W|45.6561085|-103.9438203|453958N|1040319W|45.66616|-104.05533
777638|Tie Creek|Stream|Montana|30|Carter|011|Capitol|04/04/1980|||||452837N|1040145W|45.4769382|-104.0291026|453316N|1041729W|45.5544391|-104.2913341
778068|Wagon Creek|Stream|South Dakota|46|Harding|063|Caroline Butte|04/04/1980|05/26/2011|Official|Board Decision|01/01/1977|454204N|1035453W|45.7011094|-103.9146523|454437N|1040329W|45.743539|-104.057951
799558|Hoag Coal Mine Draw|Valley|South Dakota|46|Harding|063|Camp Crook|05/01/1994|12/08/2016||||453311N|1035822W|45.5529654|-103.9728363|453534N|1040445W|45.5927511|-104.079231
799600|Roburge Creek|Stream|Montana|30|Carter|011|Capitol|05/01/1994|||||452306N|1040333W|45.3849917|-104.0591044|452122N|1040009W|45.3561023|-104.0024357
