feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
450|Uinkaret Plateau|Plain|Arizona|04|Mohave|015|Mount Trumbull NE|02/08/1980||Official|Board Decision|01/01/1974|362830N|1130632W|36.4749817|-113.1088231|||0.0|0.0
1167|Beaver Dam Wash|Stream|Arizona|04|Mohave|015|Littlefield|02/08/1980|05/03/2011|Official|Board Decision|01/01/1974|365343N|1135516W|36.8952778|-113.9211111|373126N|1140439W|37.5238889|-114.0775
1393|Big Valley|Valley|Utah|49|Washington|053|Saint George|02/08/1980|08/30/2021||||370126N|1133619W|37.0238639|-113.6052781|365601N|1133255W|36.9335313|-113.5486635
2634|Cedar Mountain|Summit|Arizona|04|Coconino|005|Water Pockets|02/08/1980|11/19/2021||||365826N|1114230W|36.9738216|-111.7082112|||0.0|0.0
2664|Cedar Pockets Wash|Valley|Arizona|04|Mohave|015|Mountain Sheep Spring|02/08/1980||Official|Board Decision|01/01/1981|365726N|1134716W|36.9572007|-113.7877417|370251N|1134636W|37.0474785|-113.7766312
3315|Cottonwood Canyon|Valley|Arizona|04|Mohave|015|Colorado City|02/08/1980|08/24/2021||||365844N|1125444W|36.9788742|-112.912284|370308N|1125331W|37.0522794|-112.8918836
3342|Cottonwood Creek|Stream|Arizona|04|Mohave|015|Fredonia|02/08/1980|||||365407N|1123348W|36.901931|-112.5632547|370545N|1123733W|37.095818|-112.6257621
3515|Coyote Valley|Valley|Utah|49|Kane|025|Pine Hollow Canyon|02/08/1980|08/30/2022||||370112N|1120121W|37.0200598|-112.0226172|365411N|1120250W|36.9031017|-112.0472891
3525|Coyote Wash|Stream|Utah|49|Kane|025|Pine Hollow Canyon|02/08/1980|06/28/2010||||370111N|1120010W|37.019653|-112.002912|365105N|1120443W|36.8513765|-112.0785123
3642|Cummings Mesa|Summit|Arizona|04|Coconino|005|West Canyon Creek|02/08/1980|08/10/2018||||365645N|1110056W|36.9459717|-111.0156597|||0.0|0.0
4214|Dutchman Draw|Valley|Utah|49|Washington|053|Washington Dome|12/31/1979|04/28/2022||||370020N|1132908W|37.0056692|-113.4855269|364915N|1132634W|36.820939|-113.4428151
4282|East Fork Copper Canyon|Valley|Utah|49|San Juan|037|Jacobs Monument|12/31/1979|08/17/2021||||370224N|1102802W|37.0399402|-110.4672975|365835N|1102500W|36.9764619|-110.4167446
4366|Eightmile Gap|Gap|Arizona|04|Coconino|005|Shinarump Point|02/08/1980|01/07/2011||||365914N|1122306W|36.9872083|-112.3849189|||0.0|0.0
4613|First Canyon|Valley|Arizona|04|Coconino|005|Chaiyahi Flat|02/08/1980|08/10/2018||||365956N|1105612W|36.9988494|-110.9367418|370029N|1105316W|37.0080793|-110.8877541
4957|Garnet Ridge|Ridge|Utah|49|San Juan|037|Moses Rock|02/08/1980|08/24/2021|Official|Board Decision|01/01/1915|370010N|1094405W|37.0028831|-109.7345927|||0.0|0.0
5958|Horse Canyon|Valley|Arizona|04|Coconino|005|Chaiyahi Flat|02/08/1980|08/10/2018||||365955N|1105612W|36.9986931|-110.9365468|370206N|1105255W|37.0349665|-110.8818405
5977|Horse Pasture Canyon|Valley|Arizona|04|Navajo|017|Mystery Valley|02/08/1980|08/30/2021||||365948N|1101330W|36.996732|-110.2250456|365958N|1101130W|36.9993457|-110.1917048
6030|Hosteen Tso Canyon|Valley|Utah|49|San Juan|037|Moses Rock|02/08/1980|08/24/2021||||370007N|1094229W|37.0020749|-109.707997|365647N|1094648W|36.9464694|-109.7800679
6483|Johnson Wash|Stream|Arizona|04|Coconino|005|Clear Water Spring|02/08/1980|09/13/2006||||365230N|1123360W|36.8749868|-112.566587|371359N|1122145W|37.2330377|-112.3624218
6523|Judd Hollow|Valley|Arizona|04|Coconino|005|Wrather Arch|02/08/1980|08/10/2018||||365943N|1114653W|36.9952581|-111.7814771|370049N|1114156W|37.0137132|-111.6989046
