feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
120697|Intracoastal Waterway|Channel|Alabama|01|Baldwin|003|Fort Pulaski|09/04/1980|09/23/2018|Official|Board Decision|01/01/1931|320438N|0805702W|32.0771546|-80.9506666|||0.0|0.0
165345|Tennessee Valley Divide|Ridge|Tennessee|47|Grundy|061|Tracy City|09/04/1980|01/13/2011||||352138N|0853947W|35.36063|-85.6630284|||0.0|0.0
214621|Sawmill Pond|Lake|Delaware|10|Sussex|005|Assawoman Bay|08/02/1979|12/17/2018||||382919N|0750432W|38.4886433|-75.0755299|||0.0|0.0
485954|Andy Trent Branch|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|04/22/2015||||373158N|0820034W|37.5328868|-82.0095677|372951N|0820013W|37.4973829|-82.0034737
486151|Austin Gap|Gap|Kentucky|21|Letcher|133|Jenkins East|09/20/1979|06/27/2014||||371011N|0823643W|37.1698265|-82.6118222|||0.0|0.0
487215|Big Lick Gap|Gap|Virginia|51|Dickenson|051|Jenkins East|09/20/1979|06/27/2014||||371238N|0823155W|37.2106624|-82.5318208|||0.0|0.0
487278|Big Stone Gap 6|Gap|Kentucky|21|Harlan|095|Keokee|09/20/1979|||||365145N|0825733W|36.8625912|-82.9590524|||0.0|0.0
487331|Birch Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371417N|0822728W|37.238164|-82.4576517|||0.0|0.0
487504|Blowing Rock Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371446N|0822624W|37.2462199|-82.4398731|||0.0|0.0
487602|Bob Gap|Gap|Virginia|51|Dickenson|051|Jenkins East|09/20/1979|06/27/2014||||371319N|0823030W|37.222052|-82.5082093|||0.0|0.0
487904|Brierfield Gap|Gap|Kentucky|21|Harlan|095|Rose Hill|09/20/1979|||||364238N|0831813W|36.7106427|-83.3035141|||0.0|0.0
487922|Britton Gap|Gap|Kentucky|21|Harlan|095|Rose Hill|09/20/1979|06/27/2008||||364151N|0832060W|36.6975867|-83.3499051|||0.0|0.0
488171|Bryant Gap|Gap|Kentucky|21|Letcher|133|Jenkins East|09/20/1979|06/27/2014||||371051N|0823535W|37.1809382|-82.592933|||0.0|0.0
488499|Butchers Gap|Gap|Kentucky|21|Bell|013|Varilla|09/20/1979|||||363839N|0833421W|36.6442511|-83.5724125|||0.0|0.0
488904|Cantrell Gap|Gap|Virginia|51|Dickenson|051|Jenkins East|09/20/1979|06/27/2014||||371250N|0823106W|37.2139961|-82.5182095|||0.0|0.0
490191|Cow Fork|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|08/31/2012||||371857N|0821713W|37.3157552|-82.2870827|371842N|0821437W|37.3116423|-82.2437382
490294|Cranks Gap|Gap|Kentucky|21|Harlan|095|Hubbard Springs|09/20/1979|||||364421N|0830957W|36.7392547|-83.1657298|||0.0|0.0
490475|Cumberland Gap|Gap|Kentucky|21|Bell|013|Middlesboro South|09/20/1979|||||363614N|0834023W|36.6039715|-83.67297|||0.0|0.0
490478|Cumberland Mountain|Range|Kentucky|21|Bell|013|Middlesboro South|09/13/1996|01/16/2020|Official|Board Decision|01/01/1995|363610N|0834047W|36.6027348|-83.6797687|||0.0|0.0
490602|Darty Gap|Gap|Kentucky|21|Harlan|095|Keokee|09/20/1979|06/27/2014||||365203N|0825615W|36.8675919|-82.9373854|||0.0|0.0
490839|Devils Branch|Stream|Virginia|51|Buchanan|027|Hurley|09/20/1979|01/13/2013||||372803N|0820326W|37.4676|-82.05727|372737N|0820455W|37.46019|-82.08199
490896|Dilse Branch|Stream|Virginia|51|Buchanan|027|Elkhorn City|09/20/1979|08/31/2012||||371914N|0821644W|37.3204993|-82.2788429|371949N|0821631W|37.3302778|-82.2752778
491367|Dutton Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371434N|0822702W|37.2428864|-82.4504292|||0.0|0.0
491961|Falling Water Gap|Gap|Kentucky|21|Harlan|095|Rose Hill|09/20/1979|||||364130N|0832209W|36.6917533|-83.3690726|||0.0|0.0
492191|Flat Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371405N|0822828W|37.2348304|-82.4743191|||0.0|0.0
492813|Gibson Hollow|Valley|Kentucky|21|Pike|195|Majestic|09/20/1979|03/03/2016||||373113N|0820006W|37.5201856|-82.0017353|373104N|0815939W|37.517877|-81.9941656
492815|Gibsons Gap|Gap|Kentucky|21|Bell|013|Varilla|09/20/1979|||||363816N|0833615W|36.6378618|-83.6040799|||0.0|0.0
493148|Grassy Creek|Stream|Virginia|51|Dickenson|051|Elkhorn City|09/20/1979|08/31/2012||||371745N|0821851W|37.2957519|-82.3141193|371860N|0821709W|37.3165744|-82.2858167
493158|Grassy Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371330N|0822929W|37.2251079|-82.4912644|||0.0|0.0
493517|Hackney Creek|Stream|Kentucky|21|Pike|195|Harman|09/20/1979|||||372204N|0821350W|37.367886|-82.2304177|372249N|0821128W|37.3803862|-82.1912485
494952|Indian Grave Gap|Gap|Kentucky|21|Letcher|133|Jenkins West|09/20/1979|06/27/2014||||370811N|0824058W|37.1364909|-82.6826572|||0.0|0.0
495243|Jesse Gap|Gap|Kentucky|21|Pike|195|Clintwood|09/20/1979|||||371411N|0822750W|37.2364973|-82.4637631|||0.0|0.0
495859|Knox Creek|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|01/16/2009||||373209N|0820334W|37.5359414|-82.0595712|372003N|0815348W|37.3342784|-81.8967866
495975|Lane Fork|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|04/22/2015||||373052N|0820023W|37.5145538|-82.0065119|373029N|0815916W|37.5081539|-81.9878008
496190|Left Fork Andy Trent Branch|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|12/06/2018||||373131N|0820005W|37.5253871|-82.0015116|373106N|0815915W|37.5184428|-81.9876221
496312|Levisa Fork|Stream|Kentucky|21|Lawrence|127|Louisa|09/20/1979|09/14/2017|Official|Board Decision|01/01/1975|380705N|0823606W|38.1181432|-82.6015453|370906N|0815404W|37.1517789|-81.9012327
496627|Little Black Mountain|Summit|Kentucky|21|Harlan|095|Pennington Gap|09/20/1979|||||365027N|0830430W|36.8409229|-83.0748906|||0.0|0.0
496746|Little Grassy Branch|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|||||371754N|0821833W|37.2984421|-82.3090332|371901N|0821927W|37.3169444|-82.3241667
496966|Locust Thicket|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|04/22/2015||||371942N|0821608W|37.3284419|-82.2687533|371914N|0821528W|37.320661|-82.2578957
497276|Lower Elk Creek|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|04/02/2010||||373119N|0820251W|37.5220529|-82.0476259|372923N|0820038W|37.4898318|-82.010679
497924|McLin Notch|Gap|Virginia|51|Lee|105|Ewing|09/28/1979|||||364041N|0832343W|36.6781419|-83.3951846|||0.0|0.0
498110|Middle Elk Creek|Stream|Virginia|51|Buchanan|027|Hurley|09/20/1979|01/16/2013||||372936N|0820321W|37.4933155|-82.0559406|372911N|0820033W|37.48635|-82.00914
498157|Middleton Gap|Gap|Kentucky|21|Harlan|095|Rose Hill|09/20/1979|||||364209N|0832004W|36.7025869|-83.3343488|||0.0|0.0
498245|Mill Creek|Stream|Virginia|51|Buchanan|027|Hurley|09/20/1979|01/13/2013||||372653N|0820335W|37.44794|-82.05979|372732N|0820606W|37.45882|-82.10165
499841|Old House Fork|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|08/31/2012||||371913N|0821646W|37.3202262|-82.2794223|371905N|0821544W|37.3181785|-82.2621703
500007|Osborn Gap|Gap|Virginia|51|Dickenson|051|Jenkins East|09/20/1979|06/27/2014||||371213N|0823240W|37.2037175|-82.544321|||0.0|0.0
500284|Pawpaw Creek|Stream|Virginia|51|Buchanan|027|Hurley|09/20/1979|03/13/2013||||372650N|0820330W|37.44722|-82.05827|372428N|0820853W|37.407677|-82.147963
500731|Piney Fork|Stream|Kentucky|21|Pike|195|Elkhorn City|09/20/1979|08/31/2012||||371949N|0821558W|37.3303789|-82.2661829|371935N|0821520W|37.3264204|-82.2555614
501216|Pound Gap|Gap|Virginia|51|Wise|195|Jenkins West|09/20/1979|05/28/2009||||370917N|0823758W|37.1548257|-82.6326561|||0.0|0.0
501221|Pounding Mill Branch|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|||||373219N|0820010W|37.5387202|-82.0029006|373110N|0815846W|37.519554|-81.9795661
501905|Right Fork Lower Elk Creek|Stream|Kentucky|21|Pike|195|Majestic|09/20/1979|||||373039N|0820154W|37.5109423|-82.0317914|372919N|0820130W|37.4887205|-82.0251245
