feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
1008807|Atlantic Ocean|Sea|North Carolina|37|Dare|055|Cape Hatteras|06/17/1980|06/08/2018||||351332N|0753344W|35.2254551|-75.5620973|||0.0|0.0
1613021|Caribbean Sea|Sea|Puerto Rico|72|Ponce|113||02/13/1981|03/01/2006||||150001N|0750001W|15.0002778|-75.0002778|||0.0|0.0
1613676|Adelphi|Populated Place|United States Virgin Islands|78|St. Thomas|030|Charlotte Amalie|01/26/1981|06/07/2022||||182054N|0645901W|18.3482891|-64.9834807|||0.0|0.0
1613677|Adrian|Populated Place|United States Virgin Islands|78|St. John|020|Cruz Bay|01/26/1981|06/07/2022||||182029N|0644606W|18.3413429|-64.7684711|||0.0|0.0
1613679|Ajax Peak|Summit|United States Virgin Islands|78|St. John|020|Coral Bay|01/26/1981|08/24/2017||||182124N|0644334W|18.3566343|-64.7262451|||0.0|0.0
1613680|Aldershvile Hill|Summit|United States Virgin Islands|78|St. Croix|010|Christiansted|01/26/1981|03/30/2018||||174434N|0644302W|17.7427603|-64.7173232|||0.0|0.0
1613682|Allandale|Populated Place|United States Virgin Islands|78|St. Croix|010|Long Point|01/26/1981|06/07/2022||||174341N|0645025W|17.7280296|-64.840146|||0.0|0.0
1613683|Altona|Populated Place|United States Virgin Islands|78|St. Croix|010|Christiansted|01/26/1981|06/07/2022||||174441N|0644139W|17.7446955|-64.6940308|||0.0|0.0
1613684|Altona|Populated Place|United States Virgin Islands|78|St. Thomas|030|Charlotte Amalie|01/26/1981|06/07/2022||||182020N|0645656W|18.3388456|-64.9487576|||0.0|0.0
1613685|Altona Lagoon|Bay|United States Virgin Islands|78|St. Croix|010|Beauregard Bay|01/26/1981|||||174505N|0644117W|17.7513619|-64.6879195|||0.0|0.0
1613686|America Hill|Summit|United States Virgin Islands|78|St. John|020|Coral Bay|01/26/1981|08/24/2017||||182113N|0644458W|18.3536026|-64.7495588|||0.0|0.0
1613687|America Point|Cape|United States Virgin Islands|78|St. John|020|Cruz Bay|01/26/1981|||||182129N|0644501W|18.3580091|-64.750415|||0.0|0.0
1613688|Anguilla|Populated Place|United States Virgin Islands|78|St. Croix|010|Long Point|01/26/1981|06/07/2022||||174224N|0644648W|17.7066414|-64.7798676|||0.0|0.0
1613689|Anna Point|Cape|United States Virgin Islands|78|St. John|020|Coral Bay|01/26/1981|||||182208N|0644402W|18.368842|-64.7340258|||0.0|0.0
1613690|Annaberg|Populated Place|United States Virgin Islands|78|St. John|020|Coral Bay|01/26/1981|06/07/2022||||182147N|0644348W|18.3630089|-64.7301369|||0.0|0.0
1613691|Annaberg|Populated Place|United States Virgin Islands|78|St. Croix|010|Long Point|01/26/1981|06/07/2022||||174242N|0644628W|17.7116411|-64.7743119|||0.0|0.0
1613692|Annaberg Point|Cape|United States Virgin Islands|78|St. John|020|Coral Bay|01/26/1981|||||182152N|0644340W|18.3643978|-64.7279145|||0.0|0.0
1613693|Annaly|Populated Place|United States Virgin Islands|78|St. Croix|010|Long Point|01/26/1981|06/07/2022||||174459N|0645116W|17.7496954|-64.8543126|||0.0|0.0
1613694|Annaly Bay|Bay|United States Virgin Islands|78|St. Croix|010|Baron Bluff|01/26/1981|04/17/2013||||174557N|0645101W|17.7658333|-64.8502778|||0.0|0.0
1613695|Annas Hope|Populated Place|United States Virgin Islands|78|St. Croix|010|Christiansted|01/26/1981|06/07/2022||||174342N|0644344W|17.728307|-64.7287549|||0.0|0.0
1613697|Banana Point|Cape|United States Virgin Islands|78|St. Thomas|030|Charlotte Amalie|01/26/1981|||||181947N|0645639W|18.3296784|-64.9440347|||0.0|0.0
1613698|Barents Bay|Bay|United States Virgin Islands|78|St. Thomas|030|Savana Passage|01/26/1981||Official|Board Decision|01/01/1958|182042N|0650155W|18.3449552|-65.0318164|||0.0|0.0
