feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
206425|Connecticut River|Stream|Connecticut|09|Lower Connecticut River Valley|130|Old Lyme|04/18/2023|04/18/2023|Official|Board Decision|01/01/1931|411620N|0721958W|41.272313|-72.332687|451357N|0711141W|45.232512|-71.194839
607329|Broad Brook|Stream|Massachusetts|25|Berkshire|003|Williamstown|02/24/1974|||||424418N|0731300W|42.7384132|-73.216774|424757N|0730901W|42.7992467|-73.1503835
607403|East Mountain|Summit|Vermont|50|Bennington|003|Williamstown|02/24/1974|12/23/2020||||424441N|0730923W|42.7445996|-73.1563583|||0.0|0.0
607547|Cowan Brook|Stream|Massachusetts|25|Berkshire|003|North Adams|02/24/1974|||||424432N|0730659W|42.7423032|-73.1164932|424649N|0730717W|42.7803583|-73.1214937
607611|North Branch Hoosic River|Stream|Massachusetts|25|Berkshire|003|North Adams|02/24/1974|05/23/2011||||424209N|0730706W|42.70256|-73.11835|424846N|0730045W|42.8128591|-73.0126018
607885|Dunbar Brook|Stream|Massachusetts|25|Franklin|011|Rowe|02/24/1974|05/23/2011||||424226N|0725703W|42.7073052|-72.9509326|424520N|0730153W|42.7556374|-73.0314908
607944|Potter Brook|Stream|Massachusetts|25|Franklin|011|Rowe|02/24/1974|||||424158N|0725308W|42.6995277|-72.8856528|424418N|0725258W|42.7383333|-72.8827778
607954|Sherman Reservoir|Reservoir|Vermont|50|Windham|025|Rowe|02/24/1974|04/30/2018||||424423N|0725534W|42.7398266|-72.9262316|||0.0|0.0
607991|Wheeler Brook|Stream|Massachusetts|25|Franklin|011|Rowe|02/24/1974|||||424344N|0725535W|42.7289717|-72.9264876|424445N|0725445W|42.7458333|-72.9125
607998|Windsor Pond|Lake|Vermont|50|Bennington|003|Rowe|02/24/1974|02/18/2018||||424442N|0725852W|42.7450686|-72.9812255|||0.0|0.0
608140|Borden Brook|Stream|Massachusetts|25|Franklin|011|Colrain|02/24/1974|||||424337N|0724033W|42.7270277|-72.6759255|424503N|0724208W|42.7509162|-72.7023152
608148|Burton Brook|Stream|Massachusetts|25|Franklin|011|Heath|02/24/1974|||||424330N|0725118W|42.725083|-72.8550967|424452N|0725208W|42.7477778|-72.8688889
608223|Phillips Hill|Summit|Vermont|50|Windham|025|Heath|02/24/1974|08/30/2022||||424410N|0724630W|42.7359843|-72.7749603|||0.0|0.0
608232|Sanders Brook|Stream|Massachusetts|25|Franklin|011|Heath|02/24/1974|05/23/2011||||424214N|0724658W|42.70385|-72.7829|424431N|0724847W|42.7419444|-72.8130556
608818|West Brook|Stream|Massachusetts|25|Franklin|011|Bernardston|02/24/1974|||||424337N|0723413W|42.7270277|-72.5703677|424505N|0723528W|42.7514717|-72.5912018
608860|Fall River|Stream|Massachusetts|25|Franklin|011|Greenfield|02/24/1974|02/24/2021||||423651N|0723309W|42.61419|-72.55253|424636N|0723457W|42.7767|-72.58256
609320|Newton Brook|Stream|Massachusetts|25|Franklin|011|Northfield|02/24/1974|03/29/2021||||424335N|0722730W|42.7264724|-72.4584212|424404N|0723020W|42.7343601|-72.5055285
617999|Taconic Range|Range|New York|36|Rensselaer|083|Hancock|02/24/1974|03/21/2023|Official|Board Decision|01/01/1897|423500N|0731958W|42.5834063|-73.3328843|||0.0|0.0
619261|Hoosac Range|Cliff|Massachusetts|25|Berkshire|003|North Adams|02/24/1974||Official|Board Decision|01/01/1946|424200N|0730228W|42.7000825|-73.0412129|||0.0|0.0
619265|East Branch North River|Stream|Massachusetts|25|Franklin|011|Colrain|02/24/1974|10/30/2018||||423947N|0724257W|42.663|-72.71585|424846N|0725036W|42.81269|-72.84337
619266|West Branch Brook|Stream|Massachusetts|25|Franklin|011|Heath|02/24/1974|||||424236N|0724852W|42.7100833|-72.8145398|424417N|0725119W|42.7380556|-72.8552778
619359|Green River|Stream|Massachusetts|25|Franklin|011|Greenfield|02/24/1974|07/31/2018||||423420N|0723610W|42.57211|-72.60266|425108N|0724720W|42.85225|-72.78895
866509|Day Brook|Stream|New Hampshire|33|Coos|007|Monadnock Mountain|08/27/1980|||||445808N|0713123W|44.9689355|-71.5231404|445956N|0713037W|44.9988889|-71.5102778
867513|Hinman Island|Island|New Hampshire|33|Coos|007|Stratford|08/27/1980|||||444307N|0713653W|44.7186615|-71.6148105|||0.0|0.0
867750|Jacobs Brook|Stream|New Hampshire|33|Grafton|009|Fairlee|08/27/1980|||||435450N|0720754W|43.913957|-72.1317561|435159N|0720226W|43.8664579|-72.0406419
868217|Lyman Brook|Stream|New Hampshire|33|Coos|007|Tinkerville|08/27/1980|||||444701N|0713517W|44.78366|-71.5881433|444558N|0713232W|44.7661111|-71.5422222
868298|Mason Island|Island|New Hampshire|33|Coos|007|Stratford|08/27/1980|||||444111N|0713550W|44.6864402|-71.5973096|||0.0|0.0
868537|Moore Reservoir|Reservoir|New Hampshire|33|Grafton|009|Littleton|08/27/1980|02/28/2018||||442051N|0715011W|44.347637|-71.8362529|||0.0|0.0
870309|Sweatt Brook|Stream|New Hampshire|33|Coos|007|Tinkerville|08/27/1980|||||444824N|0713406W|44.8067152|-71.5684205|444738N|0713131W|44.7938889|-71.5252778
870390|The Oxbow|Bend|Vermont|50|Orange|017|Newbury|08/27/1980|06/18/2015||||440542N|0720155W|44.0948992|-72.0319199|||0.0|0.0
943164|Batten Kill|Stream|New York|36|Washington|115|Schuylerville|01/23/1980|03/11/2020||||430634N|0733430W|43.1095198|-73.5751157|431453N|0730016W|43.248131|-73.004548
943340|Beattie Hollow|Valley|New York|36|Washington|115|Salem|01/23/1980|11/04/2016||||431154N|0731550W|43.1982561|-73.263956|431203N|0731501W|43.2008122|-73.2502518
944135|Black Hole Hollow|Valley|New York|36|Washington|115|Shushan|01/23/1980|12/07/2016||||430318N|0731740W|43.0550686|-73.2945531|430256N|0731525W|43.0487937|-73.2569781
944251|Blind Buck Hollow|Valley|New York|36|Washington|115|Salem|01/23/1980|12/06/2016||||431021N|0731814W|43.172415|-73.3039846|431122N|0731517W|43.1895586|-73.2547049
944252|Blind Buck Stream|Stream|New York|36|Washington|115|Salem|01/23/1980|||||430929N|0732041W|43.1581317|-73.3448327|431123N|0731511W|43.1897222|-73.2530556
944938|Browns Brook|Stream|New York|36|Rensselaer|083|North Pownal|01/23/1980|||||425230N|0731813W|42.8750783|-73.3037213|425127N|0731505W|42.8575|-73.2513889
946367|Lake Champlain|Lake|Vermont|50|Grand Isle|013|Colchester Point|01/23/1980|03/09/2020||||443528N|0731823W|44.5911519|-73.3063442|||0.0|0.0
946664|Chunks Brook|Stream|New York|36|Washington|115|Shushan|01/23/1980|05/01/2015||||430625N|0731600W|43.1070214|-73.2667758|430850N|0731345W|43.1471249|-73.2292659
948412|Diamond Island|Island|Vermont|50|Addison|001|Vergennes West|01/23/1980|06/05/2014||||441412N|0732002W|44.2367192|-73.3340148|||0.0|0.0
948976|East Bay|Gut|New York|36|Washington|115|Whitehall|01/23/1980|||||433509N|0732257W|43.5858999|-73.3826127|||0.0|0.0
953694|Indian River|Stream|New York|36|Washington|115|Granville|01/23/1980|05/01/2015||||432453N|0731629W|43.4147937|-73.2748311|431701N|0731423W|43.2837125|-73.2398515
955730|Little White Creek|Stream|New York|36|Rensselaer|083|Hoosick Falls|01/23/1980|05/01/2015||||425545N|0732101W|42.9292446|-73.350389|430245N|0731308W|43.0457279|-73.2189822
957044|Mettawee River|Stream|New York|36|Washington|115|Whitehall|01/23/1980|07/20/2011|Official|Board Decision|01/01/1895|433202N|0732410W|43.533957|-73.4028895|431827N|0730148W|43.3073799|-73.0300713
958199|Murray Hollow|Valley|New York|36|Washington|115|Shushan|01/23/1980|11/09/2018||||430535N|0731759W|43.0929583|-73.299799|430405N|0731409W|43.0681124|-73.2357342
961061|Poultney River|Stream|New York|36|Washington|115|Benson|01/23/1980|||||433735N|0732036W|43.6264545|-73.3434462|432941N|0730306W|43.494792|-73.0517727
962396|Reservoir Hollow|Valley|Vermont|50|Bennington|003|North Pownal|01/23/1980|11/14/2017||||424750N|0731609W|42.7973368|-73.2692923|424715N|0731732W|42.7876328|-73.2921535
964914|Shaftsbury Hollow|Valley|New York|36|Washington|115|Hoosick Falls|01/23/1980|11/14/2017||||425929N|0731632W|42.9915126|-73.2754969|430122N|0731401W|43.0227449|-73.2336958
966274|State Line Ridge|Ridge|Vermont|50|Bennington|003|Salem|01/23/1980|11/09/2018||||430750N|0731549W|43.1304449|-73.2635893|||0.0|0.0
968708|Walloomsac River|Stream|New York|36|Rensselaer|083|Hoosick Falls|01/23/1980|05/01/2015|Official|Board Decision|01/01/1892|425539N|0732154W|42.9275779|-73.3651116|425218N|0731060W|42.8715562|-73.1832793
971091|White Creek|Stream|New York|36|Washington|115|Cambridge|01/23/1980|11/09/2012||||430034N|0732308W|43.0094958|-73.3855391|430256N|0731500W|43.0488982|-73.2500124
971095|White Creek|Stream|New York|36|Washington|115|Salem|01/23/1980|11/09/2012||||430923N|0732212W|43.1564649|-73.370111|431406N|0731215W|43.235089|-73.2042003
975764|Richelieu River|Stream|Quebec|10|Quebec|000||05/01/1994|11/20/2019||||460252N|0730711W|46.0477086|-73.1195871|445848N|0732104W|44.9800394|-73.3512441
1456082|Baldwin Brook|Stream|Vermont|50|Bennington|003|Salem|10/29/1980|||||430938N|0731528W|43.1606322|-73.2578864|431014N|0731244W|43.1706322|-73.2123299
1456083|Camden Creek|Stream|Vermont|50|Bennington|003|Shushan|10/29/1980|||||430603N|0731720W|43.1009102|-73.2889985|430938N|0731528W|43.1606322|-73.2578864
1456085|Catbow Brook|Stream|Vermont|50|Essex|009|Gilman|10/29/1980||Official|Board Decision|01/01/1912|442830N|0713840W|44.4750578|-71.644531|443330N|0714045W|44.5583887|-71.6792552
1456088|Calendar Brook|Stream|Vermont|50|Caledonia|005|Burke Mountain|10/29/1980|||||443450N|0715859W|44.58061|-71.9831511|443946N|0720703W|44.6628294|-72.1175997
1456089|Cram Brook|Stream|Vermont|50|Orange|017|Chelsea|10/29/1980||Official|Board Decision|01/01/1980|435734N|0722751W|43.9595105|-72.4642659|440138N|0723116W|44.0272869|-72.5212134
1456090|Crossett Brook|Stream|Vermont|50|Washington|023|Middlesex|10/29/1980|04/15/2018||||441942N|0724450W|44.3283901|-72.7473397|441919N|0724835W|44.3220007|-72.8098408
1456092|Echo Lake|Lake|Vermont|50|Rutland|021|Bomoseen|10/29/1980|12/06/2019|Official|Board Decision|01/01/1972|434450N|0731054W|43.7472877|-73.1816892|||0.0|0.0
1456093|Malletts Creek|Stream|Vermont|50|Chittenden|007|Colchester|10/29/1980|||||443404N|0730947W|44.5678259|-73.1631853|443810N|0730346W|44.6361598|-73.0629122
1456094|Keets Brook|Stream|Vermont|50|Windham|025|Bernardston|10/29/1980|||||424408N|0723649W|42.7356387|-72.6137021|424503N|0723811W|42.7509162|-72.6364804
1456095|Marlboro Branch|Stream|Vermont|50|Windham|025|Newfane|10/29/1980|||||425607N|0724227W|42.9353586|-72.7075937|425239N|0724500W|42.8775814|-72.7500945
1456096|Rogers Brook|Stream|Vermont|50|Essex|009|Gallup Mills|10/29/1980|||||443305N|0714700W|44.5514444|-71.7834246|443305N|0714245W|44.5514444|-71.7125895
1456097|Long Pond|Lake|Vermont|50|Orleans|019|Westmore|10/29/1980|05/20/2023||||444502N|0720103W|44.7504236|-72.0175173|||0.0|0.0
1456098|Mud Pond Brook|Stream|Vermont|50|Orleans|019|Stannard|10/29/1980|11/12/2019||||443539N|0721346W|44.5941525|-72.2294792|443755N|0721347W|44.6320014|-72.229594
1456099|Terry Brook|Stream|Vermont|50|Bennington|003|Salem|10/29/1980|||||430938N|0731528W|43.1606322|-73.2578864|431157N|0731127W|43.199243|-73.1909405
1456100|West Branch Little River|Stream|Vermont|50|Lamoille|015|Stowe|10/29/1980|||||442802N|0724111W|44.467276|-72.6865065|443253N|0724821W|44.5481072|-72.8059569
1456101|West Branch Passumpsic River|Stream|Vermont|50|Caledonia|005|Burke Mountain|10/29/1980|||||443301N|0715929W|44.5503329|-71.9914844|444330N|0720129W|44.7250506|-72.0248197
1456102|Willoughby Brook|Stream|Vermont|50|Orleans|019|Crystal Lake|10/29/1980|||||444313N|0720814W|44.720328|-72.1373227|444133N|0720510W|44.6925511|-72.0862101
1456103|Abbey Brook|Stream|Vermont|50|Chittenden|007|Essex Center|10/29/1980|||||443141N|0730214W|44.5281056|-73.0373506|443240N|0725937W|44.5444948|-72.9937405
1456104|Abbott Brook|Stream|Vermont|50|Orange|017|South Strafford|10/29/1980|||||435000N|0721830W|43.8334022|-72.3084261|435227N|0722051W|43.8741667|-72.3475
1456105|Ace Brook|Stream|Vermont|50|Orleans|019|Lowell|10/29/1980|||||444642N|0722704W|44.7783817|-72.4512209|444532N|0722459W|44.7588889|-72.4163889
1456106|Adamant|Populated Place|Vermont|50|Washington|023|Montpelier|10/29/1980|06/07/2022||||441945N|0723010W|44.3292247|-72.5028853|||0.0|0.0
1456107|Adams Apple|Summit|Vermont|50|Chittenden|007|Mount Mansfield|10/29/1980|08/30/2022||||443247N|0724837W|44.5464468|-72.8104001|||0.0|0.0
1456108|Adams Brook|Stream|Vermont|50|Orange|017|Randolph|10/29/1980|||||435543N|0723918W|43.9286764|-72.6551042|435910N|0723713W|43.986176|-72.6203821
1456110|Adams Pond|Lake|Vermont|50|Franklin|011|Richford|10/29/1980|11/26/2019||||445248N|0724319W|44.8800899|-72.7219816|||0.0|0.0
1456112|Adden Mountain|Summit|Vermont|50|Essex|009|Stone Mountain|10/29/1980|08/31/2022||||443227N|0714045W|44.5407731|-71.6791479|||0.0|0.0
1456113|Addison|Populated Place|Vermont|50|Addison|001|Snake Mountain|10/29/1980|06/07/2022||||440519N|0731809W|44.0886671|-73.302622|||0.0|0.0
1456114|Advent Hill|Summit|Vermont|50|Windsor|027|Hartland|10/29/1980|04/24/2018||||433601N|0722632W|43.6003391|-72.4423589|||0.0|0.0
1456118|Albany|Populated Place|Vermont|50|Orleans|019|Albany|10/29/1980|06/07/2022||||444351N|0722247W|44.7308826|-72.3798297|||0.0|0.0
1456120|Alburg|Populated Place|Vermont|50|Grand Isle|013|Rouses Point|10/29/1980|06/07/2022||||445830N|0731800W|44.9750399|-73.3001312|||0.0|0.0
1456121|Alburg Center|Populated Place|Vermont|50|Grand Isle|013|Rouses Point|10/29/1980|06/07/2022||||445713N|0731611W|44.9536516|-73.2698525|||0.0|0.0
1456122|Alburg Passage|Channel|Vermont|50|Grand Isle|013|Rouses Point|10/29/1980|||||445235N|0731636W|44.8764303|-73.2767975|||0.0|0.0
