feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
247074|Pacific Ocean|Sea|California|06|Mendocino|045|Mendocino|01/19/1981|08/19/2014||||391837N|1235041W|39.3102778|-123.8447222|||0.0|0.0
371844|Cable Creek|Stream|Washington|53|Spokane|063|Liberty Lake|09/10/1979|||||474126N|1170356W|47.6904552|-117.0654781|473729N|1170044W|47.6246236|-117.0121389
371891|Captain Lewis Rapids|Rapids|Washington|53|Asotin|003|Limekiln Rapids|06/21/1979|03/18/2019||||460554N|1165758W|46.0983506|-116.966119|||0.0|0.0
372722|Flat Creek|Stream|Idaho|16|Bonner|017|Bead Lake|06/21/1979|||||482127N|1170246W|48.3574104|-117.0460412|482437N|1170153W|48.41019|-117.0313203
373446|Lake Creek|Stream|Idaho|16|Kootenai|055|Worley|06/21/1979|06/11/2012||||472752N|1165628W|47.4643473|-116.9410174|473443N|1170433W|47.5785109|-117.0757509
373569|Liberty Creek|Stream|Washington|53|Spokane|063|Liberty Lake|09/10/1979|||||473812N|1170349W|47.6365666|-117.0635309|473730N|1170325W|47.6249002|-117.0568633
373579|Limekiln Rapids|Rapids|Washington|53|Asotin|003|Limekiln Rapids|06/21/1979|09/06/2019||||460434N|1165760W|46.0760421|-116.9665776|||0.0|0.0
373634|Little Hangman Creek|Stream|Washington|53|Whitman|075|Tekoa|06/21/1979|06/24/2009|Official|Board Decision|01/01/1959|471327N|1170436W|47.2240647|-117.076566|471714N|1165445W|47.2872222|-116.9125
373676|Little Thorn Creek|Stream|Idaho|16|Latah|057|Uniontown|06/21/1979|03/27/2015||||463336N|1170333W|46.5600421|-117.0590671|463805N|1170409W|46.6348436|-117.0692524
373761|Lower Granite Lake|Reservoir|Washington|53|Whitman|075|Almota|06/21/1979|||||463938N|1172541W|46.6604369|-117.4279602|||0.0|0.0
374195|North Fork Granite Creek|Stream|Idaho|16|Bonner|017|Orwig Hump|06/21/1979|03/27/2015||||484160N|1170147W|48.6999577|-117.0296481|484608N|1170844W|48.7688105|-117.1455121
374358|Pelke Divide|Ridge|Washington|53|Pend Oreille|051|Browns Lake|06/21/1979|03/27/2020||||482710N|1170806W|48.4528968|-117.1349561|||0.0|0.0
374727|Rock Creek Valley|Valley|Idaho|16|Benewah|009|Tekoa Mountain|06/21/1979|||||472101N|1170302W|47.3501775|-117.0504598|471955N|1165722W|47.3318457|-116.956011
374774|Rose Creek|Stream|Idaho|16|Kootenai|055|Setters|06/21/1979|||||472503N|1170416W|47.4173998|-117.0710201|472002N|1165655W|47.3337903|-116.9485109
375148|South Fork Granite Creek|Stream|Idaho|16|Bonner|017|Orwig Hump|06/21/1979|04/06/2015||||484160N|1170146W|48.6998933|-117.0295475|484541N|1170855W|48.7615139|-117.1484873
375153|South Fork Rock Creek|Stream|Washington|53|Spokane|063|Setters|09/10/1979|||||472623N|1170612W|47.4396213|-117.1032451|471955N|1165722W|47.3318457|-116.956011
375495|Thorn Creek|Stream|Idaho|16|Latah|057|Uniontown|06/21/1979|||||463236N|1170409W|46.5432183|-117.0690513|463856N|1165908W|46.648776|-116.9854401
375544|Tola Creek|Stream|Idaho|16|Bonner|017|Galena Point|06/21/1979|||||482903N|1170303W|48.4840807|-117.0507686|482957N|1170133W|48.4991667|-117.0258333
375827|West Lake Creek|Stream|Idaho|16|Kootenai|055|Mica Peak|06/21/1979|||||473123N|1170204W|47.5229568|-117.0343572|473419N|1170436W|47.5719444|-117.0766667
376165|Leon|Populated Place|Idaho|16|Nez Perce|069|Uniontown|06/21/1979|06/07/2022||||463155N|1170225W|46.5318297|-117.040161|||0.0|0.0
376495|Albeni Cove|Bay|Idaho|16|Bonner|017|Newport|06/21/1979|11/27/2018||||481032N|1170719W|48.1754596|-117.1218738|||0.0|0.0
376496|Albeni Falls Creek|Stream|Idaho|16|Bonner|017|Diamond Lake|06/21/1979|||||481058N|1170739W|48.1826818|-117.1274298|481233N|1170611W|48.2090718|-117.1029842
376815|Bad River|Stream|Idaho|16|Boundary|021|Salmo Mountain|06/21/1979|||||485726N|1170729W|48.9571509|-117.1246853|485747N|1170021W|48.9630556|-117.0058333
377032|Bath Creek|Stream|Idaho|16|Bonner|017|Gleason Mountain|06/21/1979|04/21/2015||||483633N|1170048W|48.6090849|-117.0132742|483433N|1170423W|48.5757045|-117.0730124
377183|Bear Paw Creek|Stream|Idaho|16|Bonner|017|Bead Lake|06/21/1979|04/21/2015||||482043N|1170159W|48.345188|-117.0329844|482049N|1170749W|48.3468994|-117.1303164
377348|Bench Creek|Stream|Idaho|16|Boundary|021|Helmer Mountain|06/21/1979|01/25/2011|Official|Board Decision|12/06/1933|485208N|1170011W|48.8688156|-117.0030111|485345N|1170330W|48.8958725|-117.058382
377540|Big H Creek|Stream|Idaho|16|Bonner|017|Bead Lake|06/21/1979|04/21/2015||||481935N|1170111W|48.3262988|-117.0196496|481925N|1170213W|48.3235955|-117.0369016
377641|Binarch Creek|Stream|Idaho|16|Bonner|017|Outlet Bay|06/21/1979|06/10/2015||||482817N|1165512W|48.4713058|-116.9199293|483222N|1170248W|48.5394326|-117.0467871
377842|Blanchard Creek|Stream|Idaho|16|Bonner|017|Blanchard|06/21/1979|||||480041N|1165825W|48.0112913|-116.9735317|475511N|1170806W|47.9196209|-117.1349284
377845|Blanchard Valley|Valley|Idaho|16|Bonner|017|Tweedie|06/21/1979|07/23/2022||||480051N|1170111W|48.0140586|-117.0196181|475919N|1170600W|47.9885607|-117.1000531
377985|Bodie Canyon|Valley|Idaho|16|Bonner|017|Newport|06/21/1979|||||481158N|1170404W|48.1993499|-117.0677044|481231N|1170512W|48.2086111|-117.0866667
