feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
403579|Apple River|Stream|Illinois|17|Carroll|015|Blackhawk|01/15/1980|04/10/2014||||421035N|0901436W|42.1764083|-90.2434625|423351N|0900947W|42.5641699|-90.1631815
404169|Benet Lake|Lake|Wisconsin|55|Kenosha|059|Paddock Lake|01/15/1980|07/23/2018||||423011N|0880411W|42.5030703|-88.0697182|||0.0|0.0
406213|Clear Creek|Stream|Illinois|17|Jo Daviess|085|Elizabeth NE|01/15/1980|||||422648N|0900253W|42.4466752|-90.0481804|423110N|0900209W|42.5194501|-90.0359576
406828|Cross Lake|Lake|Wisconsin|55|Kenosha|059|Antioch|01/15/1980|07/26/2018||||422949N|0880514W|42.4968213|-88.0871088|||0.0|0.0
407871|Elizabeth Lake|Lake|Wisconsin|55|Kenosha|059|Genoa City|01/15/1980|07/26/2018|Official|Board Decision|01/01/1963|423024N|0881616W|42.5066029|-88.270979|||0.0|0.0
408636|Fox River|Stream|Illinois|17|LaSalle|099|Ottawa|01/15/1980|04/07/2014||||412037N|0885026W|41.3436447|-88.8406325|431109N|0881142W|43.1858403|-88.1950925
410478|Honey Creek|Stream|Illinois|17|Stephenson|177|Lena|01/15/1980|||||422942N|0894612W|42.4950098|-89.7701203|423706N|0893743W|42.6183412|-89.6287311
410852|Indian Creek|Stream|Illinois|17|Stephenson|177|Lena|01/15/1980|07/08/2015||||422931N|0894723W|42.4919541|-89.7898427|422625N|0895226W|42.4402886|-89.8740107
411414|Kentucky Creek|Stream|Illinois|17|Jo Daviess|085|Elizabeth NE|01/15/1980|04/22/2015||||422844N|0900615W|42.4788953|-90.1042919|423055N|0900515W|42.5154101|-90.0875549
412371|Little Menominee River|Stream|Illinois|17|Jo Daviess|085|Menominee|01/15/1980|04/10/2014||||422531N|0903204W|42.4252847|-90.5345726|423342N|0903210W|42.5616672|-90.5362392
413409|Menominee River|Stream|Illinois|17|Jo Daviess|085|Menominee|01/15/1980|04/10/2014||||422704N|0903524W|42.4511164|-90.5901281|423344N|0903609W|42.5622225|-90.6026277
414533|Nippersink Creek|Stream|Illinois|17|McHenry|111|Fox Lake|01/15/1980|||||422413N|0881125W|42.4036317|-88.1903637|423007N|0883020W|42.5019623|-88.5056547
414570|North Branch Nippersink Creek|Stream|Illinois|17|McHenry|111|Richmond|01/15/1980|||||422616N|0881714W|42.4377975|-88.2873123|423125N|0882453W|42.523629|-88.4148183
414911|Oakley Branch|Stream|Illinois|17|Jo Daviess|085|Brodhead West|01/15/1980|||||423153N|0892802W|42.5313999|-89.4673392|422950N|0892829W|42.4972341|-89.474839
