feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
425264|Ohio River|Stream|Kentucky|21|Ballard|007|Wyatt|10/24/1980|02/13/2020|Official|Board Decision|01/01/1931|365912N|0890750W|36.986719|-89.1306255|402634N|0800102W|40.4428469|-80.0172759
487126|Big Branch|Stream|Kentucky|21|Martin|159|Webb|09/20/1979|||||375411N|0822807W|37.9031497|-82.4684833|375354N|0822747W|37.8983333|-82.4630556
487249|Big Sandy River|Stream|Kentucky|21|Boyd|019|Catlettsburg|09/20/1979|12/10/2013|Official|Board Decision|01/01/1975|382458N|0823545W|38.416193|-82.5957146|380705N|0823606W|38.1181432|-82.6015453
488428|Burk Branch|Stream|Kentucky|21|Lawrence|127|Prichard|09/20/1979|||||381219N|0823555W|38.2053629|-82.5984907|381213N|0823801W|38.2036961|-82.6334916
488739|Campbell Run|Stream|Kentucky|21|Boyd|019|Burnaugh|09/20/1979|||||382124N|0823554W|38.3567493|-82.5982142|382108N|0823647W|38.3522222|-82.6130556
489304|Chaffin Branch|Stream|Kentucky|21|Martin|159|Webb|09/20/1979|||||375413N|0822649W|37.9037055|-82.4468157|375336N|0822726W|37.8933333|-82.4572222
490033|Coon Branch|Stream|Kentucky|21|Pike|195|Matewan|09/20/1979|||||373635N|0821007W|37.6098269|-82.1687454|373547N|0821105W|37.5963889|-82.1847222
491004|Donithan Branch|Stream|Kentucky|21|Lawrence|127|Louisa|09/20/1979|||||380206N|0823214W|38.0350902|-82.5370982|380019N|0823417W|38.0052778|-82.5713889
492603|Fulkerson Branch|Stream|Kentucky|21|Lawrence|127|Louisa|09/20/1979|||||380714N|0823708W|38.1206431|-82.618768|380652N|0823713W|38.1144444|-82.6202778
492610|Fullers Branch|Stream|Kentucky|21|Lawrence|127|Fallsburg|09/20/1979|||||381008N|0823835W|38.1689749|-82.6429359|381033N|0823926W|38.1758333|-82.6572222
494102|Hewlet Branch|Stream|Kentucky|21|Lawrence|127|Fallsburg|09/20/1979|06/26/2006||||380944N|0823835W|38.1623084|-82.6429358|380927N|0823951W|38.1575|-82.6641667
