feature_id|feature_name|feature_class|state_name|state_numeric|county_name|county_numeric|map_name|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec|source_lat_dms|source_long_dms|source_lat_dec|source_long_dec
169581|Crow Creek|Stream|Colorado|08|Weld|123|Barnesville|10/13/1978|07/26/2019||||402311N|1042935W|40.3863698|-104.4930115|411019N|1050451W|41.1719262|-105.080808
169610|West Fork Cherokee Creek|Stream|Wyoming|56|Sweetwater|037|Rotten Springs|06/05/1979|||||410006N|1080030W|41.0016315|-108.008415|410304N|1080626W|41.0511111|-108.1072222
169611|Whiskey Draw|Valley|Wyoming|56|Sweetwater|037|Scrivner Butte|10/13/1978|12/14/2017||||410050N|1084912W|41.013808|-108.8199869|405944N|1085054W|40.9954756|-108.8482621
169613|Birdie Gulch|Valley|Wyoming|56|Sweetwater|037|Scrivner Butte|10/13/1978|12/14/2017||||410045N|1085047W|41.0126319|-108.8463447|405911N|1085457W|40.986464|-108.9157264
169614|Little Red Creek|Stream|Wyoming|56|Sweetwater|037|Red Creek Ranch|10/13/1978|11/14/2007||||410346N|1090554W|41.0627778|-109.0983333|405948N|1090015W|40.996626|-109.0042859
169678|Fisher Creek|Stream|Colorado|08|Moffat|081|Scrivner Butte|10/13/1978|||||410007N|1084709W|41.0019054|-108.7859465|405838N|1085140W|40.9771828|-108.8612263
169698|Canyon Creek|Stream|Colorado|08|Moffat|081|Sugarloaf Butte|10/13/1978|||||405737N|1083952W|40.96024|-108.6645537|410019N|1090001W|41.0052371|-109.0003968
169705|Shell Creek|Stream|Colorado|08|Moffat|081|Sugarloaf Butte|06/05/1979|11/08/2010||||405533N|1083731W|40.92582|-108.62526|411809N|1083926W|41.3025|-108.6572222
169707|Hells Canyon|Valley|Colorado|08|Moffat|081|Hiawatha|10/13/1978|06/16/2016||||405734N|1083246W|40.9593151|-108.5461478|410022N|1083316W|41.0060328|-108.5544015
169710|Eagle Rock Draw|Valley|Colorado|08|Moffat|081|Powder Wash|10/13/1978|01/12/2018||||405857N|1081702W|40.9824727|-108.2840208|410030N|1082341W|41.008405|-108.394607
169716|Ruedloff Draw|Valley|Colorado|08|Moffat|081|Reservoir Draw|06/05/1979|01/18/2018||||405749N|1081004W|40.9636428|-108.1678058|410150N|1081200W|41.0305021|-108.2000381
169726|Fourmile Creek|Stream|Colorado|08|Moffat|081|Baggs|10/13/1978|07/08/2015||||410028N|1074149W|41.0078029|-107.6970382|404846N|1072458W|40.8127464|-107.4161737
