feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1397658|Ester|Populated Place|23460|U5|0760|0760|Alaska|02|1|Fairbanks North Star|090|01/01/2000|06/07/2022|Official|Board Decision|01/01/1965|645050N|1480052W|64.8472222|-148.0144444
1397685|Two Rivers|Populated Place|79830|U5|2668|2668|Alaska|02|1|Fairbanks North Star|090|01/01/2000|02/04/2011||||645220N|1470218W|64.8722222|-147.0383333
1397926|Afognak|Populated Place|00425|U6|0008|0008|Alaska|02|1|Kodiak Island|150|01/01/2000|02/10/2011|Official|Board Decision|01/01/1966|580120N|1524555W|58.0221236|-152.7652264
1397967|Aguikchuk|Populated Place|00540|U6|0010|10|Alaska|02|1|Bethel (CA)|050|03/31/1981|06/07/2022||||602830N|1642608W|60.475|-164.4355556
1398007|Akhiok|Populated Place|00650|P1|0020|0020|Alaska|02|1|Kodiak Island|150|01/01/2000|02/10/2011|Official|Board Decision|01/01/1939|565644N|1541013W|56.9455556|-154.1702778
1398011|Akiachak|Populated Place|00760|U5|0030|0030|Alaska|02|1|Bethel (CA)|050|03/31/1981|05/13/2010||||605434N|1612553W|60.9094444|-161.4313889
1398012|Akiak|Populated Place|00870|P1|0040|0040|Alaska|02|1|Bethel (CA)|050|03/31/1981|05/13/2010||||605444N|1611250W|60.9122222|-161.2138889
1398027|Akulurak|Populated Place|01020|U6|0050|50|Alaska|02|1|Bethel (CA)|050|03/31/1981|06/07/2022||||601639N|1622629W|60.2775|-162.4413889
1398029|Akumsuk|Populated Place|01050|U6|0055|55|Alaska|02|1|Kusilvak (CA)|158|03/31/1981|06/07/2022||||624323N|1642820W|62.7230556|-164.4722222
1398042|Alakanuk|Populated Place|01200|P1|0070|0070|Alaska|02|1|Kusilvak (CA)|158|03/31/1981|05/13/2010||||624120N|1643655W|62.6888889|-164.6152778
1398091|Aleknagik|Populated Place|01420|P1|0090|0090|Alaska|02|1|Dillingham (CA)|070|03/31/1981|05/13/2010||||591623N|1583704W|59.2730556|-158.6177778
1398093|Aleksashkina|Populated Place|01550|U6|||Alaska|02|1|Kodiak Island|150|03/31/1981|06/07/2022||||574648N|1522119W|57.78|-152.3552778
1398097|Alexander|Populated Place|||0092|0092|Alaska|02|1|Matanuska-Susitna|170|03/31/1981|04/30/2010||||612502N|1503549W|61.4172222|-150.5969444
1398102|Alexanders Village|Populated Place|01670|U6|0094|94|Alaska|02|1|Yukon-Koyukuk (CA)|290|03/31/1981|06/07/2022||||664718N|1452613W|66.7883333|-145.4369444
1398129|Allakaket|Populated Place|01860|P1|0100|0100|Alaska|02|1|Yukon-Koyukuk (CA)|290|01/01/2000|02/10/2011|Official|Board Decision|01/01/1950|663356N|1523844W|66.5655556|-152.6455556
1398235|Anaktuvuk Pass|Populated Place|02080|P1|0110|0110|Alaska|02|1|North Slope|185|03/31/1981|02/10/2011||||680836N|1514409W|68.1433333|-151.7358333
1398242|Anchorage|Populated Place|03000|P1|0130|0130|Alaska|02|1|Anchorage|020|01/01/2000|04/22/2011|Official|Board Decision|01/01/1944|611305N|1495401W|61.2180556|-149.9002778
1398245|Anderson|Populated Place|03220|P1|0132|132|Alaska|02|1|Denali|068|03/31/1981|06/07/2022||||642039N|1491113W|64.3441667|-149.1869444
1398261|Saint Marys|Populated Place|66030|C4|||Alaska|02|1|Kusilvak (CA)|158|01/01/2000|05/18/2010|Official|Board Decision|01/01/1984|620311N|1630957W|62.0530556|-163.1658333
