feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1388627|Etena|Populated Place|21700|U6|||American Samoa|60|1|Swains Island|040|02/06/1981|04/29/2019||||110319S|1710426W|-11.0552778|-171.0738889
1388634|Taulaga|Populated Place|78700|U6|||American Samoa|60|1|Swains Island|040|02/06/1981|06/07/2022||||110319S|1710518W|-11.0552778|-171.0883333
1388635|Aasu|Populated Place|00100|P1|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||141751S|1704530W|-14.2975|-170.7583333
1388637|Afao|Populated Place|02500|P1|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||142012S|1704757W|-14.3366667|-170.7991667
1388640|Āfono|Populated Place|03300|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141551S|1703903W|-14.2641667|-170.6508333
1388644|Afulei|Populated Place|03700|U6|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141648S|1703726W|-14.28|-170.6238889
1388650|Aganoa|Populated Place|04100|U6|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141646S|1703445W|-14.2794444|-170.5791667
1388658|Alao|Populated Place|04900|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141603S|1703349W|-14.2675|-170.5636111
1388660|Alaufau|Populated Place|05700|U6|||American Samoa|60|1|Manu'a|020|02/06/1981|06/07/2022||||141018S|1694044W|-14.1716667|-169.6788889
1388662|Ālega|Populated Place|06500|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141707S|1703815W|-14.2852778|-170.6375
1388669|Alofau|Populated Place|07300|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141645S|1703608W|-14.2791667|-170.6022222
1388673|Amalau (historical)|Populated Place|07700|U6|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141527S|1703930W|-14.2575|-170.6583333
1388674|Amaluia|Populated Place|08100|P1|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||142018S|1704728W|-14.3383333|-170.7911111
1388675|‘Āmanave|Populated Place|08900|P1|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||141948S|1704946W|-14.33|-170.8294444
1388679|Amaua|Populated Place|09700|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141637S|1703718W|-14.2769444|-170.6216667
1388681|Āmouli|Populated Place|10500|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141641S|1703457W|-14.2780556|-170.5825
1388687|Anasosopo|Populated Place|10900|U6|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141719S|1703946W|-14.2886111|-170.6627778
1388690|Anua|Populated Place|11300|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141630S|1704116W|-14.275|-170.6877778
1388691|ʻAoa|Populated Place|12100|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141556S|1703502W|-14.2655556|-170.5838889
1388694|Aʻoloaufou|Populated Place|12900|U6|||American Samoa|60|1|Western|050|02/06/1981|04/29/2019||||141911S|1704604W|-14.3197222|-170.7677778
1388695|Aoloautuai (historical)|Populated Place|13300|U6|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||141801S|1704648W|-14.3002778|-170.78
1388702|Asili|Populated Place|13700|P1|||American Samoa|60|1|Western|050|02/06/1981|06/07/2022||||142008S|1704744W|-14.3355556|-170.7955556
1388707|Atuʻu|Populated Place|14500|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141628S|1704105W|-14.2744444|-170.6847222
1388708|Aūa|Populated Place|15300|P1|||American Samoa|60|1|Eastern|010|02/06/1981|06/07/2022||||141634S|1703950W|-14.2761111|-170.6638889
