feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
205033|Abington|Populated Place|00170|U6|0003|3|Connecticut|09|1|Northeastern Connecticut|150|09/12/1979|06/07/2022||||415138N|0720024W|41.8606534|-72.0067411
205046|Addison|Populated Place|00240|U6|||Connecticut|09|1|Capitol|110|09/12/1979|06/07/2022||||414306N|0723436W|41.7184328|-72.5767558
205073|Allingtown|Populated Place|00520|U4|||Connecticut|09|1|South Central Connecticut|170|09/12/1979|06/07/2022||||411751N|0725736W|41.2975971|-72.9601032
205076|Almyville|Populated Place|00660|U6|||Connecticut|09|1|Northeastern Connecticut|150|09/12/1979|06/07/2022||||414305N|0715158W|41.7181545|-71.8661829
205084|Amesville|Populated Place|00800|U6|||Connecticut|09|1|Northwest Hills|160|09/12/1979|06/07/2022||||415746N|0732233W|41.962871|-73.3759526
205090|Amston|Populated Place|00940|U6|0005|5|Connecticut|09|1|Capitol|110|09/12/1979|06/07/2022||||413731N|0722035W|41.6253766|-72.3431379
205094|Andover|Populated Place|01010|U6|0007|7|Connecticut|09|1|Capitol|110|09/12/1979|06/07/2022||||414414N|0722213W|41.7373212|-72.37036
205107|Ansonia|Populated Place|01150|P1|0010|10|Connecticut|09|1|Naugatuck Valley|140|09/12/1979|06/07/2022||||412046N|0730444W|41.3462078|-73.0789969
205113|Aqua Vista|Populated Place|01330|U6|||Connecticut|09|1|Western Connecticut|190|09/12/1979|06/07/2022||||412646N|0732638W|41.4462057|-73.4440108
205121|Arnolds|Populated Place|01345|U6|||Connecticut|09|1|Lower Connecticut River Valley|130|09/12/1979|06/07/2022||||412757N|0723052W|41.4659324|-72.5145334
205147|Attawan Beach|Populated Place|01640|U6|||Connecticut|09|1|Southeastern Connecticut|180|09/12/1979|06/07/2022||||411811N|0721224W|41.3031533|-72.2067451
205148|Attawaugan|Populated Place|01710|U6|||Connecticut|09|1|Northeastern Connecticut|150|09/12/1979|06/07/2022||||415202N|0715252W|41.8673204|-71.8811831
205154|Atwoodville|Populated Place|01780|U6|||Connecticut|09|1|Capitol|110|09/12/1979|06/07/2022||||414705N|0721028W|41.7848206|-72.1745219
205157|Augerville|Populated Place|01815|U6|||Connecticut|09|1|South Central Connecticut|170|09/12/1979|06/07/2022||||412219N|0725421W|41.3720415|-72.9059353
205171|Avon|Populated Place|01990|U6|0015|15|Connecticut|09|1|Capitol|110|09/12/1979|06/07/2022||||414835N|0724950W|41.8098209|-72.8306541
205188|Backus Corner|Populated Place|02200|U4|||Connecticut|09|1|Southeastern Connecticut|180|08/27/2002|06/07/2022||||413052N|0720616W|41.5145426|-72.1045222
205200|Baileyville|Populated Place|02270|U6|||Connecticut|09|1|Lower Connecticut River Valley|130|09/12/1979|06/07/2022||||413047N|0724328W|41.5131535|-72.7245407
205209|Bakersville|Populated Place|02340|U6|||Connecticut|09|1|Northwest Hills|160|09/12/1979|06/07/2022||||414955N|0730148W|41.8320412|-73.0301066
205236|Ballouville|Populated Place|02410|U6|0017|17|Connecticut|09|1|Northeastern Connecticut|150|09/12/1979|06/07/2022||||415236N|0715140W|41.8767649|-71.8611827
205240|Baltic|Census|02550|U5|0020|20|Connecticut|09|1|Southeastern Connecticut|180|09/12/1979|06/02/2022||||413701N|0720504W|41.6170428|-72.0845212
205245|Bantam|Populated Place|02690|P1|0030|30|Connecticut|09|1|Northwest Hills|160|09/12/1979|06/07/2022||||414328N|0731410W|41.7245409|-73.2362262
205321|Bayview|Populated Place|03110|U4|||Connecticut|09|1|South Central Connecticut|170|09/12/1979|06/07/2022||||411244N|0730148W|41.2123196|-73.0301052
205332|Beacon Falls|Populated Place|03180|U6|0038|38|Connecticut|09|1|Naugatuck Valley|140|09/12/1979|06/07/2022||||412634N|0730345W|41.4428745|-73.062608
