feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
277631|Chuluota|Populated Place|12275|U5|0558|558|Florida|12|1|Seminole|117|10/19/1979|06/07/2022||||283831N|0810724W|28.6419419|-81.123396
277665|Acline|Populated Place|00125|U6|||Florida|12|1|Charlotte|015|10/19/1979|06/07/2022||||265306N|0820054W|26.885063|-82.0150882
277687|Adamsville|Populated Place|00175|U6|||Florida|12|1|Hillsborough|057|10/19/1979|06/07/2022||||274853N|0822302W|27.8147489|-82.383982
277717|Aladdin City|Populated Place|00400|U6|||Florida|12|1|Miami-Dade|086|10/19/1979|06/07/2022||||253414N|0802715W|25.570663|-80.4542226
277720|Alameda|Populated Place|00450|U4|||Florida|12|1|Miami-Dade|086|10/19/1979|06/07/2022||||254548N|0801751W|25.7634331|-80.297551
277731|Alcoma|Populated Place|00500|U6|||Florida|12|1|Polk|105|10/19/1979|06/07/2022||||275342N|0812856W|27.8950239|-81.4822964
277735|Alderene Park|Populated Place|00515|U6|||Florida|12|1|Seminole|117|10/19/1979|06/07/2022||||284841N|0812156W|28.8113813|-81.3656228
277741|Alford|Populated Place|00625|P1|0020|20|Florida|12|1|Jackson|063|10/19/1979|06/07/2022||||304138N|0852332W|30.6938049|-85.3921505
277752|Allandale|Populated Place|00650|U6|||Florida|12|1|Volusia|127|10/19/1979|06/07/2022||||290718N|0805835W|29.1216502|-80.9764436
277753|Allapattah|Populated Place|00725|U4|||Florida|12|1|Miami-Dade|086|10/19/1979|06/07/2022||||254852N|0801326W|25.8145422|-80.2239376
277816|Alpine|Populated Place|00928|U6|||Florida|12|1|Highlands|055|10/19/1979|06/07/2022||||273756N|0812834W|27.6322546|-81.4761855
277817|Alpine Heights|Populated Place|00932|U6|||Florida|12|1|Walton|131|10/19/1979|06/07/2022||||304442N|0861236W|30.7449111|-86.2099435
277821|Altamonte Springs|Populated Place|00950|P1|0030|30|Florida|12|1|Seminole|117|10/19/1979|06/07/2022||||283940N|0812156W|28.6611089|-81.3656243
277823|Altha|Populated Place|01000|P1|0040|40|Florida|12|1|Calhoun|013|10/19/1979|06/07/2022||||303414N|0850738W|30.5704721|-85.1271442
