feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
310381|Acree|Populated Place|00380|U6|||Georgia|13|1|Dougherty|095|09/25/1979|06/07/2022||||313320N|0835946W|31.5554539|-83.9960153
310389|Adairsville|Populated Place|00436|P1|0030|30|Georgia|13|1|Bartow|015|09/25/1979|06/07/2022||||342207N|0845603W|34.3687021|-84.9341093
310411|Adrian|Populated Place|00660|P1|0050|50|Georgia|13|1|Emanuel|107|09/25/1979|06/07/2022||||323151N|0823521W|32.5307224|-82.5892995
310411|Adrian|Populated Place|00660|P1|0050|50|Georgia|13|2|Johnson|167|09/25/1979|06/07/2022||||323151N|0823521W|32.5307224|-82.5892995
310413|Ailey|Populated Place|00828|P1|0060|60|Georgia|13|1|Montgomery|209|09/25/1979|06/07/2022||||321115N|0823356W|32.1874042|-82.5656886
310424|Albany|Populated Place|01052|P1|0090|0090|Georgia|13|1|Dougherty|095|09/25/1979|06/07/2022||||313443N|0840921W|31.5785074|-84.155741
310431|Alexander|Populated Place|01276|U6|0102|0102|Georgia|13|1|Burke|033|09/25/1979|06/07/2022||||330120N|0815236W|33.0220988|-81.8767822
310462|Allenhurst|Populated Place|01472|P1|0105|0105|Georgia|13|1|Liberty|179|09/25/1979|06/07/2022||||314703N|0813627W|31.7841014|-81.6076117
310468|Allentown|Populated Place|01500|P1|0108|0108|Georgia|13|2|Wilkinson|319|09/25/1979|06/07/2022||||323536N|0831333W|32.5932119|-83.2257127
310468|Allentown|Populated Place|01500|P1|0108|0108|Georgia|13|1|Twiggs|289|09/25/1979|06/07/2022||||323536N|0831333W|32.5932119|-83.2257127
310469|Allenville|Populated Place|01528|U6|||Georgia|13|1|Berrien|019|09/25/1979|06/07/2022||||310745N|0831251W|31.1290881|-83.2140419
310492|Alma|Populated Place|01612|P1|0110|110|Georgia|13|1|Bacon|005|09/25/1979|06/07/2022||||313222N|0822744W|31.5393701|-82.4623557
310495|Almon|Populated Place|01668|U6|||Georgia|13|1|Newton|217|09/25/1979|06/07/2022|Official|Board Decision|01/01/1896|333709N|0835520W|33.6192798|-83.92213
310497|Alpharetta|Populated Place|01696|P1|0120|0120|Georgia|13|1|Fulton|121|09/25/1979|06/07/2022||||340431N|0841739W|34.0753762|-84.2940899
310508|Ambrose|Populated Place|02060|P1|0168|168|Georgia|13|1|Coffee|069|09/25/1979|06/07/2022||||313538N|0830052W|31.5938031|-83.0143147
310522|Anderson City|Populated Place|02228|U6|||Georgia|13|1|Worth|321|09/25/1979|06/07/2022||||312218N|0835117W|31.3715708|-83.8546212
310533|Andersonville|Populated Place|02250|U6|||Georgia|13|1|Cherokee|057|09/25/1979|06/07/2022||||340746N|0842951W|34.1295421|-84.4974302
310549|Antioch|Populated Place|02424|U6|||Georgia|13|1|Troup|285|09/25/1979|06/07/2022||||330627N|0851012W|33.107622|-85.1699424
310606|Arco|Populated Place|02732|U6|||Georgia|13|1|Glynn|127|09/25/1979|06/07/2022|Official|Board Decision|01/01/1968|311205N|0813022W|31.2013406|-81.5062129
310608|Arcola|Populated Place|02760|U6|||Georgia|13|1|Bulloch|031|09/25/1979|06/07/2022||||322037N|0813607W|32.3435229|-81.6020546
310614|Arlington|Populated Place|02928|P1|0240|0240|Georgia|13|1|Calhoun|037|09/25/1979|06/07/2022||||312624N|0844330W|31.4398976|-84.7249188
310614|Arlington|Populated Place|02928|P1|0240|0240|Georgia|13|2|Early|099|09/25/1979|06/07/2022||||312624N|0844330W|31.4398976|-84.7249188
310617|Armboy|Populated Place|02963|U6|||Georgia|13|1|Turner|287|09/25/1979|06/07/2022||||314733N|0833515W|31.7924015|-83.5873883
310670|Augusta|Populated Place|04196|C4|0310|0310|Georgia|13|1|Richmond|245|09/25/1979|06/07/2022|Official|Board Decision|01/01/1944|332815N|0815829W|33.4709702|-81.9748379
310678|Autreyville|Populated Place|04308|U6|||Georgia|13|1|Colquitt|071|09/25/1979|06/07/2022||||310345N|0834554W|31.0624097|-83.7648933
310683|Avery|Populated Place|04504|U6|||Georgia|13|1|Cherokee|057|09/25/1979|02/28/2019||||341144N|0842521W|34.1956518|-84.4224269
310709|Baden|Populated Place|04868|U6|||Georgia|13|1|Brooks|027|09/25/1979|06/07/2022||||304303N|0833355W|30.7174214|-83.5651574
310800|Barkers Crossroads|Populated Place|05232|U6|||Georgia|13|1|Heard|149|09/25/1979|06/07/2022||||332226N|0851016W|33.3740043|-85.1710557
310812|Barney|Populated Place|05428|U6|0410|0410|Georgia|13|1|Brooks|027|09/25/1979|02/19/2019||||310030N|0833047W|31.008246|-83.5129406
310827|Barretts|Populated Place|05512|U6|||Georgia|13|1|Lowndes|185|09/25/1979|06/07/2022||||310006N|0831158W|31.0015898|-83.1993179
310835|Barwick|Populated Place|05708|P1|0430|0430|Georgia|13|2|Brooks|027|09/25/1979|06/07/2022||||305325N|0834427W|30.8901919|-83.7407217
310835|Barwick|Populated Place|05708|P1|0430|0430|Georgia|13|1|Thomas|275|09/25/1979|06/07/2022||||305325N|0834427W|30.8901919|-83.7407217
310847|Bass Crossroads|Populated Place|05764|U6|||Georgia|13|1|Troup|285|09/25/1979|06/07/2022||||330833N|0845405W|33.1426222|-84.9013243
