feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
358337|Mānā|Populated Place|49250|U6|||Hawaii|15|1|Kauai|007|09/30/2003|10/03/2012|Official|Board Decision|01/01/2002|220209N|1594610W|22.0358296|-159.76941
358376|Waimea District|Civil|78820|F1|||Hawaii|15|1|Kauai|007|09/30/2003|01/28/2011|Vacated|Board Decision|01/01/1965|220418N|1593804W|22.0716667|-159.6344444
358445|ʻĀhuimanu|Populated Place|00400|U3|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212641N|1575016W|21.4447222|-157.8377778
358456|ʻAiea|Populated Place|00550|U3|0100|100|Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212256N|1575601W|21.3822222|-157.9336111
358459|ʻAiea Heights|Populated Place|00700|U6|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212315N|1575509W|21.387549|-157.9190683
358472|ʻĀina Haina|Populated Place|00865|U6|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|211655N|1574509W|21.2819444|-157.7525
358484|Airport Village (historical)|Populated Place|01125|U6|||Hawaii|15|1|Maui|009|02/06/1981|06/07/2022||||204914N|1562704W|20.8206292|-156.4509988
358496|Akupu|Populated Place|01225|U6|||Hawaii|15|1|Honolulu|003|02/06/1981|06/07/2022||||212327N|1580600W|21.3909455|-158.100096
358503|Alabama Village (historical)|Populated Place|01300|U6|||Hawaii|15|1|Maui|009|02/06/1981|06/07/2022||||205148N|1562660W|20.8633834|-156.4499474
358553|ʻĀlewa Heights|Populated Place|01750|U6|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212026N|1575053W|21.3405085|-157.8481722
358560|Āliamanu|Populated Place|01900|U6|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212109N|1575518W|21.3524999|-157.9216862
358587|Anahola|Populated Place|02200|U5|200|200|Hawaii|15|1|Kauai|007|02/06/1981|06/07/2022|Official|Board Decision|01/01/1954|220832N|1591850W|22.1422622|-159.3138837
358717|Captain Cook|Populated Place|03850|U5|0300|300|Hawaii|15|1|Hawaii|001|02/06/1981|06/07/2022||||192949N|1555518W|19.4969444|-155.9216667
358737|Cod Fish Village (historical)|Populated Place|05200|U6|||Hawaii|15|1|Maui|009|02/06/1981|06/07/2022||||205337N|1562453W|20.8936169|-156.4147139
358746|Crater Village|Populated Place|05725|U6|||Hawaii|15|1|Maui|009|02/06/1981|06/07/2022||||205350N|1563946W|20.8972603|-156.6627243
358747|Crestview|Populated Place|05800|U6|||Hawaii|15|1|Honolulu|003|02/06/1981|06/07/2022||||212426N|1575941W|21.4072479|-157.9947281
358767|ʻEwa Beach|Populated Place|07450|U3|0501|501|Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|211856N|1580026W|21.3155556|-158.0072222
358794|ʻEleʻele|Populated Place|07000|U5|400|400|Hawaii|15|1|Kauai|007|02/06/1981|06/07/2022|Official|Board Decision|01/01/1954|215427N|1593460W|21.907384|-159.5832233
358800|Elevenmile Homestead|Populated Place|07150|U6|||Hawaii|15|1|Hawaii|001|02/06/1981|06/07/2022||||193613N|1550417W|19.6037411|-155.0714636
358806|ʻEwa|Populated Place|07300|U6|||Hawaii|15|1|Honolulu|003|09/30/2003|06/07/2022|Official|Board Decision|01/01/2000|212027N|1580223W|21.3407283|-158.0397248
