feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
485727|Aberdeen|Populated Place|00172|U6|0005|5|Kentucky|21|1|Butler|031|09/20/1979|06/07/2022||||371514N|0864054W|37.2539361|-86.6816547
485749|Adairville|Populated Place|00298|P1|0010|0010|Kentucky|21|1|Logan|141|09/20/1979|09/21/2010||||364003N|0865107W|36.6675425|-86.8519417
485782|Adolphus|Populated Place|00442|U6|0019|19|Kentucky|21|1|Allen|003|09/20/1979|06/07/2022||||363906N|0861541W|36.6517098|-86.2613779
485788|Aetnaville|Populated Place|00478|U6|||Kentucky|21|1|Ohio|183|09/20/1979|06/07/2022||||374022N|0864726W|37.6728299|-86.7905448
485789|Aflex|Populated Place|00496|U6|0026|26|Kentucky|21|1|Pike|195|09/20/1979|06/07/2022||||373929N|0821451W|37.6581578|-82.2473616
485792|Ages|Populated Place|00514|U6|0030|30|Kentucky|21|1|Harlan|095|09/20/1979|06/07/2022||||365128N|0831447W|36.8578673|-83.2462884
485799|Airport Gardens|Populated Place|00604|U6|||Kentucky|21|1|Perry|193|09/20/1979|06/07/2022||||371713N|0831211W|37.2870396|-83.2029513
485807|Akersville|Populated Place|00658|U6|||Kentucky|21|1|Monroe|171|09/20/1979|06/07/2022||||363851N|0855616W|36.6475531|-85.9377582
485813|Albany|Populated Place|00694|P1|0040|0040|Kentucky|21|1|Clinton|053|09/20/1979|06/07/2022||||364127N|0850805W|36.6908992|-85.1346776
485831|Alexandria|Populated Place|00802|P1|0050|0050|Kentucky|21|1|Campbell|037|09/20/1979|06/07/2022||||385734N|0842317W|38.9595078|-84.3879946
485834|Aliceton|Populated Place|00874|U6|||Kentucky|21|1|Boyle|021|09/20/1979|06/07/2022||||373527N|0850148W|37.5909047|-85.0299587
485843|Allegre|Populated Place|00928|U6|0052|52|Kentucky|21|1|Todd|219|09/20/1979|06/07/2022||||365543N|0871302W|36.9286542|-87.2172226
485866|Allen City|Populated Place|00946|C4|0060|0060|Kentucky|21|1|Floyd|071|09/20/1979|06/07/2022||||373634N|0824340W|37.6095426|-82.7276582
485878|Allensville|Populated Place|01000|U5|0070|0070|Kentucky|21|1|Todd|219|09/20/1979|06/07/2022||||364300N|0870358W|36.7167081|-87.0661104
485892|Almo|Populated Place|01036|U6|0086|86|Kentucky|21|1|Calloway|035|09/20/1979|06/07/2022||||364141N|0881642W|36.6947773|-88.2783694
485894|Almo Heights|Populated Place|01054|U6|||Kentucky|21|1|Calloway|035|09/20/1979|10/20/2010||||364134N|0881745W|36.692833|-88.2958701
485895|Alonzo|Populated Place|01072|U6|||Kentucky|21|1|Allen|003|09/20/1979|06/07/2022||||364135N|0862041W|36.6930976|-86.3447132
485900|Alton|Populated Place|01216|U6|88|88|Kentucky|21|1|Anderson|005|09/20/1979|06/07/2022||||380520N|0845606W|38.0889622|-84.9349514
485902|Alton Station|Populated Place|01234|U6|||Kentucky|21|1|Anderson|005|09/20/1979|06/07/2022||||380441N|0845632W|38.078129|-84.9421737
485915|Alva|Populated Place|01306|U6|0090|90|Kentucky|21|1|Harlan|095|09/20/1979|06/07/2022||||364406N|0832528W|36.7350862|-83.424354
