feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
532068|Aben|Populated Place|00170|U6|||Louisiana|22|1|Ascension|005|06/04/1980|06/07/2022||||300629N|0905634W|30.1079768|-90.942876
532076|Acy|Populated Place|00345|U6|||Louisiana|22|1|Ascension|005|06/04/1980|06/07/2022||||301308N|0904913W|30.2188079|-90.8203734
532086|Addis|Populated Place|00415|P1|0030|30|Louisiana|22|1|West Baton Rouge|121|06/04/1980|06/07/2022||||302114N|0911555W|30.3538043|-91.2653865
532098|Albany|Populated Place|00835|P1|0035|35|Louisiana|22|1|Livingston|063|06/04/1980|06/07/2022||||303016N|0903456W|30.5043578|-90.5823138
532100|Alden Bridge|Populated Place|00940|U6|||Louisiana|22|1|Bossier|015|06/04/1980|06/07/2022||||324631N|0934313W|32.7751427|-93.720178
532112|Allen|Populated Place|01360|U6|||Louisiana|22|1|Natchitoches|069|06/04/1980|06/07/2022||||315008N|0931719W|31.8354411|-93.2885038
532147|Alto|Populated Place|01640|U6|0046|46|Louisiana|22|1|Richland|083|06/04/1980|06/07/2022||||322128N|0915135W|32.3576468|-91.8598506
532174|Angie|Populated Place|02165|P1|0060|60|Louisiana|22|1|Washington|117|06/04/1980|06/07/2022||||305760N|0894834W|30.9665729|-89.8095208
532197|Antrim|Populated Place|02480|U6|||Louisiana|22|1|Bossier|015|06/04/1980|06/07/2022||||325239N|0934219W|32.8773616|-93.705177
532200|Ararat|Populated Place|02585|U6|||Louisiana|22|1|Calcasieu|019|06/04/1980|06/07/2022||||301802N|0931160W|30.300482|-93.1998765
532201|Arbroth|Populated Place|02620|U6|||Louisiana|22|1|West Baton Rouge|121|06/04/1980|06/07/2022||||303638N|0911908W|30.6104654|-91.3189991
532204|Archibald|Populated Place|02690|U6|0075|75|Louisiana|22|1|Richland|083|06/04/1980|06/07/2022||||322057N|0914638W|32.3490353|-91.7773484
532214|Armistead|Populated Place|03075|U6|||Louisiana|22|1|Red River|081|06/04/1980|06/07/2022||||320020N|0932250W|32.0054394|-93.3804511
532240|Athens|Populated Place|03320|P1|0090|90|Louisiana|22|1|Claiborne|027|06/04/1980|06/07/2022||||323902N|0930133W|32.6504281|-93.025717
532243|Attakapas Canal|Populated Place|03410|U6|||Louisiana|22|1|Assumption|007|06/04/1980|06/07/2022||||295331N|0910528W|29.8918702|-91.0912117
532244|Attakapas Landing|Populated Place|03425|U6|||Louisiana|22|1|Assumption|007|06/04/1980|06/07/2022||||295104N|0910611W|29.8510376|-91.1031564
532281|Bains|Populated Place|03950|U6|0098|98|Louisiana|22|1|West Feliciana|125|06/04/1980|06/07/2022||||304951N|0912312W|30.830737|-91.3867797
532300|Bancroft|Populated Place|04125|U6|||Louisiana|22|1|Beauregard|011|06/04/1980|06/07/2022||||303355N|0934108W|30.5652019|-93.6854506
532308|Baptist|Populated Place|04265|U6|||Louisiana|22|1|Tangipahoa|105|06/04/1980|06/07/2022||||303018N|0903159W|30.5049135|-90.533146
532466|Bayou Boeuf|Populated Place|05200|U6|||Louisiana|22|1|Lafourche|057|06/04/1980|06/07/2022||||295210N|0903548W|29.8693736|-90.596754
532546|Bayou Crab|Populated Place|05265|U6|||Louisiana|22|1|Assumption|007|06/04/1980|06/07/2022||||295203N|0910434W|29.8674262|-91.0762113
532850|Beaver|Populated Place|05700|U6|||Louisiana|22|1|Evangeline|039|06/04/1980|06/07/2022||||304745N|0923420W|30.7957506|-92.5720837
532930|Bellevue|Populated Place|06475|U6|||Louisiana|22|1|Caldwell|021|06/04/1980|06/07/2022||||320647N|0920257W|32.112934|-92.049301
532954|Berard|Populated Place|06940|U6|||Louisiana|22|1|Iberia|045|06/04/1980|06/07/2022||||295921N|0914718W|29.9890922|-91.78845
532962|Bertrandville|Populated Place|07065|U6|||Louisiana|22|1|Plaquemines|075|06/04/1980|06/07/2022||||294630N|0900101W|29.7749312|-90.0170152
533017|Bienville|Populated Place|07205|P1|0200|200|Louisiana|22|1|Bienville|013|06/04/1980|06/07/2022||||322125N|0925850W|32.3568222|-92.9804375
533150|Bissonet Plaza|Populated Place|07500|U6|||Louisiana|22|1|Jefferson|051|06/04/1980|06/07/2022||||300049N|0901259W|30.0135362|-90.216465
533208|Blankston|Populated Place|07835|U6|||Louisiana|22|1|Caldwell|021|06/04/1980|06/07/2022||||321432N|0920756W|32.2420969|-92.1323586
533244|Bluff Creek|Populated Place|07940|U6|||Louisiana|22|1|East Feliciana|037|06/04/1980|06/07/2022||||304448N|0905126W|30.7465723|-90.8573229
533254|Bodcau|Populated Place|08010|U6|||Louisiana|22|1|Bossier|015|06/04/1980|06/07/2022||||323204N|0933545W|32.534318|-93.5957313
533256|Bodoc|Populated Place|08045|U6|||Louisiana|22|1|Avoyelles|009|06/04/1980|06/07/2022||||305509N|0915926W|30.9190797|-91.9906746
533330|Boothville|Census|08710|U5|0223|223|Louisiana|22|1|Plaquemines|075|06/04/1980|06/02/2022||||292037N|0892511W|29.3435519|-89.4197772
533337|Boston|Populated Place|08955|U6|||Louisiana|22|1|Vermilion|113|06/04/1980|06/07/2022||||295260N|0920320W|29.8832629|-92.0556795
533365|Braithwaite|Populated Place|09200|U6|0245|245|Louisiana|22|1|Plaquemines|075|06/04/1980|06/07/2022||||295159N|0895637W|29.8663171|-89.9436791
533370|Brannon|Populated Place|09270|U6|||Louisiana|22|1|Iberia|045|06/04/1980|06/07/2022||||295908N|0915045W|29.9854816|-91.8459514
533406|Brignac|Populated Place|09550|U6|||Louisiana|22|1|Ascension|005|06/04/1980|06/07/2022||||301612N|0905212W|30.2699176|-90.8700975
533412|Brittany|Populated Place|09725|U6|0257|257|Louisiana|22|1|Ascension|005|06/04/1980|06/07/2022||||301244N|0905253W|30.2121412|-90.8814863
533422|Brouillette|Populated Place|10040|U6|||Louisiana|22|1|Avoyelles|009|06/04/1980|06/07/2022||||311245N|0920117W|31.2124081|-92.0215134
533439|Brownlee|Populated Place|10215|U6|||Louisiana|22|1|Bossier|015|06/04/1980|06/07/2022||||323433N|0934336W|32.5757054|-93.7265673
533443|Brownview|Populated Place|10250|U6|||Louisiana|22|1|Pointe Coupee|077|06/04/1980|06/07/2022||||304337N|0913509W|30.7268518|-91.5859483
533444|Brule|Populated Place|10320|U6|||Louisiana|22|1|Assumption|007|06/04/1980|06/07/2022||||294920N|0905807W|29.82215|-90.9687084
533502|Buckeye|Populated Place|10740|U6|0293|293|Louisiana|22|1|Rapides|079|06/04/1980|06/07/2022||||312159N|0921120W|31.3662923|-92.1890192
533624|Calhoun|Census|11825|U5|0316|316|Louisiana|22|1|Ouachita|073|06/04/1980|06/02/2022||||323046N|0922131W|32.5126469|-92.3584744
533703|Cancienne|Populated Place|12325|U6|||Louisiana|22|1|Assumption|007|06/04/1980|06/07/2022||||295401N|0910132W|29.9002034|-91.0256546
533809|Castor|Populated Place|13260|P1|0340|340|Louisiana|22|1|Bienville|013|06/04/1980|06/07/2022||||321512N|0930957W|32.2532134|-93.1657218
