feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
582323|Town of Amherst (historical)|Civil|01185|X1|||Massachusetts|25|1|Hampshire|015|09/01/1995|03/25/2023||||422152N|0723025W|42.3644734|-72.5068637
598523|Belcher Square|Populated Place|04755|U6|||Massachusetts|25|1|Berkshire|003|02/24/1974|06/07/2022||||421200N|0732048W|42.2000891|-73.346778
598526|Houghtonville|Populated Place|31260|U6|||Massachusetts|25|1|Berkshire|003|02/24/1974|06/07/2022||||424245N|0730627W|42.7125816|-73.1076038
598527|North Egremont|Populated Place|47660|U6|0907|907|Massachusetts|25|1|Berkshire|003|02/24/1974|06/07/2022||||421148N|0732616W|42.196756|-73.4378921
598529|White Oaks|Populated Place|79425|U6|||Massachusetts|25|1|Berkshire|003|02/24/1974|06/07/2022||||424351N|0731151W|42.7309136|-73.1976067
598532|Mundale|Populated Place|43335|U4|||Massachusetts|25|1|Hampden|013|02/24/1974|06/07/2022|Official|Board Decision|01/01/1968|420706N|0724840W|42.1184261|-72.8112073
598534|Munns Ferry|Populated Place|43360|U6|||Massachusetts|25|1|Franklin|011|02/24/1974|06/07/2022||||423915N|0722758W|42.6542516|-72.4661987
598542|Chadwick Square|Populated Place|12260|U4|||Massachusetts|25|1|Worcester|027|02/24/1974|06/07/2022||||421725N|0714833W|42.2903707|-71.8092381
598544|Sunderland|Populated Place|68435|U4|||Massachusetts|25|1|Worcester|027|02/24/1974|06/07/2022||||421440N|0714618W|42.244538|-71.7717372
598550|Caryville|Populated Place|11700|U6|0183|183|Massachusetts|25|1|Norfolk|021|02/24/1974|06/07/2022||||420800N|0712652W|42.1334304|-71.4478383
598552|Collinsville|Populated Place|14745|U6|||Massachusetts|25|1|Middlesex|017|02/24/1974|06/07/2022||||424100N|0712108W|42.6834237|-71.3522845
