feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
619807|Acme|Populated Place|00180|U6|0005|5|Michigan|26|1|Grand Traverse|055|04/14/1980|06/07/2022||||444619N|0853005W|44.7719461|-85.5014607
619810|Ada|Populated Place|00220|U6|0006|6|Michigan|26|1|Kent|081|04/14/1980|06/07/2022||||425715N|0852920W|42.9541963|-85.4889121
619826|Adams Park|Populated Place|00340|U6|||Michigan|26|1|Kalamazoo|077|04/14/1980|06/07/2022||||420914N|0852822W|42.1539342|-85.4727744
619836|Adamsville|Populated Place|00360|U6|0007|7|Michigan|26|1|Cass|027|04/14/1980|06/07/2022||||414707N|0855938W|41.7853265|-85.9938917
619840|Addison|Populated Place|00380|P1|0010|10|Michigan|26|1|Lenawee|091|04/14/1980|06/07/2022||||415911N|0842050W|41.9864341|-84.3471684
619846|Adrian|Populated Place|00440|P1|0020|20|Michigan|26|1|Lenawee|091|04/14/1980|06/07/2022||||415351N|0840214W|41.8975471|-84.0371659
619851|Advance|Census|00480|U5|||Michigan|26|1|Charlevoix|029|04/14/1980|06/02/2022||||451317N|0850439W|45.221397|-85.0775567
619868|Agnew|Populated Place|00600|U6|||Michigan|26|1|Ottawa|139|04/14/1980|06/07/2022||||425754N|0861036W|42.9650201|-86.1767153
619871|Ahgosatown|Populated Place|00610|U6|||Michigan|26|1|Leelanau|089|04/14/1980|06/07/2022||||450452N|0853530W|45.0811105|-85.5917502
619873|Ahmeek|Populated Place|00620|P1|0030|0030|Michigan|26|1|Keweenaw|083|04/14/1980|06/07/2022||||471756N|0882347W|47.2988116|-88.3965014
619882|Akron|Populated Place|00700|P1|0040|40|Michigan|26|1|Tuscola|157|04/14/1980|06/07/2022||||433405N|0833051W|43.5680759|-83.5141259
619883|Alabaster|Populated Place|00740|U6|||Michigan|26|1|Iosco|069|04/14/1980|06/07/2022||||441111N|0833329W|44.1864058|-83.558032
619888|Alamo|Populated Place|00820|U6|0047|47|Michigan|26|1|Kalamazoo|077|04/14/1980|06/07/2022||||422231N|0854228W|42.3753143|-85.7077914
619891|Alanson|Populated Place|00860|P1|0050|50|Michigan|26|1|Emmet|047|04/14/1980|06/07/2022||||452639N|0844712W|45.4441778|-84.7867115
619892|Alaska|Populated Place|00880|U6|||Michigan|26|1|Kent|081|04/14/1980|06/07/2022||||425024N|0852841W|42.8400314|-85.4780751
619894|Alba|Census|00900|U5|0052|52|Michigan|26|1|Antrim|009|04/14/1980|06/02/2022||||445829N|0845807W|44.97473|-84.9686585
619905|Alberta|Populated Place|00960|U6|0054|54|Michigan|26|1|Baraga|013|04/14/1980|06/07/2022||||463837N|0882846W|46.6435476|-88.4795785
619906|Albion|Populated Place|00980|P1|0060|60|Michigan|26|1|Calhoun|025|04/14/1980|06/07/2022||||421435N|0844511W|42.243097|-84.7530304
619916|Alden|Census|01060|U5|0062|62|Michigan|26|1|Antrim|009|04/14/1980|06/02/2022||||445252N|0851632W|44.8811151|-85.2756185
619917|Alder|Populated Place|01070|U6|||Michigan|26|1|Marquette|103|04/14/1980|06/07/2022||||464722N|0874150W|46.7893685|-87.6973536
619940|Algansee|Populated Place|01110|U6|||Michigan|26|1|Branch|023|04/14/1980|06/07/2022||||414957N|0845251W|41.832549|-84.8807947
619941|Alger|Populated Place|01140|U6|0069|69|Michigan|26|1|Arenac|011|04/14/1980|06/07/2022||||440732N|0840716W|44.1255759|-84.1211082
619961|Allegan|Populated Place|01260|P1|0080|80|Michigan|26|1|Allegan|005|04/14/1980|06/07/2022||||423145N|0855119W|42.5291989|-85.8553031
619966|Allen|Populated Place|01300|P1|0089|89|Michigan|26|1|Hillsdale|059|04/14/1980|06/07/2022||||415725N|0844604W|41.9569915|-84.7677394
619983|Allen Park|Populated Place|01380|P1|0090|90|Michigan|26|1|Wayne|163|04/14/1980|06/07/2022||||421527N|0831240W|42.2575385|-83.2110375
619993|Allendale|Populated Place|01340|U5|0088|88|Michigan|26|1|Ottawa|139|04/14/1980|06/07/2022||||425820N|0855713W|42.9722455|-85.9536535
619994|Allendale|Populated Place|01330|U6|||Michigan|26|1|Clare|035|04/14/1980|06/07/2022||||440014N|0844706W|44.0039086|-84.7850221
620000|Allouez|Populated Place|01500|U6|0097|0097|Michigan|26|1|Keweenaw|083|04/14/1980|06/07/2022||||471714N|0882434W|47.2871455|-88.4095579
620002|Alma|Populated Place|01540|P1|0100|100|Michigan|26|1|Gratiot|057|04/14/1980|06/07/2022||||432244N|0843935W|43.3789199|-84.6597274
620008|Almena|Populated Place|01590|U6|||Michigan|26|1|Van Buren|159|04/14/1980|06/07/2022||||421553N|0854931W|42.2647603|-85.8252906
620014|Almont|Populated Place|01660|P1|0110|110|Michigan|26|1|Lapeer|087|04/14/1980|06/07/2022||||425514N|0830242W|42.9205842|-83.0449348
620015|Aloha|Populated Place|01700|U6|||Michigan|26|1|Cheboygan|031|04/14/1980|06/07/2022|Official|Board Decision|01/01/1980|453135N|0842800W|45.5263998|-84.4666997
620017|Alpena|Populated Place|01740|P1|0120|120|Michigan|26|1|Alpena|007|04/14/1980|06/07/2022||||450342N|0832558W|45.0616794|-83.4327528
620018|Alpena Junction|Populated Place|01780|U4|||Michigan|26|1|Alpena|007|04/14/1980|06/07/2022||||450331N|0832722W|45.0586236|-83.456087
620021|Alpha|Populated Place|01800|P1|0130|130|Michigan|26|1|Iron|071|04/14/1980|06/07/2022||||460238N|0882237W|46.0438421|-88.3770789
620023|Alpine|Populated Place|01820|U6|0131|131|Michigan|26|1|Kent|081|04/14/1980|06/07/2022||||430422N|0854106W|43.0728031|-85.6850351
620029|Alto|Populated Place|01880|U6|0134|134|Michigan|26|1|Kent|081|04/14/1980|06/07/2022||||425124N|0852249W|42.8566988|-85.3802937
620033|Altona|Populated Place|01900|U6|||Michigan|26|1|Mecosta|107|04/14/1980|06/07/2022||||433223N|0851849W|43.5397506|-85.3136465
620044|Amasa|Census|01960|U5|0135|135|Michigan|26|1|Iron|071|04/14/1980|06/02/2022||||461358N|0882655W|46.2327267|-88.4487476
620073|Amsden|Populated Place|02065|U6|||Michigan|26|1|Montcalm|117|04/14/1980|06/07/2022||||431014N|0850725W|43.1705875|-85.1236267
620078|Anchor Bay Gardens|Populated Place|02080|U6|0140|140|Michigan|26|1|Macomb|099|04/14/1980|06/07/2022||||423834N|0824845W|42.6428109|-82.8124187
620079|Anchor Bay Harbor|Populated Place|02085|U6|0140|140|Michigan|26|1|Macomb|099|04/14/1980|06/07/2022||||423919N|0824757W|42.6553107|-82.7990854
620081|Anchor Bay Shores|Populated Place|02090|U6|||Michigan|26|1|Macomb|099|04/14/1980|06/07/2022||||423808N|0824860W|42.6355889|-82.8165853
620086|Anderson Bayview|Populated Place|02150|U6|||Michigan|26|1|Iosco|069|04/14/1980|06/07/2022||||441412N|0833243W|44.2366838|-83.545254
620113|Andersonville|Populated Place|02160|U6|||Michigan|26|1|Oakland|125|04/14/1980|06/07/2022||||424348N|0832933W|42.730029|-83.4924428
620133|Ann Arbor|Populated Place|03000|P1|0150|150|Michigan|26|1|Washtenaw|161|04/14/1980|06/07/2022||||421615N|0834335W|42.2708716|-83.7263294
620150|Antoine|Populated Place|03080|U4|||Michigan|26|1|Dickinson|043|04/14/1980|06/07/2022||||455015N|0880343W|45.8374552|-88.0620719
620154|Antrim|Populated Place|03100|U6|||Michigan|26|1|Antrim|009|04/14/1980|06/07/2022||||445324N|0850426W|44.8900067|-85.0739409
620159|Anvil|Populated Place|03150|U6|0155|0155|Michigan|26|1|Gogebic|053|04/14/1980|06/07/2022||||462813N|0900107W|46.4702253|-90.0185048
620163|Aplin Beach|Populated Place|03180|U6|||Michigan|26|1|Bay|017|04/14/1980|06/07/2022||||433903N|0835215W|43.6508558|-83.8708104
620180|Applegate|Populated Place|03200|P1|0160|160|Michigan|26|1|Sanilac|151|04/14/1980|06/07/2022||||432119N|0823814W|43.3553017|-82.6371499
620192|Arbutus Beach|Populated Place|03240|U6|||Michigan|26|1|Otsego|137|04/14/1980|06/07/2022||||445646N|0844100W|44.9461242|-84.6833631
620195|Arcadia|Census|03300|U5|0166|166|Michigan|26|1|Manistee|101|04/14/1980|06/02/2022||||442935N|0861354W|44.4930555|-86.2317586
620204|Arden|Populated Place|03340|U6|||Michigan|26|1|Berrien|021|04/14/1980|06/07/2022||||415909N|0862331W|41.9858778|-86.3919624
620210|Argentine|Populated Place|03400|U5|||Michigan|26|1|Genesee|049|04/14/1980|06/07/2022||||424729N|0835047W|42.7914188|-83.846343
620213|Argyle|Populated Place|03440|U6|0167|167|Michigan|26|1|Sanilac|151|04/14/1980|06/07/2022||||433351N|0825610W|43.5641848|-82.9360507
620222|Armada|Populated Place|03520|P1|0170|0170|Michigan|26|1|Macomb|099|04/14/1980|06/07/2011||||425039N|0825304W|42.8441964|-82.8843722
620251|Artesia Beach|Populated Place|03610|U6|||Michigan|26|1|Roscommon|143|04/14/1980|06/07/2022||||442123N|0842930W|44.3564079|-84.4916841
620262|Ash Acres|Populated Place|03685|U6|||Michigan|26|1|Clare|035|04/14/1980|06/07/2022||||440216N|0844843W|44.037797|-84.8119684
620272|Ashland|Populated Place|03695|U6|||Michigan|26|1|Alpena|007|04/14/1980|06/07/2022||||451211N|0832704W|45.2030697|-83.4510889
620273|Ashley|Populated Place|03740|P1|0180|180|Michigan|26|1|Gratiot|057|04/14/1980|06/07/2022||||431112N|0842828W|43.186696|-84.4744347
620279|Ashton|Populated Place|03780|U6|||Michigan|26|1|Osceola|133|04/14/1980|06/07/2022||||435823N|0853013W|43.9730702|-85.5036634
620286|Assinins|Populated Place|03820|U6|0183|183|Michigan|26|1|Baraga|013|04/14/1980|06/07/2022||||464837N|0882838W|46.8102095|-88.4773517
620290|Assyria|Populated Place|03840|U6|||Michigan|26|1|Barry|015|04/14/1980|06/07/2022||||422752N|0850753W|42.464482|-85.1313852
620296|Athens|Populated Place|03880|P1|0190|190|Michigan|26|1|Calhoun|025|04/14/1980|06/07/2022||||420519N|0851405W|42.0886576|-85.2347052
620305|Atlanta|Populated Place|03920|U5|0193|193|Michigan|26|1|Montmorency|119|04/14/1980|06/07/2022||||450017N|0840838W|45.0047306|-84.1438927
620306|Atlantic Mine|Populated Place|03960|U6|0194|194|Michigan|26|1|Houghton|061|04/14/1980|06/07/2022||||470550N|0883739W|47.0971497|-88.6276246
620307|Atlas|Populated Place|03980|U6|0195|195|Michigan|26|1|Genesee|049|04/14/1980|06/07/2022||||425616N|0833204W|42.9378054|-83.5343934
620309|Attica|Census|04020|U5|0196|196|Michigan|26|1|Lapeer|087|04/14/1980|06/02/2022||||430149N|0830958W|43.0303053|-83.1660514
620314|Atwood|Populated Place|04060|U6|||Michigan|26|1|Antrim|009|04/14/1980|06/07/2022||||451045N|0852043W|45.1791709|-85.3453512
620321|Au Gres|Populated Place|04120|P1|0210|210|Michigan|26|1|Arenac|011|04/14/1980|06/07/2022||||440255N|0834145W|44.0486295|-83.6958161
620323|Au Sable|Populated Place|04280|U5|0228|0228|Michigan|26|1|Iosco|069|04/14/1980|06/30/2011|Official|Board Decision|06/05/1894|442439N|0831956W|44.4108489|-83.3321899
