feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
639200|Ada|Populated Place|00172|P1|0010|0010|Minnesota|27|1|Norman|107|01/11/1980|06/07/2022||||471759N|0963055W|47.299689|-96.5153463
639202|Adams|Populated Place|00190|P1|0020|0020|Minnesota|27|1|Mower|099|01/11/1980|06/07/2022||||433355N|0924310W|43.5652435|-92.7193503
639217|Adrian|Populated Place|00262|P1|0030|0030|Minnesota|27|1|Nobles|105|01/11/1980|06/07/2022||||433806N|0955558W|43.6349663|-95.932797
639223|Afton|Populated Place|00316|P1|0040|40|Minnesota|27|1|Washington|163|01/11/1980|06/07/2022||||445410N|0924701W|44.9027452|-92.7835373
639235|Aitkin|Populated Place|00460|P1|0050|0050|Minnesota|27|1|Aitkin|001|01/11/1980|06/07/2022||||463159N|0934237W|46.533013|-93.7102493
639241|Albany|Populated Place|00622|P1|0070|0070|Minnesota|27|1|Stearns|145|01/11/1980|06/07/2022||||453748N|0943412W|45.6299647|-94.5700048
639247|Albert Lea|Populated Place|00694|P1|0090|0090|Minnesota|27|1|Freeborn|047|01/11/1980|06/07/2022||||433853N|0932206W|43.6480127|-93.3682656
639249|Alberta|Populated Place|00676|P1|0080|80|Minnesota|27|1|Stevens|149|01/11/1980|06/07/2022||||453424N|0960251W|45.573295|-96.0475549
639253|Albertville|Populated Place|00730|P1|0100|100|Minnesota|27|1|Wright|171|01/11/1980|06/07/2022||||451416N|0933916W|45.237742|-93.6544085
639254|Albion Center|Populated Place|00784|U6|||Minnesota|27|1|Wright|171|01/11/1980|06/07/2022||||451037N|0940425W|45.176909|-94.0735899
639262|Alden|Populated Place|00838|P1|0110|0110|Minnesota|27|1|Freeborn|047|01/11/1980|06/07/2022||||434013N|0933434W|43.6702334|-93.5760513
639265|Aldrich|Populated Place|00892|P1|0120|120|Minnesota|27|2|Todd|153|01/11/1980|06/07/2022||||462235N|0945612W|46.3763513|-94.9366889
639265|Aldrich|Populated Place|00892|P1|0120|120|Minnesota|27|1|Wadena|159|01/11/1980|06/07/2022||||462235N|0945612W|46.3763513|-94.9366889
639272|Alexandria|Populated Place|00928|P1|0130|0130|Minnesota|27|1|Douglas|041|01/11/1980|06/07/2022||||455307N|0952239W|45.8852397|-95.3775379
639281|Alida|Populated Place|01018|U6|||Minnesota|27|1|Clearwater|029|01/11/1980|06/07/2022||||472301N|0951405W|47.3835673|-95.2347377
639297|Alma City|Populated Place|01090|U6|||Minnesota|27|1|Waseca|161|01/11/1980|06/07/2022||||440121N|0934341W|44.0224676|-93.7280037
639300|Almelund|Populated Place|01108|U6|0135|135|Minnesota|27|1|Chisago|025|01/11/1980|06/07/2022||||452929N|0924708W|45.49135|-92.7854919
639301|Almora|Populated Place|01144|U6|||Minnesota|27|1|Otter Tail|111|01/11/1980|06/07/2022||||461447N|0952156W|46.2463507|-95.3655915
639305|Alpha|Populated Place|01162|P1|0140|0140|Minnesota|27|1|Jackson|063|01/11/1980|06/07/2022||||433820N|0945215W|43.6388459|-94.8708195
639312|Altura|Populated Place|01234|P1|0150|150|Minnesota|27|1|Winona|169|01/11/1980|06/07/2022||||440418N|0915623W|44.0716301|-91.9396022
639313|Alvarado|Populated Place|01252|P1|0160|160|Minnesota|27|1|Marshall|089|01/11/1980|06/07/2022||||481139N|0965946W|48.1941477|-96.9961813
639321|Amboy|Populated Place|01324|P1|0170|170|Minnesota|27|1|Blue Earth|013|01/11/1980|06/07/2022||||435317N|0940924W|43.8880148|-94.1566258
639330|Amiret|Populated Place|01414|U6|0171|171|Minnesota|27|1|Lyon|083|01/11/1980|06/07/2022||||441860N|0954149W|44.316625|-95.6969587
