feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
767917|Lustre|Populated Place|46075|U6|0759|759|Montana|30|1|Valley|105|01/01/2000|06/07/2022||||482336N|1055256W|48.3933561|-105.8822326
767918|Weldon|Populated Place|78850|U6|||Montana|30|1|McCone|055|01/01/2000|06/07/2022||||473645N|1055332W|47.612507|-105.8922341
767920|Webster|Populated Place|78625|U6|||Montana|30|1|Fallon|025|01/01/2000|06/07/2022||||460318N|1041450W|46.0550009|-104.2471632
767921|Volt|Populated Place|77350|U6|||Montana|30|1|Roosevelt|085|01/01/2000|06/07/2022||||482318N|1054308W|48.3883555|-105.7188926
767925|Morgan|Populated Place|51775|U6|0845|845|Montana|30|1|Phillips|071|01/01/2000|06/07/2022||||485936N|1074956W|48.9933527|-107.8323167
767926|Larslan|Populated Place|42550|U6|0697|697|Montana|30|1|Valley|105|01/01/2000|06/07/2022||||483442N|1061138W|48.5783589|-106.1939107
767927|Inverness|Populated Place|38725|U5|0643|643|Montana|30|1|Hill|041|01/01/2000|06/07/2022||||483324N|1104103W|48.5566569|-110.6841232
767930|Garland|Populated Place|30025|U6|||Montana|30|1|Custer|017|01/01/2000|06/07/2022||||460254N|1055550W|46.0483349|-105.9305548
767931|Eagleton|Populated Place|22675|U6|||Montana|30|1|Chouteau|015|01/01/2000|06/07/2022||||475642N|1094657W|47.9449809|-109.7824174
767936|Rocky Boy's Reservation|Civil|3205R|D1|||Montana|30|2|Chouteau|015|01/01/2000|03/21/2023||||481613N|1094925W|48.2704109|-109.8237407
767936|Rocky Boy's Reservation|Civil|3205R|D1|||Montana|30|1|Hill|041|01/01/2000|03/21/2023||||481613N|1094925W|48.2704109|-109.8237407
767938|Fort Belknap Reservation|Civil|1150R|D1|||Montana|30|1|Blaine|005|01/01/2000|03/21/2023||||481158N|1083737W|48.199511|-108.6269981
767938|Fort Belknap Reservation|Civil|1150R|D1|||Montana|30|2|Phillips|071|01/01/2000|03/21/2023||||481158N|1083737W|48.199511|-108.6269981
768010|Billings Heights|Populated Place|06625|U4|||Montana|30|1|Yellowstone|111|07/01/1989|06/07/2022||||454960N|1082732W|45.8332867|-108.4590228
768107|Aberdeen|Populated Place|00100|U6|0001|1|Montana|30|1|Big Horn|003|04/04/1980|06/07/2022||||450316N|1072125W|45.0544117|-107.3570324
768110|Accola|Populated Place|00290|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||455659N|1111107W|45.9496508|-111.1852316
768124|Adel|Populated Place|00475|U6|||Montana|30|1|Cascade|013|04/04/1980|06/07/2022||||470140N|1113726W|47.0277236|-111.6238645
768131|Agency|Populated Place|00625|U6|||Montana|30|1|Sanders|089|04/04/1980|06/07/2022||||471941N|1141736W|47.3279854|-114.2934517
768140|Ahles|Populated Place|00660|U6|||Montana|30|1|Rosebud|087|04/04/1980|06/07/2022||||462844N|1070952W|46.4788772|-107.1645098
768211|Allentown|Populated Place|01110|U6|||Montana|30|1|Lake|047|04/04/1980|06/07/2022||||472626N|1140547W|47.4404882|-114.0965
768230|Amherst|Populated Place|01450|U6|||Montana|30|1|Fergus|027|04/04/1980|06/07/2022||||470859N|1093730W|47.1496963|-109.6249101
768232|Amsterdam|Census|01525|U5|||Montana|30|1|Gallatin|031|04/04/1980|06/02/2022||||454529N|1111912W|45.7579842|-111.3199589
768262|Angela|Populated Place|01900|U6|0018|18|Montana|30|1|Rosebud|087|04/04/1980|06/07/2022||||464348N|1061204W|46.730002|-106.2011344
768266|Anita|Populated Place|01975|U6|||Montana|30|1|Yellowstone|111|04/04/1980|06/07/2022||||455639N|1080119W|45.9441331|-108.0220573
768269|Antelope|Populated Place|02050|U5|0021|21|Montana|30|1|Sheridan|091|04/04/1980|06/07/2022||||484123N|1042730W|48.6897494|-104.4582863
768317|Apex|Populated Place|02125|U6|||Montana|30|1|Beaverhead|001|04/04/1980|06/07/2022||||452255N|1124226W|45.3818692|-112.7072462
768337|Armington|Populated Place|02500|U6|||Montana|30|1|Cascade|013|04/04/1980|06/07/2022||||472159N|1105413W|47.3663543|-110.9035659
768343|Arnold|Populated Place|02650|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||454252N|1112118W|45.7143729|-111.3549603
768382|Ashuelot|Populated Place|02875|U6|||Montana|30|1|Cascade|013|04/04/1980|06/07/2022||||473326N|1114841W|47.5571749|-111.8113775
768484|Ballantine|Populated Place|03625|U5|0045|45|Montana|30|1|Yellowstone|111|04/04/1980|06/07/2022||||455656N|1080842W|45.9488511|-108.1451196
768490|Balmont|Populated Place|03735|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||453741N|1110619W|45.6279855|-111.1052271
768500|Barber|Populated Place|03850|U6|||Montana|30|1|Golden Valley|037|04/04/1980|06/07/2022||||461848N|1092307W|46.3132908|-109.3851769
768526|Barretts|Populated Place|04000|U6|0046|46|Montana|30|1|Beaverhead|001|04/04/1980|06/07/2022||||450753N|1124426W|45.1313103|-112.7405791
768537|Bascom|Populated Place|04035|U6|||Montana|30|1|Rosebud|087|04/04/1980|06/07/2022||||463734N|1074512W|46.626095|-107.7534338
768540|Baseline|Populated Place|04075|U6|||Montana|30|1|Yellowstone|111|04/04/1980|06/07/2022||||454702N|1084212W|45.7838395|-108.7031982
768564|Bay Horse|Populated Place|04249|U6|||Montana|30|1|Powder River|075|04/04/1980|06/07/2022||||450236N|1053401W|45.0433187|-105.5669455
768617|Beartown|Populated Place|04550|U6|||Montana|30|1|Granite|039|04/04/1980|06/07/2022||||464736N|1132024W|46.7932646|-113.3400759
768654|Beaverton|Populated Place|04675|U6|||Montana|30|1|Valley|105|04/04/1980|06/07/2022||||482525N|1071514W|48.4236142|-107.25397
768658|Bedford|Populated Place|04775|U6|||Montana|30|1|Broadwater|007|04/04/1980|06/07/2022||||462147N|1113302W|46.3629872|-111.5505259
768673|Belgrade|Populated Place|04975|P1|0060|60|Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||454634N|1111037W|45.7760403|-111.1768973
768674|Belgrade Junction|Populated Place|05000|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||454647N|1111648W|45.7796508|-111.2799571
768694|Belt Creek|Populated Place|05300|U6|||Montana|30|1|Cascade|013|04/04/1980|06/07/2022||||473311N|1105727W|47.5530239|-110.9574627
768715|Benz|Populated Place|05575|U6|||Montana|30|1|Prairie|079|04/04/1980|06/07/2022||||463935N|1053005W|46.6597276|-105.5013818
768716|Benzien|Populated Place|05583|U6|||Montana|30|1|Garfield|033|04/04/1980|06/07/2022||||471520N|1074048W|47.2555538|-107.6801029
768742|Big Arm|Populated Place|05800|U5|0074|74|Montana|30|1|Lake|047|04/04/1980|06/07/2022||||474753N|1141741W|47.7979969|-114.2948454
768824|Big Sandy|Populated Place|06250|P1|0080|80|Montana|30|1|Chouteau|015|04/04/1980|06/07/2022||||481043N|1100644W|48.1785915|-110.1121523
768999|Blackleaf|Populated Place|07335|U6|||Montana|30|1|Teton|099|04/04/1980|06/07/2022||||480045N|1123622W|48.0124539|-112.6061537
769013|Blackwood|Populated Place|07410|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||453831N|1110844W|45.6418739|-111.1455065
769015|Blair|Populated Place|07450|U6|||Montana|30|1|Roosevelt|085|04/04/1980|06/07/2022||||480848N|1043734W|48.1466867|-104.6260704
769024|Blatchford|Populated Place|07600|U6|||Montana|30|1|Prairie|079|04/04/1980|06/07/2022||||464237N|1052658W|46.7102837|-105.4494359
769055|Bluffport|Populated Place|07825|U6|||Montana|30|1|Prairie|079|04/04/1980|06/07/2022||||464852N|1050958W|46.814452|-105.166091
769087|Bole|Populated Place|08050|U6|||Montana|30|1|Teton|099|04/04/1980|06/07/2022||||474239N|1120039W|47.7107855|-112.0108395
769098|Bonfield|Populated Place|08200|U6|||Montana|30|1|Custer|017|04/04/1980|06/07/2022||||463758N|1053417W|46.6327827|-105.5713844
769173|Bozeman|Populated Place|08950|P1|0130|130|Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||454047N|1110219W|45.6796526|-111.0385582
769183|Bradman|Populated Place|09150|U6|||Montana|30|1|Granite|039|04/04/1980|06/07/2022||||464153N|1131329W|46.6979861|-113.2247908
769189|Brandon|Populated Place|09400|U6|||Montana|30|1|Madison|057|04/04/1980|06/07/2022||||452806N|1120823W|45.4682588|-112.1397127
769203|Brewer|Populated Place|09450|U6|||Montana|30|1|Broadwater|007|04/04/1980|06/07/2022||||460817N|1112403W|46.1379848|-111.4007967
769230|Broadus|Populated Place|09700|P1|0150|150|Montana|30|1|Powder River|075|04/04/1980|06/07/2022||||452638N|1052427W|45.4438809|-105.4074903
769239|Brock Creek|Populated Place|09925|U6|||Montana|30|1|Powell|077|04/04/1980|06/07/2022||||463613N|1125120W|46.603542|-112.8556021
769244|Brockton|Populated Place|10000|P1|0164|164|Montana|30|1|Roosevelt|085|04/04/1980|06/07/2022||||480905N|1045501W|48.1514085|-104.9169151
769303|Bruno|Populated Place|10525|U6|||Montana|30|1|Meagher|059|04/04/1980|06/07/2022||||462220N|1103741W|46.3721645|-110.6279776
769331|Buell|Populated Place|10750|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||454716N|1111918W|45.7877063|-111.3216257
769332|Buelow|Populated Place|10825|U6|||Montana|30|1|Liberty|051|04/04/1980|06/07/2022||||483335N|1105014W|48.5597123|-110.8371869
769334|Buffalo|Populated Place|10900|U6|0173|173|Montana|30|1|Fergus|027|04/04/1980|06/07/2022||||464916N|1094943W|46.8210697|-109.828521
769376|Bull Mountain|Populated Place|10975|U6|||Montana|30|1|Yellowstone|111|04/04/1980|06/07/2022||||460121N|1075127W|46.0224786|-107.8575969
769392|Bundy|Populated Place|11010|U6|||Montana|30|1|Musselshell|065|04/04/1980|06/07/2022||||461734N|1084644W|46.2927366|-108.7787591
769412|Burnham|Populated Place|11050|U6|||Montana|30|1|Hill|041|04/04/1980|06/07/2022||||483339N|1095312W|48.5608303|-109.8865951
769416|Burns|Populated Place|11125|U6|||Montana|30|1|Richland|083|04/04/1980|06/07/2022||||472241N|1042419W|47.3780705|-104.4052237
769427|Busby|Populated Place|11200|U5|0175|175|Montana|30|1|Big Horn|003|04/04/1980|06/07/2022||||453214N|1065720W|45.5372052|-106.9556075
769434|Busteed|Populated Place|11250|U6|||Montana|30|1|Stillwater|095|04/04/1980|06/07/2022||||455630N|1092057W|45.9416111|-109.3490594
769461|Bynum|Census|11500|U5|0181|181|Montana|30|1|Teton|099|04/04/1980|06/02/2022||||475845N|1121842W|47.9791212|-112.3116955
769475|Cabin Creek|Populated Place|11545|U6|||Montana|30|1|Fallon|025|04/04/1980|06/07/2022||||463648N|1042518W|46.6133419|-104.4216121
769512|Calypso|Populated Place|11725|U6|||Montana|30|1|Prairie|079|04/04/1980|06/07/2022||||464623N|1052522W|46.7730621|-105.4227687
769515|Camas|Census|11800|U5|0620|620|Montana|30|1|Sanders|089|04/04/1980|06/02/2022||||473705N|1143928W|47.6179931|-114.6579078
769518|Camas Prairie|Populated Place|11875|U6|||Montana|30|1|Sanders|089|04/04/1980|06/07/2022||||472746N|1143625W|47.4627127|-114.6070729
769566|Canton|Populated Place|12004|U6|||Montana|30|1|Broadwater|007|04/04/1980|06/07/2022||||462450N|1113012W|46.4138217|-111.5033014
769612|Carpenter|Populated Place|12550|U6|||Montana|30|1|Gallatin|031|04/04/1980|06/07/2022||||455329N|1112752W|45.8913171|-111.4644106
769624|Carter|Populated Place|12625|U5|0188|188|Montana|30|1|Chouteau|015|04/04/1980|06/07/2022||||474652N|1105723W|47.7810776|-110.9563375
769633|Cartersville|Populated Place|12700|U6|||Montana|30|1|Rosebud|087|04/04/1980|06/07/2022||||461758N|1062803W|46.2994424|-106.4675252
