feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1027647|Abercrombie|Populated Place|00100|P1|0010|0010|North Dakota|38|1|Richland|077|02/13/1980|06/07/2022||||462652N|0964349W|46.4477384|-96.7303557
1027648|Absaraka|Populated Place|00180|U6|0082|0082|North Dakota|38|1|Cass|017|02/13/1980|08/29/2019||||465841N|0972340W|46.9780313|-97.3945341
1027651|Adams|Populated Place|00340|P1|0020|0020|North Dakota|38|1|Walsh|099|02/13/1980|06/07/2022||||482517N|0980444W|48.4213852|-98.0789893
1027662|Akra|Populated Place|00860|U6|0025|0025|North Dakota|38|1|Pembina|067|02/13/1980|07/26/2019||||484631N|0974337W|48.775272|-97.7270364
1027663|Alamo|Populated Place|00940|P1|0030|0030|North Dakota|38|1|Williams|105|02/13/1980|06/07/2022||||483454N|1032812W|48.5816949|-103.4699122
1027669|Alice|Populated Place|01420|P1|0050|0050|North Dakota|38|1|Cass|017|02/13/1980|06/07/2022||||464543N|0973321W|46.7619199|-97.5559299
1027671|Alkabo|Populated Place|01500|U6|0055|0055|North Dakota|38|1|Divide|023|02/13/1980|08/29/2019||||485146N|1035325W|48.8628073|-103.8902069
1027687|Almont|Populated Place|01700|P1|0060|0060|North Dakota|38|1|Morton|059|02/13/1980|06/07/2022||||464331N|1013010W|46.7252795|-101.5026443
1027688|Alsen|Populated Place|01740|P1|0070|0070|North Dakota|38|1|Cavalier|019|02/13/1980|06/07/2022||||483750N|0984217W|48.6305626|-98.7048488
1027690|Ambrose|Populated Place|01860|P1|0080|0080|North Dakota|38|1|Divide|023|02/13/1980|06/07/2022||||485714N|1032858W|48.9539222|-103.4826921
1027695|Amenia|Populated Place|01940|P1|0090|0090|North Dakota|38|1|Cass|017|02/13/1980|06/07/2022||||470018N|0971308W|47.0049744|-97.2189763
1027700|Anamoose|Populated Place|02220|P1|0110|0110|North Dakota|38|1|McHenry|049|02/13/1980|06/07/2022||||475257N|1001428W|47.8825008|-100.241246
1027704|Aneta|Populated Place|02380|P1|0120|0120|North Dakota|38|1|Nelson|063|02/13/1980|06/07/2022||||474046N|0975917W|47.6794377|-97.9881509
1027707|Antelope|Populated Place|02580|U6|||North Dakota|38|1|Stark|089|02/13/1980|07/17/2019||||465121N|1021210W|46.8558401|-102.2026687
1027718|Antler|Populated Place|02660|P1|0130|0130|North Dakota|38|1|Bottineau|009|02/13/1980|06/07/2022||||485815N|1011657W|48.9708532|-101.2823803
1027721|Appam|Populated Place|02740|U6|||North Dakota|38|1|Williams|105|02/13/1980|07/17/2019||||483412N|1033520W|48.570028|-103.5888055
1027724|Apple Valley|Populated Place|02820|U6|||North Dakota|38|1|Burleigh|015|02/13/1980|08/29/2019||||464918N|1003552W|46.8216598|-100.5978995
1027725|Ardoch|Populated Place|02860|P1|0140|0140|North Dakota|38|1|Walsh|099|02/13/1980|06/07/2022||||481226N|0972032W|48.2072096|-97.3422986
1027728|Arena|Populated Place|02940|U6|0142|0142|North Dakota|38|1|Burleigh|015|02/13/1980|08/29/2019||||470738N|1000944W|47.1272114|-100.1623319
1027730|Argusville|Populated Place|03020|P1|0150|0150|North Dakota|38|1|Cass|017|02/13/1980|06/07/2022||||470308N|0965604W|47.0521927|-96.9345275
1027736|Arnegard|Populated Place|03220|P1|0160|0160|North Dakota|38|1|McKenzie|053|02/13/1980|06/07/2022||||474828N|1032628W|47.8077966|-103.4410273
1027739|Arnold|Populated Place|03270|U6|||North Dakota|38|1|Burleigh|015|02/13/1980|08/29/2019||||465526N|1004512W|46.9238808|-100.7534625
1027745|Arthur|Populated Place|03300|P1|0170|170|North Dakota|38|1|Cass|017|02/13/1980|06/07/2022||||470615N|0971305W|47.1041435|-97.2181431
1027748|Arvilla|Populated Place|03380|U6|0175|0175|North Dakota|38|1|Grand Forks|035|02/13/1980|08/19/2019||||475509N|0972941W|47.9191555|-97.4948081
1027755|Ashley|Populated Place|03540|P1|0180|0180|North Dakota|38|1|McIntosh|051|02/13/1980|06/07/2022||||460203N|0992217W|46.0341408|-99.3715033
1027760|Auburn|Census|03740|U5|||North Dakota|38|1|Walsh|099|02/13/1980|06/02/2022||||483025N|0972623W|48.5069335|-97.4398024
1027772|Aurelia|Populated Place|03780|U6|||North Dakota|38|1|Ward|101|02/13/1980|07/17/2019||||482800N|1015408W|48.4666863|-101.9021066
1027773|Aylmer|Populated Place|03980|U6|||North Dakota|38|1|Pierce|069|02/13/1980|07/26/2019||||475603N|1001134W|47.9341687|-100.1929128
1027775|Ayr|Populated Place|04020|P1|0190|0190|North Dakota|38|1|Cass|017|02/13/1980|06/07/2022||||470228N|0972926W|47.0410893|-97.4906456
1027778|Backoo|Populated Place|04100|U6|0195|0195|North Dakota|38|1|Pembina|067|02/13/1980|07/26/2019||||485012N|0974237W|48.8366607|-97.7103657
1027787|Baker|Populated Place|04260|U6|||North Dakota|38|1|Benson|005|02/13/1980|08/29/2019||||480938N|0993851W|48.1605586|-99.6476322
1027796|Baldwin|Populated Place|04380|U6|0198|0198|North Dakota|38|1|Burleigh|015|02/13/1980|08/29/2019||||470136N|1004458W|47.026658|-100.749575
1027800|Balfour|Populated Place|04460|P1|0200|0200|North Dakota|38|1|McHenry|049|02/13/1980|06/07/2022||||475706N|1003205W|47.9516711|-100.5345865
1027801|Balta|Populated Place|04580|P1|0210|210|North Dakota|38|1|Pierce|069|02/13/1980|06/07/2022||||481000N|1000213W|48.1666684|-100.0370779
1027806|Bantry|Populated Place|04740|U5|0220|0220|North Dakota|38|1|McHenry|049|02/13/1980|05/06/2021||||482954N|1003637W|48.4983324|-100.61041
1027809|Barlow|Populated Place|04860|U6|||North Dakota|38|1|Foster|031|02/13/1980|08/19/2019||||473411N|0990816W|47.5697204|-99.137892
1027816|Barrie|Populated Place|05065|U6|||North Dakota|38|1|Richland|077|02/13/1980|07/26/2019||||463408N|0970721W|46.5688555|-97.1225887
1027820|Bartlett|Populated Place|05100|U6|0230|0230|North Dakota|38|1|Ramsey|071|02/13/1980|07/26/2019||||480241N|0982556W|48.0447223|-98.4323272
1027821|Barton|Census|05220|U5|0240|240|North Dakota|38|1|Pierce|069|02/13/1980|06/02/2022||||483025N|1001034W|48.5069406|-100.1762455
1027828|Bathgate|Populated Place|05260|P1|0250|250|North Dakota|38|1|Pembina|067|02/13/1980|06/07/2022||||485238N|0972834W|48.8772124|-97.4761908
1027834|Battleview|Populated Place|05340|U6|0258|0258|North Dakota|38|1|Burke|013|02/13/1980|08/29/2019||||483444N|1024733W|48.5789151|-102.7924027
1027837|Beach|Populated Place|05420|P1|0260|0260|North Dakota|38|1|Golden Valley|033|02/13/1980|06/07/2022||||465505N|1040016W|46.9180689|-104.0043728
1027873|Belcourt|Populated Place|05740|U5|0265|0265|North Dakota|38|1|Rolette|079|02/13/1980|06/07/2022||||485021N|0994442W|48.8391713|-99.7448688
1027875|Belden|Populated Place|05780|U6|0267|0267|North Dakota|38|1|Mountrail|061|02/13/1980|08/13/2019||||480905N|1022127W|48.1514048|-102.3573958
1027885|Benedict|Populated Place|05980|P1|0280|0280|North Dakota|38|1|McLean|055|02/13/1980|06/07/2022||||474949N|1010457W|47.8302812|-101.0823744
1027893|Bentley|Populated Place|06060|U6|0282|0282|North Dakota|38|1|Hettinger|041|02/13/1980|08/13/2019||||461945N|1020349W|46.3291712|-102.0634868
1027898|Bergen|Populated Place|06180|P1|0290|0290|North Dakota|38|1|McHenry|049|02/13/1980|06/07/2022||||480006N|1004253W|48.0016737|-100.7145903
1027915|Berthold|Populated Place|06460|P1|0310|0310|North Dakota|38|1|Ward|101|02/13/1980|06/07/2022||||481847N|1014414W|48.313069|-101.7371077
1027918|Berwick|Populated Place|06540|U6|0320|0320|North Dakota|38|1|McHenry|049|02/13/1980|08/13/2019||||482140N|1001447W|48.3611096|-100.2465238
1027971|Beulah|Populated Place|06660|P1|0330|0330|North Dakota|38|1|Mercer|057|02/13/1980|06/07/2022||||471548N|1014641W|47.2633403|-101.7779462
1028008|Binford|Populated Place|07020|P1|0350|0350|North Dakota|38|1|Griggs|039|02/13/1980|06/07/2022||||473343N|0982042W|47.5619407|-98.3450977
1028012|Bisbee|Populated Place|07180|P1|0360|0360|North Dakota|38|1|Towner|095|02/13/1980|06/07/2022||||483733N|0992241W|48.6258358|-99.3779181
