feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
611884|Varnumtown|Populated Place|71795|U6|||Massachusetts|25|1|Middlesex|017|02/24/1974|06/07/2022||||424215N|0712158W|42.7042566|-71.366174
865197|Acworth|Populated Place|00180|U6|0006|6|New Hampshire|33|1|Sullivan|019|08/27/1980|06/07/2022||||431304N|0721731W|43.2178539|-72.2920317
865219|Allens Mills|Populated Place|00620|U6|||New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||432430N|0712705W|43.408412|-71.4514606
865220|Allenstown Elementary School|Populated Place|00650|U6|||New Hampshire|33|1|Merrimack|013|08/27/2002|06/07/2022||||430928N|0712420W|43.15786|-71.4056233
865222|Alstead|Populated Place|00740|U6|0002|0002|New Hampshire|33|1|Cheshire|005|08/27/1980|07/10/2019||||430856N|0722138W|43.1489663|-72.3606431
865223|Alstead Center|Populated Place|00900|U6|||New Hampshire|33|1|Cheshire|005|08/27/1980|07/10/2019||||430707N|0721933W|43.118689|-72.3259203
865225|Alton|Census|00980|U5|0003|3|New Hampshire|33|1|Belknap|001|08/27/1980|06/02/2022||||432708N|0711303W|43.4523018|-71.2175671
865227|Alton Bay|Populated Place|01140|U6|0007|0007|New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||432807N|0711355W|43.4686905|-71.2320118
865231|Ames|Populated Place|01180|U6|||New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||433345N|0712005W|43.5625775|-71.3347926
865239|Amherst|Census|01220|U5|0011|11|New Hampshire|33|1|Hillsborough|011|08/27/1980|06/02/2022||||425141N|0713731W|42.8614748|-71.6253487
865244|Andover|Populated Place|01380|U6|0004|4|New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||432613N|0714924W|43.4370198|-71.8234138
865248|Antrim|Populated Place|01620|U5|0005|0005|New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||430151N|0715620W|43.0309142|-71.9389689
865249|Antrim Center|Populated Place|01725|U6|||New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||430301N|0715756W|43.0503582|-71.9656364
865255|Apthorp|Populated Place|01820|U6|||New Hampshire|33|1|Grafton|009|08/27/1980|06/07/2022||||441828N|0714432W|44.3078392|-71.7423101
865260|Arlington Park|Populated Place|01860|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||424949N|0711326W|42.8303661|-71.2239496
865269|Ashland|Census|01940|U5|0010|10|New Hampshire|33|1|Grafton|009|08/27/1980|06/02/2022||||434143N|0713750W|43.6953512|-71.6306325
865270|Ashuelot|Populated Place|02180|U6|0009|0009|New Hampshire|33|1|Cheshire|005|08/27/1980|07/10/2019||||424639N|0722525W|42.7775828|-72.4236985
865274|Atkinson|Populated Place|02260|U6|0012|12|New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425018N|0710849W|42.8384221|-71.1470037
865277|Atkinson Heights|Populated Place|02580|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||424924N|0710955W|42.8234222|-71.1653373
865278|Atlantic|Populated Place|02640|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425216N|0705140W|42.8712017|-70.8611642
865279|Atlantic Heights|Populated Place|02660|U4|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||430532N|0704621W|43.0923102|-70.7725539
865283|Auburn|Populated Place|02740|U6|0013|13|New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||430016N|0712054W|43.0045289|-71.348398
865285|Austin Corners|Populated Place|02860|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425440N|0705751W|42.9112002|-70.9642229
865318|Baglett Grove|Populated Place|02940|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425259N|0711045W|42.8831433|-71.1792269
865319|Bagley|Populated Place|02980|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||431600N|0714643W|43.2667444|-71.7786897
865368|Bank|Populated Place|03040|U6|||New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||424501N|0715013W|42.7503644|-71.8370204
865385|Barnstead|Populated Place|03140|U6|0014|0014|New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||432002N|0711734W|43.3339692|-71.2928447
865393|Barrington|Populated Place|03380|U6|0029|29|New Hampshire|33|1|Strafford|017|08/27/1980|06/07/2022||||431322N|0710249W|43.2228599|-71.0470077
865421|Bayside|Populated Place|04020|U6|||New Hampshire|33|1|Rockingham|015|08/27/2002|06/07/2022|Official|Board Decision|01/01/1950|430305N|0705203W|43.0514766|-70.8675557
865450|Bear Island|Populated Place|04285|U6|||New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||433926N|0712502W|43.6572977|-71.4172948
865503|Bedford|Populated Place|04420|U6|0018|18|New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||425647N|0713057W|42.9464737|-71.5159015
865537|Belmont|Census|04660|U5|0017|17|New Hampshire|33|1|Belknap|001|08/27/1980|06/02/2022||||432643N|0712840W|43.4453558|-71.4778505
865543|Bennett Corners|Populated Place|04780|U6|||New Hampshire|33|1|Carroll|003|08/27/1980|06/10/2019||||434939N|0711940W|43.8275736|-71.3278495
865548|Bennington|Census|04820|U5|0019|19|New Hampshire|33|1|Hillsborough|011|08/27/1980|06/02/2022||||430011N|0715528W|43.0031371|-71.924524
865559|Berrys Corner|Populated Place|05260|U6|||New Hampshire|33|1|Strafford|017|08/27/1980|06/07/2022||||431630N|0710408W|43.2750813|-71.0689529
865562|Bersum Gardens|Populated Place|05300|U4|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||430459N|0704612W|43.0831438|-70.7700536
865565|Bethlehem|Census|05380|U5|0016|16|New Hampshire|33|1|Grafton|009|08/27/1980|06/02/2022||||441649N|0714117W|44.2803402|-71.6881414
865639|Blackwater|Populated Place|05750|U6|||New Hampshire|33|1|Strafford|017|08/27/1980|06/07/2022||||431444N|0705449W|43.2456387|-70.9136719
865714|Bonds Corner|Populated Place|06100|U6|||New Hampshire|33|1|Cheshire|005|08/27/1980|07/10/2019||||425406N|0720128W|42.9017493|-72.0245254
865716|Boscawen|Populated Place|06180|U6|0022|22|New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||431854N|0713715W|43.3150786|-71.6209083
865724|Bow Bog|Populated Place|06540|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||430714N|0713041W|43.1206379|-71.5114587
865727|Bow Center|Populated Place|06580|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||430755N|0713257W|43.1320263|-71.5492377
865728|Bow Junction|Populated Place|06650|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||431035N|0713133W|43.1764704|-71.5259044
865736|Bowkerville|Populated Place|06660|U6|||New Hampshire|33|1|Cheshire|005|08/27/1980|07/10/2019||||424821N|0720951W|42.8059168|-72.1642495
865743|Boyce|Populated Place|06870|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||431743N|0713436W|43.2953572|-71.5767404
865752|Bradford|Census|06900|U5|0024|24|New Hampshire|33|1|Merrimack|013|08/27/1980|06/02/2022||||431612N|0715736W|43.2700767|-71.9600824
865753|Bradford Center|Populated Place|07060|U6|||New Hampshire|33|1|Merrimack|013|08/27/1980|06/07/2022||||431414N|0715817W|43.2372993|-71.9714712
865770|Breakfast Hill|Populated Place|07085|U6|||New Hampshire|33|1|Rockingham|015|08/27/2002|06/07/2022|Official|Board Decision|01/01/1950|430038N|0704856W|43.0106447|-70.8156091
865778|Brentwood|Populated Place|07140|U6|0025|25|New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425843N|0710422W|42.9786981|-71.0728369
865780|Brentwood Corners|Populated Place|07300|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||430030N|0710434W|43.0084197|-71.0761707
865781|Bretton Woods|Populated Place|07380|U6|0026|0026|New Hampshire|33|1|Coos|007|08/27/1980|07/26/2019||||441529N|0712628W|44.2581201|-71.4411895
865784|Brick School Corner|Populated Place|07420|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425621N|0705659W|42.9392555|-70.9497784
865791|Bridgewater|Populated Place|07460|U6|0027|27|New Hampshire|33|1|Grafton|009|08/27/1980|06/07/2022||||433818N|0714411W|43.6384067|-71.7364678
865797|Bristol|Populated Place|07620|U5|0030|30|New Hampshire|33|1|Grafton|009|08/27/1980|06/07/2022||||433528N|0714412W|43.5911851|-71.7367456
865799|Broad Acres|Populated Place|07820|U6|||New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||424608N|0713024W|42.7689771|-71.5067336
865808|Brookfield|Populated Place|07860|U6|0052|0052|New Hampshire|33|1|Carroll|003|08/27/1980|06/10/2019||||433332N|0710355W|43.558968|-71.0653437
865809|Brookhurst|Populated Place|07980|U6|||New Hampshire|33|1|Belknap|001|08/27/1980|06/10/2019||||433029N|0711550W|43.5081344|-71.2639572
865810|Brookline|Populated Place|08020|U6|0031|31|New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||424405N|0713929W|42.7348102|-71.6581267
865824|Browns Corner|Populated Place|08140|U6|||New Hampshire|33|1|Hillsborough|011|08/27/1980|06/07/2022||||425844N|0713639W|42.9789726|-71.6109045
865896|Cable Road|Populated Place|08380|U6|||New Hampshire|33|1|Rockingham|015|08/27/1980|06/07/2022||||425929N|0704552W|42.9914788|-70.7644964
