feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
873769|Pennsauken|Populated Place|57690|U5|2545|2545|New Jersey|34|1|Camden|007|07/01/1989|06/07/2022|Official|Board Decision|01/01/1954|395722N|0750329W|39.9562238|-75.0579502
873814|Chadwick Beach|Populated Place|11860|U6|||New Jersey|34|1|Ocean|029|03/01/1990|06/07/2022||||395858N|0740348W|39.9828957|-74.0634696
873843|Baywood|Populated Place|03850|U6|||New Jersey|34|1|Ocean|029|03/01/1990|06/07/2022||||400122N|0740520W|40.0228949|-74.0890266
873895|Cedar Bridge Manor|Populated Place|11020|U6|||New Jersey|34|1|Ocean|029|03/01/1990|06/07/2022||||400322N|0740747W|40.0562274|-74.1295841
873905|Leisure Village East|Populated Place|39910|U5|||New Jersey|34|1|Ocean|029|03/01/1990|06/07/2022||||400148N|0740952W|40.0301169|-74.1643075
874190|Clermont|Populated Place|13510|U6|||New Jersey|34|1|Cape May|009|07/01/1992|06/07/2022||||390904N|0744546W|39.1512252|-74.7626642
874242|Absecon|Populated Place|00100|P1|0010|0010|New Jersey|34|1|Atlantic|001|09/08/1979|12/06/2013|Official|Board Decision|01/01/1891|392542N|0742945W|39.4284503|-74.4957076
874247|Absecon Highlands|Populated Place|00160|U5|||New Jersey|34|1|Atlantic|001|09/08/1979|06/07/2022||||392648N|0742827W|39.4467839|-74.4740399
874250|Ackerson|Populated Place|00234|U6|||New Jersey|34|1|Sussex|037|09/08/1979|06/07/2022||||410456N|0744005W|41.0823191|-74.6679402
874253|Acton|Populated Place|00241|U6|||New Jersey|34|1|Salem|033|09/08/1979|06/07/2022||||393503N|0752448W|39.58428|-75.4132506
874254|Adams|Populated Place|00250|U6|||New Jersey|34|1|Middlesex|023|09/08/1979|06/07/2022||||402703N|0742936W|40.4509385|-74.4932089
874258|Adamston|Populated Place|00280|U6|0015|15|New Jersey|34|1|Ocean|029|09/08/1979|06/07/2022||||400243N|0740542W|40.0453944|-74.0951383
874260|Adelphia|Populated Place|00310|U6|0016|16|New Jersey|34|1|Monmouth|025|09/08/1979|06/07/2022||||401305N|0741523W|40.2181677|-74.2562566
874263|Afton|Populated Place|00325|U6|||New Jersey|34|1|Morris|027|09/08/1979|06/07/2022||||404621N|0742323W|40.7726004|-74.3895961
874270|Albion|Populated Place|00400|U6|||New Jersey|34|1|Camden|007|09/08/1979|06/07/2022||||394643N|0745718W|39.7787261|-74.9548875
874271|Albion Place|Populated Place|00430|U4|||New Jersey|34|1|Passaic|031|09/08/1979|06/07/2022||||405328N|0741033W|40.8912101|-74.1757
874275|Aldene|Populated Place|00460|U4|||New Jersey|34|1|Union|039|09/08/1979|06/07/2022||||403948N|0741623W|40.6634358|-74.2729247
874278|Aldine|Populated Place|00490|U6|||New Jersey|34|1|Salem|033|09/08/1979|06/07/2022||||393408N|0751630W|39.5690032|-75.2749107
874284|Alexauken|Populated Place|00565|U6|||New Jersey|34|1|Hunterdon|019|09/08/1979|06/07/2022|Official|Board Decision|01/01/1906|402322N|0745621W|40.38955|-74.9390559
874287|Algers Mills|Populated Place|00595|U6|||New Jersey|34|1|Monmouth|025|09/08/1979|06/07/2022||||400955N|0740428W|40.1653917|-74.0745832
874292|Allamuchy|Census|00640|U5|0018|18|New Jersey|34|1|Warren|041|09/08/1979|06/02/2022|Official|Board Decision|01/01/1897|405518N|0744837W|40.921765|-74.8101665
874296|Allendale|Populated Place|00700|P1|0020|20|New Jersey|34|1|Bergen|003|09/08/1979|06/07/2022||||410229N|0740745W|41.0414858|-74.129032
874297|Allenhurst|Populated Place|00730|P1|0030|30|New Jersey|34|1|Monmouth|025|09/08/1979|06/07/2022||||401410N|0740002W|40.2362237|-74.0006926
874299|Allens Mills|Populated Place|00745|U6|||New Jersey|34|1|Warren|041|09/08/1979|06/07/2022||||404424N|0750707W|40.7400986|-75.118508
874300|Allentown|Populated Place|00760|P1|0040|40|New Jersey|34|1|Monmouth|025|09/08/1979|06/07/2022||||401040N|0743501W|40.1778887|-74.5834887
874301|Allenwood|Populated Place|00790|U5|0041|41|New Jersey|34|1|Monmouth|025|09/08/1979|06/07/2022|Official|Board Decision|01/01/1891|400829N|0740560W|40.1415033|-74.0998616
874303|Allerton|Populated Place|00820|U6|||New Jersey|34|1|Hunterdon|019|09/08/1979|06/07/2022||||403640N|0745243W|40.6112131|-74.8784999
874305|Alliance|Populated Place|00835|U6|||New Jersey|34|1|Salem|033|09/08/1979|06/07/2022||||393107N|0750531W|39.5187265|-75.0918455
874308|Alloway|Populated Place|00850|U5|0045|45|New Jersey|34|1|Salem|033|09/08/1979|06/07/2022|Official|Board Decision|01/01/1893|393339N|0752145W|39.560947|-75.3624151
874312|Allwood|Populated Place|00940|U4|||New Jersey|34|1|Passaic|031|09/08/1979|06/07/2022||||405033N|0740932W|40.8425998|-74.1587551
874314|Almonesson|Populated Place|||0049|0049|New Jersey|34|1|Gloucester|015|09/08/1979|12/06/2013||||394908N|0750555W|39.8190027|-75.0985071
874318|Alpha|Populated Place|01030|P1|0050|50|New Jersey|34|1|Warren|041|09/08/1979|06/07/2022||||404001N|0750927W|40.6670439|-75.1573972
