feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
24003|Fort Mojave Reservation|Civil|1235R|D1|||Arizona|04|1|Mohave|015|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
24003|Fort Mojave Reservation|Civil|1235R|D1|||California|06|3|San Bernardino|071|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
24003|Fort Mojave Reservation|Civil|1235R|D1|||Nevada|32|2|Clark|003|06/27/1984|03/21/2023||||345634N|1143634W|34.9428781|-114.6094171
838422|Alpha|Populated Place|00850|U6|||Nevada|32|1|Eureka|011|12/12/1980|06/07/2022||||400037N|1161135W|40.0102012|-116.1931244
838496|Arden|Populated Place|02300|U6|0007|7|Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||360105N|1151351W|36.0180284|-115.2308304
838652|Battle Mountain|Populated Place|04900|U5|0015|0015|Nevada|32|1|Lander|015|12/12/1980|06/07/2022||||403832N|1165603W|40.6421334|-116.9342671
838653|Battle Mountain Reservation|Civil|0165R|D2|||Nevada|32|1|Lander|015|12/12/1980|03/21/2023||||403942N|1165822W|40.6616537|-116.9728787
839181|Bullion|Populated Place|08025|U6|||Nevada|32|1|Elko|007|12/12/1980|05/28/2019||||403126N|1155947W|40.5238102|-115.9964594
839592|Coaldale|Populated Place|13100|U6|0058|58|Nevada|32|1|Esmeralda|009|12/12/1980|06/07/2022||||380139N|1175259W|38.0274306|-117.8831592
839715|Cortez|Populated Place|15430|U6|||Nevada|32|1|Lander|015|12/12/1980|06/07/2022||||400828N|1163612W|40.1410312|-116.6034164
840180|Dry Lake|Populated Place|19700|U6|||Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||362724N|1145035W|36.4566369|-114.843056
840384|Eureka|Census|23900|U5|0085|0085|Nevada|32|1|Eureka|011|12/12/1980|06/02/2022||||393046N|1155738W|39.5127066|-115.9606129
840412|Fallon|Populated Place|24100|P1|0090|0090|Nevada|32|1|Churchill|001|12/12/1980|06/07/2022||||392825N|1184639W|39.4735288|-118.7773743
840414|Fallon Paiute-Shoshone Reservation|Civil|1075R|D1|||Nevada|32|1|Churchill|001|12/12/1980|03/21/2023||||393116N|1183703W|39.5210409|-118.6174027
840446|Fernley|Populated Place|24900|P1|0091|91|Nevada|32|1|Lyon|019|12/12/1980|06/07/2022||||393629N|1191507W|39.6079683|-119.2518349
840501|Flanigan|Populated Place|25100|U6|||Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||401015N|1195312W|40.1707382|-119.8865896
840904|Harney|Populated Place|31100|U6|||Nevada|32|1|Eureka|011|12/12/1980|06/07/2022||||403439N|1161929W|40.5774163|-116.3248028
840934|Hazen|Populated Place|31700|U6|0104|104|Nevada|32|1|Churchill|001|12/12/1980|06/07/2022||||393355N|1190247W|39.5651915|-119.0462731
841225|Imlay|Census|34700|U5|0114|114|Nevada|32|1|Pershing|027|12/12/1980|06/02/2022||||403939N|1180902W|40.6607386|-118.1504207
841625|Lida|Populated Place|42000|U6|||Nevada|32|1|Esmeralda|009|12/12/1980|06/07/2022||||372730N|1172953W|37.4582645|-117.4981383
842060|Mesquite|Populated Place|46000|P1|0141|141|Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||364820N|1140402W|36.8055312|-114.0671903
842148|Mina|Census|46800|U5|0138|138|Nevada|32|1|Mineral|021|12/12/1980|06/02/2022||||382326N|1180631W|38.3904808|-118.1087296
842174|Moapa|Populated Place|47600|U6|0144|144|Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||364033N|1143715W|36.675805|-114.6208232
842663|Owyhee|Populated Place|53600|U5|0155|155|Nevada|32|1|Elko|007|12/12/1980|06/07/2022||||415652N|1160555W|41.9476788|-116.0987094
843007|Pyramid|Populated Place|58700|U6|||Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||400430N|1194207W|40.074906|-119.701859
843237|Riverside|Populated Place|61160|U6|||Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||364410N|1141314W|36.7360852|-114.2205268
843386|Rox|Populated Place|62700|U6|||Nevada|32|1|Lincoln|017|12/12/1980|06/07/2022||||365251N|1144002W|36.8808033|-114.6672155
843668|Shoshone|Populated Place|66500|U6|||Nevada|32|1|Eureka|011|12/12/1980|06/07/2022||||404151N|1163325W|40.697412|-116.5570334
843784|Smoke Creek|Populated Place|68130|U6|||Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||402651N|1194001W|40.447403|-119.6668629
844209|Tenabo|Populated Place|72500|U6|||Nevada|32|1|Lander|015|12/12/1980|06/07/2022||||401852N|1164036W|40.3143625|-116.6767544
844291|Thorne|Populated Place|72800|U6|||Nevada|32|1|Mineral|021|12/12/1980|06/07/2022||||383607N|1183529W|38.6018652|-118.5915221
844463|Tuscarora|Populated Place|76200|U6|0202|202|Nevada|32|1|Elko|007|12/12/1980|06/07/2022||||411851N|1161318W|41.3140735|-116.2217565
844600|Vya|Populated Place|80600|U6|||Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||413532N|1195138W|41.5921166|-119.8604915
844601|Wabuska|Populated Place|80800|U6|0215|215|Nevada|32|1|Lyon|019|12/12/1980|06/07/2022||||390838N|1191060W|39.1438073|-119.1832104
844607|Wadsworth|Populated Place|81000|U5|0217|217|Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||393802N|1191708W|39.6338011|-119.2854477
844732|West Reno|Populated Place|83600|U4|||Nevada|32|1|Washoe|031|12/12/1980|06/07/2022||||393055N|1195104W|39.5151884|-119.8510267
844996|Winnemucca|Populated Place|84800|P1|0230|0230|Nevada|32|1|Humboldt|013|12/12/1980|06/07/2022||||405823N|1174408W|40.9729584|-117.7356849
845047|Woolsey|Populated Place|85000|U6|||Nevada|32|1|Pershing|027|12/12/1980|06/07/2022||||401652N|1182153W|40.2810198|-118.36459
845094|Paradise|Populated Place|54600|U5|0156|156|Nevada|32|1|Clark|003|08/30/1991|06/07/2022||||360550N|1150848W|36.0971945|-115.1466648
845151|Dinner Station|Populated Place|18775|U6|||Nevada|32|1|Elko|007|12/12/1980|06/07/2022||||410560N|1155158W|41.0999142|-115.866187
845306|Goodsprings|Populated Place|29500|U5|0101|101|Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||354957N|1152603W|35.8324766|-115.4341661
845327|Sloan|Populated Place|67800|U6|||Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||355637N|1151302W|35.9435864|-115.2172168
845336|Moapa River Indian Reservation|Civil|2315R|D2|||Nevada|32|1|Clark|003|08/30/1991|03/21/2023||||363412N|1144432W|36.5700509|-114.742311
845339|Alamo|Census|00500|U5|0005|5|Nevada|32|1|Lincoln|017|12/12/1980|06/02/2022||||372154N|1150952W|37.3649613|-115.1644614
845356|Beatty|Populated Place|05100|U5|0017|17|Nevada|32|1|Nye|023|12/12/1980|06/07/2022||||365431N|1164533W|36.9085566|-116.7592265
845386|Buckingham Camp|Populated Place|07950|U6|||Nevada|32|1|Lander|015|12/12/1980|06/07/2022||||403647N|1170421W|40.6129664|-117.0726046
845390|Bunkerville|Populated Place|08100|U5|0027|27|Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||364623N|1140741W|36.7730306|-114.1280249
845397|Carp|Populated Place|09300|U6|0045|45|Nevada|32|1|Lincoln|017|12/12/1980|06/07/2022||||370643N|1142934W|37.1119149|-114.4927666
845398|Carver Park|Populated Place|10300|U4|||Nevada|32|1|Clark|003|12/12/1980|06/07/2022||||360247N|1145839W|36.0463654|-114.9774925
845399|Caselton|Populated Place|10900|U6|||Nevada|32|1|Lincoln|017|12/12/1980|06/07/2022||||375509N|1142907W|37.9191297|-114.4852707
845400|Caselton Heights|Populated Place|10965|U6|||Nevada|32|1|Lincoln|017|12/12/1980|06/07/2022||||375450N|1142845W|37.9138519|-114.4791594
