feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
942058|Apulia|Populated Place|02341|U6|||New York|36|1|Onondaga|067|01/23/1980|06/07/2022||||424926N|0760313W|42.823956|-76.0535345
942060|Apulia Station|Populated Place|02363|U6|0226|226|New York|36|1|Onondaga|067|01/23/1980|06/07/2022||||424907N|0760421W|42.8186783|-76.072424
942063|Collingwood|Populated Place|17167|U6|||New York|36|1|Onondaga|067|01/23/1980|06/07/2022||||425203N|0760459W|42.8675669|-76.0829793
942082|Tully|Populated Place|75627|P1|6140|6140|New York|36|1|Onondaga|067|01/23/1980|06/07/2022||||424753N|0760634W|42.798123|-76.1093696
942083|Tully Center|Populated Place|75642|U6|||New York|36|1|Onondaga|067|01/23/1980|06/07/2022||||424756N|0760720W|42.7989563|-76.1221478
942120|Abbotts|Populated Place|00122|U6|||New York|36|1|Cattaraugus|009|01/23/1980|10/17/2019||||421525N|0781907W|42.257011|-78.3186277
942123|Abell Corners|Populated Place|00127|U6|||New York|36|1|Madison|053|01/23/1980|06/07/2022||||425354N|0754942W|42.8984002|-75.8282462
942147|Accord|Populated Place|00155|U5|0005|5|New York|36|1|Ulster|111|01/23/1980|06/07/2022||||414708N|0741345W|41.7856489|-74.2290366
942155|Acra|Populated Place|00177|U6|0008|8|New York|36|1|Greene|039|01/23/1980|06/07/2022||||421839N|0740319W|42.3109186|-74.0554126
942159|Adams|Populated Place|00199|P1|0010|0010|New York|36|1|Jefferson|045|01/23/1980|06/07/2022||||434833N|0760127W|43.8092321|-76.0240892
942160|Adams Basin|Populated Place|00221|U6|0011|0011|New York|36|1|Monroe|055|05/09/2023|05/09/2023||||431151N|0775114W|43.1975608|-77.853899
942163|Adams Center|Populated Place|00232|U5|0012|0012|New York|36|1|Jefferson|045|05/09/2023|05/09/2023||||435136N|0760020W|43.8600635|-76.0054785
942164|Adams Corners|Populated Place|00243|U6|||New York|36|1|Putnam|079|01/23/1980|06/07/2022||||412112N|0735022W|41.3534271|-73.8395797
942165|Adams Cove|Populated Place|00254|U6|||New York|36|1|Jefferson|045|01/23/1980|09/11/2019||||440023N|0760931W|44.0064459|-76.1585386
942173|Adamsville|Populated Place|00265|U6|||New York|36|1|Washington|115|01/23/1980|06/07/2022||||431915N|0732823W|43.320906|-73.4731679
942177|Addison|Populated Place|00276|P1|0020|20|New York|36|1|Steuben|101|01/23/1980|06/07/2022||||420610N|0771401W|42.1028514|-77.2335879
942180|Adelphi|Populated Place|00309|U4|||New York|36|1|Kings|047|01/23/1980|06/07/2022||||404051N|0735752W|40.6809364|-73.9645828
942185|Adirondack|Populated Place|00320|U6|0022|22|New York|36|1|Warren|113|01/23/1980|06/07/2022||||434550N|0734530W|43.7639539|-73.7584623
942193|Adrian|Populated Place|00331|U6|||New York|36|1|Steuben|101|01/23/1980|06/07/2022||||421516N|0773115W|42.2545161|-77.5208197
942198|Afton|Populated Place|00342|P1|0030|30|New York|36|1|Chenango|017|01/23/1980|06/07/2022||||421341N|0753136W|42.228136|-75.5265715
942205|Agnes Corners|Populated Place|00370|U6|||New York|36|1|Oneida|065|01/23/1980|06/07/2022||||431033N|0753623W|43.1759023|-75.6062916
942224|Akron|Populated Place|00441|P1|0040|0040|New York|36|1|Erie|029|01/23/1980|06/07/2022||||430115N|0782943W|43.0208924|-78.4953015
942227|Alabama|Populated Place|00463|U6|0042|0042|New York|36|1|Genesee|037|01/23/1980|03/20/2020||||430547N|0782327W|43.0964478|-78.3908559
942241|Albertson|Populated Place|01011|U5|0055|55|New York|36|1|Nassau|059|01/23/1980|06/07/2022||||404624N|0733835W|40.7734341|-73.6431844
942244|Albia|Populated Place|01022|U6|||New York|36|1|Rensselaer|083|01/23/1980|06/07/2022||||424212N|0733906W|42.703412|-73.6517842
