feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
1037309|Adair|Populated Place|00205|U6|||Ohio|39|1|Columbiana|029|07/12/1979|06/07/2022||||404737N|0805721W|40.7936701|-80.9559221
1037320|Addison|Populated Place|00408|U6|0035|35|Ohio|39|1|Gallia|053|07/12/1979|06/07/2022||||385310N|0820847W|38.886191|-82.1462561
1037321|Adena|Populated Place|00464|P1|0060|60|Ohio|39|2|Harrison|067|07/12/1979|06/07/2022||||401307N|0805222W|40.2186805|-80.8728672
1037321|Adena|Populated Place|00464|P1|0060|60|Ohio|39|1|Jefferson|081|07/12/1979|06/07/2022||||401307N|0805222W|40.2186805|-80.8728672
1037377|Allentown|Populated Place|01392|U6|||Ohio|39|1|Allen|003|07/12/1979|06/07/2022||||404517N|0841141W|40.7547728|-84.1946727
1037396|Amberley|Populated Place|01672|P1|0140|140|Ohio|39|1|Hamilton|061|07/12/1979|06/07/2022||||391217N|0842541W|39.2047809|-84.427997
1037451|Antwerp|Populated Place|02204|P1|0230|230|Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||411053N|0844426W|41.1814388|-84.7405144
1037457|Appleton|Populated Place|02260|U6|||Ohio|39|1|Licking|089|07/12/1979|06/07/2022||||401233N|0823659W|40.2092299|-82.616278
1037471|Arion|Populated Place|02386|U6|||Ohio|39|1|Scioto|145|07/12/1979|06/07/2022||||385046N|0830614W|38.8461849|-83.1037899
1037487|Arnold|Populated Place|02512|U6|||Ohio|39|1|Union|159|07/12/1979|06/07/2022||||400831N|0831503W|40.1420058|-83.2507496
1037493|Arthur|Populated Place|02540|U6|||Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||411141N|0842139W|41.1947711|-84.3607802
1037542|Aultman|Populated Place|03058|U6|0381|381|Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||405542N|0812502W|40.9283904|-81.4173353
1037613|Bangs|Populated Place|03772|U6|0455|455|Ohio|39|1|Knox|083|07/12/1979|06/07/2022||||402108N|0823309W|40.3522846|-82.5523874
1037625|Barberton|Populated Place|03828|P1|0460|0460|Ohio|39|1|Summit|153|07/12/1979|06/07/2022||||410046N|0813618W|41.012833|-81.6051221
1037653|Barrick Corners|Populated Place|03978|U6|||Ohio|39|1|Licking|089|07/12/1979|06/07/2022||||401127N|0823303W|40.1908968|-82.5507187
1037672|Batavia|Populated Place|04150|P1|0490|0490|Ohio|39|1|Clermont|025|07/12/1979|06/07/2022||||390437N|0841037W|39.0770072|-84.1768795
1037678|Batson|Populated Place|04258|U6|||Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||410106N|0844442W|41.0183821|-84.7449601
1037682|Battlesburg|Populated Place|04262|U6|||Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||404153N|0812212W|40.6981157|-81.3701138
1037762|Beaver Mill|Populated Place|04775|U6|||Ohio|39|1|Highland|071|07/12/1979|06/07/2022||||391038N|0832451W|39.1772884|-83.4140812
1037817|Belfast|Populated Place|05040|U6|||Ohio|39|1|Clermont|025|07/12/1979|06/07/2022||||391036N|0840801W|39.1767282|-84.1335455
1037862|Bentleyville|Populated Place|05550|P1|0690|690|Ohio|39|1|Cuyahoga|035|07/12/1979|06/07/2022||||412447N|0812439W|41.4131094|-81.4109468
1037881|Berwick|Populated Place|06012|U6|||Ohio|39|1|Seneca|147|07/12/1979|06/07/2022||||410145N|0831753W|41.0292219|-83.2979778
1038009|Big Island|Populated Place|06334|U6|||Ohio|39|1|Marion|101|07/12/1979|06/07/2022||||403644N|0831301W|40.6122803|-83.2168608
1038057|Birmingham|Populated Place|06502|U6|0794|794|Ohio|39|1|Erie|043|07/12/1979|06/07/2022||||411948N|0822139W|41.3300486|-82.3607193
1038086|Blackberry Corner|Populated Place|06568|U6|||Ohio|39|1|Ottawa|123|07/12/1979|06/07/2022||||413613N|0831651W|41.6036595|-83.2807599
1038105|Blanchester|Populated Place|06908|P1|0810|810|Ohio|39|1|Clinton|027|07/12/1979|06/07/2022||||391735N|0835920W|39.2931174|-83.9888205
1038117|Blissfield|Populated Place|06936|U6|0812|812|Ohio|39|1|Coshocton|031|07/12/1979|06/07/2022||||402359N|0815756W|40.3997893|-81.9654188
1038125|Bloomingdale|Populated Place|07202|P1|0841|841|Ohio|39|1|Jefferson|081|07/12/1979|06/07/2022||||402034N|0804905W|40.3428455|-80.8181404
1038294|Briceton|Populated Place|08546|U6|||Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||410504N|0843752W|41.0844936|-84.6310662
1038304|Bridgeport|Populated Place|08574|U6|||Ohio|39|1|Hardin|065|07/12/1979|06/07/2022||||404445N|0833607W|40.7458873|-83.6018735
1038365|Broughton|Populated Place|09386|P1|1080|1080|Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||410523N|0843207W|41.0897714|-84.5352291
1038383|Brownhelm Station|Populated Place|09570|U6|||Ohio|39|1|Lorain|093|07/12/1979|06/07/2022||||412434N|0821739W|41.4094882|-82.2940479
1038503|Buford|Census|10156|U5|1138|1138|Ohio|39|1|Highland|071|07/12/1979|06/02/2022||||390436N|0835039W|39.0767322|-83.8440941
1038552|Bursville|Populated Place|10432|U6|||Ohio|39|1|Mercer|107|07/12/1979|06/07/2022||||403733N|0844339W|40.6258802|-84.7274611
1038588|Byron|Populated Place|10772|U6|||Ohio|39|1|Greene|057|07/12/1979|06/07/2022||||394710N|0835851W|39.7861705|-83.9807661
1038598|Cadiz|Populated Place|10800|P1|1210|1210|Ohio|39|1|Harrison|067|07/12/1979|06/07/2022||||401622N|0805948W|40.2728452|-80.9967628
1038607|Cairo|Populated Place|10898|U6|||Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||405416N|0812137W|40.9045021|-81.3603887
1038609|Caldwell|Populated Place|10940|P1|1230|1230|Ohio|39|1|Noble|121|07/12/1979|06/07/2022||||394452N|0813059W|39.7478508|-81.5165127
1038621|Calla|Populated Place|10982|U6|||Ohio|39|1|Mahoning|099|07/12/1979|06/07/2022||||405821N|0804614W|40.9725587|-80.7706345
1038668|Camp Calvary|Populated Place|11102|U6|||Ohio|39|1|Ashtabula|007|07/12/1979|06/07/2022||||415639N|0803730W|41.9442209|-80.6250785
1038683|Camp Creek|Populated Place|11136|U6|||Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||404404N|0813424W|40.7345024|-81.5734567
1038735|Camp Park|Populated Place|11188|U6|||Ohio|39|1|Mahoning|099|07/12/1979|06/07/2022||||410409N|0804731W|41.0692248|-80.7920252
1038796|Canfield|Populated Place|11360|P1|1310|1310|Ohio|39|1|Mahoning|099|07/12/1979|06/07/2022||||410130N|0804539W|41.0250584|-80.7609121
1038804|Canton Road|Populated Place|12018|U6|||Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||404450N|0813101W|40.7472805|-81.5170654
1038830|Carpenter|Populated Place|12224|U6|||Ohio|39|1|Meigs|105|07/12/1979|06/07/2022||||390946N|0821310W|39.1628523|-82.2193146
1038883|Cecil|Populated Place|12700|P1|1410|1410|Ohio|39|1|Paulding|125|07/12/1979|06/07/2022||||411307N|0843608W|41.218661|-84.602175
1038906|Cedar Mills|Populated Place|12742|U6|||Ohio|39|1|Adams|001|07/12/1979|06/07/2022||||384923N|0832334W|38.8231282|-83.3926886
1038919|Celeryville|Census|12854|U5|||Ohio|39|1|Huron|077|07/12/1979|06/02/2022||||410147N|0824355W|41.0297777|-82.7318459
1038946|Centerville|Populated Place|13148|U6|||Ohio|39|1|Brown|015|07/12/1979|06/07/2022||||390451N|0835709W|39.0808981|-83.9524307
1038974|Chagrin Falls Park|Populated Place|13386|U6|||Ohio|39|1|Geauga|055|07/12/1979|06/07/2022||||412450N|0812311W|41.4139426|-81.3865008
1039005|Chase|Populated Place|13642|U6|||Ohio|39|1|Hancock|063|07/12/1979|06/07/2022||||410423N|0834232W|41.0731085|-83.708823
1039008|Chattanooga|Populated Place|13764|U6|||Ohio|39|1|Mercer|107|07/12/1979|06/07/2022||||403813N|0844706W|40.6369912|-84.7849627
1039013|Cherokee|Populated Place|13825|U6|||Ohio|39|1|Logan|091|07/12/1979|06/07/2022||||402616N|0834733W|40.4378295|-83.7924349
1039033|Cheshire|Populated Place|13932|P1|1538|1538|Ohio|39|1|Gallia|053|07/12/1979|06/07/2022||||385641N|0820641W|38.9448013|-82.111255
1039063|Chickasaw|Populated Place|14156|P1|1570|1570|Ohio|39|1|Mercer|107|07/12/1979|06/07/2022||||402613N|0842936W|40.4369914|-84.4932863
1039079|Chippewa Lake Park|Populated Place|14268|U6|||Ohio|39|1|Medina|103|07/12/1979|06/07/2022||||410348N|0815345W|41.0633882|-81.8956946
1039100|Chuckery|Populated Place|14310|U6|||Ohio|39|1|Union|159|07/12/1979|06/07/2022||||400642N|0832326W|40.1117271|-83.3904759
1039117|Churchtown|Populated Place|14338|U6|||Ohio|39|1|Washington|167|07/12/1979|06/07/2022||||392802N|0813252W|39.467296|-81.5479031
1039124|Circle Hill|Populated Place|15056|U6|||Ohio|39|1|Miami|109|07/12/1979|06/07/2022||||400422N|0842452W|40.0728285|-84.4143937
1039145|Clarktown|Census|15434|U5|||Ohio|39|1|Scioto|145|07/12/1979|06/02/2022||||385102N|0825441W|38.8506303|-82.9112837
1039153|Clayton|Populated Place|15630|U6|||Ohio|39|1|Adams|001|07/12/1979|06/07/2022||||384437N|0834032W|38.7436838|-83.6754749
1039187|Climax|Populated Place|16098|U6|||Ohio|39|1|Morrow|117|07/12/1979|06/07/2022||||403750N|0825317W|40.6306146|-82.8879603
1039214|Cockrell Run|Populated Place|16455|U6|||Ohio|39|1|Scioto|145|07/12/1979|06/07/2022|Official|Board Decision|01/01/1963|385712N|0825845W|38.9534056|-82.9790643
1039214|Cockrell Run|Populated Place|16455|U6|||Ohio|39|2|Pike|131|07/12/1979|06/07/2022|Official|Board Decision|01/01/1963|385712N|0825845W|38.9534056|-82.9790643
1039235|Cokesbury Corners|Populated Place|16495|U6|||Ohio|39|1|Licking|089|07/12/1979|06/07/2022||||401037N|0823311W|40.1770079|-82.5529409
1039258|Collins|Census|16784|U5|1782|1782|Ohio|39|1|Huron|077|07/12/1979|06/02/2022||||411531N|0822929W|41.2586633|-82.4912827
1039285|Comet|Populated Place|18042|U6|||Ohio|39|1|Summit|153|07/12/1979|06/07/2022||||405521N|0813132W|40.9225565|-81.525674
1039290|Concord|Populated Place|18130|U6|||Ohio|39|1|Clermont|025|07/12/1979|06/07/2022||||390119N|0840449W|39.0220092|-84.0802113
1039318|Conover|Populated Place|18448|U6|1854|1854|Ohio|39|1|Miami|109|07/12/1979|06/07/2022||||400807N|0840247W|40.1353322|-84.0463273
1039324|Converse|Populated Place|18532|U6|||Ohio|39|1|Van Wert|161|07/12/1979|09/13/2019||||404435N|0842459W|40.7431045|-84.4163428
1039355|Coopersville|Populated Place|18637|U6|||Ohio|39|1|Pike|131|07/12/1979|06/07/2022||||385740N|0830234W|38.961183|-83.0426776
1039494|Crossroads|Populated Place|19512|U6|||Ohio|39|1|Stark|151|07/12/1979|06/07/2022||||404337N|0813425W|40.7270026|-81.5737345
1039497|Crosstown|Populated Place|19526|U6|||Ohio|39|1|Brown|015|07/12/1979|06/07/2022||||390530N|0840022W|39.0917311|-84.0060433
1039521|Crystal Rock|Census|19615|U5|||Ohio|39|1|Erie|043|07/12/1979|06/02/2022||||412647N|0825041W|41.4464406|-82.8446329
1039574|Danville|Populated Place|20114|P1|2070|2070|Ohio|39|1|Knox|083|07/12/1979|06/07/2022||||402651N|0821537W|40.4475643|-82.2601584
1039654|Deersville|Populated Place|21294|P1|2120|2120|Ohio|39|1|Harrison|067|07/12/1979|06/07/2022||||401827N|0811111W|40.3075666|-81.1864933
1039681|Deshler|Populated Place|21812|P1|2200|2200|Ohio|39|1|Henry|069|07/12/1979|06/07/2022||||411227N|0835357W|41.2075509|-83.8991072
1039695|Dexter|Populated Place|21896|U6|||Ohio|39|1|Meigs|105|07/12/1979|06/07/2022||||390514N|0821247W|39.0872981|-82.2129258
1039711|Dills|Populated Place|22030|U6|||Ohio|39|1|Ross|141|07/12/1979|06/07/2022||||391436N|0831301W|39.2433989|-83.2168536
1039763|Dover|Populated Place|22456|P1|2240|2240|Ohio|39|1|Tuscarawas|157|07/12/1979|09/11/2019|Official|Board Decision|04/07/1920|403114N|0812826W|40.5206198|-81.4740054
1039869|Dundee|Census|22848|U5|2277|2277|Ohio|39|1|Tuscarawas|157|07/12/1979|06/02/2022||||403512N|0813629W|40.5867287|-81.6081794
1039880|Dunkirk|Populated Place|22946|P1|2280|2280|Ohio|39|1|Hardin|065|07/12/1979|06/07/2022||||404721N|0833836W|40.7892204|-83.6432639
1039890|Durgan|Populated Place|23020|U6|||Ohio|39|1|Gallia|053|07/12/1979|06/07/2022||||390029N|0822201W|39.0081314|-82.3668209
1039914|Dyesville|Populated Place|23044|U6|||Ohio|39|1|Meigs|105|07/12/1979|06/07/2022||||390741N|0821348W|39.1281306|-82.2298707
