feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
57336|Bashe|Populated Place|04525|U6|||Oklahoma|40|2|Le Flore|079|04/30/1980|06/07/2022||||351845N|0942604W|35.312593|-94.4343825
57336|Bashe|Populated Place|04525|U6|||Arkansas|05|1|Sebastian|131|04/30/1980|06/07/2022||||351845N|0942604W|35.312593|-94.4343825
57989|Jenson|Populated Place|35110|U6|||Arkansas|05|1|Sebastian|131|04/30/1980|06/07/2022||||351150N|0942621W|35.1973178|-94.4391059
470842|Township of Shimer (historical)|Civil|65325|X1|||Kansas|20|1|Comanche|033|07/01/1984|03/20/2008||||370002N|0990401W|37.0005848|-99.0670475
484432|Owen|Populated Place|53790|U6|||Kansas|20|1|Montgomery|125|10/13/1978|10/17/2019||||365957N|0955555W|36.9992393|-95.9319248
484432|Owen|Populated Place|53790|U6|||Oklahoma|40|2|Washington|147|10/13/1978|10/17/2019||||365957N|0955555W|36.9992393|-95.9319248
1089519|Achille|Populated Place|00100|P1|0010|10|Oklahoma|40|1|Bryan|013|12/18/1979|06/07/2022||||335000N|0962314W|33.8334343|-96.3872105
1089523|Ada|Populated Place|00200|P1|0020|20|Oklahoma|40|1|Pontotoc|123|12/18/1979|06/07/2022||||344628N|0964042W|34.774531|-96.678345
1089525|Adair|Populated Place|00250|P1|0030|30|Oklahoma|40|1|Mayes|097|12/18/1979|06/07/2022||||362612N|0951617W|36.4367575|-95.2713584
1089528|Adams|Populated Place|00300|U5|0032|0032|Oklahoma|40|1|Texas|139|12/18/1979|06/07/2022||||364523N|1010438W|36.7564149|-101.0771061
1089538|Adamson|Populated Place|00350|U5|0033|0033|Oklahoma|40|1|Pittsburg|121|12/18/1979|06/07/2022||||345526N|0953250W|34.9239867|-95.5472039
1089540|Addington|Populated Place|00450|P1|0040|0040|Oklahoma|40|1|Jefferson|067|12/18/1979|03/20/2020||||341440N|0975801W|34.2445351|-97.9669797
1089546|Afton|Populated Place|00600|P1|0050|50|Oklahoma|40|1|Ottawa|115|12/18/1979|06/07/2022||||364137N|0945747W|36.693687|-94.9630171
1089548|Agawam|Populated Place|00650|U6|||Oklahoma|40|1|Grady|051|12/18/1979|06/07/2022||||345224N|0975646W|34.8734028|-97.9461523
1089554|Ahloso|Populated Place|00750|U6|||Oklahoma|40|1|Pontotoc|123|12/18/1979|06/07/2022||||344406N|0963815W|34.7350879|-96.6375096
1089565|Albany|Census|00950|U5|0066|66|Oklahoma|40|1|Bryan|013|12/18/1979|06/02/2022||||335253N|0960946W|33.8814878|-96.1627607
1089566|Albert|Populated Place|01000|U6|0068|68|Oklahoma|40|1|Caddo|015|12/18/1979|06/07/2022||||351358N|0982441W|35.2328355|-98.4114464
1089573|Albion|Populated Place|01050|P1|0070|70|Oklahoma|40|1|Pushmataha|127|12/18/1979|06/07/2022||||343946N|0950560W|34.6628785|-95.0999613
