feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
859740|Fort McDermitt Indian Reservation|Civil|1210R|D2|||Nevada|32|1|Humboldt|013|12/12/1980|03/21/2023||||415722N|1173927W|41.955973|-117.6574808
859740|Fort McDermitt Indian Reservation|Civil|1210R|D2|||Oregon|41|2|Malheur|045|12/12/1980|03/21/2023||||415722N|1173927W|41.955973|-117.6574808
1116542|Tollgate|Populated Place|74050|U6|||Oregon|41|1|Umatilla|059|06/01/1992|06/07/2022||||454649N|1180534W|45.7804129|-118.0927226
1116762|Adams|Populated Place|00350|P1|0010|10|Oregon|41|1|Umatilla|059|11/28/1980|06/07/2022||||454602N|1183345W|45.767354|-118.5624734
1116775|Adel|Populated Place|00450|U6|0011|11|Oregon|41|1|Lake|037|11/28/1980|06/07/2022||||421039N|1195355W|42.177388|-119.8985576
1116783|Agate Beach|Populated Place|00550|U6|0015|15|Oregon|41|1|Lincoln|041|11/28/1980|06/07/2022||||444038N|1240342W|44.6773386|-124.0617836
1116794|Alameda|Populated Place|00950|U6|||Oregon|41|1|Multnomah|051|11/28/1980|06/07/2022||||453318N|1223750W|45.5551182|-122.6306508
1116796|Albany|Populated Place|01000|P1|0020|20|Oregon|41|1|Linn|043|11/28/1980|06/07/2022||||443811N|1230621W|44.6365107|-123.1059282
1116796|Albany|Populated Place|01000|P1|0020|20|Oregon|41|2|Benton|003|11/28/1980|06/07/2022||||443811N|1230621W|44.6365107|-123.1059282
1116850|Alfalfa|Populated Place|01350|U6|||Oregon|41|1|Deschutes|017|11/28/1980|06/07/2022||||440438N|1210101W|44.0773433|-121.0169654
1116873|Allegany|Populated Place|01550|U6|0022|22|Oregon|41|1|Coos|011|11/28/1980|06/07/2022||||432533N|1240156W|43.4259469|-124.0323266
1116888|Alma|Populated Place|01625|U6|||Oregon|41|1|Lane|039|11/28/1980|06/07/2022||||435327N|1232829W|43.8909542|-123.474821
1116889|Aloha|Populated Place|01650|U5|0025|25|Oregon|41|1|Washington|067|11/28/1980|06/07/2022||||452939N|1225201W|45.4942838|-122.8670454
1116891|Alpine|Census|01700|U5|||Oregon|41|1|Benton|003|11/28/1980|06/02/2022||||441948N|1232137W|44.3301223|-123.3603767
1116894|Altamont|Populated Place|01850|U5|0030|30|Oregon|41|1|Klamath|035|11/28/1980|06/07/2022||||421225N|1214414W|42.2068123|-121.737224
1116942|Andrews|Populated Place|02100|U6|||Oregon|41|1|Harney|025|11/28/1980|06/07/2022||||422751N|1183648W|42.4640583|-118.6132397
1116966|Antelope|Populated Place|02250|P1|0050|0050|Oregon|41|1|Wasco|065|11/28/1980|01/10/2012|Official|Board Decision|12/01/1985|445438N|1204322W|44.9106819|-120.7228173
