feature_id|feature_name|feature_class|census_code|census_class_code|gsa_code|opm_code|state_name|state_numeric|county_sequence|county_name|county_numeric|date_created|date_edited|bgn_type|bgn_authority|bgn_date|prim_lat_dms|prim_long_dms|prim_lat_dec|prim_long_dec
882316|Township of Pahaquarry (historical)|Civil|55650|X1|||New Jersey|34|1|Warren|041|09/08/1979|05/07/2008||||410300N|0750159W|41.0500959|-75.0329525
1062766|Five Points|Populated Place|27300|U6|||Ohio|39|1|Trumbull|155|07/12/1979|06/07/2022||||411841N|0803108W|41.3114441|-80.5189602
1065212|Orangeville|Populated Place|58674|P1|6210|6210|Ohio|39|1|Trumbull|155|07/12/1979|06/07/2022||||412021N|0803108W|41.3392217|-80.5189602
1168026|Aberdeen|Populated Place|00132|U6|||Pennsylvania|42|1|Lancaster|071|08/02/1979|06/07/2022||||401036N|0763724W|40.17676|-76.6233015
1168027|Aberdeen|Populated Place|00124|U6|||Pennsylvania|42|1|Lackawanna|069|08/02/1979|06/07/2022||||412131N|0752938W|41.3586944|-75.4937961
1168039|Acheson|Populated Place|00228|U6|||Pennsylvania|42|1|Washington|125|08/02/1979|06/07/2022||||401142N|0802704W|40.1950717|-80.4511781
1168046|Ackermanville|Census|00244|U5|||Pennsylvania|42|1|Northampton|095|08/02/1979|06/02/2022||||405021N|0751310W|40.8392629|-75.2193454
1168050|Acme|Populated Place|00260|U6|0017|17|Pennsylvania|42|1|Westmoreland|129|08/02/1979|06/07/2022||||400736N|0792543W|40.1267392|-79.4286473
1168051|Acmetonia|Populated Place|00268|U6|||Pennsylvania|42|1|Allegheny|003|08/02/1979|06/07/2022||||403227N|0794857W|40.5409009|-79.8158826
1168053|Acosta|Populated Place|00276|U6|0018|18|Pennsylvania|42|1|Somerset|111|08/02/1979|06/07/2022||||400637N|0790408W|40.1103542|-79.0689168
1168070|Adamsburg|Populated Place|00332|P1|0025|25|Pennsylvania|42|1|Westmoreland|129|08/02/1979|06/07/2022||||401842N|0793922W|40.3117361|-79.6561538
1168072|Adamsdale|Populated Place|00348|U6|||Pennsylvania|42|1|Schuylkill|107|08/02/1979|06/07/2022||||403810N|0760741W|40.6362021|-76.1279956
1168073|Adamstown|Populated Place|00364|P1|0030|30|Pennsylvania|42|1|Lancaster|071|08/02/1979|06/07/2022||||401428N|0760323W|40.2412035|-76.0563303
1168075|Adamsville|Populated Place|00372|U5|0031|31|Pennsylvania|42|1|Crawford|039|08/02/1979|06/07/2022||||413040N|0802211W|41.5111646|-80.3697888
1168078|Addison|Populated Place|00396|P1|0033|33|Pennsylvania|42|1|Somerset|111|08/02/1979|06/07/2022||||394450N|0792021W|39.7473003|-79.3392013
1168080|Adelaide|Populated Place|00412|U6|||Pennsylvania|42|1|Fayette|051|08/02/1979|06/07/2022||||400236N|0793726W|40.0434074|-79.623928
1168082|Admire|Populated Place|00420|U6|||Pennsylvania|42|1|York|133|08/02/1979|06/07/2022||||395743N|0765214W|39.9620418|-76.8705283
1168083|Adrian|Populated Place|00428|U6|0034|34|Pennsylvania|42|1|Armstrong|005|08/02/1979|06/07/2022||||405305N|0793216W|40.8847863|-79.5378231
1168084|Adrian Furnace|Populated Place|00436|U6|||Pennsylvania|42|1|Clearfield|033|08/02/1979|06/07/2022||||410755N|0784701W|41.132006|-78.7836411
1168093|Aiken|Populated Place|00492|U6|||Pennsylvania|42|1|McKean|083|08/02/1979|06/07/2022||||415241N|0783440W|41.8781188|-78.5778022
1168096|Airville|Populated Place|00500|U6|0035|35|Pennsylvania|42|1|York|133|08/02/1979|06/07/2022||||394956N|0762423W|39.8323244|-76.4063509
1168101|Airydale|Populated Place|00508|U6|||Pennsylvania|42|1|Huntingdon|061|08/02/1979|06/07/2022||||402904N|0775203W|40.4845191|-77.8674978
1168107|Akron|Populated Place|00540|P1|0040|0040|Pennsylvania|42|1|Lancaster|071|08/02/1979|06/07/2022||||400924N|0761208W|40.1567616|-76.2021742
1168111|Alaska|Populated Place|00556|U6|||Pennsylvania|42|1|Jefferson|065|08/02/1979|06/07/2022||||411039N|0790545W|41.1775636|-79.0958706
1168112|Alba|Populated Place|00572|P1|||Pennsylvania|42|1|Bradford|015|08/02/1979|06/07/2022||||414218N|0764942W|41.7050749|-76.8282913
1168114|Albert|Populated Place|00608|U6|||Pennsylvania|42|1|Luzerne|079|08/02/1979|06/07/2022||||410713N|0755552W|41.1203607|-75.9310325
1168117|Albion|Populated Place|00644|U6|||Pennsylvania|42|1|Jefferson|065|08/02/1979|06/07/2022||||405732N|0785649W|40.9589529|-78.9469777
1168118|Albion|Populated Place|00628|P1|0050|50|Pennsylvania|42|1|Erie|049|08/02/1979|06/07/2022||||415326N|0802159W|41.8906112|-80.3664542
1168122|Albrightsville|Census|00652|U5|0055|55|Pennsylvania|42|1|Carbon|025|08/02/1979|06/02/2022||||410052N|0753604W|41.0145319|-75.6010222
1168123|Alburtis|Populated Place|00660|P1|0060|60|Pennsylvania|42|1|Lehigh|077|08/02/1979|06/07/2022||||403039N|0753611W|40.5109298|-75.6029654
1168125|Aldan|Populated Place|00676|P1|0070|70|Pennsylvania|42|1|Delaware|045|08/02/1979|06/07/2022||||395517N|0751717W|39.9215014|-75.2879632
1168126|Alden|Populated Place|00684|U6|||Pennsylvania|42|1|Luzerne|079|08/02/1979|06/07/2022||||411055N|0760045W|41.1820267|-76.0124237
1168127|Aldenville|Populated Place|00692|U6|0072|72|Pennsylvania|42|1|Wayne|127|08/02/1979|06/07/2022||||413848N|0752150W|41.6467525|-75.3637904
1168135|Aldham|Populated Place|00708|U6|||Pennsylvania|42|1|Chester|029|08/02/1979|06/07/2022||||400526N|0753229W|40.0906608|-75.5413078
1168137|Aldovin|Populated Place|00716|U6|||Pennsylvania|42|1|Wyoming|131|08/02/1979|06/07/2022||||413702N|0755618W|41.6172986|-75.9382541
1168146|Alexandria|Populated Place|00756|P1|0080|80|Pennsylvania|42|1|Huntingdon|061|08/02/1979|06/07/2022||||403323N|0780552W|40.5564586|-78.0977847
1168147|Alfarata|Census|00764|U5|||Pennsylvania|42|1|Mifflin|087|08/02/1979|06/02/2022||||403945N|0772725W|40.6625726|-77.4569371
1168151|Alice|Populated Place|00780|U6|||Pennsylvania|42|1|Westmoreland|129|08/02/1979|06/07/2022||||400951N|0792735W|40.1642383|-79.4597592
1168152|Alinda|Populated Place|00804|U6|||Pennsylvania|42|1|Perry|099|08/02/1979|06/07/2022||||402047N|0771704W|40.3464734|-77.284429
1168161|Allegheny Acres|Populated Place|00900|U6|||Pennsylvania|42|1|Allegheny|003|08/02/1979|06/07/2022||||403655N|0795212W|40.6153447|-79.8700525
1168168|Allegheny Furnace|Populated Place|00916|U4|||Pennsylvania|42|1|Blair|013|08/02/1979|06/07/2022||||402923N|0782426W|40.489793|-78.4072357
1168173|Allegheny Springs|Populated Place|00922|U6|||Pennsylvania|42|1|Warren|123|08/02/1979|06/07/2022||||414936N|0791814W|41.8267258|-79.303937
1168177|Alleghenyville|Census|00924|U5|||Pennsylvania|42|1|Berks|011|08/02/1979|06/02/2022||||401403N|0755919W|40.2342594|-75.9885487
1168179|Allemans|Populated Place|00932|U6|||Pennsylvania|42|1|Clearfield|033|08/02/1979|06/07/2022||||404336N|0782414W|40.7267282|-78.4039075
1168191|Allendale|Populated Place|00961|U6|||Pennsylvania|42|1|Cumberland|041|08/02/1979|06/07/2022||||401326N|0765325W|40.2239791|-76.8902513
1168192|Allendale|Populated Place|00959|U6|||Pennsylvania|42|1|Cambria|021|08/02/1979|06/07/2022||||401907N|0784331W|40.3186863|-78.7252976
1168195|Allenport|Census|00980|U5|||Pennsylvania|42|1|Huntingdon|061|08/02/1979|06/02/2022||||402225N|0775212W|40.3736889|-77.8699972
1168196|Allenport|Populated Place|00988|P1|0100|100|Pennsylvania|42|1|Washington|125|08/02/1979|06/07/2022||||400553N|0795056W|40.0981287|-79.8489347
1168197|Allens Crossroads|Populated Place|00993|U6|||Pennsylvania|42|1|Westmoreland|129|08/02/1979|06/07/2022||||400810N|0795034W|40.1361835|-79.8428237
1168198|Allens Mills|Populated Place|00996|U6|||Pennsylvania|42|1|Jefferson|065|08/02/1979|06/07/2022||||411158N|0785427W|41.1995065|-78.9075328
1168200|Allensville|Census|01004|U5|0114|114|Pennsylvania|42|1|Mifflin|087|08/02/1979|06/02/2022||||403209N|0774901W|40.5359062|-77.8169407
1168202|Allenwood|Census|02016|U5|0115|115|Pennsylvania|42|1|Union|119|08/02/1979|06/02/2022||||410627N|0765354W|41.1075825|-76.8982974
1168209|Allison Heights|Populated Place|02048|U6|||Pennsylvania|42|1|Fayette|051|08/02/1979|06/07/2022||||395910N|0795243W|39.986186|-79.8786581
1168212|Allport|Populated Place|02064|U6|||Pennsylvania|42|1|Cambria|021|08/02/1979|06/07/2022||||403940N|0784528W|40.6611787|-78.7578045
1168213|Allport|Census|02072|U5|0122|122|Pennsylvania|42|1|Clearfield|033|08/02/1979|06/02/2022||||405801N|0781205W|40.9670014|-78.2014014
1168215|Almaden|Populated Place|02080|U6|||Pennsylvania|42|1|Clearfield|033|08/02/1979|06/07/2022||||404546N|0782359W|40.7628382|-78.3997413
1168216|Almedia|Populated Place|02088|U5|||Pennsylvania|42|1|Columbia|037|08/02/1979|06/07/2022||||410052N|0762252W|41.0145307|-76.381053
1168217|Almont|Populated Place|02096|U6|||Pennsylvania|42|1|Bucks|017|08/02/1979|06/07/2022||||402151N|0752004W|40.3642696|-75.3343433
1168220|Alpha|Populated Place|02104|U4|||Pennsylvania|42|1|Northampton|095|08/02/1979|06/07/2022||||405107N|0751706W|40.8520397|-75.2849028
1168223|Altamont|Populated Place|02144|U5|||Pennsylvania|42|1|Schuylkill|107|08/02/1979|06/07/2022||||404710N|0761330W|40.7861996|-76.2249428
1168225|Altenwald|Populated Place|02152|U6|||Pennsylvania|42|1|Franklin|055|08/02/1979|06/07/2022||||395042N|0773613W|39.8450925|-77.6036019
1168226|Althom|Populated Place|02156|U6|||Pennsylvania|42|1|Warren|123|08/02/1979|06/07/2022||||414512N|0791810W|41.7533933|-79.3028249
1168227|Althouse|Populated Place|02160|U6|||Pennsylvania|42|1|Somerset|111|08/02/1979|06/07/2022||||395317N|0790151W|39.8881361|-79.0308594
1168230|Altman|Populated Place|02164|U6|||Pennsylvania|42|1|Lawrence|073|08/02/1979|06/07/2022||||405832N|0801643W|40.9756172|-80.2786739
1168233|Alton Park|Populated Place|02176|U4|||Pennsylvania|42|1|Lehigh|077|08/02/1979|06/07/2022||||403342N|0752953W|40.5617642|-75.4979613
1168236|Alton|Populated Place|02168|U6|||Pennsylvania|42|1|Chester|029|08/02/1979|01/31/2022|Official|Board Decision|12/09/2021|395813N|0754011W|39.9703858|-75.6696602
1168237|Alum Bank|Populated Place|02192|C4|0129|129|Pennsylvania|42|1|Bedford|009|08/02/1979|06/07/2022|Official|Board Decision|01/01/1968|401050N|0783649W|40.1806336|-78.6136291
1168238|Alum Rock|Populated Place|02200|U6|||Pennsylvania|42|1|Clarion|031|08/02/1979|06/07/2022||||411002N|0793716W|41.167284|-79.6211593
1168240|Alverda|Populated Place|02216|U5|0135|0135|Pennsylvania|42|1|Indiana|063|08/02/1979|06/07/2022||||403749N|0785125W|40.6303454|-78.8569723
1168243|Alverton|Populated Place|02224|U6|0136|136|Pennsylvania|42|1|Westmoreland|129|08/02/1979|06/07/2022||||400824N|0793514W|40.1400721|-79.5872616
1168248|Amaranth|Populated Place|02232|U6|||Pennsylvania|42|1|Fulton|057|08/02/1979|06/07/2022||||394751N|0781641W|39.7975883|-78.278067
1168249|Amberson|Populated Place|02256|U6|0138|138|Pennsylvania|42|1|Franklin|055|08/02/1979|06/07/2022||||401013N|0774038W|40.1703637|-77.6772127
1168252|Ambler|Populated Place|02264|P1|0140|140|Pennsylvania|42|1|Montgomery|091|08/02/1979|06/07/2022||||400916N|0751318W|40.1545535|-75.2215651
1168253|Ambridge|Populated Place|02288|P1|0160|0160|Pennsylvania|42|1|Beaver|007|08/02/1979|06/07/2022||||403521N|0801330W|40.5892339|-80.22506
1168254|Ambridge Heights|Populated Place|02296|U6|||Pennsylvania|42|1|Beaver|007|08/02/1979|06/07/2022||||403530N|0801242W|40.5917339|-80.2117264
1168257|Ambrose|Populated Place|02304|U6|||Pennsylvania|42|1|Indiana|063|08/02/1979|06/07/2022||||404621N|0790630W|40.7725642|-79.1083687
1168258|Amend|Populated Place|02312|U6|||Pennsylvania|42|1|Fayette|051|08/02/1979|06/07/2022||||395222N|0794721W|39.8728541|-79.789214
1168262|Amesville|Populated Place|02320|U6|||Pennsylvania|42|1|Clearfield|033|08/02/1979|06/07/2022||||404951N|0782401W|40.8308927|-78.4002971
1168264|Amity|Populated Place|02344|U6|0162|162|Pennsylvania|42|1|Washington|125|08/02/1979|06/07/2022||||400222N|0801218W|40.0395169|-80.2050603
1168265|Amity|Populated Place|02332|U6|||Pennsylvania|42|1|Bucks|017|08/02/1979|06/07/2022||||403033N|0751710W|40.5092679|-75.2860104
1168272|Amsbry|Populated Place|02368|U6|||Pennsylvania|42|1|Cambria|021|08/02/1979|06/07/2022||||403211N|0783322W|40.5364581|-78.5561284
